Orthogroup	Arabidopsis_thaliana_rna_prot	Hordeum_vulgare_rna_prot
OG0007498	NM_001198333.1.p1, NM_104605.4.p1	XM_045123701.1.p1
OG0007499	NM_001198391.1.p1, NM_105221.3.p1	XM_045094637.1.p1
OG0007500	NM_119208.2.p1, NM_127964.5.p1, NM_001202657.1.p1	XM_045096403.1.p1
OG0007501	NM_129831.5.p1, NM_001202805.1.p1	XM_045124735.1.p1
OG0007502	NM_130083.5.p1, NM_001202819.1.p1	XM_045095248.1.p1
OG0007504	NM_001203024.1.p1	XM_045102275.1.p1
OG0007505	NM_180693.2.p1, NM_001203242.1.p1	XM_045108629.1.p1
OG0007506	NM_001203459.1.p1, NM_122390.4.p1	XM_045106603.1.p1
OG0007507	NM_123632.5.p1, NM_001203523.1.p1	XM_045128169.1.p1, XM_045092118.1.p1
OG0007508	NM_101257.4.p1, NM_001332097.1.p1, NM_125517.4.p1, NM_001203657.1.p1	XM_045126533.1.p1
OG0007509	NM_116778.4.p1, NM_001203753.1.p1, NM_179403.4.p1	XM_045110072.1.p1, XM_045129228.1.p1
OG0007510	NM_001341432.1.p1, NM_001203851.2.p1, NM_001341434.1.p1, NM_001341430.1.p1, NM_001341426.1.p1, NM_001341429.1.p1, NM_001341433.1.p1	XM_045118992.1.p1
OG0007511	NM_127582.3.p1, NM_001203935.1.p1	XM_045102713.1.p1, XM_045122356.1.p1
OG0007512	NM_001331467.1.p1, NM_100301.5.p1	XM_045121286.1.p1
OG0007513	NM_100638.5.p1, NM_001331714.1.p1	XM_045129414.1.p1, XM_045129416.1.p1
OG0007514	NM_101071.3.p1, NM_001332016.1.p1, NM_104913.4.p1	XM_045102884.1.p1, XM_045102886.1.p1
OG0007515	NM_102078.3.p1, NM_001332545.1.p1, NM_102076.4.p1	XM_045110784.1.p1
OG0007516	NM_001332655.1.p1, NM_001332660.1.p1	XM_045122160.1.p1, XM_045122159.1.p1, XM_045122562.1.p1, XM_045122563.1.p1, XM_045122560.1.p1
OG0007517	NM_001332789.1.p1, NM_001332790.1.p1, NM_102555.3.p1	XM_045124413.1.p1
OG0007518	NM_001333039.1.p1	XM_045109526.1.p1, XM_045109527.1.p1, XM_045095768.1.p1, XM_045095765.1.p1, XM_045095767.1.p1, XM_045095766.1.p1
OG0007521	NM_001333610.1.p1	XR_006622596.1.p1, XM_045112864.1.p1, XM_045112858.1.p1
OG0007522	NM_001333678.1.p1, NM_111399.5.p1	XM_045107949.1.p1
OG0007523	NM_105201.5.p1, NM_001334200.1.p1	XM_045112214.1.p1
OG0007524	NM_105648.4.p1, NM_001334427.1.p1	XM_045109072.1.p1
OG0007525	NM_001334525.1.p1, NM_001334524.1.p1	XM_045129154.1.p1
OG0007526	NM_001334829.1.p1, NM_106500.3.p1	XM_045116412.1.p1
OG0007527	NM_001334921.1.p1, NM_001334923.1.p1, NM_106628.3.p1	XM_045124402.1.p1, XM_045124403.1.p1
OG0007528	NM_126365.4.p1, NM_001335167.1.p1, NM_001335168.1.p1	XM_045092145.1.p1
OG0007529	NM_001335198.1.p1, NM_126415.6.p1	XM_045111109.1.p1
OG0007531	NM_001335532.1.p1	XR_006611470.1.p1, XR_006611471.1.p1
OG0007532	NM_119702.5.p1, NM_127289.4.p1, NM_127287.5.p1, NM_001335546.1.p1	XM_045105661.1.p1
OG0007533	NM_001335620.1.p1, NM_127465.4.p1	XM_045102943.1.p1
OG0007534	NM_001335744.1.p1, NM_201776.3.p1	XM_045098812.1.p1
OG0007535	NM_001335869.1.p1, NM_001335868.1.p1	XM_045092452.1.p1
OG0007536	NM_128103.3.p1, NM_001335997.1.p1	XM_045119069.1.p1
OG0007537	NM_114454.3.p1, NM_001336181.1.p1	XM_045093062.1.p1
OG0007538	NM_001337997.1.p1, NM_001336786.1.p1, NM_001336789.1.p1, NM_001336787.1.p1	XM_045116082.1.p1
OG0007539	NM_180064.3.p1, NM_001337024.1.p1	XM_045094252.1.p1
OG0007540	NM_001337047.1.p1, NM_129918.3.p1	XM_045104667.1.p1, XM_045104668.1.p1
OG0007541	NM_111022.3.p1, NM_001337347.1.p1, NM_121458.4.p1	XM_045118954.1.p1, XM_045110468.1.p1
OG0007542	NM_111073.4.p1, NM_001337380.1.p1	XM_045110467.1.p1
OG0007543	NM_001343466.1.p1, NM_121685.5.p1, NM_001337451.1.p1	XM_045096565.1.p1
OG0007544	NM_111398.3.p1, NM_001337572.1.p1	XM_045129617.1.p1
OG0007545	NM_001337781.1.p1, NM_001337779.1.p1, NM_001337776.1.p1, NM_001337778.1.p1, NM_001337782.1.p1, NM_001337780.1.p1	XM_045108869.1.p1
OG0007546	NM_001337867.1.p1, NM_001342753.1.p1, NM_120495.3.p1	XM_045119867.1.p1
OG0007547	NM_001338004.1.p1, NM_001338003.1.p1, NM_112099.3.p1, NM_001338005.1.p1	XM_045110905.1.p1
OG0007548	NM_001338150.1.p1, NM_112377.2.p1	XM_045102821.1.p1
OG0007549	NM_001338210.1.p1	XM_045121181.1.p1
OG0007551	NM_001338395.1.p1, NM_112831.5.p1	XM_045093537.1.p1, XM_045093538.1.p1
OG0007552	NM_001338695.1.p1	XM_045104048.1.p1, XM_045104049.1.p1
OG0007554	NM_001338858.1.p1	XM_045092210.1.p1, XM_045092211.1.p1, XR_006609999.1.p1
OG0007555	NM_001339016.1.p1, NM_113853.4.p1	XM_045126198.1.p1
OG0007556	NM_001339038.1.p1, NM_113902.4.p1	XM_045109087.1.p1
OG0007557	NM_001339288.1.p1	XM_045092629.1.p1, XM_045123582.1.p1
OG0007558	NM_114766.1.p1, NM_001339397.1.p1	XM_045123816.1.p1, XM_045123815.1.p1
OG0007559	NM_115042.3.p1, NM_001339534.1.p1	XM_045125956.1.p1, XM_045125957.1.p1
OG0007560	NM_001339792.1.p1, NM_129629.3.p1	XM_045112582.1.p1
OG0007561	NM_001340266.1.p1, NM_116299.3.p1	XM_045111526.1.p1
OG0007562	NM_001340355.1.p1, NM_001340356.1.p1, NM_001340357.1.p1, NM_116433.3.p1	XM_045125843.1.p1
OG0007563	NM_001340515.1.p1, NM_116726.4.p1, NM_001340516.1.p1	XM_045108571.1.p1
OG0007564	NM_001340686.1.p1, NM_117148.5.p1	XM_045100311.1.p1
OG0007565	NM_001340694.1.p1	XM_045120978.1.p1
OG0007566	NM_001340847.1.p1, NM_001340849.1.p1, NM_117406.3.p1, NM_001340848.1.p1	XM_045114377.1.p1
OG0007567	NM_001341335.1.p1, NM_118059.3.p1	XM_045105189.1.p1
OG0007568	NM_116718.3.p1, NM_116722.4.p1, NM_001341518.1.p1, NM_118306.7.p1	XM_045117973.1.p1
OG0007569	NM_001341901.1.p1, NM_001341902.1.p1, NM_118940.5.p1	XM_045092421.1.p1
OG0007570	NM_001342166.1.p1, NM_119418.3.p1, NM_202937.1.p1	XM_045120334.1.p1
OG0007571	NM_119434.4.p1, NM_001342177.1.p1	XM_045116823.1.p1, XM_045117857.1.p1
OG0007572	NM_001342303.1.p1, NM_001342304.1.p1, NM_001342306.1.p1, NM_119650.4.p1, NM_001342305.1.p1, NM_120040.4.p1	XM_045101046.1.p1
OG0007574	NM_120526.5.p1, NM_001342773.1.p1	XM_045127010.1.p1
OG0007575	NM_001342887.1.p1, NM_120742.3.p1	XM_045128980.1.p1
OG0007576	NM_120900.6.p1, NM_001342991.1.p1, NM_001342988.1.p1, NM_001342989.1.p1	XM_045110879.1.p1
OG0007577	NM_001343090.1.p1, NM_121053.5.p1	XM_045126696.1.p1
OG0007578	NM_121118.5.p1, NM_001343138.1.p1, NM_122415.2.p1	XM_045115567.1.p1, XM_045094748.1.p1
OG0007579	NM_001343192.1.p1	XM_045100828.1.p1
OG0007580	NM_001343232.1.p1, NM_001343234.1.p1	XM_045115609.1.p1
OG0007581	NM_001343275.1.p1, NM_001343276.1.p1, NM_001343274.1.p1, NM_121351.5.p1	XM_045094218.1.p1
OG0007583	NM_001343457.1.p1, NM_203062.2.p1, NM_121667.4.p1	XM_045126442.1.p1, XM_045126439.1.p1
OG0007584	NM_122441.2.p1, NM_001343917.1.p1	XM_045113440.1.p1
OG0007585	NM_001343985.1.p1	XM_045104689.1.p1
OG0007586	NM_001344000.1.p1, NM_001343999.1.p1, NM_001344001.1.p1, NM_001344002.1.p1	XM_045108363.1.p1, XM_045108364.1.p1
OG0007587	NM_001344105.1.p1, NM_122937.3.p1	XM_045120299.1.p1
OG0007588	NM_123392.2.p1, NM_001344319.1.p1	XM_045121041.1.p1
OG0007589	NM_001344668.1.p1, NM_001344670.1.p1, NM_001344669.1.p1, NM_123997.3.p1	XM_045121594.1.p1
OG0007590	NM_124080.3.p1, NM_001344707.1.p1	XM_045103158.1.p1
OG0007592	NM_125715.5.p1, NM_001345582.1.p1	XM_045121926.1.p1
OG0007593	NM_099991.4.p1	XM_045115291.1.p1
OG0007594	NM_100192.2.p1	XM_045127350.1.p1
OG0007595	NM_100248.5.p1, NM_202024.2.p1	XM_045105652.1.p1
OG0007596	NM_100304.5.p1, NM_123738.3.p1	XM_045129437.1.p1
OG0007597	NM_100335.4.p1	XM_045094092.1.p1, XM_045094090.1.p1, XM_045094093.1.p1, XM_045094091.1.p1
OG0007598	NM_100368.3.p1	XM_045122125.1.p1, XM_045122126.1.p1
OG0007599	NM_100485.3.p1	XM_045103386.1.p1
OG0007600	NM_100585.2.p1	XM_045125933.1.p1
OG0007601	NM_100610.4.p1, NM_128511.2.p1	XM_045100247.1.p1
OG0007602	NM_100632.3.p1	XM_045101463.1.p1
OG0007603	NM_100714.3.p1, NM_128278.3.p1	XM_045128688.1.p1, XM_045090574.1.p1
OG0007604	NM_100772.5.p1	XM_045118382.1.p1
OG0007605	NM_100960.3.p1	XM_045110336.1.p1
OG0007606	NM_101010.2.p1	XM_045116401.1.p1
OG0007607	NM_101016.4.p1	XM_045104181.1.p1
OG0007608	NM_104869.3.p1, NM_101036.3.p1	XM_045121383.1.p1
OG0007609	NM_101343.2.p1	XM_045126320.1.p1
OG0007611	NM_101501.3.p1, NM_106595.4.p1	XM_045129166.1.p1
OG0007612	NM_101524.3.p1, NM_127183.3.p1	XM_045114490.1.p1, XM_045123603.1.p1
OG0007613	NM_101647.5.p1	XM_045111316.1.p1, XM_045115381.1.p1
OG0007614	NM_101679.4.p1	XM_045112278.1.p1
OG0007615	NM_101718.5.p1	XM_045121197.1.p1
OG0007616	NM_101825.3.p1	XM_045119806.1.p1, XM_045119808.1.p1, XM_045119805.1.p1
OG0007617	NM_105702.4.p1, NM_102227.4.p1	XM_045115832.1.p1
OG0007618	NM_102512.3.p1	XM_045124285.1.p1, XM_045099955.1.p1
OG0007619	NM_102639.3.p1	XM_045123447.1.p1
OG0007620	NM_102708.3.p1, NM_123936.4.p1, NM_118009.3.p1	XM_045116768.1.p1, XM_045116831.1.p1
OG0007621	NM_102857.2.p1	XM_045095204.1.p1
OG0007622	NM_102911.3.p1	XM_045104931.1.p1
OG0007623	NM_102913.3.p1	XM_045093783.1.p1
OG0007624	NM_102940.6.p1	XM_045098226.1.p1
OG0007625	NM_103003.3.p1, NM_129073.3.p1	XM_045096062.1.p1, XM_045114691.1.p1
OG0007626	NM_123673.3.p1, NM_122676.2.p1, NM_103613.3.p1	XM_045109170.1.p1, XM_045096966.1.p1
OG0007627	NM_103713.3.p1	XM_045092056.1.p1
OG0007629	NM_103872.4.p1	XM_045126579.1.p1
OG0007630	NM_104036.3.p1	XM_045094009.1.p1, XM_045094010.1.p1, XM_045094005.1.p1, XR_006610407.1.p1, XM_045094008.1.p1
OG0007631	NM_104263.5.p1	XM_045114321.1.p1
OG0007632	NM_104509.4.p1, NM_104508.2.p1	XM_045128751.1.p1
OG0007633	NM_104977.3.p1	XM_045127230.1.p1
OG0007634	NM_105065.3.p1	XM_045102103.1.p1
OG0007636	NM_105323.3.p1	XM_045120766.1.p1, XM_045120767.1.p1, XM_045120765.1.p1, XM_045120768.1.p1, XM_045120764.1.p1
OG0007637	NM_105422.4.p1	XM_045129838.1.p1, XM_045129839.1.p1
OG0007638	NM_105437.5.p1	XM_045121942.1.p1
OG0007639	NM_105480.3.p1	XM_045119200.1.p1
OG0007640	NM_105538.3.p1	XM_045107220.1.p1
OG0007643	NM_105803.5.p1	XM_045124550.1.p1
OG0007644	NM_105898.7.p1	XM_045112482.1.p1
OG0007645	NM_106155.4.p1	XM_045129054.1.p1
OG0007646	NM_106158.5.p1	XM_045128489.1.p1
OG0007647	NM_106352.2.p1	XM_045093452.1.p1
OG0007648	NM_106693.4.p1	XM_045114869.1.p1
OG0007649	NM_106699.2.p1	XM_045102765.1.p1
OG0007650	NM_106708.4.p1	XM_045106699.1.p1
OG0007651	NM_111048.4.p1	XM_045104108.1.p1
OG0007652	NM_111075.3.p1	XM_045126526.1.p1
OG0007653	NM_111231.4.p1	XM_045106967.1.p1, XM_045117762.1.p1
OG0007654	NM_121911.3.p1, NM_111490.4.p1	XM_045118197.1.p1
OG0007655	NM_111578.2.p1	XM_045127451.1.p1
OG0007656	NM_111842.6.p1	XM_045121702.1.p1
OG0007657	NM_111849.4.p1	XM_045122452.1.p1
OG0007658	NM_111889.4.p1	XM_045112710.1.p1, XM_045112709.1.p1, XM_045124384.1.p1, XM_045124386.1.p1
OG0007659	NM_112057.3.p1	XM_045124267.1.p1
OG0007660	NM_121358.3.p1, NM_112087.3.p1	XM_045089825.1.p1, XM_045089824.1.p1
OG0007661	NM_112088.3.p1	XM_045127025.1.p1
OG0007662	NM_112116.4.p1	XM_045111687.1.p1
OG0007663	NM_112189.3.p1	XM_045129866.1.p1
OG0007664	NM_112200.3.p1	XM_045116707.1.p1
OG0007665	NM_112282.3.p1	XM_045122149.1.p1
OG0007666	NM_112378.3.p1	XM_045107179.1.p1
OG0007667	NM_112406.5.p1	XM_045102725.1.p1, XM_045112657.1.p1
OG0007668	NM_112409.4.p1	XM_045095600.1.p1
OG0007669	NM_112508.5.p1	XM_045104819.1.p1
OG0007670	NM_112763.5.p1	XM_045124755.1.p1
OG0007671	NM_119587.4.p1, NM_112832.4.p1	XM_045096185.1.p1
OG0007672	NM_112871.4.p1	XM_045104675.1.p1
OG0007673	NM_112985.5.p1	XM_045097144.1.p1
OG0007675	NM_113062.3.p1	XM_045129114.1.p1, XM_045114255.1.p1
OG0007676	NM_113123.2.p1	XM_045097177.1.p1, XM_045114414.1.p1
OG0007677	NM_113165.4.p1	XM_045126963.1.p1
OG0007678	NM_113217.3.p1	XM_045129605.1.p1
OG0007679	NM_113314.4.p1	XM_045125006.1.p1, XM_045090683.1.p1
OG0007680	NM_113625.4.p1	XM_045118889.1.p1
OG0007681	NM_113645.3.p1	XM_045110987.1.p1
OG0007682	NM_125429.4.p1, NM_114400.4.p1	XM_045091699.1.p1
OG0007683	NM_114573.3.p1, NM_125277.4.p1	XM_045095286.1.p1
OG0007685	NM_114681.4.p1	XM_045120769.1.p1
OG0007686	NM_114825.3.p1	XM_045129092.1.p1
OG0007687	NM_114960.3.p1	XM_045092138.1.p1, XM_045096011.1.p1
OG0007688	NM_114983.3.p1	XM_045114774.1.p1
OG0007690	NM_115171.3.p1	XM_045126729.1.p1
OG0007691	NM_180360.2.p1, NM_115204.3.p1	XM_045104448.1.p1, XM_045104447.1.p1
OG0007693	NM_129437.2.p1, NM_115314.1.p1	XM_045118249.1.p1
OG0007694	NM_115708.4.p1	XM_045128648.1.p1, XM_045128649.1.p1
OG0007695	NM_119000.3.p1, NM_115759.4.p1	XM_045115733.1.p1
OG0007696	NM_116089.3.p1	XM_045112737.1.p1, XM_045112746.1.p1
OG0007697	NM_116184.4.p1	XM_045109330.1.p1
OG0007699	NM_116729.4.p1	XM_045123563.1.p1
OG0007700	NM_117337.2.p1	XM_045102564.1.p1
OG0007701	NM_117510.5.p1	XM_045094698.1.p1, XM_045094697.1.p1
OG0007702	NM_117902.2.p1, NM_124035.2.p1	XM_045116012.1.p1
OG0007703	NM_117907.4.p1	XM_045115585.1.p1
OG0007704	NM_118536.4.p1	XM_045115540.1.p1
OG0007705	NM_118869.4.p1, NM_124804.3.p1	XM_045113839.1.p1
OG0007706	NM_119017.5.p1	XM_045102961.1.p1
OG0007707	NM_119070.4.p1, NM_119071.4.p1	XM_045103666.1.p1, XM_045103667.1.p1
OG0007708	NM_119117.2.p1	XM_045116736.1.p1
OG0007709	NM_119411.4.p1	XM_045109839.1.p1, XM_045107047.1.p1
OG0007710	NM_119966.5.p1	XM_045109771.1.p1, XM_045109772.1.p1
OG0007711	NM_119983.3.p1	XM_045101754.1.p1
OG0007712	NM_120058.5.p1	XM_045096441.1.p1
OG0007713	NM_120135.5.p1	XM_045091327.1.p1
OG0007714	NM_120277.3.p1	XM_045121518.1.p1, XM_045127739.1.p1
OG0007715	NM_120303.5.p1	XM_045093253.1.p1
OG0007716	NM_120632.2.p1	XM_045116172.1.p1
OG0007717	NM_120656.3.p1, NM_203007.3.p1	XM_045118702.1.p1
OG0007718	NM_125539.2.p1, NM_120848.2.p1	XM_045093980.1.p1
OG0007719	NM_121002.3.p1	XM_045095929.1.p1
OG0007720	NM_121023.4.p1	XM_045127439.1.p1
OG0007721	NM_121094.3.p1	XM_045111339.1.p1
OG0007722	NM_121323.4.p1	XM_045116510.1.p2, XM_045129892.1.p1
OG0007723	NM_121668.4.p1	XM_045110671.1.p1, XM_045110669.1.p1
OG0007724	NM_122002.3.p1, NM_180523.3.p1	XM_045119204.1.p1
OG0007725	NM_122114.3.p1	XM_045090170.1.p1
OG0007726	NM_122184.4.p1, NM_180726.2.p1	XM_045127426.1.p1, XM_045127427.1.p1
OG0007727	NM_122461.2.p1	XM_045124608.1.p1
OG0007728	NM_122610.3.p1	XM_045100956.1.p1
OG0007729	NM_122934.5.p1	XM_045093859.1.p1
OG0007730	NM_123094.2.p1, NM_180769.3.p1, NM_128057.3.p1	XM_045102068.1.p1
OG0007731	NM_123303.4.p1	XM_045109154.1.p1, XM_045109153.1.p1, XM_045105898.1.p1
OG0007732	NM_123403.4.p1	XM_045118953.1.p1
OG0007733	NM_123872.3.p1	XM_045113816.1.p1
OG0007735	NM_123937.3.p1, NR_139806.1.p1	XM_045095418.1.p1
OG0007736	NM_123975.4.p1	XM_045127583.1.p1
OG0007737	NM_123987.4.p1	XM_045128698.1.p1
OG0007738	NM_124040.5.p1	XM_045123539.1.p1
OG0007739	NM_124152.3.p1	XM_045126127.1.p1
OG0007740	NM_124530.4.p1	XM_045115520.1.p1
OG0007741	NM_124555.3.p1	XM_045115219.1.p1, XM_045115220.1.p1
OG0007742	NM_124712.3.p1	XM_045103855.1.p1
OG0007743	NM_124834.5.p1	XM_045102642.1.p1
OG0007744	NM_125041.3.p1	XM_045127032.1.p1, XM_045127033.1.p1
OG0007745	NM_125192.4.p1	XM_045095606.1.p1
OG0007746	NM_125198.5.p1	XM_045113814.1.p1, XM_045121290.1.p1, XM_045095258.1.p1
OG0007749	NM_125688.3.p1	XM_045096764.1.p1
OG0007750	NM_125702.4.p1	XM_045120232.1.p1
OG0007751	NM_125891.3.p1	XM_045100424.1.p1, XM_045100392.1.p1
OG0007752	NM_126066.4.p1	XM_045099998.1.p1
OG0007753	NM_126091.4.p1	XM_045114016.1.p1
OG0007754	NM_126113.4.p1	XM_045090021.1.p1
OG0007755	NM_126223.3.p1	XM_045111849.1.p1
OG0007756	NM_126401.5.p1	XM_045125464.1.p1
OG0007757	NM_126485.4.p1	XM_045096926.1.p1
OG0007758	NM_126604.4.p1	XM_045123674.1.p1, XM_045110732.1.p1
OG0007759	NM_126930.3.p1	XM_045122584.1.p1
OG0007760	NM_127266.4.p1	XM_045128381.1.p1
OG0007761	NM_127282.3.p1	XM_045128469.1.p1
OG0007762	NM_127587.3.p1	XM_045121865.1.p1
OG0007763	NM_127819.6.p1	XM_045096874.1.p1
OG0007764	NM_128083.4.p1, NM_147914.4.p1	XM_045103753.1.p1, XM_045103754.1.p1
OG0007766	NM_128710.7.p1	XM_045118157.1.p1, XM_045118154.1.p1
OG0007767	NM_128864.4.p1	XM_045112440.1.p1, XM_045112445.1.p1
OG0007768	NM_179886.1.p1, NM_128933.4.p1	XM_045112102.1.p1
OG0007769	NM_129084.3.p1	XM_045101100.1.p1
OG0007770	NM_129356.3.p1	XM_045099121.1.p1, XM_045096107.1.p1
OG0007771	NM_129430.4.p1	XM_045129686.1.p1
OG0007772	NM_129635.5.p1	XM_045121533.1.p1
OG0007773	NM_129663.3.p1	XM_045129138.1.p1
OG0007774	NM_129746.3.p1	XM_045119410.1.p1
OG0007775	NM_129801.4.p1	XM_045121127.1.p1
OG0007776	NM_129836.3.p1	XM_045121025.1.p1, XM_045106923.1.p1
OG0007777	NM_130379.2.p1	XM_045118263.1.p1
OG0007778	NM_148397.2.p1	XM_045118705.1.p1
OG0007779	NM_178957.2.p1	XM_045120146.1.p1, XM_045120148.1.p1
OG0007780	NM_179063.2.p1	XM_045091021.1.p2, XM_045125855.1.p1
OG0007781	NM_179693.2.p1	XM_045093465.1.p1
OG0007782	NM_179791.2.p1	XM_045121867.1.p1
OG0007783	NM_179945.2.p1	XM_045115000.1.p1, XM_045115013.1.p1
OG0007784	NM_180142.2.p1	XM_045125848.1.p1
OG0007785	NM_180909.3.p1	XM_045126803.1.p1
OG0007786	NM_201935.3.p1	XM_045127133.1.p1
OG0007830	NM_001035643.1.p1, NM_112696.3.p1	XM_045123710.1.p1
OG0007831	NM_001035742.3.p1, NM_001084781.2.p1, NM_001203090.1.p1	XM_045090134.1.p1
OG0007832	NM_115124.5.p1, NM_202690.2.p1, NM_001035771.1.p1	XM_045095771.1.p1
OG0007833	NM_001035867.3.p1	XM_045126338.1.p1
OG0007836	NM_117419.3.p1, NM_001036547.2.p1	XM_045102231.1.p1
OG0007837	NM_001036637.2.p1, NM_118677.5.p1	XM_045102504.1.p1
OG0007838	NM_119051.3.p1, NM_001036667.3.p1	XM_045108615.1.p1
OG0007839	NM_001036794.2.p1	XM_045090868.1.p1
OG0007840	NM_001036804.1.p1, NM_121429.5.p1	XM_045100135.1.p1
OG0007841	NM_001036866.4.p1	XM_045129906.1.p1
OG0007842	NM_180838.2.p1, NM_124509.4.p1, NM_001036978.2.p1	XM_045110370.1.p1
OG0007843	NM_100071.3.p1, NM_179244.2.p1, NM_001083976.2.p1	XM_045094379.1.p1
OG0007844	NM_001084340.2.p1	XM_045121641.1.p1
OG0007845	NM_106556.2.p1, NM_001084375.1.p1	XM_045128709.1.p1
OG0007846	NM_001084396.1.p1, NM_201664.2.p1	XM_045128475.1.p1
OG0007847	NM_116973.7.p1, NM_001084891.1.p1	XM_045097425.1.p1
OG0007848	NM_001344422.1.p1, NM_118582.4.p1, NM_001084974.1.p1	XM_045106265.1.p1
OG0007849	NM_121040.4.p1, NM_001085093.2.p1	XM_045108888.1.p1
OG0007850	NM_001332085.1.p1, NM_001123808.2.p1, NM_101245.5.p1	XM_045126510.1.p1, XM_045126509.1.p1
OG0007851	NM_001123939.2.p1, NM_103186.5.p1, NM_001333114.1.p1, NM_001333115.1.p1	XM_045126966.1.p1
OG0007852	NM_102151.5.p1, NM_001124110.1.p1, NM_105771.4.p1	XM_045095456.1.p1, XM_045096669.1.p1
OG0007854	NM_112597.4.p1, NM_001125176.1.p1	XM_045109980.1.p1
OG0007855	NM_001125240.1.p1, NM_001125239.1.p1	XM_045118872.1.p1
OG0007856	NM_119405.5.p1, NM_001125627.1.p1	XM_045120394.1.p1
OG0007857	NM_001161319.1.p1, NM_125659.4.p1	XM_045109927.1.p1
OG0007858	NM_001198038.2.p1, NM_101054.3.p1	XM_045109689.1.p1
OG0007859	NM_101184.6.p1, NM_001198050.1.p1, NM_101185.3.p1, NM_102298.3.p1	XM_045096000.1.p1
OG0007860	NM_001198059.2.p1, NM_202089.2.p1	XM_045117121.1.p1
OG0007861	NM_001333274.1.p1, NM_103644.3.p1, NM_001198233.1.p1	XM_045124379.1.p1
OG0007862	NM_106370.5.p1, NM_001198488.2.p1	XM_045128333.1.p1
OG0007863	NM_106578.3.p1, NM_001198507.1.p1	XM_045094830.1.p1
OG0007864	NM_001202641.1.p1, NM_201777.1.p1	XM_045109195.1.p1
OG0007865	NM_001336451.1.p1, NM_001202737.2.p1, NM_179877.1.p1	XM_045111224.1.p1
OG0007866	NM_001202808.1.p1, NM_129870.3.p1, NM_115761.3.p1	XM_045096837.1.p1
OG0007867	NM_001344048.1.p1, NM_001344049.1.p1, NM_001203485.1.p1	XM_045121274.1.p1, XM_045121271.1.p1
OG0007868	NM_001203666.1.p1, NM_125617.3.p1, NM_120800.4.p1	XM_045106477.1.p1
OG0007869	NM_001203717.2.p1, NM_001340262.1.p1	XM_045100789.1.p1
OG0007870	NM_129124.4.p1, NM_117778.8.p1, NM_001203815.1.p1	XM_045106376.1.p1
OG0007872	NM_118493.4.p1, NM_001203885.1.p1	XM_045120341.1.p1
OG0007873	NM_001203924.1.p1, NM_118859.3.p1	XM_045103480.1.p1
OG0007874	NM_001332414.1.p1, NM_106211.2.p1, NM_119641.4.p1, NM_001203986.2.p1	XM_045114786.1.p2, XM_045114777.1.p4
OG0007875	NM_120122.2.p1, NM_001204041.1.p1	XM_045097652.1.p1
OG0007876	NM_100352.3.p1, NM_001331495.1.p1	XM_045126161.1.p1
OG0007877	NM_001331830.1.p1, NM_100804.4.p1	XM_045091072.1.p1, XM_045110361.1.p1, XM_045112682.1.p1
OG0007878	NM_100846.6.p1, NM_001331850.1.p1	XM_045096233.1.p1
OG0007879	NM_104973.4.p1, NM_001332037.1.p1, NM_101118.4.p1	XM_045127146.1.p1
OG0007880	NM_101627.2.p1, NM_001332316.1.p1	XM_045099778.1.p1, XM_045106529.1.p1
OG0007881	NM_101701.4.p1, NM_001332348.1.p1	XM_045126181.1.p1, XM_045120807.1.p1
OG0007882	NM_001332488.1.p1, NM_101971.3.p1, NM_106336.4.p1	XM_045110576.1.p1
OG0007884	NM_001332684.1.p1	XM_045089774.1.p1
OG0007886	NM_103704.6.p1, NM_001333295.1.p1	XM_045099753.1.p1
OG0007887	NM_001333336.1.p1, NM_103739.5.p1, NM_112658.4.p1	XM_045124148.1.p1
OG0007888	NM_147961.4.p1, NM_001333674.1.p1	XM_045096998.1.p1
OG0007889	NM_001333927.1.p1, NM_104784.4.p1, NM_001333926.1.p1	XM_045129502.1.p1
OG0007890	NM_001334033.1.p1	XM_045125903.1.p1, XM_045125902.1.p1
OG0007891	NM_105547.3.p1, NM_001334380.1.p1	XM_045103291.1.p1, XM_045103292.1.p1
OG0007892	NM_001334562.1.p1	XM_045106881.1.p2
OG0007893	NM_106171.3.p1, NM_001334677.1.p1, NM_001334676.1.p1	XM_045129628.1.p1
OG0007894	NM_001334917.1.p1, NM_106623.5.p1	XM_045119490.1.p1
OG0007895	NM_001335071.1.p1, NM_126226.4.p1	XM_045091132.1.p1
OG0007896	NM_127166.4.p1, NM_001335463.1.p1	XM_045110120.1.p1
OG0007898	NM_127552.8.p1, NM_001335653.1.p1	XM_045124472.1.p1
OG0007899	NM_127600.3.p1, NM_001335681.1.p1	XM_045090199.1.p1
OG0007900	NM_128644.4.p1, NM_001336307.1.p1	XM_045100627.1.p1
OG0007901	NM_001336517.1.p1, NM_129003.5.p1, NM_202209.2.p1, NM_102738.3.p1	XM_045121150.1.p1
OG0007902	NM_001336567.1.p1, NM_129117.5.p1	XM_045121508.1.p1
OG0007904	NM_001336784.1.p1, NM_129521.5.p1	XM_045122735.1.p1
OG0007905	NM_001336857.1.p1, NM_129631.3.p1	XM_045126819.1.p1, XR_006632024.1.p1
OG0007906	NM_111097.6.p1, NM_001337398.1.p1	XM_045089973.1.p1, XM_045089972.1.p1
OG0007908	NM_124235.4.p1, NM_111611.4.p1, NM_001337701.1.p1	XM_045127415.1.p1
OG0007909	NM_001337796.1.p1	XM_045118890.1.p1
