Orthogroup	Arabidopsis_thaliana_rna_prot	Coffea_arabica_rna_prot
OG0007832	NM_115124.5.p1, NM_202690.2.p1, NM_001035771.1.p1	XM_027219067.1.p1
OG0007833	NM_001035867.3.p1	XM_027239526.1.p1, XM_027239528.1.p1, XM_027239527.1.p1
OG0007835	NM_102596.3.p1, NM_001036023.2.p1	XM_027249509.1.p1
OG0007836	NM_117419.3.p1, NM_001036547.2.p1	XM_027263753.1.p1, XM_027260890.1.p1
OG0007837	NM_001036637.2.p1, NM_118677.5.p1	XM_027248071.1.p1, XM_027254598.1.p1, XM_027254599.1.p1, XM_027248069.1.p1
OG0007838	NM_119051.3.p1, NM_001036667.3.p1	XM_027246762.1.p1, XM_027246757.1.p1
OG0007839	NM_001036794.2.p1	XM_027225092.1.p1
OG0007840	NM_001036804.1.p1, NM_121429.5.p1	XM_027246153.1.p1
OG0007841	NM_001036866.4.p1	XM_027252301.1.p1
OG0007842	NM_180838.2.p1, NM_124509.4.p1, NM_001036978.2.p1	XM_027248180.1.p1
OG0007843	NM_100071.3.p1, NM_179244.2.p1, NM_001083976.2.p1	XM_027252411.1.p1
OG0007844	NM_001084340.2.p1	XR_003458606.1.p1
OG0007845	NM_106556.2.p1, NM_001084375.1.p1	XM_027271576.1.p1, XM_027271574.1.p1, XR_003448474.1.p1
OG0007846	NM_001084396.1.p1, NM_201664.2.p1	XM_027242030.1.p1
OG0007847	NM_116973.7.p1, NM_001084891.1.p1	XM_027238423.1.p1, XM_027216004.1.p1
OG0007848	NM_001344422.1.p1, NM_118582.4.p1, NM_001084974.1.p1	XM_027236214.1.p1
OG0007849	NM_121040.4.p1, NM_001085093.2.p1	XM_027222797.1.p1
OG0007850	NM_001332085.1.p1, NM_001123808.2.p1, NM_101245.5.p1	XM_027244299.1.p1
OG0007851	NM_001123939.2.p1, NM_103186.5.p1, NM_001333114.1.p1, NM_001333115.1.p1	XM_027234786.1.p1
OG0007852	NM_102151.5.p1, NM_001124110.1.p1, NM_105771.4.p1	XM_027241342.1.p1
OG0007853	NM_001124911.1.p1, NM_128098.3.p1, NM_001337200.1.p1, NM_180125.3.p1, NM_102569.2.p1	XM_027259618.1.p1
OG0007854	NM_112597.4.p1, NM_001125176.1.p1	XM_027262324.1.p1
OG0007855	NM_001125240.1.p1, NM_001125239.1.p1	XR_003456841.1.p1, XM_027240261.1.p1
OG0007857	NM_001161319.1.p1, NM_125659.4.p1	XM_027268029.1.p1
OG0007858	NM_001198038.2.p1, NM_101054.3.p1	XM_027231031.1.p1, XM_027233187.1.p1
OG0007860	NM_001198059.2.p1, NM_202089.2.p1	XM_027239953.1.p1
OG0007861	NM_001333274.1.p1, NM_103644.3.p1, NM_001198233.1.p1	XM_027235083.1.p1
OG0007862	NM_106370.5.p1, NM_001198488.2.p1	XM_027212412.1.p1
OG0007863	NM_106578.3.p1, NM_001198507.1.p1	XM_027264812.1.p1, XM_027207405.1.p1
OG0007864	NM_001202641.1.p1, NM_201777.1.p1	XM_027256398.1.p1
OG0007865	NM_001336451.1.p1, NM_001202737.2.p1, NM_179877.1.p1	XM_027263061.1.p1
OG0007866	NM_001202808.1.p1, NM_129870.3.p1, NM_115761.3.p1	XM_027225554.1.p1
OG0007867	NM_001344048.1.p1, NM_001344049.1.p1, NM_001203485.1.p1	XM_027258615.1.p1, XM_027258613.1.p1
OG0007868	NM_001203666.1.p1, NM_125617.3.p1, NM_120800.4.p1	XM_027245244.1.p1, XM_027254635.1.p1
OG0007869	NM_001203717.2.p1, NM_001340262.1.p1	XM_027223951.1.p1
OG0007870	NM_129124.4.p1, NM_117778.8.p1, NM_001203815.1.p1	XM_027224401.1.p1
OG0007871	NM_118412.4.p1, NM_001203874.1.p1	XM_027227335.1.p1, XM_027225047.1.p1, XM_027225046.1.p1
OG0007872	NM_118493.4.p1, NM_001203885.1.p1	XM_027224522.1.p1, XM_027228297.1.p1
OG0007873	NM_001203924.1.p1, NM_118859.3.p1	XM_027207435.1.p1
OG0007875	NM_120122.2.p1, NM_001204041.1.p1	XM_027221535.1.p1, XM_027217967.1.p1
OG0007876	NM_100352.3.p1, NM_001331495.1.p1	XM_027263192.1.p1, XM_027263191.1.p1
OG0007877	NM_001331830.1.p1, NM_100804.4.p1	XM_027252189.1.p1, XM_027252190.1.p1
OG0007878	NM_100846.6.p1, NM_001331850.1.p1	XM_027235907.1.p1
OG0007879	NM_104973.4.p1, NM_001332037.1.p1, NM_101118.4.p1	XM_027225281.1.p1
OG0007880	NM_101627.2.p1, NM_001332316.1.p1	XM_027269368.1.p1
OG0007881	NM_101701.4.p1, NM_001332348.1.p1	XM_027265890.1.p1
OG0007882	NM_001332488.1.p1, NM_101971.3.p1, NM_106336.4.p1	XM_027234087.1.p1
OG0007883	NM_001332535.1.p1, NM_001332536.1.p1	XM_027237408.1.p1
OG0007884	NM_001332684.1.p1	XM_027239562.1.p1, XM_027239766.1.p1
OG0007885	NM_102907.2.p1, NM_001332972.1.p1, NM_001332975.1.p1, NM_118057.3.p1	XM_027224598.1.p1
OG0007886	NM_103704.6.p1, NM_001333295.1.p1	XM_027265009.1.p1
OG0007887	NM_001333336.1.p1, NM_103739.5.p1, NM_112658.4.p1	XR_003460817.1.p1
OG0007888	NM_147961.4.p1, NM_001333674.1.p1	XM_027262772.1.p1, XM_027264206.1.p1
OG0007889	NM_001333927.1.p1, NM_104784.4.p1, NM_001333926.1.p1	XM_027249429.1.p1
OG0007890	NM_001334033.1.p1	XM_027251618.1.p1, XM_027251617.1.p1
OG0007891	NM_105547.3.p1, NM_001334380.1.p1	XM_027241497.1.p1
OG0007892	NM_001334562.1.p1	XM_027270536.1.p1
OG0007893	NM_106171.3.p1, NM_001334677.1.p1, NM_001334676.1.p1	XM_027237436.1.p1, XM_027237435.1.p1
OG0007894	NM_001334917.1.p1, NM_106623.5.p1	XM_027247829.1.p1, XM_027247827.1.p1, XM_027247825.1.p1, XM_027247831.1.p1, XM_027254342.1.p1
OG0007895	NM_001335071.1.p1, NM_126226.4.p1	XM_027242163.1.p1
OG0007896	NM_127166.4.p1, NM_001335463.1.p1	XM_027256548.1.p1, XM_027246952.1.p1
OG0007897	NM_001335591.1.p1	XM_027219827.1.p1
OG0007898	NM_127552.8.p1, NM_001335653.1.p1	XM_027219749.1.p1
OG0007899	NM_127600.3.p1, NM_001335681.1.p1	XM_027260762.1.p1, XM_027260763.1.p1
OG0007900	NM_128644.4.p1, NM_001336307.1.p1	XM_027207876.1.p1
OG0007901	NM_001336517.1.p1, NM_129003.5.p1, NM_202209.2.p1, NM_102738.3.p1	XM_027232090.1.p1
OG0007902	NM_001336567.1.p1, NM_129117.5.p1	XM_027255933.1.p1
OG0007903	NM_120321.2.p1, NM_001336668.1.p1	XM_027230612.1.p1
OG0007904	NM_001336784.1.p1, NM_129521.5.p1	XM_027248650.1.p1
OG0007905	NM_001336857.1.p1, NM_129631.3.p1	XM_027254798.1.p1, XM_027254799.1.p1, XM_027254797.1.p1
OG0007906	NM_111097.6.p1, NM_001337398.1.p1	XM_027219034.1.p1, XM_027223041.1.p1
OG0007908	NM_124235.4.p1, NM_111611.4.p1, NM_001337701.1.p1	XM_027258414.1.p1
OG0007909	NM_001337796.1.p1	XM_027237539.1.p1
OG0007910	NM_001337916.1.p1, NM_111957.5.p1	XM_027219024.1.p1
OG0007911	NM_112275.3.p1, NM_001338112.1.p1, NM_121274.4.p1, NM_001343236.1.p1	XM_027223525.1.p1, XM_027223517.1.p1, XM_027223509.1.p1, XM_027246901.1.p1
OG0007912	NM_001338290.1.p1, NM_112624.4.p1	XM_027265130.1.p1, XM_027265127.1.p1
OG0007913	NM_001338338.1.p1, NM_112735.4.p1	XM_027265816.1.p1, XM_027270625.1.p1, XM_027270627.1.p1
OG0007914	NM_113854.5.p1, NM_001339020.1.p1, NM_001339017.1.p1	XM_027218968.1.p1
OG0007915	NM_122134.4.p1, NM_001343723.1.p1, NM_001339126.1.p1, NM_114297.3.p1, NM_128289.2.p1	XM_027249861.1.p1, XM_027227380.1.p1
OG0007916	NM_001339466.1.p1, NM_001339468.1.p1, NM_114898.4.p1, NM_001339467.1.p1	XM_027222857.1.p1
OG0007917	NM_001340299.1.p1	XM_027259596.1.p1
OG0007918	NM_001340371.1.p1	XM_027262168.1.p1, XM_027243165.1.p1
OG0007919	NM_001340728.1.p1, NM_001340726.1.p1, NM_001340727.1.p1	XM_027224692.1.p1, XM_027224695.1.p1, XM_027224694.1.p1
OG0007920	NM_001341067.1.p1, NM_117655.4.p1, NM_113041.4.p1	XM_027260262.1.p1
OG0007921	NM_001341233.1.p1, NM_001341234.1.p1	XM_027229311.1.p1
OG0007922	NM_001341455.1.p1, NM_118190.3.p1	XM_027271408.1.p1
OG0007923	NM_001341633.1.p1, NM_118517.6.p1	XM_027227112.1.p1
OG0007924	NM_118770.3.p1, NM_202893.2.p1, NM_001341796.1.p1	XM_027216355.1.p1, XM_027267814.1.p1
OG0007925	NM_001341847.1.p1, NM_118868.5.p1	XM_027206387.1.p1
OG0007926	NM_001341965.1.p1, NM_119078.5.p1	XM_027217264.1.p1, XR_003449905.1.p1
OG0007927	NM_119121.3.p1, NM_001341978.1.p1	XM_027209425.1.p1
OG0007928	NM_001342005.1.p1, NM_179142.1.p1, NM_119177.5.p1	XM_027215213.1.p1, XM_027215210.1.p1, XM_027215211.1.p1
OG0007929	NM_001342213.1.p1, NM_001342212.1.p1	XM_027238223.1.p1
OG0007930	NM_001342274.1.p1, NM_001342272.1.p1, NM_001342273.1.p1, NM_001342276.1.p1, NM_001342270.1.p1	XM_027236774.1.p1, XR_003453806.1.p1
OG0007931	NM_001342825.1.p1, NM_001342824.1.p1	XM_027248500.1.p1
OG0007932	NM_120935.4.p1, NM_001343015.1.p1, NM_147908.4.p1	XM_027218763.1.p1
OG0007933	NM_001343044.1.p1	XR_003452827.1.p1, XM_027233171.1.p1, XR_003452830.1.p1, XR_003452828.1.p1, XR_003452829.1.p1, XM_027233176.1.p1, XM_027233175.1.p1, XM_027233172.1.p1, XM_027233174.1.p1, XM_027231190.1.p1, XM_027233721.1.p1
OG0007934	NM_001343501.1.p1, NM_001343500.1.p1	XM_027220381.1.p1, XM_027223629.1.p1, XM_027220383.1.p1
OG0007935	NM_121991.4.p1, NM_001343626.1.p1	XM_027233993.1.p1
OG0007936	NM_147883.6.p1, NM_001343715.1.p1	XM_027249211.1.p1, XM_027226660.1.p1
OG0007937	NM_122460.4.p1, NM_001343930.1.p1	XM_027228420.1.p1
OG0007938	NM_122464.2.p1, NM_001343936.1.p1	XM_027224082.1.p1
OG0007939	NM_001344026.1.p1	XM_027251916.1.p1
OG0007940	NM_001344351.1.p1, NM_123437.4.p1, NM_113648.3.p1	XM_027245923.1.p1, XM_027206911.1.p1
OG0007941	NM_125005.4.p1, NM_001345187.1.p1	XM_027205251.1.p1
OG0007942	NM_001345286.1.p1	XM_027214630.1.p1, XM_027211576.1.p1
OG0007943	NM_001345385.1.p1, NM_125396.3.p1, NM_001345384.1.p1	XM_027230863.1.p1, XM_027214779.1.p1, XM_027230859.1.p1
OG0007944	NM_125408.3.p1, NM_001345400.1.p1	XM_027231030.1.p1
OG0007945	NM_100362.2.p1	XM_027263228.1.p1, XM_027263232.1.p1, XM_027263229.1.p1, XM_027263233.1.p1, XM_027263231.1.p1, XM_027261023.1.p1, XM_027261022.1.p1, XM_027261016.1.p1, XM_027261017.1.p1, XM_027261018.1.p1, XM_027261019.1.p1, XM_027261021.1.p1
OG0007946	NM_100545.7.p1	XM_027206922.1.p1
OG0007947	NM_100907.2.p1	XM_027224813.1.p1, XM_027228130.1.p1
OG0007948	NM_100933.3.p1	XM_027226707.1.p1, XM_027226703.1.p1
OG0007949	NM_101063.3.p1	XM_027232306.1.p1
OG0007950	NM_101164.5.p1	XR_003456891.1.p1
OG0007951	NM_101253.3.p1	XM_027240665.1.p1
OG0007952	NM_101382.3.p1, NM_202104.2.p1, NM_202103.1.p1	XM_027241667.1.p1, XM_027244643.1.p1
OG0007953	NM_101456.4.p1	XM_027229404.1.p1
OG0007954	NM_106498.4.p1, NM_101565.6.p1	XM_027208866.1.p1, XR_003447929.1.p1
OG0007956	NM_105921.3.p1, NM_101604.3.p1	XR_003460887.1.p1, XM_027270686.1.p1
OG0007957	NM_101702.4.p1	XM_027215306.1.p1
OG0007958	NM_106132.4.p1, NM_101746.5.p1	XM_027270505.1.p1
OG0007959	NM_101946.4.p1, NM_106304.3.p1	XM_027271663.1.p1
OG0007960	NM_101960.3.p1	XM_027235642.1.p1, XM_027235643.1.p1
OG0007961	NM_105774.4.p1, NM_102147.3.p1	XM_027239543.1.p1
OG0007962	NM_102351.3.p1, NM_105515.3.p1	XM_027242280.1.p1
OG0007963	NM_102409.3.p1	XM_027241617.1.p1, XM_027241618.1.p1, XM_027244581.1.p1, XR_003454868.1.p1
OG0007964	NM_102516.4.p1	XM_027267759.1.p1, XM_027267755.1.p1, XM_027267757.1.p1
OG0007965	NM_102605.3.p1	XM_027249536.1.p1
OG0007966	NM_102621.4.p1	XM_027246587.1.p1, XM_027208809.1.p1, XM_027246589.1.p1
OG0007967	NM_102660.3.p1	XM_027249728.1.p1, XM_027256136.1.p1
OG0007968	NM_102772.3.p1	XM_027253969.1.p1, XM_027233748.1.p1, XM_027231764.1.p1
OG0007968	NM_120964.2.p1	XM_027269702.1.p1
OG0007969	NM_102774.2.p1	XM_027231538.1.p1
OG0007970	NM_102804.2.p1, NM_129035.4.p1	XM_027247524.1.p1
OG0007971	NM_102824.3.p1	XM_027233816.1.p1, XM_027207201.1.p1
OG0007972	NM_102982.4.p1, NM_129089.2.p1	XM_027223881.1.p1
OG0007973	NM_103524.3.p1	XR_003453191.1.p1, XM_027238102.1.p1, XM_027235243.1.p1
OG0007974	NM_103574.4.p1	XR_003453505.1.p1, XM_027236990.1.p1, XR_003453503.1.p1, XM_027234210.1.p1
OG0007975	NM_103748.3.p1, NM_202261.2.p1	XM_027263110.1.p1, XM_027260886.1.p1
OG0007976	NM_103788.3.p1	XM_027207708.1.p1, XM_027270823.1.p1
OG0007977	NM_103789.2.p1	XM_027266663.1.p1, XM_027270855.1.p1
OG0007978	NM_103845.3.p1	XM_027222087.1.p1, XM_027222086.1.p1, XM_027250093.1.p1, XM_027250094.1.p1
OG0007979	NM_112825.4.p1, NM_103865.4.p1	XM_027250168.1.p1
OG0007980	NM_104260.5.p1, NM_112289.3.p1	XM_027269789.1.p1, XM_027266793.1.p1, XM_027266792.1.p1
OG0007981	NM_104587.1.p1, NM_104588.4.p1	XM_027257418.1.p1
OG0007982	NM_104841.3.p1	XM_027228261.1.p1
OG0007983	NM_104851.6.p1	XM_027255811.1.p1
OG0007984	NM_105060.2.p1	XM_027226283.1.p1
OG0007985	NM_105139.5.p1	XM_027229238.1.p1, XM_027223866.1.p1
OG0007986	NM_105176.3.p1	XM_027254030.1.p1
OG0007987	NM_105508.4.p1	XM_027244560.1.p1, XM_027241700.1.p1
OG0007988	NM_105777.4.p1, NM_123165.3.p1	XM_027218522.1.p1
OG0007989	NM_105907.4.p1	XM_027271108.1.p1, XM_027270236.1.p1
OG0007990	NM_106122.3.p1	XM_027267893.1.p1
OG0007991	NM_106477.7.p1	XM_027236383.1.p1
OG0007992	NM_106639.5.p1	XM_027270583.1.p1
OG0007993	NM_111089.4.p1	XM_027221635.1.p1, XM_027221634.1.p1, XM_027217529.1.p1
OG0007994	NM_121699.5.p1, NM_111176.3.p1	XM_027247651.1.p1
OG0007995	NM_111337.5.p1	XR_003457801.1.p1, XM_027251563.1.p1, XM_027251562.1.p1, XM_027258537.1.p1
OG0007996	NM_112537.4.p1	XM_027260208.1.p1
OG0007997	NM_111595.2.p1	XM_027237546.1.p1, XM_027237540.1.p1
OG0007998	NM_111744.5.p1	XM_027216774.1.p1
OG0007999	NM_111857.5.p1	XM_027256761.1.p1
OG0008000	NM_111872.6.p1	XM_027255701.1.p1
OG0008001	NM_111976.4.p1, NM_120691.2.p1	XM_027248597.1.p1
OG0008002	NM_111978.3.p1, NM_120693.4.p1	XM_027220706.1.p1
OG0008003	NM_112420.5.p1	XM_027207555.1.p1, XM_027207554.1.p1, XM_027271453.1.p1, XM_027271454.1.p1
OG0008004	NM_112576.3.p1	XM_027260106.1.p1
OG0008005	NM_112699.3.p1	XM_027268837.1.p1, XM_027268839.1.p1
OG0008006	NM_112711.4.p1	XM_027268106.1.p1
OG0008007	NM_112765.4.p1	XM_027221481.1.p1
OG0008008	NM_112810.2.p1	XM_027253043.1.p1
OG0008009	NM_112934.4.p1	XM_027225198.1.p1
OG0008010	NM_113195.4.p1	XM_027260581.1.p1
OG0008011	NM_117489.3.p1, NM_113278.3.p1	XM_027224421.1.p1
OG0008012	NM_113316.2.p1	XM_027263216.1.p1, XM_027263215.1.p1, XM_027263218.1.p1, XM_027263219.1.p1
OG0008013	NM_113385.3.p1	XM_027269259.1.p1
OG0008015	NM_113614.3.p1	XM_027258346.1.p1, XM_027261984.1.p1, XM_027251393.1.p1
OG0008016	NM_113763.3.p1	XM_027216388.1.p1
OG0008017	NM_113856.4.p1	XM_027219725.1.p1, XM_027227081.1.p1
OG0008018	NM_114336.4.p1	XM_027228191.1.p1
OG0008019	NM_114541.3.p1	XM_027232989.1.p1
OG0008020	NM_114714.3.p1	XM_027214745.1.p1
OG0008021	NM_114720.4.p1	XM_027267678.1.p1
OG0008022	NM_114741.5.p1	XM_027270934.1.p1, XM_027270935.1.p1
OG0008023	NM_202676.1.p1, NM_114785.4.p1	XM_027254261.1.p1, XM_027254260.1.p1
OG0008024	NM_115160.3.p1	XM_027213564.1.p1
OG0008025	NM_115173.3.p1	XM_027215321.1.p1, XM_027215322.1.p1
OG0008026	NM_115218.4.p1	XM_027215477.1.p1
OG0008027	NM_115255.4.p1	XM_027212672.1.p1
OG0008028	NM_115336.5.p1	XM_027240695.1.p1, XM_027240680.1.p1, XR_003453832.1.p1
OG0008029	NM_115559.4.p1	XM_027210249.1.p1, XR_003448822.1.p1
OG0008030	NM_115574.3.p1	XM_027250995.1.p1
OG0008031	NM_115711.4.p1	XM_027213634.1.p1
OG0008032	NM_115765.4.p1	XM_027271894.1.p1
OG0008033	NM_115930.3.p1	XM_027257196.1.p1
OG0008034	NM_120644.3.p1, NM_116030.2.p1	XM_027267198.1.p1
OG0008035	NM_116112.3.p1	XM_027270968.1.p1
OG0008037	NM_116490.4.p1	XM_027242512.1.p1
OG0008038	NM_116754.4.p1	XM_027249321.1.p1
OG0008039	NM_116963.3.p1	XM_027235124.1.p1, XM_027237551.1.p1
OG0008040	NM_117147.4.p1	XM_027225169.1.p1
OG0008041	NM_117472.4.p1	XM_027263318.1.p1
OG0008042	NM_117827.3.p1	XM_027233224.1.p1
OG0008043	NM_117999.5.p1	XM_027249811.1.p1
OG0008044	NM_118255.1.p1	XM_027249282.1.p1, XM_027255817.1.p1
OG0008046	NM_119096.3.p1, NM_127525.5.p1	XM_027216481.1.p1
OG0008047	NM_119142.4.p1	XM_027216952.1.p1
OG0008048	NM_119206.5.p1	XM_027213757.1.p1
OG0008049	NM_119218.6.p1	XM_027213062.1.p1
OG0008050	NM_119240.4.p1	XM_027251517.1.p1
OG0008051	NM_119592.5.p1	XM_027250238.1.p1, XM_027250239.1.p1
OG0008052	NM_119600.4.p1	XM_027250035.1.p1
OG0008053	NM_119708.3.p1	XM_027233538.1.p1, XM_027231270.1.p1
OG0008054	NM_119721.4.p1	XM_027219587.1.p1, XM_027219586.1.p1, XM_027219585.1.p1
OG0008055	NM_119724.2.p1	XM_027220845.1.p1, XR_003449985.1.p1
OG0008056	NM_119729.4.p1, NM_127318.5.p1	XM_027220580.1.p1
OG0008057	NM_119882.3.p1	XM_027258984.1.p1, XM_027258985.1.p1, XM_027252092.1.p1, XM_027252089.1.p1, XM_027252091.1.p1
OG0008058	NM_119963.4.p1	XM_027218158.1.p1, XR_003450853.1.p1, XR_003450181.1.p1, XM_027218156.1.p1
OG0008059	NM_120089.5.p1	XM_027250858.1.p1
OG0008061	NM_120142.3.p1	XM_027222281.1.p1
OG0008062	NM_120236.1.p1	XM_027210713.1.p1, XM_027210716.1.p1, XM_027210714.1.p1
OG0008063	NM_120270.4.p1	XM_027213591.1.p1, XM_027212719.1.p1
OG0008064	NM_120468.3.p1	XM_027268530.1.p1, XM_027214881.1.p1, XM_027210641.1.p1
OG0008065	NM_120473.3.p1	XM_027216854.1.p1, XM_027210000.1.p1
OG0008066	NM_120549.3.p1	XM_027248987.1.p1, XM_027255553.1.p1
OG0008067	NM_120572.3.p1	XM_027258503.1.p1, XR_003458820.1.p1, XM_027258504.1.p1
OG0008068	NM_122222.2.p1, NM_120907.5.p1	XM_027243725.1.p1
OG0008069	NM_120971.3.p1, NM_125803.4.p1	XM_027218458.1.p1, XM_027218457.1.p1
OG0008070	NM_121075.3.p1	XM_027218291.1.p1
OG0008071	NM_121258.4.p1	XM_027212855.1.p1, XM_027212856.1.p1, XM_027215023.1.p1, XM_027215022.1.p1, XM_027211163.1.p1, XM_027211165.1.p1
OG0008073	NM_121572.5.p1	XM_027219176.1.p1
OG0008074	NM_121661.5.p1	XM_027223606.1.p1, XM_027223605.1.p1, XM_027217704.1.p1, XM_027220773.1.p1
OG0008075	NM_121920.4.p1	XR_003460054.1.p1, XM_027265451.1.p1
OG0008076	NM_121935.4.p1	XM_027265462.1.p1, XM_027265461.1.p1
OG0008077	NM_121940.5.p1	XM_027218099.1.p1
OG0008078	NM_121992.3.p1	XM_027217907.1.p1
OG0008079	NM_122003.3.p1	XM_027217160.1.p1, XM_027212929.1.p1
OG0008080	NM_122014.4.p1	XM_027211220.1.p1, XM_027211221.1.p1
OG0008081	NM_128223.3.p1	XM_027212975.1.p1
OG0008082	NM_122097.3.p1	XM_027226802.1.p1
OG0008083	NM_122115.4.p1	XM_027225837.1.p1, XM_027248416.1.p1
OG0008085	NM_123064.3.p1	XM_027219610.1.p1, XM_027219611.1.p1, XM_027221644.1.p1
OG0008086	NM_123347.2.p1	XM_027219684.1.p1, XM_027219685.1.p1, XM_027219687.1.p1
OG0008087	NM_123578.4.p1	XR_003453313.1.p1, XM_027238866.1.p1, XM_027238868.1.p1, XM_027238869.1.p1, XM_027238870.1.p1
OG0008088	NM_123580.2.p1	XM_027233946.1.p1, XM_027252423.1.p1, XM_027252422.1.p1
OG0008089	NM_123663.3.p1	XM_027235616.1.p1
OG0008090	NM_124073.5.p1	XM_027224500.1.p1
OG0008091	NM_124083.3.p1	XM_027225894.1.p1
OG0008092	NM_124402.4.p1	XM_027265977.1.p1, XM_027268873.1.p1, XM_027267670.1.p1
OG0008093	NM_124478.3.p1	XM_027270952.1.p1, XM_027270954.1.p1, XR_003460445.1.p1, XR_003460444.1.p1
OG0008094	NM_124666.3.p1	XM_027254378.1.p1, XM_027254379.1.p1, XM_027247861.1.p1, XM_027247859.1.p1, XM_027247860.1.p1
OG0008095	NM_124725.5.p1	XM_027254300.1.p1
OG0008096	NM_124806.2.p1	XM_027217059.1.p1, XM_027217058.1.p1
OG0008097	NM_124910.6.p1	XM_027208162.1.p1
OG0008098	NM_125029.3.p1	XM_027216542.1.p1, XM_027216552.1.p1
OG0008099	NM_125209.3.p1	XM_027257113.1.p1, XM_027235953.1.p1
OG0008100	NM_125660.4.p1	XM_027247886.1.p1, XM_027247885.1.p1, XM_027254402.1.p1, XM_027254399.1.p1
OG0008101	NM_125747.4.p1	XM_027220564.1.p1
OG0008102	NM_180927.4.p1, NM_125782.3.p1	XR_003451102.1.p1, XM_027218056.1.p1, XM_027223403.1.p1
OG0008103	NM_125950.3.p1	XM_027222446.1.p1
OG0008104	NM_126081.4.p1	XM_027218870.1.p1, XM_027222577.1.p1, XM_027222575.1.p1, XM_027222576.1.p1
OG0008105	NM_126191.3.p1	XM_027239752.1.p1
OG0008106	NM_126270.2.p1	XM_027212882.1.p1, XM_027241900.1.p1
OG0008107	NM_126315.5.p1	XM_027240030.1.p1
OG0008108	NM_201752.1.p1, NM_127321.3.p1	XM_027218209.1.p1
OG0008109	NM_127406.3.p1	XM_027236798.1.p1, XM_027218413.1.p1
OG0008110	NM_127522.2.p1, NM_179660.2.p1	XM_027261408.1.p1
OG0008111	NM_202923.2.p1, NM_128011.5.p1	XM_027229101.1.p1, XM_027227465.1.p1
OG0008112	NM_128065.5.p1	XM_027245813.1.p1
OG0008113	NM_128201.5.p1	XM_027209771.1.p1
OG0008114	NM_128308.6.p1	XM_027227708.1.p1
OG0008115	NM_128420.4.p1	XM_027249043.1.p1, XM_027249042.1.p1, XM_027249047.1.p1, XM_027249046.1.p1, XM_027255593.1.p1, XM_027249040.1.p1, XM_027249041.1.p1
OG0008116	NM_128518.2.p1	XM_027215034.1.p1, XM_027254952.1.p1, XR_003458312.1.p1
OG0008117	NM_128585.2.p1	XM_027235219.1.p1
OG0008118	NM_128624.2.p1	XM_027246658.1.p1, XM_027263951.1.p1
OG0008119	NM_128977.4.p1, NM_201867.2.p1	XM_027220626.1.p1
OG0008120	NM_129106.3.p1	XM_027226067.1.p1
OG0008121	NM_129305.3.p1	XM_027215613.1.p1, XM_027215620.1.p1
OG0008122	NM_129523.4.p1	XM_027248644.1.p1, XM_027248636.1.p1, XM_027248637.1.p1, XM_027248638.1.p1, XM_027248640.1.p1, XM_027248643.1.p1
OG0008123	NM_129667.5.p1, NM_201925.2.p1	XM_027234674.1.p1, XM_027238990.1.p1
OG0008124	NM_129806.4.p1	XR_003458898.1.p1, XM_027239493.1.p1, XM_027258899.1.p1, XM_027258909.1.p1, XM_027258896.1.p1
OG0008125	NM_129869.5.p1	XM_027261316.1.p1, XM_027261317.1.p1, XM_027261318.1.p1, XM_027261319.1.p1
OG0008126	NM_129887.3.p1	XM_027227406.1.p1, XM_027269500.1.p1
OG0008127	NM_130015.4.p1	XM_027250944.1.p1, XM_027257698.1.p1
OG0008128	NM_202745.4.p1, NM_130174.5.p1	XM_027257001.1.p1, XM_027250437.1.p1
OG0008129	NM_147852.4.p1	XM_027241791.1.p1, XM_027241135.1.p1, XM_027241133.1.p1
OG0008130	NM_147893.4.p1	XM_027226979.1.p1, XR_003451784.1.p1, XM_027249535.1.p1, XM_027226980.1.p1
OG0008132	NM_179124.2.p1	XM_027208431.1.p1, XM_027271583.1.p1
OG0008133	NM_179607.3.p1	XR_003459283.1.p1
OG0008134	NM_179731.3.p1	XM_027227529.1.p1
OG0008135	NM_179921.2.p1	XM_027232542.1.p1, XM_027231803.1.p1
OG0008136	NM_180051.3.p1	XM_027268127.1.p1, XM_027268128.1.p1
OG0008137	NM_180215.4.p1	XM_027214994.1.p1
OG0008138	NM_180954.3.p1	XM_027222588.1.p1
OG0008139	NM_201724.3.p1	XM_027250325.1.p1
OG0008140	NM_202708.2.p1	XM_027241962.1.p1, XM_027241961.1.p1, XM_027244948.1.p1, XM_027244947.1.p1, XM_027224275.1.p1
OG0008141	NM_202731.3.p1	XM_027261615.1.p1, XM_027261616.1.p1, XM_027263708.1.p1
OG0008142	NM_202814.2.p1	XR_003459688.1.p1, XM_027263307.1.p1, XM_027261080.1.p1, XM_027261083.1.p1, XM_027263309.1.p1
OG0008143	NM_203075.7.p1	XM_027265137.1.p1, XM_027260011.1.p1
OG0008144	NR_140638.1.p1	XM_027209545.1.p1
OG0008185	NM_121609.5.p1, NM_001035546.1.p1, NM_111118.5.p1, NM_001337414.1.p1	XM_027219624.1.p1
OG0008186	NM_001035681.2.p1	XM_027260958.1.p1
OG0008187	NM_001035714.2.p1, NM_113797.4.p1	XM_027217659.1.p1, XM_027217657.1.p1
OG0008188	NM_001036042.3.p1, NM_102805.3.p1	XM_027208524.1.p1, XM_027229981.1.p1
