Orthogroup	Arabidopsis_thaliana_rna_prot	Glycine_max_rna_prot
OG0009400	NM_101809.4.p1, NM_001198109.2.p1	XM_003545228.5.p1, XM_003550335.5.p1
OG0009401	NM_102798.2.p1, NM_001198188.2.p1	XM_003538952.5.p1
OG0009402	NM_127624.2.p1, NM_001335706.1.p1, NM_001202634.2.p1, NM_001335707.1.p1	XM_006595389.4.p1, XM_006582727.4.p1, XM_006592349.4.p1, XM_014764663.2.p1, XM_014777100.1.p1
OG0009403	NM_001336165.1.p1, NM_179790.3.p1, NM_001202695.2.p1	XM_003543414.5.p1, XM_003540132.5.p1, NM_001371022.1.p1
OG0009404	NM_001202739.2.p1	XM_003555265.5.p1, NM_001253311.1.p1
OG0009405	NM_001202759.1.p1, NM_129178.3.p1	XM_003554399.5.p1, XM_003521426.5.p1
OG0009406	NM_001202866.1.p1, NM_111160.5.p1, NM_121672.5.p1	XM_006572738.4.p1, XM_003537647.5.p1
OG0009407	NM_001202899.1.p1, NM_001202900.1.p1, NM_001337662.1.p1	XM_006595678.4.p1, XM_003518475.5.p1
OG0009408	NM_001338124.1.p1, NM_112317.3.p1, NM_001202964.2.p1	XM_006594633.4.p1
OG0009409	NM_112804.5.p1, NM_001203003.1.p1, NM_180631.2.p1, NM_001333397.1.p1	XM_003517558.5.p1
OG0009410	NM_001203071.2.p1	NM_001253226.2.p1, XM_003531799.5.p1
OG0009411	NM_001203103.1.p1, NM_148861.4.p1	XR_001388655.3.p1, XM_006578611.4.p1, XR_414051.4.p1, XM_003528078.5.p1, XM_006578610.4.p1
OG0009412	NM_001339850.1.p1, NM_001203188.1.p1	XM_006576737.4.p1, XM_006588895.4.p1
OG0009413	NM_121360.4.p1, NM_001203375.1.p1	XM_006574386.4.p1, NM_001254598.2.p1, NM_001254342.1.p1
OG0009414	NM_001203430.1.p1, NM_147889.6.p1	XM_026124719.2.p1, XM_003543363.5.p1
OG0009415	NM_001203644.1.p1, NM_125397.3.p1	XM_003539054.5.p1
OG0009416	NM_125621.4.p1, NM_001203667.2.p1	XM_041005369.1.p1, XM_003533655.5.p1, XM_003547369.5.p1
OG0009417	NM_001331258.1.p1, NM_001331257.1.p1, NM_001331256.1.p1, NM_001331259.1.p1	XM_003553746.5.p1, XM_003520831.5.p1
OG0009418	NM_001331364.1.p1, NM_100172.3.p1	XM_003554467.5.p1, XM_003521509.4.p1
OG0009419	NM_001331443.1.p1, NM_001331444.1.p1, NM_001331445.1.p1, NM_100271.4.p1, NM_123778.3.p1	XM_003542378.5.p1
OG0009420	NM_001331456.1.p1	XM_003520560.5.p1, XM_006603577.4.p1
OG0009421	NM_001331515.1.p1	XM_003542271.5.p1, XM_006593825.4.p1
OG0009422	NM_001336217.1.p1, NM_001336215.1.p1, NM_001336216.1.p1, NM_001336214.1.p1, NM_001331691.1.p1	XM_041012082.1.p1
OG0009423	NM_001331744.1.p1, NM_101509.4.p1	XM_003546622.5.p1, XM_003531418.5.p1
OG0009424	NM_001331947.1.p1, NM_100975.3.p1	XM_014779097.2.p1
OG0009425	NM_001332159.1.p1, NM_101398.5.p1	XM_006583055.4.p1, XM_041018316.1.p1
OG0009426	NM_001332209.1.p1, NM_001332210.1.p1, NM_101475.3.p1	XM_003543664.5.p1
OG0009427	NM_001332770.1.p1	XM_006578192.4.p1, XM_014776177.2.p1, XM_014776176.2.p1
OG0009428	NM_102645.4.p1, NM_179395.2.p1, NM_001332831.1.p1	NM_001248862.2.p1
OG0009429	NM_103627.5.p1, NM_001333270.1.p1	XM_003523786.4.p1, XM_006581147.4.p1, XM_026128158.2.p1
OG0009430	NM_105143.3.p1, NM_001334173.1.p1	XM_003542106.5.p1, XM_041007891.1.p1
OG0009432	NM_001334716.1.p1, NM_106266.2.p1, NM_129991.3.p1	NM_001255847.2.p1
OG0009433	NM_126504.4.p1, NM_001335246.1.p1, NM_001335247.1.p1	XM_006605590.4.p1
OG0009435	NM_001335679.1.p1, NM_127598.3.p1	XM_014773838.3.p1, NM_001255743.2.p1
OG0009436	NM_001335705.1.p1, NM_179673.3.p1	XM_003550042.5.p1
OG0009437	NM_001336098.1.p1, NM_128264.4.p1	XM_006595742.4.p1, XM_014767289.3.p1, XM_014767288.3.p1, XM_041009230.1.p1, XM_006575541.4.p1
OG0009438	NM_128275.5.p1, NM_001336108.1.p1	XM_003545492.5.p1
OG0009439	NM_001336370.1.p1, NM_001336371.1.p1, NM_128774.4.p1	NM_001249359.1.p1, NM_001248940.1.p1
OG0009440	NM_001336400.1.p1, NM_001336401.1.p1	XM_006592745.3.p1, XM_003527456.5.p1
OG0009441	NM_001336462.1.p1, NM_001336463.1.p1	XM_006594162.4.p1, XR_417607.4.p1
OG0009442	NM_001336556.1.p1, NM_179915.2.p1, NM_102959.5.p1	NM_001250389.2.p1, NM_001250885.2.p1
OG0009443	NM_129236.4.p1, NM_001336609.1.p1	XR_001386544.3.p1, XM_006604531.4.p1
OG0009444	NM_129540.5.p1, NM_001336798.1.p1	XM_003538938.4.p1, XM_003516609.5.p1
OG0009445	NM_001336818.1.p1, NM_129561.4.p1	XM_003541543.5.p1, XM_006598046.4.p1
OG0009446	NM_001337274.1.p1, NM_001337275.1.p1, NM_130343.4.p1	XM_003554468.5.p1, XM_003521511.5.p1
OG0009447	NM_001337500.1.p1, NM_111273.6.p1, NM_001337498.1.p1, NM_001337499.1.p1	XM_003552646.5.p1
OG0009448	NM_001337643.1.p1, NM_001337642.1.p1, NM_111500.3.p1, NM_001343577.1.p1	XM_006597501.4.p1, XM_003541593.5.p1
OG0009449	NM_111831.5.p1, NM_001337852.1.p1, NM_111832.3.p1	XM_041013697.1.p1, NM_001250808.1.p1
OG0009450	NM_111885.4.p1, NM_001337881.1.p1, NM_120523.4.p1	XM_003557052.5.p1, XM_003556254.5.p1
OG0009451	NM_001338074.1.p1, NM_112227.1.p1	XM_003518014.5.p1
OG0009453	NM_113439.3.p1, NM_001338745.1.p1	XM_003532193.5.p1
OG0009454	NM_001338929.1.p1, NM_001338930.1.p1	XM_006573158.3.p1
OG0009455	NM_001339073.1.p1	XM_014771209.3.p1, XM_003553038.5.p1, XM_003532077.5.p1
OG0009456	NM_114254.3.p1, NM_001339113.1.p1	XM_003527709.5.p1, XM_041016280.1.p1
OG0009457	NM_001339294.1.p1, NM_001339293.1.p1, NM_001339292.1.p1	XM_003544822.5.p1, XM_014767128.3.p1, XM_003519194.5.p1
OG0009458	NM_115341.3.p1, NM_001339701.1.p1	XM_003556196.5.p1
OG0009459	NM_001339734.1.p1, NM_001339733.1.p1, NM_115409.3.p1	NM_001255119.2.p1, NM_001248741.1.p1
OG0009460	NM_001340294.1.p1, NM_180192.2.p1	XM_006577283.4.p1, XM_003553739.5.p1
OG0009461	NM_100159.3.p1, NM_116462.4.p1, NM_001340370.1.p1	XM_003521528.5.p1, XM_003536830.5.p1, NM_001353415.1.p1
OG0009462	NM_001340386.1.p1, NM_001340387.1.p1	XM_003551999.5.p1, XM_003527145.5.p1, XM_006582041.4.p1, XM_014774678.3.p1, XM_003527144.5.p1
OG0009463	NM_001340607.1.p1, NM_116970.3.p1, NM_001340606.1.p1	XM_003519130.4.p1, NM_001255163.2.p1
OG0009464	NM_001340972.1.p1, NM_117564.4.p1	XM_003537566.5.p1, XM_014763728.3.p1, XM_006573806.4.p1
OG0009465	NM_001341218.1.p1, NM_117841.4.p1	XM_003525830.4.p1, XM_006579578.4.p1
OG0009466	NM_001341331.1.p1	XM_003516458.5.p1
OG0009467	NM_001341852.1.p1	XM_003538128.5.p1, XM_003539721.5.p1
OG0009468	NM_118901.5.p1, NM_001341877.1.p1, NM_001341876.1.p1	NM_001255275.2.p1, XM_006589159.3.p1
OG0009469	NM_001342091.1.p1, NM_119301.2.p1, NM_101186.5.p1	XM_003538535.5.p1
OG0009470	NM_001342215.1.p1	NM_001354788.1.p1, XM_003548213.4.p1, XM_003534005.5.p1
OG0009471	NM_001342218.1.p1, NM_119506.4.p1	NM_001362436.1.p1
OG0009472	NM_001342443.1.p1, NM_119910.4.p1	XM_041011248.1.p1, XM_003517277.5.p1
OG0009473	NM_120563.5.p1, NM_001342792.1.p1	XM_003535163.5.p1, XM_003556830.5.p1
OG0009474	NM_121202.4.p1, NM_001343208.1.p1	XM_014769964.3.p1, XM_003550071.5.p1
OG0009475	NM_001343399.1.p1, NM_121543.5.p1	XM_003530373.4.p1
OG0009476	NM_001343465.1.p1, NM_001343464.1.p1	XM_006583858.4.p1, XM_041017382.1.p1, XM_041017383.1.p1, XM_003530329.5.p1
OG0009477	NM_122020.4.p1, NM_001343640.1.p1	XM_003529611.5.p1, NM_001252874.2.p1
OG0009478	NM_122092.3.p1, NM_001343688.1.p1	XM_003550987.4.p1, XM_003542338.5.p1
OG0009479	NM_001343790.1.p1	XR_005887112.1.p1, XR_005887111.1.p1, XR_005887110.1.p1, XM_003540593.5.p1, XM_014764429.3.p1
OG0009480	NM_001344016.1.p1, NM_001344015.1.p1	XM_003556459.4.p1, XM_014772798.2.p1, XM_006589083.4.p1
OG0009481	NM_126550.2.p1, NM_001344115.1.p1	XM_006575673.4.p1
OG0009482	NR_143339.1.p1, NM_001344818.1.p1, NM_001344821.1.p1	XM_026125912.2.p1, XM_041005255.1.p1
OG0009483	NM_001344954.1.p1, NM_124549.8.p1	NM_001254490.2.p1, XM_041005534.1.p1
OG0009484	NM_001345238.1.p1, NM_125091.4.p1	XM_006593301.4.p1, XM_006600053.3.p1
OG0009485	NM_001345281.1.p1	XM_006582029.4.p1, XM_003527126.5.p1, XM_026128957.2.p1
OG0009486	NM_114732.5.p1, NM_001345595.1.p1, NM_125752.4.p1	NM_001251114.1.p1, XM_003522541.3.p1
OG0009487	NM_100033.3.p1	XM_003552369.4.p1
OG0009488	NM_100077.4.p1	XM_003533591.5.p1, XM_006602693.4.p1
OG0009489	NM_100094.3.p1	XM_041013758.1.p1, XM_003546050.4.p1, NM_001249161.3.p1
OG0009490	NM_100137.4.p1	XM_003535870.5.p1, XM_006574365.4.p1, NM_001255587.1.p1
OG0009491	NM_100178.3.p1	NM_001250254.2.p1, XM_006593821.4.p1
OG0009492	NM_100254.4.p1	XM_003540876.5.p1
OG0009493	NM_100510.4.p1	XM_026124776.2.p1
OG0009494	NM_100693.4.p1	XM_003538101.5.p1
OG0009495	NM_100924.3.p1	XM_006584469.2.p1, NM_001249940.2.p1, XM_003525036.5.p1
OG0009496	NM_100925.2.p1	XM_003517805.5.p1, XM_041005056.1.p1, XM_003519753.4.p1
OG0009497	NM_101002.2.p1	XM_003526301.5.p1, XM_003523873.5.p1
OG0009498	NM_101011.3.p1	XM_014768330.3.p1, XM_003543047.4.p1, NM_001255118.1.p1
OG0009499	NM_106696.4.p1, NM_101441.5.p1	XM_003536727.5.p1, XM_003556492.5.p1
OG0009500	NM_101558.4.p1	XM_006606538.4.p1
OG0009501	NM_101713.5.p1	XM_003550804.5.p1, XM_003525591.5.p1, XM_003551208.5.p1
OG0009502	NM_101816.4.p1	NM_001253229.1.p1, XM_003545226.5.p1, XM_041009295.1.p1, XM_003550339.5.p1
OG0009503	NM_101881.3.p1	XM_006581083.4.p1, XR_001388960.3.p1, XM_006581084.4.p1, XR_414551.4.p1
OG0009504	NM_101888.2.p1, NM_106261.3.p1, NM_202423.1.p1	XM_003519091.4.p1, XM_041012825.1.p1
OG0009505	NM_102015.3.p1	XM_006578896.4.p1, XM_041015067.1.p1, XM_003527901.4.p1, XM_026128316.2.p1
OG0009506	NM_102117.5.p1	XM_014763323.3.p1, XM_014763324.3.p1
OG0009507	NM_102456.3.p1, NM_105644.3.p1	XM_003551922.5.p1, NM_001248023.2.p1, XM_003517908.5.p1
OG0009508	NM_102635.3.p1, NR_139798.1.p1	XM_003541664.5.p1
OG0009509	NM_102915.4.p1	XM_003522814.5.p1, XM_003533417.5.p1
OG0009510	NM_102942.4.p1	XM_003547765.5.p1, XM_003534258.5.p1, XM_003516795.4.p1
OG0009511	NM_103152.4.p1	XM_006606137.4.p1, XM_003519918.5.p1
OG0009512	NM_103546.4.p1	XM_003523384.5.p1, XM_003526593.5.p1
OG0009513	NM_202242.2.p1, NM_103552.4.p1	XM_003523396.4.p1, NM_001289308.1.p1
OG0009514	NM_103657.6.p1	XM_003523843.3.p1
OG0009515	NM_103727.5.p1	XM_003542355.5.p1, NM_001354707.1.p1
OG0009516	NM_103751.3.p1	XM_006583396.3.p1, XM_014777905.2.p1
OG0009517	NM_104178.5.p1	XM_003540050.5.p1, XM_003526020.5.p1
OG0009518	NM_104230.2.p1	NM_001364453.1.p1, XM_006593425.4.p1
OG0009519	NM_104450.4.p1	XM_003544506.5.p1, XM_003519597.5.p1
OG0009520	NM_104707.4.p1	XM_003547629.5.p1, XM_003553850.5.p1
OG0009521	NM_104739.5.p1	NM_001254340.2.p1, XM_003551976.5.p1
OG0009522	NM_105072.3.p1	XM_014763771.3.p1, XM_014763772.3.p1, XM_041006550.1.p1, XM_003538643.5.p1
OG0009523	NM_105262.4.p1	XM_026126795.2.p1, XM_041012055.1.p1, XM_006591250.4.p1
OG0009524	NM_105428.4.p1	NM_001250317.2.p1, XM_041011591.1.p1, NM_001250584.1.p1, XM_006601694.4.p1
OG0009525	NM_105442.3.p1	NM_001254011.2.p1, XM_003538531.5.p1
OG0009526	NM_105606.4.p1	XM_026124372.2.p1, NM_001250068.1.p1, NM_001249423.2.p1
OG0009527	NM_105744.4.p1	NM_001249545.2.p1, XM_041017595.1.p1
OG0009528	NM_105763.4.p1	XR_003266061.2.p1, XM_026129326.2.p1
OG0009529	NM_105795.5.p1	XM_003554680.5.p1, NM_001354960.1.p1
OG0009530	NM_202394.2.p1, NM_179545.3.p1, NM_105800.2.p1	XM_014762355.3.p1
OG0009531	NM_105861.4.p1	NM_001255512.3.p1, XM_003540179.5.p1
OG0009532	NM_106275.3.p1	XM_003523484.5.p1, XM_003527595.5.p1
OG0009534	NM_106524.2.p1	XM_003527156.5.p1, XM_003541113.5.p1
OG0009535	NM_106583.6.p1	XM_006585657.4.p1, XM_003545691.5.p1, XM_014779206.3.p1
OG0009536	NM_106597.4.p1	XM_014772032.3.p1, XM_041012979.1.p1
OG0009537	NM_111027.4.p1	XM_003531541.5.p1
OG0009539	NM_121645.5.p1, NM_111141.3.p1	NM_001248943.1.p1, NM_001249741.1.p1
OG0009540	NM_111192.3.p1	XM_003544305.5.p1, XM_003519266.4.p1
OG0009541	NM_111201.4.p1	XM_041005158.1.p1, XM_003551643.4.p1
OG0009542	NM_111327.5.p1	NM_001251199.2.p1, XM_003556403.4.p1
OG0009543	NM_111372.4.p1	NM_001248766.2.p1, XR_001387610.3.p1, XM_003521680.4.p1
OG0009544	NM_111412.3.p1	XM_041012411.1.p1
OG0009545	NR_141208.1.p1, NR_141209.1.p1, NM_111464.3.p1	XM_014763162.3.p1, XM_003555122.5.p1
OG0009546	NM_121936.3.p1, NM_111475.3.p1	XM_003535612.5.p1, XM_003539069.4.p1
OG0009547	NM_202515.2.p1, NM_111576.5.p1	XM_041005258.1.p1, XM_003546344.5.p1
OG0009548	NM_111610.5.p1	XM_014764072.3.p1, XM_014764070.3.p1
OG0009549	NM_111739.3.p1	XM_003530209.5.p1, XM_014773625.3.p1
OG0009550	NM_120498.3.p1, NM_111864.4.p1	XM_003521115.5.p1, XM_003554116.5.p1
OG0009551	NM_111931.3.p1	XM_006578760.4.p1, XM_003526768.5.p1
OG0009552	NM_112073.5.p1	XM_003552826.5.p1, XR_005888176.1.p1, XM_003545208.4.p1
OG0009554	NM_112104.2.p1	XM_003532846.5.p1
OG0009555	NM_112165.5.p1	XM_006595617.3.p1, XM_026126814.2.p1, XM_003544538.4.p1, XM_006575654.3.p1, XM_003519593.4.p1
OG0009556	NM_112168.5.p1	XM_003532149.3.p1
OG0009557	NM_112261.4.p1	XM_006583099.4.p1, XR_005892325.1.p1, NM_001370784.1.p1
OG0009558	NM_112353.4.p1	XM_003540010.5.p1, XM_003525927.5.p1
OG0009559	NM_112373.4.p1	XM_014765895.3.p1, XM_006592858.4.p1, XM_003540427.5.p1, XM_006592857.4.p1, XM_014776691.2.p1
OG0009560	NM_124820.4.p1, NM_112421.3.p1, NM_180259.2.p1	XM_006592525.4.p1, XM_003541067.5.p1, XM_003527217.5.p1, XM_014765934.2.p1, XM_003539538.5.p1, XM_006592837.4.p1
OG0009561	NM_112491.6.p1	XM_003543586.5.p1, XM_003546457.4.p1
OG0009562	NM_112550.5.p1	NM_001248822.1.p1, NM_001256464.1.p1, XM_003546320.5.p1
OG0009563	NM_112594.2.p1	XM_003529457.5.p1, XM_003550520.4.p1
OG0009564	NM_112702.3.p1	XM_003525159.5.p1, XM_003530232.5.p1, NM_001250475.2.p1
OG0009565	NM_112772.3.p1	XM_003537849.5.p1, XM_003541033.5.p1
OG0009566	NM_112783.2.p1	XM_006594856.4.p1, XR_005888013.1.p1, XM_006592718.4.p1, XM_006592717.4.p1
OG0009567	NM_112845.4.p1	XM_003516723.5.p1
OG0009568	NM_112941.5.p1	XM_006595672.4.p1, XM_003518476.5.p1
OG0009569	NM_113143.3.p1, NM_117576.3.p1	XM_003536485.5.p1, NM_001360372.1.p1
OG0009570	NM_113427.5.p1	XM_006594452.3.p1, XM_003546024.5.p1
OG0009571	NM_113457.3.p1	XM_006578394.3.p1, XM_006574935.2.p1
OG0009572	NM_113467.3.p1	XM_014774229.3.p1, XM_003520003.5.p1, XM_041011945.1.p1
OG0009573	NM_113480.4.p1	XR_005890204.1.p1, XM_014772318.3.p1, XR_005890203.1.p1, XM_003531874.4.p1
OG0009574	NM_113501.3.p1	XM_041012336.1.p1, XM_041012338.1.p1, XM_041012340.1.p1, XM_041012335.1.p1
OG0009575	NM_113548.5.p1	XM_003524709.5.p1
OG0009576	NM_113668.2.p1	XM_006603728.4.p1, XM_003524517.5.p1
OG0009577	NM_113847.2.p1	XM_026126934.2.p1, XM_041018386.1.p1
OG0009578	NM_114328.4.p1	XM_003540182.5.p1, NM_001357106.1.p1
OG0009579	NM_114564.3.p1	XM_014770943.3.p1, XM_003532168.5.p1
OG0009580	NM_114701.3.p1	XM_003523076.5.p1, XM_003526931.5.p1
OG0009581	NM_114859.6.p1	XM_003549511.5.p1, XM_003524612.5.p1
OG0009582	NM_115052.5.p1	XM_003533449.5.p1, XM_003540545.5.p1
OG0009583	NM_115067.3.p1	XM_003540538.5.p1, XM_041005122.1.p1, XM_006589848.4.p1
OG0009584	NM_115156.3.p1	XM_003554367.5.p1
OG0009585	NM_115326.5.p1	XM_003554241.5.p1
OG0009586	NM_115394.4.p1	XM_006595745.4.p1, XM_006574335.3.p1
OG0009587	NM_129696.3.p1, NM_115566.4.p1	XM_003554085.5.p1, NM_001317507.1.p1
OG0009588	NM_115620.2.p1	XM_003518062.5.p1, XM_003535116.5.p1, XM_003553372.5.p1, XM_041014043.1.p1
OG0009589	NM_115861.3.p1	XM_003534346.5.p1
OG0009590	NM_116019.3.p1	XM_003534490.5.p1, NM_001255193.2.p1
OG0009591	NM_116079.2.p1	XM_041014192.1.p1, XM_003520725.5.p1, XM_003554526.5.p1
OG0009592	NM_116123.4.p1	NM_001248784.1.p1
OG0009593	NM_130382.2.p1, NM_116173.4.p1	XM_006588558.3.p1, NM_001251203.3.p1, XM_026127874.2.p1
OG0009594	NM_116477.1.p1	XM_003518963.5.p1, XM_003521519.5.p1
OG0009595	NM_116492.4.p1	XM_041009438.1.p1
OG0009596	NM_117077.4.p1	NM_001252780.2.p1
OG0009597	NM_117094.3.p1	XM_003555486.5.p1, XM_003535361.4.p1
OG0009598	NM_117332.3.p1, NM_117553.2.p1	XM_006597196.4.p1, XM_003543486.5.p1
OG0009599	NM_117372.5.p1	XM_006602415.4.p1, XM_003552056.5.p1
OG0009600	NM_117636.3.p1	XM_003546070.4.p1, NM_001250824.2.p1
OG0009601	NM_117739.4.p1	XM_003549451.5.p1, XM_006584032.4.p1
OG0009602	NM_124090.3.p1, NM_117862.5.p1	XM_006590187.3.p1, XM_006572765.3.p1
OG0009603	NM_117883.2.p1	XM_014772917.2.p1
OG0009604	NM_117885.5.p1	XM_041013187.1.p1, XM_003555746.5.p1
OG0009605	NM_118405.3.p1	XM_003550481.5.p1
OG0009606	NM_118463.4.p1, NM_202866.2.p1	NM_001253114.2.p1, XM_003521839.5.p1
OG0009607	NM_118646.2.p1	XM_003526416.5.p1, NM_001249169.3.p1
OG0009608	NM_118873.3.p1	XM_003543217.5.p1, XM_006594729.4.p1, XM_003540395.5.p1
OG0009609	NM_179128.2.p1, NM_118918.5.p1	XR_001388086.3.p1, XM_003526677.5.p1
OG0009610	NM_119135.4.p1	XM_014769808.3.p1, XM_003549232.5.p1
OG0009611	NM_119266.7.p1	XM_006578123.4.p1, XM_006581333.4.p1
OG0009612	NM_119285.4.p1	NM_001255816.2.p1, XM_003549173.5.p1
OG0009613	NM_119351.3.p1, NM_179152.3.p1	XM_003544552.5.p1, NM_001251058.2.p1
OG0009614	NM_119430.5.p1	XM_003522656.5.p1, XM_003526437.5.p1, XM_006578159.4.p1
OG0009615	NM_119728.2.p1, NM_127317.5.p1	XM_003519980.5.p1, XM_003537631.5.p1, XM_003517092.5.p1
OG0009616	NM_119740.3.p1	XM_041005412.1.p1, XM_006586982.4.p1
OG0009617	NM_119876.4.p1	XM_003537328.5.p1, XM_006590605.4.p1, XM_003517219.5.p1
OG0009618	NM_119883.3.p1	XM_003517224.4.p1
OG0009619	NM_120036.6.p1	XR_417021.4.p1
OG0009620	NM_120144.5.p1	XM_003524225.4.p1, XM_003532790.5.p1
OG0009621	NM_120541.4.p1	NM_001360296.1.p1, XM_003540161.5.p1
OG0009622	NM_120720.4.p1	NM_001254417.2.p1, XM_006575225.4.p1, XM_003519069.5.p1
OG0009623	NM_120809.5.p1	XM_003533961.5.p1, XM_003548162.4.p1, XM_003556045.5.p1, XM_003536428.5.p1
OG0009624	NM_120841.5.p1	XM_003536227.5.p1, XM_003556271.5.p1
OG0009625	NM_121116.4.p1	NM_001251315.2.p1, XM_003550193.3.p1
OG0009626	NM_121304.6.p1	XR_418256.4.p1, XM_041008520.1.p1, XR_005888025.1.p1
OG0009627	NM_121345.3.p1	XM_003552695.4.p1, XM_003532282.4.p1
OG0009628	NM_121379.4.p1	XM_003538014.5.p1
OG0009629	NM_121450.3.p1	XM_003524516.4.p1, XM_006579726.4.p1
OG0009630	NM_121514.2.p1	NM_001289322.1.p1, NM_001289324.1.p1, XM_003534415.5.p1, XR_005891478.1.p1, NM_001289234.2.p1
OG0009631	NM_121521.4.p1	XM_006578066.4.p1, XM_006578067.4.p1
OG0009632	NM_121558.4.p1	XM_041012934.1.p1
OG0009633	NM_121593.5.p1	XM_014772015.2.p1
OG0009634	NM_121768.5.p1	XM_014773528.3.p1, XM_014773530.3.p1, XM_003520365.5.p1, XM_014773529.3.p1, XM_041013736.1.p1, NM_001255464.3.p1
OG0009635	NM_121785.3.p1	XM_003553309.5.p1, XM_003521827.5.p1
OG0009636	NM_121863.4.p1	XM_003529537.5.p1, XM_003550137.5.p1
OG0009637	NM_121875.4.p1	XM_006597482.4.p1, XM_003542864.5.p1
OG0009638	NM_122067.4.p1	XM_041007992.1.p1, XM_026124987.2.p1, XR_005887811.1.p1, XM_006601348.4.p1
OG0009639	NM_122141.5.p1	NM_001254646.2.p1, XM_003539788.5.p1
OG0009640	NM_122188.3.p1	XM_003539398.5.p1, XM_003551042.4.p1
OG0009641	NM_122354.4.p1	XM_003523267.5.p1, XM_003526715.5.p1
OG0009642	NM_122525.3.p1	XM_041006511.1.p1, XM_006590334.3.p1, XM_006573822.4.p1
OG0009643	NM_122611.4.p1	XM_041013767.1.p1
OG0009644	NM_122968.2.p1	XM_003545028.5.p1, XM_003518521.5.p1
OG0009645	NM_123003.4.p1	XM_003536346.4.p1, NM_001248855.2.p1
OG0009646	NM_123207.2.p1	XM_003541233.5.p1
OG0009647	NM_123224.3.p1	XM_003555046.5.p1
OG0009648	NM_123297.2.p1	XM_006573524.4.p1, XM_003516527.5.p1, XM_014775941.3.p1, XM_014775946.3.p1
OG0009649	NM_123434.3.p1	XM_006575206.4.p1
OG0009650	NM_123459.2.p1	XM_006605888.4.p1, XM_006589584.4.p1, XM_006588104.2.p1
OG0009651	NM_123484.3.p1	XM_003532626.3.p1, XM_003525356.5.p1
OG0009652	NM_123609.4.p1	XM_026127256.2.p1, XM_003536362.5.p1
OG0009653	NM_124075.4.p1	XM_003524285.5.p1, XM_003549916.4.p1, XM_003517339.4.p1
OG0009654	NM_124123.5.p1	XM_003550859.5.p1, XM_003538687.5.p1, XM_003517373.5.p1
OG0009655	NM_124168.3.p1	XM_003533459.5.p1, XM_006591913.4.p1
OG0009656	NM_124222.3.p1	XM_041010422.1.p1, XM_006599079.3.p1, XR_005889003.1.p1, XM_003520950.5.p1
OG0009657	NM_124257.4.p1	XM_041013963.1.p1, XM_041013961.1.p1, XM_041013960.1.p1, XM_003520870.5.p1, XM_003551274.5.p1
OG0009658	NM_124359.4.p1	NM_001368758.1.p1, XM_003539331.5.p1
OG0009659	NM_124389.2.p1	NM_001255727.3.p1, XM_041014518.1.p1, NM_001255728.2.p1
OG0009660	NM_124400.3.p1	XM_003525473.5.p1
OG0009661	NM_124536.4.p1	XM_003533997.5.p1
OG0009662	NM_124685.4.p1	XM_003523306.5.p1, XM_003526675.5.p1
OG0009663	NM_124756.4.p1	XM_014765904.3.p1
OG0009664	NM_124841.2.p1, NM_180859.2.p1	NM_001251123.2.p1, NM_001248622.2.p1
OG0009665	NM_124868.5.p1	XM_003551843.5.p1, XM_003532070.5.p1
OG0009666	NM_124953.1.p1	XM_003519583.5.p1
OG0009667	NM_124991.4.p1	XM_003544504.5.p1, XM_003519598.4.p1
OG0009668	NM_125128.5.p1	XM_003555692.5.p1, XM_003549408.4.p1
OG0009669	NM_125140.4.p1	XM_006593482.4.p1, XR_003263897.2.p1
OG0009670	NM_125210.5.p1	XM_003538299.5.p1, XM_014770946.3.p1, XM_006601984.4.p1
OG0009671	NM_125337.2.p1	NM_001251562.2.p1, NM_001250774.1.p1
OG0009672	NM_125613.3.p1	XM_041005933.1.p1, XM_003536450.3.p1, XM_003556027.5.p1
OG0009673	NM_125625.3.p1	XM_014764367.3.p1, XM_006587650.4.p1
OG0009674	NM_125869.3.p1	XM_003531349.5.p1, XR_003267870.2.p1, XM_003525053.5.p1
OG0009675	NM_125932.3.p1, NM_127811.3.p1	XM_003537513.5.p1, XM_003532766.4.p1, XM_041015574.1.p1
OG0009676	NM_125990.4.p1	XM_003534171.5.p1, XM_006599185.4.p1, XM_006573440.4.p1, XM_006590702.4.p1
OG0009677	NM_125993.3.p1	XM_003534183.5.p1, NM_001255158.2.p1
OG0009679	NM_126122.4.p1	XM_006579835.3.p1, XM_003549998.5.p1
OG0009680	NM_126127.4.p1	XM_003517271.5.p1, XM_026128791.2.p1, XM_003539280.5.p1
OG0009681	NM_126153.4.p1	XM_003517298.5.p1
OG0009682	NM_126174.5.p1	XM_003536607.4.p1
OG0009683	NM_126378.4.p1	XM_003553373.5.p1, XM_006576771.4.p1, XM_014773766.3.p1
OG0009684	NM_126439.4.p1	XM_003516602.5.p1, NM_001357389.1.p1
OG0009685	NM_126619.4.p1, NM_201702.2.p1	XM_003551080.5.p1, NM_001354842.1.p1, XM_003551078.4.p1
OG0009686	NM_126689.4.p1	XM_003517564.5.p1
OG0009688	NM_127016.3.p1	XM_003529231.5.p1
OG0009689	NM_201754.1.p1, NM_127359.5.p1	XM_003547897.5.p1, XM_003519823.4.p1
OG0009690	NM_127392.1.p1	XM_041010505.1.p1, XM_003520261.5.p1, NM_001317706.2.p1, XM_003517180.5.p1
OG0009691	NM_127595.4.p1	XM_003542394.5.p1
