Orthogroup	Arabidopsis_thaliana_rna_prot	Vitis_vinifera_rna_prot
OG0010964	NM_001084945.2.p1, NM_001084946.1.p1	XM_003632946.4.p1
OG0010965	NM_001085012.3.p1	XM_002264164.4.p1
OG0010966	NM_103891.4.p1, NM_001123987.1.p1	XM_002275555.5.p1
OG0010967	NM_001124100.1.p1, NM_105588.3.p1	XM_010651622.3.p1, XM_002273735.4.p1
OG0010968	NM_001125156.2.p1, NM_112350.3.p1	XM_002283072.4.p1
OG0010969	NM_125211.4.p1, NM_001125985.1.p1	XM_002275840.5.p1
OG0010970	NM_001342541.1.p1, NM_001160821.3.p1	XM_010654571.3.p1
OG0010971	NM_001160863.1.p1, NM_101265.4.p1	XM_002266634.5.p1, XM_019221085.2.p1
OG0010973	NM_105788.4.p1, NM_001198440.1.p1	XM_010659385.3.p1, XM_002267585.4.p1
OG0010974	NM_001202586.1.p1	XM_059738720.1.p1
OG0010975	NM_128191.4.p1, NM_001202679.1.p1	XM_002281408.4.p1
OG0010976	NM_001336228.1.p1, NM_001336227.1.p1, NM_001202706.1.p1	XM_010652608.3.p1
OG0010977	NM_001203098.1.p1, NM_001339311.1.p1, NM_202664.2.p1, NM_001339313.1.p1	XM_002284841.4.p1
OG0010978	NM_180418.4.p1, NM_001203272.1.p1	XM_002264274.5.p1
OG0010979	NM_001203451.1.p1, NM_001343876.1.p1	XM_059743342.1.p1
OG0010980	NM_001203487.1.p1, NM_122733.3.p1, NM_111326.1.p1	XM_002268512.5.p1
OG0010981	NM_001203525.1.p1, NM_123640.3.p1	XM_002282543.4.p1
OG0010982	NM_001203726.1.p1	XM_002276293.5.p1
OG0010983	NM_116723.5.p1, NM_001203746.1.p1	XM_059735977.1.p1
OG0010984	NM_001342483.1.p1, NM_119977.5.p1, NM_202974.2.p1, NM_001204019.1.p1	XM_002280046.5.p1
OG0010985	NM_001332473.1.p1	XM_010665701.3.p1, XM_002273241.4.p1
OG0010986	NM_103833.5.p1, NM_001333383.1.p1	XM_002281115.5.p1
OG0010987	NM_001333894.1.p1, NM_104731.5.p1, NM_001333895.1.p1	XM_010653124.3.p1
OG0010988	NR_139906.1.p1, NR_139907.1.p1, NR_139908.1.p1, NM_001334324.1.p1, NR_139909.1.p1	XM_059736296.1.p1
OG0010989	NM_105849.3.p1, NM_001334508.1.p1	XM_010666810.3.p1
OG0010990	NM_001334523.1.p1, NM_105891.3.p1	XM_059739398.1.p1, XM_010656062.3.p1
OG0010991	NM_179590.3.p1, NM_126193.3.p1, NM_001335058.1.p1	XM_010660794.3.p1
OG0010992	NM_001335100.1.p1	XM_010656418.3.p1
OG0010993	NM_001335389.1.p1	XM_002275064.4.p1
OG0010994	NM_001335714.1.p1, NM_001335715.1.p1	NM_001397934.1.p1
OG0010995	NM_001336188.1.p1	XM_002281157.5.p1
OG0010996	NM_001336378.1.p1, NM_179856.5.p1	XM_059743057.1.p1, XM_059743262.1.p1, XM_010663178.3.p1
OG0010997	NM_001336582.1.p1, NM_001336581.1.p1	XM_002263985.5.p1, XM_059742712.1.p1
OG0010998	NM_179941.2.p1, NM_001336613.1.p1	XM_010655677.3.p1
OG0010999	NM_001336946.1.p1	XM_010655493.3.p1, XM_002277731.4.p1
OG0011000	NM_001337015.1.p1, NM_180053.2.p1	XM_010652119.2.p1
OG0011001	NM_001337331.1.p1, NM_001337332.1.p1	XM_003633787.4.p1
OG0011002	NM_104145.4.p1, NM_112439.4.p1, NM_001338182.1.p1	XM_002285342.5.p1, XM_059739534.1.p1
OG0011004	NM_001338757.1.p1, NM_113455.4.p1, NM_127456.4.p1	XM_002271660.4.p1
OG0011006	NM_113710.3.p1, NM_001338922.1.p1	XM_002278023.5.p1
OG0011008	NM_001339801.1.p1, NM_115513.3.p1	XM_019225112.2.p1, XM_059742351.1.p1, XM_059742346.1.p1, XM_059742348.1.p1, XM_059742349.1.p1, XM_059742347.1.p1, XM_059742354.1.p1, XM_010661476.3.p1, XM_010661477.3.p1, XM_059742353.1.p1, XM_059742345.1.p1, XM_059742352.1.p1
OG0011009	NM_001339840.1.p1	XM_019221803.2.p1
OG0011010	NM_001339907.1.p1	XM_002279239.4.p1, XM_019223257.2.p1
OG0011011	NM_001339991.1.p1	XM_002273591.5.p1
OG0011012	NM_001340446.1.p1	XM_002272524.5.p1
OG0011015	NM_001341334.1.p1	XM_002269593.4.p1
OG0011016	NM_001341457.1.p1	XM_002269391.5.p1
OG0011017	NM_001343087.1.p1, NM_203032.2.p1	XM_010654539.3.p1
OG0011018	NM_121455.3.p1	XM_002272635.4.p1
OG0011021	NM_001343610.1.p1	XM_002280936.4.p1
OG0011022	NM_121971.3.p1, NM_001343619.1.p1	XM_002280906.4.p1
OG0011023	NM_001344886.1.p1	XM_002274667.4.p1
OG0011024	NM_124936.3.p1, NM_001345135.1.p1	XM_002276375.4.p1
OG0011025	NM_001345610.1.p1, NM_125772.5.p1	XM_002272009.4.p1
OG0011026	NM_125948.4.p1, NM_001345693.1.p1	XM_059738578.1.p1
OG0011027	NM_100244.3.p1	XM_002267049.4.p1
OG0011028	NM_100300.5.p1	XM_002283119.5.p1
OG0011029	NM_100345.3.p1	XM_010651921.3.p1
OG0011030	NM_100370.3.p1	XM_059737007.1.p1
OG0011031	NM_100381.3.p1	XM_002271201.4.p1
OG0011032	NM_128804.3.p1, NM_100393.3.p1	XM_002280655.5.p1
OG0011033	NM_179848.1.p1, NM_100430.5.p1	XM_002264191.4.p1
OG0011034	NM_100534.4.p1	XM_002279126.5.p1
OG0011035	NM_100568.4.p1	XM_002276760.5.p1
OG0011036	NM_100596.4.p1	XM_003632084.4.p1
OG0011037	NM_100789.4.p1	XM_010661391.3.p1, XM_002278116.4.p1
OG0011038	NM_100996.3.p1	XM_003634952.4.p1
OG0011039	NM_101391.3.p1	XM_010656353.3.p1
OG0011040	NM_101401.3.p1	XM_010656504.3.p1
OG0011042	NM_101548.6.p1	XM_002271560.5.p1
OG0011043	NM_101650.3.p1	XM_002271854.4.p1
OG0011044	NM_101680.3.p1, NM_106022.2.p1	XM_002281919.4.p1
OG0011045	NM_101983.4.p1, NM_179564.1.p1, NM_106344.3.p1	XM_059734485.1.p1
OG0011046	NM_102120.3.p1	XM_010647507.3.p1
OG0011047	NM_102299.4.p1	XM_010652422.3.p1, XM_002285404.5.p1
OG0011048	NM_102368.4.p1	XM_002281632.5.p1
OG0011049	NM_102382.3.p1	XM_059737831.1.p1, XM_010649986.3.p1
OG0011050	NM_102854.5.p1	XM_010650570.3.p1, XM_002276479.5.p1
OG0011051	NM_129111.4.p1, NM_102930.3.p1	XM_002274865.5.p1
OG0011052	NM_102976.2.p1	XM_019220909.1.p1, XM_002269151.3.p1
OG0011053	NM_103136.4.p1	XM_002269083.5.p1
OG0011054	NM_103456.4.p1	XM_002273718.5.p1
OG0011055	NM_103828.3.p1	XR_785444.3.p1, XM_002281041.4.p1
OG0011056	NM_103874.3.p1	XM_010649632.3.p1
OG0011057	NM_127047.2.p1, NM_104070.2.p1	XM_019223736.2.p1
OG0011058	NM_104193.5.p1	XM_002282492.4.p1
OG0011059	NM_104242.4.p1	XM_002274786.5.p1, XM_059737622.1.p1
OG0011060	NM_179476.3.p1, NM_104287.5.p1	XM_010657810.3.p1, XM_010657811.3.p1, XM_059740534.1.p1
OG0011061	NM_104515.4.p1	XM_059742883.1.p1
OG0011062	NM_104692.3.p1	XM_010651854.3.p1
OG0011063	NM_104956.5.p1	XM_002264518.5.p1
OG0011064	NM_104978.5.p1	XM_002282303.4.p1
OG0011066	NM_105043.4.p1	XM_019216945.2.p1
OG0011067	NM_105109.4.p1	XM_019216518.2.p1
OG0011068	NM_105135.3.p1	XM_002263631.4.p1
OG0011069	NM_105436.4.p1, NM_105433.3.p1	XM_010656843.3.p1
OG0011070	NM_105463.4.p1	XR_009467197.1.p1, XM_059741376.1.p1
OG0011071	NM_105544.3.p1	XM_010649919.3.p1
OG0011072	NM_105587.6.p1	XM_010651651.3.p1
OG0011073	NM_105688.3.p1	XM_010654763.3.p1
OG0011075	NM_105837.4.p1	XM_002265099.5.p1
OG0011077	NM_106165.3.p1	XM_002281737.4.p1
OG0011078	NM_106180.4.p1	XM_002281335.5.p1
OG0011079	NM_106353.4.p1	XM_002279068.4.p1, XM_059734607.1.p1
OG0011080	NM_106527.4.p1	XM_002285444.4.p1, XM_003634614.4.p1
OG0011081	NM_106549.4.p1	XM_002270477.4.p1
OG0011082	NM_106618.5.p1	XM_002271866.4.p1
OG0011083	NM_106678.3.p1	XM_002280871.4.p1
OG0011084	NM_106716.4.p1	XM_002271931.4.p1
OG0011085	NM_121603.4.p1, NM_111116.4.p1	XM_002278963.4.p1
OG0011086	NM_111239.3.p1	XM_002276295.4.p1
OG0011087	NM_111247.2.p1	XM_002271079.4.p1
OG0011088	NM_111492.5.p1	XM_002280107.5.p1
OG0011089	NM_111708.4.p1	XM_002267522.5.p1
OG0011090	NM_111731.4.p1	XM_002270571.4.p1
OG0011091	NM_111877.3.p1, NM_180222.1.p1	XM_002271912.5.p1, XM_019224578.2.p1
OG0011092	NM_120579.3.p1, NM_111908.5.p1, NM_111909.2.p1	XM_002273391.5.p1
OG0011093	NM_111934.4.p1	XM_002274321.5.p1
OG0011094	NM_112032.3.p1	NM_001317131.1.p1
OG0011095	NM_112050.3.p1	XM_059739307.1.p1
OG0011096	NM_112422.4.p1	NM_001281157.1.p1
OG0011097	NM_180673.2.p1, NM_112549.3.p1	XM_010651270.3.p1
OG0011098	NM_112662.4.p1	XM_010665417.3.p1, XM_002283059.4.p1
OG0011100	NM_113309.4.p1	XM_002282962.4.p1
OG0011101	NM_113566.3.p1	XM_002272626.4.p1
OG0011102	NM_113683.3.p1	XM_010662568.3.p1
OG0011103	NM_113723.4.p1	XM_002279726.4.p1
OG0011104	NM_114358.4.p1	XM_002274275.5.p1
OG0011105	NM_114615.4.p1	XM_002284820.4.p1
OG0011106	NM_114712.3.p1	XM_002283781.5.p1
OG0011107	NM_114784.3.p1	XM_010664554.3.p1
OG0011108	NM_114843.2.p1, NM_126163.3.p1	XM_059738636.1.p1
OG0011109	NM_114965.4.p1	XM_002273687.5.p1
OG0011110	NM_114991.3.p1	XM_059736462.1.p1
OG0011111	NM_115020.4.p1	XM_002270435.5.p1
OG0011112	NM_115119.4.p1, NM_116090.3.p1	XM_002265828.5.p1
OG0011113	NM_115383.3.p1	XM_002274491.5.p1
OG0011114	NM_115391.5.p1	XM_002284220.5.p1
OG0011115	NM_115763.3.p1, NM_129866.5.p1	XM_003632010.4.p1
OG0011116	NM_115945.3.p1	XM_002279190.4.p1
OG0011117	NM_202747.2.p1, NM_116052.4.p1	XM_002262718.5.p1
OG0011118	NM_116185.2.p1	XM_002277845.5.p1
OG0011119	NM_116214.3.p1	XM_002274462.5.p1
OG0011120	NM_116226.4.p1	XM_010663329.3.p1
OG0011121	NM_116513.5.p1	XM_010653809.3.p1, XM_010653810.3.p1
OG0011122	NM_116673.7.p1	XM_002264102.4.p1, XM_019222720.2.p1
OG0011123	NM_116705.5.p1	XM_010657096.3.p1
OG0011124	NM_116733.4.p1	XM_010657124.3.p1, XM_010657125.3.p1
OG0011125	NM_117070.5.p1	XM_010647620.3.p1
OG0011126	NM_117183.3.p1	XM_002280063.4.p1
OG0011127	NM_117390.5.p1	XM_002267336.4.p1
OG0011128	NM_117433.5.p1	XM_002285584.5.p1
OG0011129	NM_117508.4.p1, NM_179047.2.p1	XM_010651814.3.p1
OG0011130	NM_117642.4.p1	XM_010651530.3.p1, XM_002278761.5.p1
OG0011131	NM_117749.3.p1	XM_002271106.5.p1
OG0011133	NM_118019.3.p1	XM_002270324.4.p1
OG0011134	NM_118123.3.p1	XM_010650873.3.p1
OG0011135	NM_118352.4.p1	XM_059740483.1.p1
OG0011136	NM_118757.5.p1	XM_002282969.5.p1
OG0011137	NM_119029.3.p1	XM_002280652.4.p1
OG0011138	NM_119056.2.p1	XM_002283593.5.p1
OG0011139	NM_119085.4.p1	XM_059740608.1.p1, XM_010657931.3.p1
OG0011140	NM_127955.4.p1, NM_119196.4.p1	XM_003631788.4.p1
OG0011141	NM_119242.3.p1, NM_127985.4.p1	XM_002265537.5.p1
OG0011142	NM_119243.4.p1	XM_003634815.3.p1
OG0011143	NM_119753.3.p1	XM_019218470.2.p1
OG0011144	NM_119802.3.p1	XM_059736436.1.p1, XM_002274778.4.p1
OG0011145	NM_119866.3.p1	XM_010654515.3.p1
OG0011146	NM_119945.2.p1	XM_003635437.4.p1
OG0011147	NM_120006.3.p1	XM_010648077.3.p1
OG0011148	NM_120007.4.p1	XM_003631515.4.p1
OG0011149	NM_120049.4.p1	XM_059735762.1.p1, XM_002275375.5.p1
OG0011150	NM_120245.4.p1, NM_180419.2.p1	XM_002264624.4.p1
OG0011151	NM_120437.4.p1	XM_002263789.4.p1
OG0011152	NM_120467.4.p1	XM_002279416.4.p1
OG0011154	NM_120630.3.p1	XM_002273371.4.p1
OG0011155	NM_120633.3.p1	XM_010659939.3.p1
OG0011156	NM_120887.5.p1	XM_002265691.4.p1
OG0011157	NM_120955.8.p1	XM_010654642.3.p1
OG0011159	NM_121193.3.p1	XM_002281417.4.p1
OG0011160	NM_121368.4.p1	XM_002283516.5.p1
OG0011161	NM_121447.4.p1	XM_010662538.3.p1
OG0011162	NM_121501.4.p1	XM_002281852.5.p1
OG0011163	NM_121597.3.p1	XM_002272374.5.p1
OG0011164	NM_121607.2.p1	XM_010662207.3.p1, XM_019224694.2.p1, XM_019224696.2.p1
OG0011165	NM_121968.5.p1	XM_002285585.5.p1
OG0011166	NM_122113.1.p1	XM_002271220.4.p1
OG0011167	NM_122181.3.p1	XM_010653433.3.p1, XM_010653434.3.p1, XM_019220796.2.p1
OG0011168	NM_122246.3.p1	XM_002267617.4.p1
OG0011169	NM_124604.5.p1, NM_122278.4.p1	XM_002267673.5.p1, XM_002267627.4.p1
OG0011170	NM_122293.4.p1	XM_002268555.4.p1
OG0011171	NM_122336.5.p1	XM_002277336.4.p1
OG0011172	NM_122358.4.p1	XM_010664630.3.p1
OG0011173	NM_125232.2.p1, NM_123065.2.p1	XM_059737294.1.p1
OG0011175	NM_123214.5.p1	XM_002279088.5.p1
OG0011176	NM_123365.4.p1	XM_010662681.3.p1
OG0011177	NM_123550.2.p1	XM_002270813.4.p1, XM_019216538.2.p1
OG0011178	NM_123577.2.p1	XM_002263675.4.p1
OG0011179	NM_123612.4.p1	XM_002275220.4.p1
OG0011180	NM_203144.4.p1, NM_123657.3.p1	XM_010666265.3.p1
OG0011181	NM_123733.2.p1	XM_002284125.4.p1
OG0011182	NM_123935.5.p1	XR_785710.3.p1
OG0011184	NM_124142.5.p1	XM_059740200.1.p1
OG0011185	NM_124407.2.p1	XR_009464580.1.p1, XR_009464581.1.p1
OG0011186	NM_124410.4.p1	XM_002276465.4.p1
OG0011187	NM_124675.3.p1	XM_002282249.3.p1
OG0011188	NM_124679.3.p1	XM_002277294.4.p1
OG0011189	NM_124687.1.p1	XM_010664574.3.p1
OG0011190	NM_124807.4.p1	XM_002284457.3.p1, XM_003634951.4.p1
OG0011191	NM_124994.4.p1	XM_002274746.5.p1
OG0011192	NM_125117.4.p1	XM_002268684.4.p1
OG0011193	NM_125231.4.p1	XM_059737525.1.p1, XM_010652550.3.p1
OG0011194	NM_125234.4.p1	XM_010659157.3.p1
OG0011196	NM_125409.5.p1	XM_002283439.4.p1
OG0011197	NM_125541.2.p1	XM_002268562.5.p1
OG0011198	NM_125833.5.p1	XM_002268277.5.p1
OG0011199	NM_125863.3.p1	NM_001379271.1.p1
OG0011200	NM_125884.4.p1	XM_002276073.4.p1
OG0011201	NM_126048.3.p1	XM_059739093.1.p1
OG0011202	NM_126433.4.p1	XM_002279938.4.p1
OG0011203	NM_126517.3.p1	XM_002262625.5.p1
OG0011204	NM_126544.3.p1	XM_059741344.1.p1, XM_059741345.1.p1
OG0011205	NM_126594.4.p1, NR_140104.1.p1	XM_059741168.1.p1
OG0011206	NM_126596.4.p1, NM_201699.2.p1	XM_059740489.1.p1, NM_001397833.1.p1
OG0011207	NM_127354.5.p1	XM_002278540.5.p1
OG0011208	NM_127560.4.p1	XM_002280575.5.p1
OG0011209	NM_127947.4.p1	XM_002282174.5.p1
OG0011210	NM_128225.4.p1	XM_010658122.3.p1, XM_002285141.4.p1
OG0011211	NM_128250.4.p1	XM_019220618.2.p1, XM_002267283.5.p1
OG0011212	NM_128306.4.p1	XM_002275256.4.p1
OG0011213	NM_128474.4.p1	XM_002283138.5.p1
OG0011215	NM_128563.2.p1	XM_002276195.5.p1
OG0011216	NM_129280.3.p1	NM_001281032.1.p1
OG0011217	NM_129611.5.p1	XM_002274349.5.p1
OG0011218	NM_129628.5.p1	XM_002275265.5.p1
OG0011219	NM_129647.4.p1	XM_002278293.5.p1
OG0011220	NM_129711.4.p1	XM_003633095.4.p1, XM_002282102.4.p1
OG0011221	NM_129838.3.p1	XM_002277565.4.p1
OG0011222	NM_129901.4.p1	XM_019220067.2.p1, XM_002270646.4.p1
OG0011223	NM_129983.4.p1, NM_129984.3.p1	XM_010650708.3.p1
OG0011225	NM_130222.2.p1	XM_019225710.2.p1
OG0011226	NM_130252.3.p1	XM_010663219.3.p1
OG0011227	NM_130326.3.p1	XM_002270931.4.p1
OG0011228	NM_130374.4.p1, NM_180153.2.p1	XM_002273301.5.p1
OG0011229	NM_147847.3.p1	XM_002281250.4.p1
OG0011230	NM_180722.1.p1, NM_147887.4.p1	XM_002270069.4.p1
OG0011231	NM_148193.2.p1	XM_010653981.3.p1, XM_002278512.4.p1
OG0011232	NM_148521.3.p1	XM_002284363.4.p1
OG0011233	NM_148703.3.p1	XM_002265591.5.p1
OG0011234	NM_148866.2.p1	XM_002272014.5.p1
OG0011235	NM_178945.2.p1	XM_010662907.3.p1, XM_059743164.1.p1, XM_059743069.1.p1
OG0011236	NM_179253.1.p1	XM_002277598.4.p1
OG0011237	NM_179622.4.p1	XM_002274301.4.p1
OG0011238	NM_180926.3.p1	XM_002268589.4.p1
OG0011239	NM_202946.3.p1	XM_002274461.5.p1
OG0011240	NM_203031.2.p1	XM_002280163.4.p1
OG0011323	NM_115074.5.p1, NM_001035764.1.p1	XM_002265593.5.p1
OG0011324	NM_001035877.2.p1	XM_010659609.3.p1
OG0011326	NM_001084551.1.p1, NM_129359.4.p1	XM_002283392.4.p1
OG0011327	NM_001084798.1.p1	XM_059736413.1.p1
OG0011328	NM_001085136.1.p1, NM_121958.4.p1	XM_002281075.5.p1
OG0011329	NM_001124050.2.p1	XM_019223814.2.p1, XM_019223815.2.p1, XM_002269111.4.p1
OG0011330	NM_001125436.2.p1	XM_002281121.4.p1
OG0011331	NM_116556.3.p1, NM_001125452.1.p1	XM_002267067.5.p1
OG0011332	NM_001125463.2.p1, NM_118270.3.p1	XM_002271340.5.p1
OG0011333	NM_001160770.3.p1	XM_002273130.5.p1
OG0011334	NM_001203818.1.p1, NM_117818.5.p1, NM_001160773.1.p1	XM_059734098.1.p1
OG0011335	NM_001161119.1.p1	XM_002280759.5.p1
OG0011336	NM_111414.2.p1, NM_001161120.2.p1	XM_002279713.5.p1
OG0011337	NM_115343.4.p1, NM_001161207.1.p1	XM_002270422.5.p1
OG0011338	NM_102249.6.p1, NM_001198146.1.p1	XM_002267183.5.p1
OG0011339	NM_001198389.2.p1, NM_105220.3.p1, NM_001198390.2.p1	XM_002270293.4.p1
OG0011340	NM_001198483.2.p1, NM_001334737.1.p1, NM_106313.2.p1	XM_010665745.3.p1
OG0011341	NM_001202707.2.p1	XM_002275617.4.p1
OG0011342	NM_128841.5.p1, NM_001202731.1.p1	XM_059736995.1.p1, XM_002263349.4.p1
OG0011343	NM_113493.5.p1, NM_001203048.1.p1	XM_002282513.4.p1
OG0011344	NM_121503.1.p1, NM_001203381.1.p1	XM_010660104.3.p1
OG0011345	NM_125792.2.p1, NM_001203682.1.p1	XM_059736546.1.p1
OG0011346	NM_001203734.1.p1, NM_001340406.1.p1	XM_010653818.3.p1
OG0011347	NM_001332318.1.p1, NM_101628.4.p1	XM_002280261.4.p1
OG0011348	NM_103595.4.p1, NM_130067.3.p1, NM_001333262.1.p1	XM_002275126.4.p1
OG0011349	NM_001333388.1.p1, NM_103839.5.p1	XM_010649485.3.p1, XM_002284921.5.p1, XM_010649484.3.p1
OG0011350	NM_001333427.1.p1	XM_010663830.3.p1
OG0011351	NM_001333520.1.p1	XM_010656297.3.p1
OG0011352	NM_105382.7.p1, NM_001334273.1.p1	XM_059739436.1.p1
OG0011353	NM_001334626.1.p1, NM_106067.3.p1	XM_002272965.4.p1
OG0011354	NM_001334877.1.p1	XM_010646777.3.p1
OG0011355	NM_101375.3.p1, NM_201661.2.p1, NM_001335044.1.p1	XM_010666576.3.p1
OG0011356	NM_001335068.1.p1, NM_126220.4.p1	XM_002284643.4.p1
OG0011357	NM_126491.3.p1, NM_001335237.1.p1	XM_010662678.3.p1
OG0011358	NM_001335530.1.p1	XM_019218950.2.p1
OG0011359	NM_127890.3.p1, NM_001335841.1.p1, NM_127889.1.p1	XM_010649591.3.p1
OG0011360	NM_128168.5.p1, NM_001336037.1.p1	XM_002279216.5.p1
OG0011361	NM_128562.4.p1, NM_001336238.1.p1	XM_010652583.3.p1
OG0011362	NM_179823.4.p1, NM_001336303.1.p1	XM_002278572.5.p1
OG0011363	NM_001336346.1.p1, NM_179840.2.p1	XM_059736996.1.p1
OG0011364	NM_129362.4.p1, NM_001336686.1.p1	XM_002273784.5.p1
OG0011365	NM_001337202.1.p1	XM_002264100.4.p1
OG0011366	NM_111348.2.p1, NM_001337541.1.p1	XM_002266786.4.p1
OG0011367	NM_001337629.1.p1, NM_111480.4.p1	NM_001281148.1.p1
OG0011368	NM_112877.3.p1, NM_001338424.1.p1	XM_010656252.3.p1
OG0011369	NM_001338607.1.p1	XM_059736552.1.p1
OG0011370	NM_001338666.1.p1, NM_113313.4.p1	XR_785690.3.p1, XR_785689.3.p1, XM_002270399.4.p1
OG0011371	NM_001338973.1.p1, NM_113809.3.p1	XM_010662755.3.p1, XM_010662750.3.p1, XM_010662756.3.p1
OG0011372	NM_001339340.1.p1, NM_114662.3.p1	NM_001423320.1.p1
OG0011373	NM_001339353.1.p1, NR_141363.1.p1	XM_010664868.3.p1
OG0011374	NM_001339986.1.p1	XM_003632028.4.p1
OG0011376	NM_116101.3.p1, NM_001340155.1.p1	XM_002271111.5.p1
OG0011377	NM_001340211.1.p1, NM_116202.2.p1	XM_010647832.3.p1, XM_010647831.3.p1
OG0011378	NM_001340696.1.p1	XM_002265368.4.p1
OG0011379	NM_001340771.1.p1, NM_117299.7.p1	XM_059743404.1.p1, XM_002275836.5.p1
OG0011380	NM_001340935.1.p1, NM_179052.2.p1, NM_117520.4.p1	XM_002280951.5.p1, XM_059742934.1.p1, XM_002268554.5.p1
OG0011382	NM_117968.2.p1, NM_001341291.1.p1	XM_010657193.3.p1, XM_019222460.2.p1
OG0011383	NM_118160.5.p1, NM_001341437.1.p1	XM_002276249.4.p1
OG0011384	NM_001341754.1.p1, NM_118692.3.p1	XM_010664418.3.p1, XM_010664419.3.p1
OG0011386	NM_122211.3.p1, NM_001343787.1.p1	XM_002270882.4.p1
OG0011387	NM_122313.2.p1, NM_001343839.1.p1	XM_002275690.4.p1
OG0011388	NM_001344355.1.p1, NM_001344357.1.p1	XR_009466270.1.p1, XM_002278373.4.p1
OG0011389	NM_001344857.1.p1, NM_124358.3.p1	XM_002272438.5.p1
OG0011390	NM_001344925.1.p1, NM_001344926.1.p1	XM_010658120.3.p1
OG0011391	NM_001345243.1.p1, NM_125094.3.p1	XM_010658578.3.p1
OG0011392	NM_100070.5.p1	XM_019225501.2.p1, XM_010663309.2.p1, XM_010663311.3.p1, XM_059743265.1.p1, XM_002272929.4.p1, XM_002272788.5.p1
OG0011393	NM_100123.2.p1, NR_138652.1.p1	XM_002279157.4.p1
OG0011394	NM_100240.3.p1	XM_002277753.5.p1
OG0011395	NM_100526.5.p1	XM_010658776.2.p1
OG0011396	NM_100550.3.p1	XM_059737779.1.p1
OG0011397	NM_128577.2.p1, NM_100570.2.p1	XM_010652545.3.p1, XM_002277516.4.p1
OG0011398	NM_100743.4.p1	XM_002267328.5.p1
OG0011399	NM_100847.3.p1	XM_002283853.5.p1
OG0011400	NM_101028.4.p1	XM_002264959.5.p1
OG0011401	NM_101120.3.p1	XM_002275179.3.p1
OG0011402	NM_101387.3.p1	XM_010651173.3.p1
OG0011404	NM_101513.4.p1	XM_019217069.2.p1
OG0011405	NM_101677.2.p1	XM_003634156.4.p1
OG0011406	NM_102176.1.p1, NM_102885.3.p1	XM_019225482.2.p1
OG0011407	NM_102439.3.p1	XM_010657042.3.p1
OG0011408	NM_103166.4.p1	XM_002271250.4.p1
OG0011409	NM_103272.4.p1	XM_002272259.3.p1
OG0011410	NM_103436.3.p1	XM_002273316.5.p1
OG0011411	NM_103439.7.p1	XM_019216485.2.p1
OG0011412	NM_103526.3.p1	XM_002284691.5.p1
OG0011413	NM_103576.5.p1	XM_002273795.4.p1
OG0011414	NM_103884.4.p1	XM_002264347.5.p1
OG0011415	NM_104156.3.p1	XM_002280864.4.p1
OG0011416	NM_104350.4.p1	XM_010661771.3.p1
OG0011417	NM_104413.4.p1, NM_179479.3.p1	XM_059739295.1.p1
OG0011419	NM_104669.4.p1	XM_019220644.2.p1, XM_019220643.2.p1, XM_002273066.5.p1
OG0011420	NM_104760.2.p1	XM_002267943.5.p1
OG0011421	NM_104961.4.p1	XM_002265033.5.p1
OG0011422	NM_104994.4.p1	XM_002283210.5.p1
OG0011423	NM_105130.4.p1	XM_002263143.5.p1
OG0011424	NM_105338.4.p1	XM_002271613.5.p1
OG0011427	NM_105577.3.p1	XR_785788.3.p1
OG0011428	NM_105675.2.p1	XM_002267730.4.p1
OG0011429	NM_105867.4.p1	XM_010666788.3.p1
OG0011430	NM_105916.2.p1	XM_010656140.3.p1
OG0011431	NM_105983.3.p1	XM_002267073.4.p1
OG0011432	NM_106030.2.p1	XM_002272748.4.p1
OG0011433	NM_106084.3.p1	XM_010664941.3.p1
OG0011434	NM_106395.4.p1	XM_010665891.3.p1
OG0011435	NM_106404.6.p1	XM_019223112.2.p1, XM_002278019.5.p1
OG0011436	NM_110971.4.p1, NM_202471.2.p1	XM_002284155.4.p1
OG0011437	NM_111038.4.p1	XM_002271134.4.p1
OG0011438	NM_111044.4.p1	XM_002263896.4.p1
OG0011439	NM_111140.5.p1	XM_010650611.3.p1
OG0011440	NM_111407.2.p1	XR_009467547.1.p1
OG0011442	NM_111565.6.p1	XM_010651278.3.p1
OG0011444	NM_111643.4.p1	XM_002263814.5.p1
OG0011445	NM_111680.4.p1	XM_002278022.4.p1
OG0011446	NM_111820.3.p1	XM_002265183.5.p1
OG0011447	NM_111858.2.p1	XM_002275733.4.p1
OG0011448	NM_111922.4.p1	XM_002267435.5.p1
OG0011449	NM_111948.2.p1	XM_010652580.3.p1
OG0011450	NM_112125.3.p1	XM_010646609.3.p1
OG0011451	NM_112242.3.p1	XM_059734942.1.p1
OG0011452	NM_112379.6.p1	XM_002281553.5.p1
OG0011453	NM_112969.3.p1	XM_010652983.3.p1
OG0011454	NM_113243.4.p1	XM_002285290.5.p1
OG0011455	NM_113324.5.p1	XR_009465703.1.p1
OG0011456	NM_113350.3.p1	XM_059740751.1.p1, XM_002281317.5.p1
OG0011457	NM_113410.2.p1	XM_002265684.5.p1
OG0011458	NM_114273.4.p1	XM_010653337.3.p1
OG0011459	NM_180326.3.p1, NM_202657.3.p1, NM_114374.4.p1	XM_019220831.2.p1, XM_010653505.3.p1, XM_002273817.5.p1
OG0011460	NM_114459.5.p1	XM_002263229.5.p1
