Orthogroup	Arabidopsis_thaliana_rna_prot	Solanum_lycopersicum_rna_prot
OG0007135	NM_001203378.1.p1, NM_001343325.1.p1, NM_001343324.1.p1	NM_001348376.1.p1
OG0007136	NM_122927.4.p1, NM_001203493.1.p1	XM_004228477.4.p1
OG0007137	NM_001203610.1.p1, NM_124856.4.p1	NM_001329134.1.p1, XM_010328859.3.p1
OG0007138	NM_125699.3.p1, NM_001203674.2.p1	XM_004236182.4.p1
OG0007139	NM_001203819.1.p1, NM_117829.9.p1	XM_004250240.4.p1, XM_004236613.4.p1
OG0007140	NM_001204005.1.p1, NM_148404.4.p1, NM_127347.6.p1	XM_026029503.1.p1, XM_026029502.1.p1
OG0007141	NM_100492.4.p1, NM_001331613.1.p1, NM_001331614.1.p1	XM_004240938.4.p1
OG0007142	NM_001331620.1.p1, NM_128670.5.p1	XM_010327868.3.p1
OG0007143	NM_001332004.1.p1, NM_101057.5.p1	XM_004232650.3.p1
OG0007144	NM_105784.2.p1, NM_102145.4.p1, NM_001332572.1.p1, NM_001332570.1.p1, NM_001332569.1.p1, NM_001332571.1.p1, NM_102144.3.p1	XM_004238825.3.p1
OG0007146	NM_001332751.1.p1, NM_001332749.1.p1, NM_001332747.1.p1, NM_102480.3.p1, NM_001332748.1.p1, NM_102479.5.p1	XM_004239319.3.p1, XM_010322337.3.p1
OG0007147	NM_179417.2.p1, NM_001333152.1.p1, NM_001333153.1.p1, NM_103231.4.p1, NM_001333151.1.p1, NM_001333150.1.p1	XM_010314675.3.p1, XM_004250584.4.p1
OG0007148	NM_001333219.1.p1, NM_103490.4.p1	XM_010321785.2.p1, XM_019213600.2.p1, XM_004237742.4.p1, XR_002027658.2.p1
OG0007149	NM_103605.7.p1, NM_001333264.1.p1	NM_001247322.2.p1
OG0007150	NM_001333652.1.p1, NM_104327.4.p1	NM_001246845.3.p1
OG0007151	NM_104478.5.p1, NM_001333754.1.p1	XM_010328921.3.p1
OG0007152	NM_001333825.1.p1	XM_010321916.3.p1
OG0007153	NR_139546.1.p1, NR_139547.1.p1, NM_001334395.1.p1	XM_026031057.1.p1, XM_004239397.4.p1
OG0007154	NM_106746.3.p1, NM_001335029.1.p1, NM_106718.4.p1	XM_004235880.4.p1
OG0007155	NM_001335124.1.p1, NM_126305.3.p1	XM_010315893.3.p1, XM_010315885.3.p1
OG0007156	NM_001335483.1.p1, NM_112535.4.p1	XM_010317062.3.p1
OG0007157	NM_127792.4.p1, NM_001335790.1.p1, NM_001335787.1.p1, NM_001335791.1.p1, NM_001335789.1.p1, NM_001335788.1.p1, NM_001335786.1.p1	XM_004236603.4.p1
OG0007158	NM_001336060.1.p1, NM_128192.2.p1, NM_001336062.1.p1, NM_001336059.1.p1, NM_001336061.1.p1	XM_004238262.4.p1
OG0007160	NM_001336128.1.p1, NM_201821.2.p1, NM_179777.2.p1	XM_004250970.4.p1
OG0007161	NM_100406.5.p1, NM_001336387.1.p1	XM_004251463.3.p1
OG0007162	NM_001336395.1.p1	XM_026032043.1.p1, XM_010325527.3.p1
OG0007163	NM_001336454.1.p1	XM_004247704.4.p1
OG0007164	NM_179959.4.p1, NM_001336685.1.p1	XR_743021.3.p1, XM_004246300.4.p1
OG0007166	NM_129619.5.p1, NM_001336847.1.p1	XM_004251585.4.p1
OG0007167	NM_001336876.1.p1, NM_129656.4.p1	XM_004246196.4.p1
OG0007168	NM_001337091.1.p1, NM_130021.3.p1, NM_130019.1.p1, NM_130018.2.p1, NM_130020.3.p1	XM_004240180.3.p1
OG0007169	NM_001337109.1.p1	XM_010327147.3.p1
OG0007171	NM_127228.4.p1, NM_001337258.1.p1, NM_122749.1.p1, NM_130305.6.p1	XM_026030868.1.p1, XM_004229339.3.p1
OG0007172	NM_148680.4.p1, NM_001337345.1.p1, NM_121473.4.p1, NM_001343356.1.p1	XM_010317984.3.p1
OG0007173	NM_121565.4.p1, NM_180495.2.p1, NM_001337385.1.p1	XM_004232104.4.p1
OG0007175	NM_001337563.1.p1, NM_111386.3.p1	XM_010314079.3.p1, XM_019211247.2.p1
OG0007176	NM_111853.4.p1, NM_001337860.1.p1	XM_010321353.3.p1
OG0007177	NM_112030.4.p1, NM_001337968.1.p1	XM_010319556.3.p1
OG0007178	NM_001338317.1.p1, NM_112678.4.p1	XM_004235709.4.p1
OG0007179	NM_001338587.1.p1	XR_740227.3.p1, XM_004233964.4.p1
OG0007180	NM_117020.5.p1, NM_001339061.1.p1	XM_004240307.4.p1
OG0007181	NM_001339355.1.p1, NM_001339354.1.p1, NM_001339356.1.p1	XM_010320676.3.p1
OG0007182	NM_126039.4.p1, NM_001339487.1.p1, NM_114956.3.p1	XM_004233486.4.p1
OG0007183	NM_001339630.1.p1, NM_001339631.1.p1, NM_115236.4.p1	XM_004247364.4.p1
OG0007184	NM_115296.3.p1, NM_001339663.1.p1	NM_001324470.1.p1
OG0007185	NM_001339666.1.p1, NM_148874.5.p1	XR_738300.2.p1
OG0007186	NM_001339730.1.p1, NM_115408.4.p1	XM_010322796.3.p1, XM_004239249.4.p1
OG0007187	NM_180027.3.p1, NM_001339875.1.p1	NM_001330076.1.p1, XM_004249218.4.p1
OG0007188	NM_116036.4.p1, NM_001340123.1.p1, NM_202746.2.p1	NM_001247064.3.p1
OG0007189	NM_118433.4.p1, NM_001340732.1.p1, NM_117243.4.p1	NM_001320353.1.p1
OG0007190	NM_001341198.1.p1	XM_004234280.4.p1
OG0007191	NM_179107.2.p1, NM_179108.3.p1, NM_118640.3.p1, NM_001341721.1.p1	XM_004235797.4.p1
OG0007192	NM_124726.4.p1, NM_001341882.1.p1, NM_118916.3.p1	XM_004234938.4.p1
OG0007193	NM_179137.3.p1, NM_001341955.1.p1, NM_119042.5.p1	XM_004251567.4.p1
OG0007194	NM_127440.4.p1, NM_001342003.1.p1, NM_001342004.1.p1	XM_004242875.4.p1
OG0007195	NM_001342245.1.p1	XM_026028177.1.p1, XM_010314738.3.p1
OG0007196	NM_119970.3.p1, NM_179184.2.p1, NM_001342477.1.p1	XM_004250093.4.p1
OG0007197	NM_120544.3.p1, NM_203002.4.p1, NM_001342782.1.p1	XM_004240714.4.p1, XM_019214496.2.p1, XM_010323709.3.p1
OG0007198	NM_001343095.1.p1, NM_001343096.1.p1	NM_001324427.1.p1
OG0007199	NM_001343215.1.p1, NM_001343216.1.p1, NM_001343217.1.p1, NM_121222.5.p1	XM_004245055.4.p1, XM_004245054.4.p1
OG0007200	NM_180505.3.p1, NM_121707.3.p1, NM_001343477.1.p1, NM_111179.4.p1	NM_001301177.1.p1
OG0007201	NM_001343592.1.p1, NM_121923.4.p1	XM_010324263.2.p1, XM_004229377.4.p1
OG0007202	NM_122142.4.p1, NM_001343725.1.p1	XM_004238039.4.p1
OG0007204	NM_001344462.1.p1	XM_010315325.3.p1
OG0007205	NM_001344806.1.p1, NM_124256.4.p1	XM_004245907.4.p1
OG0007206	NM_001344879.1.p1, NM_124392.2.p1, NM_001344877.1.p1, NM_001344876.1.p1, NM_001344875.1.p1	XM_004242112.3.p1, XM_004236193.4.p1
OG0007207	NM_001344928.1.p1, NM_124501.4.p1	XM_019214470.2.p1
OG0007208	NM_001345158.1.p1, NM_001345161.1.p1	XM_010325949.3.p1, XM_010325952.3.p1, XM_010325951.3.p1
OG0007210	NM_001345436.1.p1, NM_001345437.1.p1	XM_010321908.3.p1
OG0007211	NM_001345476.1.p1, NM_125543.5.p1	XM_004240713.4.p1
OG0007212	NM_001345477.1.p1, NM_125544.4.p1	XM_004240715.3.p1
OG0007213	NM_001345620.1.p1, NM_125814.3.p1	XM_004230588.4.p1
OG0007214	NM_001345748.1.p1, NM_126011.2.p1	XM_004232459.4.p1
OG0007215	NM_126079.5.p1, NM_001345802.1.p1, NM_001345803.1.p1	XR_003245722.1.p1, XM_004231993.4.p1, XR_003245723.1.p1, XR_003245721.1.p1
OG0007216	NM_116047.3.p1, NM_100012.3.p1	XM_004248035.4.p1, XM_004229942.3.p1
OG0007217	NM_100086.4.p1	XM_004235395.4.p1
OG0007218	NM_100230.7.p1	XM_004248364.4.p1
OG0007219	NM_127612.3.p1, NM_100267.4.p1, NM_123780.3.p1	XM_004243769.1.p1, XM_004243344.4.p1
OG0007220	NM_100341.4.p1	NM_001322849.1.p1
OG0007221	NM_128838.2.p1, NM_100364.4.p1	XM_004240163.4.p1, XM_004247810.4.p1, XM_010328529.3.p1
OG0007222	NM_100563.4.p1, NM_128597.3.p1	XM_010322061.3.p1, XM_010322060.3.p1
OG0007223	NM_100573.4.p1, NM_125229.4.p1	NM_001247463.2.p1
OG0007224	NM_100887.3.p1	XM_004242901.4.p1, XM_026031917.1.p1, XM_019214832.2.p1
OG0007225	NM_100968.3.p1, NM_104773.7.p1	XM_004231289.4.p1
OG0007226	NM_104783.3.p1, NM_100979.4.p1	XM_004232797.4.p1
OG0007227	NM_104983.5.p1, NM_101134.5.p1	XM_004245602.4.p1, XM_004244554.3.p1, XM_004252530.4.p1
OG0007228	NM_104996.6.p1, NM_101148.4.p1	XM_004245586.4.p1
OG0007229	NM_101308.4.p1, NM_126329.4.p1	NM_001302900.1.p1
OG0007230	NM_101530.4.p1, NM_106551.4.p1	XM_004248670.3.p1, XM_004230878.4.p1
OG0007231	NM_101631.2.p1	XM_004242811.4.p1
OG0007232	NM_101695.5.p1	XM_010320328.3.p1
OG0007233	NM_106182.4.p1, NM_101814.5.p1, NM_101813.2.p1	NM_001247893.2.p1
OG0007234	NM_101870.3.p1, NM_101869.2.p1	XM_004228871.4.p1, XM_004238330.4.p1
OG0007235	NM_101904.4.p1, NM_106276.5.p1	XM_004238370.3.p1
OG0007236	NM_126182.4.p1	XM_004238845.4.p1
OG0007237	NM_102345.4.p1	XM_010322457.3.p1, XM_010322456.3.p1
OG0007238	NM_102564.3.p1	XM_004239195.4.p1
OG0007239	NM_102636.2.p1	XM_010314336.2.p1
OG0007240	NM_102770.4.p1	NM_001309897.1.p1
OG0007241	NM_102794.2.p1	XM_004233837.4.p1
OG0007242	NM_103007.2.p1	XM_004245803.4.p1
OG0007243	NM_202228.3.p1, NM_103056.5.p1	XM_004230460.4.p1, XR_003243948.1.p1
OG0007244	NM_202232.2.p1, NM_103145.4.p1	XM_004237826.4.p1
OG0007245	NM_103165.2.p1	XM_004250542.4.p1, XM_004250329.4.p1
OG0007246	NM_106326.8.p1, NM_103481.4.p1	XM_004237754.4.p1
OG0007247	NM_103496.3.p1	XM_004237726.4.p1
OG0007248	NM_202241.2.p1, NM_202240.2.p1, NM_103548.5.p1	XM_004241981.4.p1, XM_004250263.4.p1
OG0007249	NM_103749.2.p1, NM_115257.6.p1, NM_202697.4.p1	NM_001319064.1.p1
OG0007250	NM_103989.5.p1	XM_010317705.3.p1
OG0007251	NM_104113.5.p1	XM_026030789.1.p1, XM_004237780.4.p1, XM_004237781.4.p1
OG0007252	NM_112414.3.p1, NM_104171.3.p1	XM_004236533.4.p1
OG0007253	NM_104214.6.p1	XM_004235332.4.p1, XR_002027385.2.p1
OG0007254	NM_104335.5.p1	XM_026032447.1.p1
OG0007255	NM_104429.4.p1	XM_010317383.3.p1, XM_010317471.3.p1
OG0007256	NM_104434.4.p1	NM_001247250.1.p1
OG0007257	NM_104942.4.p1	NM_001321644.1.p1, XM_004235238.4.p1
OG0007258	NM_123569.3.p1, NM_105127.4.p1	XM_004245444.4.p1
OG0007259	NM_105233.5.p1	XM_026028110.1.p1
OG0007260	NM_121636.3.p1	XM_004246207.4.p1
OG0007261	NM_105279.5.p1	XM_004239581.4.p1
OG0007262	NM_105405.1.p1	XM_026030548.1.p1, XM_026030547.1.p1
OG0007263	NM_105466.3.p1	XM_004240887.3.p1
OG0007264	NM_105527.5.p1	XM_004236912.4.p1, XM_004238889.3.p1
OG0007265	NM_105596.2.p1, NM_105570.3.p1	XM_010326827.3.p1
OG0007266	NM_105585.3.p1	XM_004228801.4.p1, XM_004238984.4.p1
OG0007267	NM_105627.3.p1	XM_004238774.4.p1
OG0007268	NM_105817.3.p1	XM_004250668.4.p1, XM_010314757.3.p1
OG0007269	NM_105855.4.p1	XM_004241780.4.p1, XM_010314633.1.p1
OG0007270	NM_105862.5.p1	NM_001320055.1.p1
OG0007271	NM_106086.5.p1	XM_004232978.4.p1
OG0007272	NM_106264.3.p1	XR_003244628.1.p1
OG0007273	NM_106582.4.p1, NR_143553.1.p1, NM_106581.3.p1	NM_001279269.1.p1
OG0007274	NM_106740.5.p1	NM_001246906.2.p1, XM_004241628.4.p1
OG0007275	NM_111100.3.p1	XM_004242496.4.p1
OG0007276	NM_111260.4.p1, NM_180178.2.p1	XM_004234772.4.p1
OG0007277	NM_111382.5.p1	XM_004230088.2.p1
OG0007278	NM_122631.4.p1, NM_111401.5.p1	XM_010314337.3.p1
OG0007279	NM_111420.2.p1	XM_010314776.3.p1
OG0007280	NM_111514.3.p1, NM_117652.4.p1	XM_004229171.4.p1
OG0007281	NM_111585.5.p1	XM_004242348.4.p1, NM_001247453.1.p1
OG0007282	NM_111606.2.p1, NM_111602.4.p1	XM_004247022.4.p1, XM_004242366.4.p1
OG0007283	NM_111619.5.p1	XM_019215661.2.p1, XM_004246986.4.p1
OG0007284	NM_111893.4.p1, NM_120545.2.p1, NM_111892.2.p1	NM_001323301.1.p1, NM_001323299.1.p1
OG0007285	NM_112160.4.p1	XM_004248296.4.p1
OG0007286	NM_112318.2.p1	XM_004248443.4.p1
OG0007287	NM_148749.2.p1, NM_112477.2.p1	XM_010320235.3.p1, XM_010324381.3.p1
OG0007288	NM_112675.5.p1	XM_004235755.3.p1
OG0007289	NM_126194.6.p1, NM_112688.6.p1	XM_004235714.4.p1
OG0007290	NM_120968.3.p1, NM_112867.5.p1	XM_004230024.4.p1
OG0007291	NM_113053.7.p1	XM_019215184.2.p1, XM_026030977.1.p1, XM_004229415.4.p1
OG0007292	NM_123750.4.p1	XM_004247563.4.p1
OG0007293	NM_113287.3.p1	XM_004239804.4.p1, XM_004247835.4.p1
OG0007294	NM_113310.4.p1	XM_010328505.3.p1, XM_004239823.4.p1
OG0007295	NM_113323.4.p1	XM_010328523.3.p1
OG0007296	NM_114070.4.p1	XM_019214121.2.p1, XM_004239235.4.p1
OG0007297	NM_114351.5.p1	NM_001346869.1.p1
OG0007298	NM_114446.4.p1	XM_004251233.4.p1
OG0007299	NM_114598.3.p1, NM_125251.3.p1	XM_004246704.4.p1
OG0007300	NM_114684.5.p1	XM_004236106.4.p1
OG0007301	NM_114695.2.p1	XM_010320716.3.p1, XM_004236219.4.p1, XM_010320717.3.p1
OG0007302	NM_114973.3.p1	XM_019212393.2.p1
OG0007303	NM_115038.3.p1	XM_004234505.4.p1, XM_004246687.4.p1
OG0007304	NM_115090.4.p1	XM_004251215.3.p1, XM_010323399.3.p1
OG0007305	NM_115121.5.p1	XM_004246450.4.p1
OG0007306	NM_115178.6.p1	XM_004249422.4.p1
OG0007307	NM_115300.3.p1, NM_120785.4.p1	XM_004229983.4.p1
OG0007308	NM_115370.4.p1	NM_001320711.1.p1, XM_004239382.4.p1
OG0007309	NM_129582.3.p1, NM_115461.3.p1	XM_026029993.1.p1, XM_026029997.1.p1, XM_026029995.1.p1, XM_026029994.1.p1, XM_026030000.1.p1, XM_026029999.1.p1, XM_026029996.1.p1, XM_010319933.3.p1, XM_026029998.1.p1, XM_026030001.1.p1
OG0007310	NM_115470.2.p1	XM_010322321.3.p1
OG0007311	NM_120607.2.p1, NM_115494.3.p1	XM_004240815.4.p1, XM_004240188.2.p1
OG0007312	NM_115579.3.p1	XM_010313811.3.p1, XM_004249175.4.p1
OG0007313	NM_115910.2.p1	XM_026027813.1.p1, XM_004231104.4.p1
OG0007314	NM_118401.6.p1, NM_116168.5.p1	XM_004242276.4.p1
OG0007315	NM_180412.2.p1, NM_116215.4.p1	XM_004229595.4.p1
OG0007316	NM_116280.4.p1, NM_202762.2.p1, NM_202763.1.p1	XR_003247372.1.p1, XR_003247373.1.p1, XM_004229879.4.p1
OG0007317	NM_116350.3.p1	XM_004229917.4.p1
OG0007318	NM_116418.3.p1	XM_004229135.4.p1
OG0007319	NM_116432.5.p1	XM_010324053.3.p1
OG0007320	NM_116443.6.p1	XM_010323571.2.p1
OG0007321	NM_116463.2.p1, NM_116465.2.p1	XM_004247352.4.p1, XM_010323554.2.p1
OG0007322	NM_116544.4.p1	XM_004242478.4.p1, XM_010328312.3.p1, XM_004247427.4.p1
OG0007323	NM_116554.3.p1	XM_004242270.4.p1
OG0007324	NM_116901.4.p1	NM_001347360.1.p1, NM_001347359.1.p1
OG0007325	NM_202234.3.p1, NM_117002.3.p1	XM_004234477.4.p1
OG0007326	NM_117033.3.p1	XM_004252506.4.p1
OG0007327	NM_117050.3.p1	XM_010328066.3.p1, XM_019215815.2.p1
OG0007329	NM_117152.5.p1, NM_202801.1.p1	NM_001279278.1.p1, XM_019215351.1.p1
OG0007330	NM_117213.4.p1	XM_026027761.1.p1, XM_010327576.3.p1
OG0007331	NM_117256.3.p1	XM_004245615.2.p1
OG0007332	NM_117345.3.p1	XM_010327423.3.p1, XM_004246202.4.p1
OG0007333	NM_117352.2.p1	XM_004246948.3.p1, XM_010327942.2.p1
OG0007334	NM_117411.2.p1	XM_004252007.4.p1
OG0007335	NM_117569.2.p1	XM_010328370.3.p1, XM_026033068.1.p1, XM_004241002.4.p1
OG0007336	NM_117654.3.p1, NM_117653.6.p1	XM_010328304.3.p1, XM_004229169.4.p1
OG0007337	NM_117842.3.p1	XM_004244515.4.p1, XM_010326284.3.p1
OG0007338	NM_124082.5.p1, NM_117868.6.p1	XM_004244507.4.p1, XM_004245777.2.p1
OG0007339	NM_123961.4.p1, NM_117962.3.p1	XM_004248091.4.p1
OG0007340	NM_118393.3.p1	XM_004245675.4.p1
OG0007341	NM_118398.5.p1	XM_004233192.4.p1
OG0007342	NM_118595.5.p1	NM_001247654.3.p1
OG0007343	NM_118636.3.p1	XM_004241410.4.p1, XM_004241411.4.p1, XM_010320023.3.p1, XM_004235307.4.p1
OG0007344	NM_118821.6.p1, NM_179227.3.p1	XM_004239605.4.p1
OG0007345	NM_119101.4.p1	XM_004242918.4.p1
OG0007346	NM_119207.3.p1	XR_003247388.1.p1, XM_004242555.4.p1, XM_026031844.1.p1
OG0007347	NM_119225.3.p1	XM_004242573.4.p1
OG0007348	NM_119536.4.p1	XM_004230630.4.p1, XM_010316868.3.p1
OG0007349	NM_120030.4.p1, NM_119658.3.p1	XM_004230965.3.p1, XM_019211932.2.p1, XM_004248613.4.p1
OG0007350	NM_119826.8.p1	XM_010318067.3.p1, XM_019212399.2.p1, XM_004232363.4.p1, XM_004243134.4.p1
OG0007351	NM_179236.3.p1, NM_120021.2.p1	XM_010329112.2.p1, XM_010317077.3.p1
OG0007352	NM_120155.4.p1	XM_019213842.2.p1, XM_010323142.3.p1
OG0007353	NM_125250.3.p1, NM_120215.5.p1	XM_004246706.4.p1
OG0007354	NM_120261.4.p1	XM_004246221.4.p1
OG0007356	NM_120845.5.p1	XM_004239965.4.p1
OG0007357	NM_120881.3.p1	NM_001302915.1.p1
OG0007358	NM_120936.4.p1	XM_004229957.4.p1
OG0007359	NM_121242.5.p1, NM_203040.1.p1	XM_004243677.4.p1, XM_004245010.4.p1
OG0007360	NM_121264.3.p1	XM_004250834.4.p1
OG0007361	NM_121350.4.p1	XM_004229636.4.p1
OG0007362	NM_121375.5.p1	XM_004229608.2.p1, XM_010326415.3.p1
OG0007363	NM_180485.3.p1, NM_121392.3.p1	XM_004238831.4.p1
OG0007364	NM_121464.2.p1	XM_026029564.1.p1
OG0007365	NM_121695.2.p1	XM_004235253.2.p1, XR_003246045.1.p1
OG0007366	NM_121815.3.p1	XM_004234761.4.p1
OG0007367	NM_121973.5.p1	XM_004239217.4.p1
OG0007368	NM_122012.3.p1	XM_004240480.4.p1
OG0007369	NM_122135.6.p1	XM_004251032.4.p1
OG0007370	NM_122393.3.p1	XM_004233201.4.p1
OG0007371	NM_122459.3.p1	XR_003247651.1.p1, XR_003247649.1.p1, XR_003247648.1.p1, XM_004245147.4.p1
OG0007372	NM_123545.4.p1	XM_004245485.4.p1
OG0007373	NM_123574.3.p1	XM_004244611.4.p1
OG0007374	NM_123645.4.p1	NM_001247479.1.p1
OG0007375	NM_123848.4.p1	XM_004233863.4.p1
OG0007376	NM_124027.3.p1	XM_004229460.4.p1
OG0007377	NM_124072.3.p1	XR_742579.3.p1, XM_004244502.4.p1, XM_010327236.3.p1, XM_004245807.4.p1
OG0007378	NM_124153.6.p1	XM_010320913.3.p1, XM_004236597.4.p1
OG0007379	NM_124269.3.p1	XM_026032234.1.p1
OG0007380	NM_124421.2.p1	XR_002028265.2.p1, XM_004243651.4.p1, XR_003247483.1.p1
OG0007381	NM_124476.3.p1	XM_010320371.3.p1, XM_010315933.3.p1
OG0007382	NM_124805.3.p1	XM_004248231.4.p1, XM_004251443.4.p1
OG0007383	NM_124864.5.p1	XM_010324434.3.p1
OG0007384	NM_124941.3.p1	XM_004244012.1.p1, XR_002028204.2.p1, XM_010325973.3.p1
OG0007385	NM_203210.2.p1, NM_124943.5.p1	XM_004237324.4.p1
OG0007386	NM_125160.6.p1	XM_010324929.3.p1
OG0007387	NM_203246.3.p1, NM_125561.4.p1	NM_001328409.1.p1
OG0007388	NM_126052.3.p1	XR_740763.3.p1, XM_004236169.4.p1
OG0007389	NM_126205.4.p1	XM_004238787.4.p1
OG0007390	NM_126238.3.p1	XM_004236879.4.p1
OG0007391	NM_126487.4.p1	XM_004243440.4.p1
OG0007392	NM_127325.2.p1	XM_004232477.4.p1, XM_026029497.1.p1
OG0007393	NM_127387.3.p1	XM_004233475.4.p1
OG0007394	NM_127633.3.p1	XM_019214967.2.p1, XM_004243294.4.p1
OG0007395	NM_127716.3.p1	XM_010317019.3.p1
OG0007396	NM_128208.5.p1	XM_004238142.4.p1
OG0007397	NM_128818.3.p1	XM_004243446.3.p1
OG0007398	NM_128850.3.p1	XM_010323257.3.p1
OG0007399	NM_129348.4.p1	XM_010327522.3.p1
OG0007400	NM_129607.4.p1	XM_004240858.4.p1
OG0007401	NM_129903.3.p1	XM_019211603.2.p1
OG0007402	NM_130057.4.p1, NM_130056.6.p1	XM_010324035.3.p1
OG0007403	NM_130310.3.p1	XM_004230256.4.p1
OG0007404	NM_130368.4.p1	XM_004247433.4.p1
OG0007405	NM_148436.4.p1	XM_010325174.3.p1, XM_019215400.2.p1
OG0007406	NM_148464.3.p1	XM_004238778.4.p1
OG0007407	NM_148733.3.p1	XM_004236784.4.p1
OG0007408	NM_148863.4.p1	XM_004236265.3.p1
OG0007409	NM_178981.2.p1, NM_178980.2.p1	XM_004238087.4.p1
OG0007410	NM_179078.3.p1	XM_010317337.3.p1, XM_026029321.1.p1, XM_010318675.2.p1
OG0007411	NM_180066.3.p1	XM_004251206.4.p1, XM_019211089.2.p1
OG0007412	NM_180827.3.p1	XM_004239808.4.p1
OG0007413	NM_202069.3.p1	XM_010318409.3.p1, XM_004232779.4.p1
OG0007414	NM_202921.2.p1	XM_004249377.4.p1
OG0007460	NM_001084055.3.p1, NM_001084056.1.p1, NM_001035954.4.p1	XM_010324183.3.p1, XM_004241376.4.p1
OG0007461	NM_001036005.2.p1, NM_102134.3.p1, NM_105807.2.p1	NM_001247394.1.p1
OG0007462	NM_106113.4.p1, NM_001334653.1.p1, NM_001036204.3.p1	XM_026030132.1.p1, XM_004235947.4.p1
OG0007463	NM_001036485.4.p1	XM_004245525.4.p1
OG0007464	NM_001036570.1.p1, NM_001341051.1.p1, NM_117643.4.p1, NM_001084927.2.p1	XM_010324648.3.p1
OG0007465	NM_179226.3.p1, NM_001036679.1.p1	NM_001279088.2.p1
OG0007466	NM_103795.1.p1, NM_122479.4.p1, NM_001344024.1.p1, NM_122646.4.p1, NM_001036877.2.p1	XM_004229645.4.p1
OG0007467	NM_001036989.2.p1, NM_001125952.2.p1, NM_001345045.1.p1	XR_740262.3.p1, XR_740263.3.p1
OG0007468	NM_124895.3.p1, NM_001036999.1.p1	XM_026032167.1.p1, XM_004244049.4.p1
OG0007469	NM_001084066.1.p1, NM_202098.3.p1	XM_004236847.4.p1
OG0007470	NM_001335732.1.p1, NM_001084462.1.p1	XM_004230837.4.p1, XR_003244037.1.p1, XM_004248617.3.p1
OG0007471	NM_001084520.1.p1	XM_010315688.3.p1, XM_004251933.4.p1, XM_004252995.4.p1, XM_010316489.3.p1
OG0007472	NM_001336838.1.p1, NM_129603.4.p1, NM_001084561.2.p1	XM_026029288.1.p1, XM_004233217.4.p1
OG0007473	NM_001084575.1.p1	XM_004247931.4.p1
OG0007474	NM_001341394.1.p1, NM_118124.3.p1, NM_001084941.2.p1	XM_004233219.4.p1
OG0007475	NM_001342369.1.p1, NM_001085027.2.p1, NM_119743.4.p1	XM_004232485.3.p1
OG0007476	NM_001345688.1.p1, NM_001345689.1.p1, NM_001345690.1.p1, NM_001085096.1.p1	XM_010314343.3.p1
OG0007477	NM_001085141.1.p1, NM_122100.4.p1	NM_001309904.1.p1
OG0007479	NM_001085252.1.p1, NM_180810.3.p1	NM_001329218.1.p1
OG0007480	NM_001333780.1.p1, NM_001124036.2.p1	XM_004230258.4.p1
OG0007481	NM_111527.3.p1, NM_001125119.2.p1	XM_010320438.2.p1
OG0007482	NM_001125213.2.p1	XM_004245952.4.p1
OG0007483	NM_001125214.2.p1, NM_113294.3.p1	XM_010326347.3.p1
OG0007484	NM_001125316.2.p1, NM_001339339.1.p1	XM_010320659.3.p1, XM_004241513.4.p1
OG0007485	NM_119370.5.p1, NM_001125620.1.p1	XM_010320680.3.p1, XM_026030062.1.p1
OG0007486	NM_120028.5.p1, NM_001125668.2.p1, NM_001342509.1.p1	XM_004230975.4.p1
OG0007489	NM_147871.6.p1, NM_001203424.1.p1, NM_001161257.2.p1	XM_004228835.4.p1, XM_010316017.3.p1, XM_004250839.3.p1
OG0007490	NM_001198036.2.p1	NM_001247694.1.p1
OG0007491	NM_101047.3.p1, NM_001198037.1.p1	NM_001247755.1.p1
OG0007492	NM_101296.5.p1, NM_001198063.1.p1	XM_004238743.4.p1
OG0007493	NM_001198128.1.p1, NM_102013.5.p1	XM_004241999.4.p1, XM_026028074.1.p1
OG0007494	NM_102014.6.p1, NM_001198129.1.p1	XM_010314150.3.p1
OG0007495	NM_001198195.1.p1	XM_010327289.3.p1, XM_026032377.1.p1, XM_026032375.1.p1, XM_004241711.4.p1
OG0007496	NM_103855.5.p1, NM_001198253.1.p1	XM_004230735.4.p1
OG0007497	NM_001198285.1.p1, NM_104253.3.p1	XM_004241861.4.p1
OG0007498	NM_001198333.1.p1, NM_104605.4.p1	XM_004237966.4.p1, XM_019211280.2.p1
OG0007499	NM_001198391.1.p1, NM_105221.3.p1	XM_004250028.3.p1
OG0007500	NM_119208.2.p1, NM_127964.5.p1, NM_001202657.1.p1	XM_004244475.4.p1
OG0007501	NM_129831.5.p1, NM_001202805.1.p1	XM_004251820.4.p1
OG0007502	NM_130083.5.p1, NM_001202819.1.p1	XM_004229746.4.p1
OG0007503	NM_001202977.2.p1, NM_104120.4.p1	XM_004235652.4.p1
OG0007504	NM_001203024.1.p1	XM_004251900.3.p1, XM_019211650.2.p1, XM_026028563.1.p1
OG0007505	NM_180693.2.p1, NM_001203242.1.p1	XM_004229629.4.p1
OG0007506	NM_001203459.1.p1, NM_122390.4.p1	XM_004246028.4.p1, XM_010327363.3.p1
OG0007507	NM_123632.5.p1, NM_001203523.1.p1	XM_004252727.4.p1
OG0007508	NM_101257.4.p1, NM_001332097.1.p1, NM_125517.4.p1, NM_001203657.1.p1	NM_001318123.1.p1
OG0007509	NM_116778.4.p1, NM_001203753.1.p1, NM_179403.4.p1	XM_004231519.4.p1
