Orthogroup	Arabidopsis_thaliana_rna_prot	Zea_mays_rna_prot
OG0007289	NM_126194.6.p1, NM_112688.6.p1	NM_001175156.1.p1, XR_563420.4.p1
OG0007290	NM_120968.3.p1, NM_112867.5.p1	XM_008660033.3.p1
OG0007291	NM_113053.7.p1	XR_004851742.1.p1, NM_001143151.1.p1
OG0007292	NM_113185.4.p1, NM_123750.4.p1	XM_035966771.1.p1, XM_008667180.4.p1
OG0007293	NM_113287.3.p1	XM_008665940.3.p1, NM_001157472.1.p1, NM_001153856.2.p1
OG0007294	NM_113310.4.p1, NM_114386.2.p1	XM_020544413.3.p1
OG0007295	NM_113323.4.p1	XM_008671844.3.p1, XM_008674730.4.p1
OG0007296	NM_114070.4.p1	NM_001367196.1.p1
OG0007298	NM_114446.4.p1	XM_020551728.2.p1, NM_001323298.1.p1, XM_008679497.4.p1
OG0007299	NM_114598.3.p1, NM_125251.3.p1	NM_001136586.2.p1, NM_001158021.1.p1
OG0007300	NM_114684.5.p1	XM_035967982.1.p1
OG0007301	NM_114695.2.p1	NM_001368189.1.p1, XR_002263909.3.p1
OG0007302	NM_114973.3.p1	XM_020553308.2.p1
OG0007303	NM_115038.3.p1	NM_001158765.2.p1
OG0007304	NM_115090.4.p1	XM_020546655.2.p1
OG0007305	NM_115121.5.p1	NM_001157807.1.p1
OG0007306	NM_115178.6.p1	XM_023301342.2.p1, XM_023301341.2.p1, XM_035964276.1.p1, XM_008666691.3.p1
OG0007307	NM_115300.3.p1, NM_120785.4.p1	NM_001136834.2.p1
OG0007308	NM_115370.4.p1	NM_001360667.1.p1, XM_020553203.3.p1, NM_001150530.2.p1
OG0007310	NM_115470.2.p1	NM_001148994.2.p1, XR_564934.4.p1
OG0007311	NM_120607.2.p1, NM_115494.3.p1	NM_001137389.1.p1
OG0007312	NM_115579.3.p1	XR_004849920.1.p1
OG0007313	NM_115910.2.p1	XM_020545522.3.p1
OG0007314	NM_118401.6.p1, NM_116168.5.p1	NM_001111702.1.p1, NM_001362800.1.p1
OG0007315	NM_180412.2.p1, NM_116215.4.p1	XR_004852834.1.p1, XM_008662175.3.p1
OG0007316	NM_116280.4.p1, NM_202762.2.p1, NM_202763.1.p1	XM_008645551.2.p1
OG0007317	NM_116350.3.p1	NM_001159176.1.p1, NM_001177186.1.p1
OG0007318	NM_116418.3.p1	NM_001147074.1.p1
OG0007319	NM_116432.5.p1	NM_001152256.1.p1
OG0007320	NM_116443.6.p1	NM_001352444.1.p1, XM_020540328.3.p1
OG0007321	NM_116463.2.p1, NM_116465.2.p1	XM_008655242.4.p1, NM_001153213.1.p1
OG0007322	NM_116544.4.p1	XM_008674762.4.p1
OG0007323	NM_116554.3.p1	XM_023301121.2.p1, NM_001150442.2.p1, XM_008676153.3.p1
OG0007324	NM_116901.4.p1	XM_035964787.1.p1, XM_008669701.3.p1, XM_008669703.4.p1
OG0007325	NM_202234.3.p1, NM_117002.3.p1	XM_008645549.4.p1, NM_001371976.1.p1, XM_008678607.2.p1, XM_008678609.3.p1
OG0007326	NM_117033.3.p1	NM_001154843.2.p1, XM_008679007.4.p1, NM_001320850.1.p1
OG0007327	NM_117050.3.p1	XM_008653965.2.p1
OG0007328	NM_117117.3.p1, NM_117118.5.p1	NM_001365475.1.p1
OG0007329	NM_117152.5.p1, NM_202801.1.p1	NM_001367097.1.p1, NM_001137251.1.p1
OG0007330	NM_117213.4.p1	XM_020543271.3.p1, NM_001112256.2.p1
OG0007331	NM_117256.3.p1	XM_008650652.4.p1, NM_001361005.1.p1
OG0007332	NM_117345.3.p1	XM_023300251.2.p1, NM_001350170.1.p1
OG0007333	NM_117352.2.p1	NM_001138799.2.p1, XM_035965654.1.p1, XM_020549490.2.p1
OG0007334	NM_117411.2.p1	NM_001152795.2.p1
OG0007335	NM_117569.2.p1	NM_001149833.1.p1, NM_001150325.3.p1
OG0007336	NM_117654.3.p1, NM_117653.6.p1	NM_001137348.1.p2
OG0007337	NM_117842.3.p1	XM_008672188.4.p1
OG0007338	NM_124082.5.p1, NM_117868.6.p1	XM_008681752.4.p1, NM_001174176.1.p1
OG0007339	NM_123961.4.p1, NM_117962.3.p1	XM_008664128.3.p1, NM_001112447.2.p1
OG0007340	NM_118393.3.p1	NM_001156637.1.p1
OG0007341	NM_118398.5.p1	NM_001148370.1.p1, XR_553950.4.p1, XM_008649369.4.p1, XM_008649366.4.p1, XR_002262601.3.p1, XM_008649365.4.p1
OG0007342	NM_118595.5.p1	XM_008653198.4.p1, NM_001368326.1.p1, NM_001175506.1.p1
OG0007344	NM_118821.6.p1, NM_179227.3.p1	NM_001152274.1.p1, NM_001156345.2.p1
OG0007346	NM_119207.3.p1	XM_035968075.1.p1, NM_001367186.1.p1
OG0007347	NM_119225.3.p1	NR_161407.1.p1, XM_008645807.3.p1, NM_001361940.1.p1, XM_008681689.4.p1
OG0007348	NM_119536.4.p1	NM_001321779.1.p1, XM_020549066.2.p1
OG0007349	NM_120030.4.p1, NM_119658.3.p1	XM_008670239.4.p1, NM_001176577.1.p1
OG0007350	NM_119826.8.p1	XR_002266544.1.p1, NM_001351047.1.p1, XR_002266545.1.p1, XM_020546899.2.p1
OG0007351	NM_179236.3.p1, NM_120021.2.p1	XM_008671361.3.p1, NM_001352177.1.p1
OG0007352	NM_120155.4.p1	XM_008647593.3.p1
OG0007354	NM_120261.4.p1	XM_008651535.4.p1, XM_008676656.4.p1, XM_008658889.4.p1
OG0007355	NM_120276.5.p1	NM_001155504.1.p1
OG0007356	NM_120845.5.p1	XM_035964907.1.p1
OG0007357	NM_120881.3.p1	NM_001147820.2.p1, XM_008680536.4.p1, NM_001152839.1.p1
OG0007358	NM_120936.4.p1	XM_008661136.3.p1
OG0007359	NM_121242.5.p1, NM_203040.1.p1	NM_001152823.1.p1, NM_001358073.1.p1, XR_004857232.1.p1, NM_001153204.1.p1
OG0007360	NM_121264.3.p1	XR_002750276.2.p1, XM_008675716.4.p1
OG0007361	NM_121350.4.p1	NM_001327874.1.p1
OG0007362	NM_121375.5.p1	NM_001138022.2.p1, NM_001174388.1.p1, XM_020541122.1.p1
OG0007363	NM_180485.3.p1, NM_121392.3.p1	XM_035964916.1.p1, XM_020547884.3.p1, XM_020547883.3.p1, XM_020547880.3.p1, XM_020547881.3.p1, XM_020547882.3.p1
OG0007364	NM_121464.2.p1	NM_001148204.1.p1
OG0007365	NM_121695.2.p1	XM_008674238.4.p1
OG0007366	NM_121815.3.p1	NM_001155647.1.p1
OG0007367	NM_121973.5.p1	NM_001142978.1.p1
OG0007368	NM_122012.3.p1	NR_159811.1.p1
OG0007369	NM_122135.6.p1	XM_020537588.3.p1, XM_020537587.3.p1, XM_008646063.4.p1, XM_035958862.1.p1, NM_001111726.2.p1, XM_035967128.1.p1
OG0007370	NM_122393.3.p1	NM_001153428.1.p1, XM_008678943.4.p1, XM_008678942.4.p1, XM_008678944.2.p1
OG0007371	NM_122459.3.p1	XM_008657200.4.p1, XM_035961571.1.p1
OG0007372	NM_123545.4.p1	XM_008677123.4.p1
OG0007373	NM_123574.3.p1	XM_020544266.2.p1, NM_001147879.2.p1, NM_001147438.1.p1
OG0007374	NM_123645.4.p1	NM_001147433.1.p1, NM_001158995.2.p1
OG0007375	NM_123848.4.p1	XM_008672203.4.p1, XM_008654874.3.p1
OG0007376	NM_124027.3.p1	XM_008660327.3.p1, NM_001155420.2.p1
OG0007377	NM_124072.3.p1	XM_008670177.2.p1, XM_008653374.4.p1, XM_008653372.4.p1
OG0007378	NM_124153.6.p1	XM_020537937.1.p1, NM_001152303.1.p1
OG0007379	NM_124269.3.p1	NM_001174652.1.p1
OG0007380	NM_124421.2.p1	XM_008680067.3.p1
OG0007381	NM_124476.3.p1	NM_001148131.1.p1, XM_035958979.1.p1, XM_008646106.3.p1
OG0007382	NM_124805.3.p1	XM_035961494.1.p1, NM_001147976.1.p1
OG0007383	NM_124864.5.p1	XM_008650809.3.p1, XM_020539368.2.p1
OG0007384	NM_124941.3.p1	XM_008655112.4.p1
OG0007385	NM_203210.2.p1, NM_124943.5.p1	NM_001150264.1.p1
OG0007386	NM_125160.6.p1	NM_001348127.1.p1, XM_008672995.3.p1
OG0007387	NM_203246.3.p1, NM_125561.4.p1	XM_035967865.1.p1
OG0007388	NM_126052.3.p1	NM_001359390.1.p1, NM_001359391.1.p1
OG0007389	NM_126205.4.p1	XM_008647927.2.p1
OG0007390	NM_126238.3.p1	XM_008671947.2.p1, NM_001350753.1.p1
OG0007391	NM_126487.4.p1	NM_001146990.1.p1
OG0007393	NM_127387.3.p1	NM_001155176.1.p1, NM_001196738.1.p1
OG0007394	NM_127633.3.p1	XM_008663794.3.p1, NM_001157380.1.p1, NM_001155882.2.p1
OG0007395	NM_127716.3.p1	XM_020537833.2.p1, XR_004849333.1.p1
OG0007396	NM_128208.5.p1	XM_035964128.1.p1, XM_008663196.4.p1, XM_008663191.4.p1, XM_008663185.4.p1
OG0007397	NM_128818.3.p1	XM_008674417.3.p1
OG0007398	NM_128850.3.p1	XM_020549195.1.p1, XR_004856536.1.p1, XM_020548708.3.p1, XM_020548706.2.p1
OG0007399	NM_129348.4.p1	NM_001149594.2.p1
OG0007401	NM_129903.3.p1	XM_008672098.3.p1
OG0007402	NM_130057.4.p1, NM_130056.6.p1	XM_008657408.4.p1
OG0007403	NM_130310.3.p1	NM_001156951.1.p1
OG0007404	NM_130368.4.p1	NM_001139158.2.p1
OG0007405	NM_148436.4.p1	XM_008674098.3.p1, XM_008674097.2.p1
OG0007406	NM_148464.3.p1	XM_008653247.4.p1
OG0007407	NM_148733.3.p1	XM_008645185.4.p1, NM_001151669.2.p1
OG0007408	NM_148863.4.p1	XM_008658744.3.p1, XM_020545573.2.p1
OG0007409	NM_178981.2.p1, NM_178980.2.p1	XM_008647706.2.p1
OG0007410	NM_179078.3.p1	XM_020548378.2.p1, XM_020548379.3.p1, XM_020544869.2.p1
OG0007411	NM_180066.3.p1	XM_008645347.3.p1
OG0007412	NM_180827.3.p1	NM_001320764.1.p1
OG0007413	NM_202069.3.p1	NM_001371037.1.p1
OG0007414	NM_202921.2.p1	XM_008649222.2.p1
OG0007460	NM_001084055.3.p1, NM_001084056.1.p1, NM_001035954.4.p1	XM_020547732.3.p1
OG0007461	NM_001036005.2.p1, NM_102134.3.p1, NM_105807.2.p1	NM_001301499.1.p1
OG0007462	NM_106113.4.p1, NM_001334653.1.p1, NM_001036204.3.p1	NM_001136649.1.p1
OG0007463	NM_001036485.4.p1	NM_001138507.1.p1
OG0007464	NM_001036570.1.p1, NM_001341051.1.p1, NM_117643.4.p1, NM_001084927.2.p1	NM_001358399.1.p1, NM_001112268.2.p1
OG0007465	NM_179226.3.p1, NM_001036679.1.p1	NM_001143434.2.p1, NM_001174480.1.p1
OG0007466	NM_103795.1.p1, NM_122479.4.p1, NM_001344024.1.p1, NM_122646.4.p1, NM_001036877.2.p1	NM_001360043.1.p1
OG0007467	NM_001036989.2.p1, NM_001125952.2.p1, NM_001345045.1.p1	XM_008674883.4.p1, XR_004856962.1.p1, XR_004856961.1.p1, XM_035965944.1.p1
OG0007468	NM_124895.3.p1, NM_001036999.1.p1	XM_008661021.3.p1, XR_002264779.2.p1, XM_008678233.4.p1, NM_001301626.1.p1, XM_023302151.2.p1, XM_035966615.1.p1, XM_008678234.3.p1
OG0007469	NM_001084066.1.p1, NM_202098.3.p1	XM_008670495.3.p1, NM_001177165.1.p1
OG0007470	NM_001335732.1.p1, NM_001084462.1.p1	NM_001138170.2.p1, NM_001136656.2.p1
OG0007471	NM_001084520.1.p1	NM_001153241.2.p1
OG0007472	NM_001336838.1.p1, NM_129603.4.p1, NM_001084561.2.p1	NM_001371825.1.p1
OG0007473	NM_001084575.1.p1	XR_004851764.1.p1
OG0007474	NM_001341394.1.p1, NM_118124.3.p1, NM_001084941.2.p1	NM_001137357.1.p1, XM_035964497.1.p1
OG0007475	NM_001342369.1.p1, NM_001085027.2.p1, NM_119743.4.p1	NM_001320712.1.p1
OG0007476	NM_001345688.1.p1, NM_001345689.1.p1, NM_001345690.1.p1, NM_001085096.1.p1	NM_001362358.1.p1
OG0007477	NM_001085141.1.p1, NM_122100.4.p1	NM_001155009.1.p1, NM_001196840.1.p1, NM_001138988.1.p1
OG0007479	NM_001085252.1.p1, NM_180810.3.p1	NM_001143080.1.p1
OG0007480	NM_001333780.1.p1, NM_001124036.2.p1	NM_001150859.1.p1, NM_001149442.3.p1
OG0007481	NM_111527.3.p1, NM_001125119.2.p1	NM_001112398.2.p1
OG0007482	NM_001125213.2.p1	XM_008654071.2.p1, XM_020548466.3.p1
OG0007483	NM_001125214.2.p1, NM_113294.3.p1	NM_001321354.1.p1, NM_001359309.1.p1
OG0007484	NM_001125316.2.p1, NM_001339339.1.p1	XM_008659916.4.p1, XM_008659918.4.p1, NM_001360559.1.p1
OG0007485	NM_119370.5.p1, NM_001125620.1.p1	XM_008654771.4.p1
OG0007487	NM_001126003.1.p1, NM_125586.4.p1	NM_001321769.1.p1
OG0007488	NM_001337764.1.p1	XM_020541868.3.p1
OG0007489	NM_147871.6.p1, NM_001203424.1.p1, NM_001161257.2.p1	NM_001147615.1.p1
OG0007490	NM_001198036.2.p1	NM_001112545.2.p1, XM_008663058.3.p1, NM_001112546.1.p1
OG0007491	NM_101047.3.p1, NM_001198037.1.p1	NM_001147240.1.p1
OG0007492	NM_101296.5.p1, NM_001198063.1.p1	XM_008645524.4.p1
OG0007493	NM_001198128.1.p1, NM_102013.5.p1	XR_004857950.1.p1, XM_008681429.3.p1, XM_008671562.3.p1, XR_004856329.1.p1
OG0007494	NM_102014.6.p1, NM_001198129.1.p1	XM_020548408.1.p1, XR_004856328.1.p1
OG0007495	NM_001198195.1.p1	XM_008660414.4.p1, XM_008660413.4.p1, NM_001368240.1.p1
OG0007496	NM_103855.5.p1, NM_001198253.1.p1	NM_001326462.1.p1
OG0007497	NM_001198285.1.p1, NM_104253.3.p1	NM_001366099.1.p1
OG0007498	NM_001198333.1.p1, NM_104605.4.p1	XM_035965033.1.p1, XM_035965035.1.p1, XM_035965032.1.p1
OG0007499	NM_001198391.1.p1, NM_105221.3.p1	XM_008658761.3.p1, XM_008676481.2.p1
OG0007500	NM_119208.2.p1, NM_127964.5.p1, NM_001202657.1.p1	NM_001360163.1.p1, NM_001147827.1.p1
OG0007501	NM_129831.5.p1, NM_001202805.1.p1	XM_020539083.3.p1, XM_020539084.3.p1, NM_001361667.1.p1
OG0007502	NM_130083.5.p1, NM_001202819.1.p1	NM_001157678.1.p1
OG0007504	NM_001203024.1.p1	NM_001360459.1.p1, NM_001148218.2.p1
OG0007505	NM_180693.2.p1, NM_001203242.1.p1	XM_008669605.3.p1, XM_008655196.3.p1
OG0007506	NM_001203459.1.p1, NM_122390.4.p1	XM_020539079.2.p1, XM_020539080.2.p1
OG0007507	NM_123632.5.p1, NM_001203523.1.p1	XM_008666304.3.p1, NM_001158204.2.p1
OG0007508	NM_101257.4.p1, NM_001332097.1.p1, NM_125517.4.p1, NM_001203657.1.p1	NM_001139286.1.p1
OG0007509	NM_116778.4.p1, NM_001203753.1.p1, NM_179403.4.p1	NM_001139290.1.p1, XM_008652732.4.p1, NM_001308480.1.p1
OG0007510	NM_001341432.1.p1, NM_001203851.2.p1, NM_001341434.1.p1, NM_001341430.1.p1, NM_001341426.1.p1, NM_001341429.1.p1, NM_001341433.1.p1	NR_153803.1.p1, NM_001358670.1.p1
OG0007511	NM_127582.3.p1, NM_001203935.1.p1	NM_001361646.1.p1
OG0007512	NM_001331467.1.p1, NM_100301.5.p1	NM_001174863.1.p1, NM_001176309.1.p1
OG0007513	NM_100638.5.p1, NM_001331714.1.p1	XM_020540955.3.p1, XM_008654363.3.p1, XM_008654364.4.p1, XM_020540954.3.p1
OG0007514	NM_101071.3.p1, NM_001332016.1.p1, NM_104913.4.p1	XM_008660846.4.p1, NM_001361423.1.p1
OG0007515	NM_102078.3.p1, NM_001332545.1.p1, NM_102076.4.p1	XM_008664056.4.p1, XR_004853071.1.p1
OG0007516	NM_001332655.1.p1, NM_001332660.1.p1	XR_002268203.3.p1
OG0007517	NM_001332789.1.p1, NM_001332790.1.p1, NM_102555.3.p1	XM_008660997.3.p1
OG0007518	NM_001333039.1.p1	XM_020538684.3.p1, XM_008647994.2.p1
OG0007520	NM_001333414.1.p1, NM_001333411.1.p1, NM_103886.4.p1, NM_001333412.1.p1, NM_001333410.1.p1, NM_001333407.1.p1, NM_001333408.1.p1	XM_035958715.1.p1, XM_008645726.3.p1
OG0007521	NM_001333610.1.p1	NM_001137300.1.p1, XM_035964495.1.p1
OG0007522	NM_001333678.1.p1, NM_111399.5.p1	NM_001367769.1.p1
OG0007523	NM_105201.5.p1, NM_001334200.1.p1	XM_020545031.3.p1
OG0007524	NM_105648.4.p1, NM_001334427.1.p1	NM_001159271.1.p1, XM_035965932.1.p1
OG0007525	NM_001334525.1.p1, NM_001334524.1.p1	NM_001156473.1.p1
OG0007526	NM_001334829.1.p1, NM_106500.3.p1	NM_001137277.2.p1
OG0007527	NM_001334921.1.p1, NM_001334923.1.p1, NM_106628.3.p1	XM_008679084.4.p1, NM_001156645.1.p1
OG0007528	NM_126365.4.p1, NM_001335167.1.p1, NM_001335168.1.p1	XM_008654538.3.p1
OG0007529	NM_001335198.1.p1, NM_126415.6.p1	NM_001309858.1.p1
OG0007530	NM_001335249.1.p1, NM_001335252.1.p1	XM_008645176.1.p1
OG0007531	NM_001335532.1.p1	NM_001139346.1.p1
OG0007532	NM_119702.5.p1, NM_127289.4.p1, NM_127287.5.p1, NM_001335546.1.p1	NM_001156082.1.p1
OG0007533	NM_001335620.1.p1, NM_127465.4.p1	NM_001351851.1.p1
OG0007534	NM_001335744.1.p1, NM_201776.3.p1	NM_001174850.1.p1
OG0007535	NM_001335869.1.p1, NM_001335868.1.p1	NM_001177240.2.p1, XM_020540675.3.p1, XM_020540676.2.p1
OG0007536	NM_128103.3.p1, NM_001335997.1.p1	XM_035961611.1.p1, XM_008657473.3.p1, XM_020550081.3.p1
OG0007537	NM_114454.3.p1, NM_001336181.1.p1	XM_035959363.1.p1, XM_008649087.3.p1
OG0007538	NM_001337997.1.p1, NM_001336786.1.p1, NM_001336789.1.p1, NM_001336787.1.p1	NM_001361540.1.p1, XM_008674869.3.p1, XM_008674873.4.p1
OG0007539	NM_180064.3.p1, NM_001337024.1.p1	NM_001175933.1.p1
OG0007540	NM_001337047.1.p1, NM_129918.3.p1	XM_020546644.3.p1
OG0007541	NM_111022.3.p1, NM_001337347.1.p1, NM_121458.4.p1	NM_001147176.1.p1, NM_001154314.2.p1
OG0007542	NM_111073.4.p1, NM_001337380.1.p1	NM_001138051.1.p1, NM_001154131.2.p1, XM_008669686.4.p1
OG0007543	NM_001343466.1.p1, NM_121685.5.p1, NM_001337451.1.p1	XM_008652042.2.p1, XM_008660446.3.p1
OG0007544	NM_111398.3.p1, NM_001337572.1.p1	NM_001372152.1.p1
OG0007545	NM_001337781.1.p1, NM_001337779.1.p1, NM_001337776.1.p1, NM_001337778.1.p1, NM_001337782.1.p1, NM_001337780.1.p1	XM_008672460.3.p1
OG0007546	NM_001337867.1.p1, NM_001342753.1.p1, NM_120495.3.p1	NM_001175090.1.p1
OG0007547	NM_001338004.1.p1, NM_001338003.1.p1, NM_112099.3.p1, NM_001338005.1.p1	XM_008671059.3.p1, XM_008671061.3.p1, NM_001155399.1.p1
OG0007548	NM_001338150.1.p1, NM_112377.2.p1	NM_001138274.1.p1
OG0007549	NM_001338210.1.p1	NM_001155350.1.p1
OG0007551	NM_001338395.1.p1, NM_112831.5.p1	XM_020540568.3.p1, NM_001367216.1.p1
OG0007552	NM_001338695.1.p1	XM_008647319.4.p1
OG0007554	NM_001338858.1.p1	NM_001358658.1.p1, XM_020549467.3.p1, XM_020549468.3.p1, XM_035965639.1.p1, XM_020549472.3.p1, XM_020549470.2.p1, XM_020549471.3.p1
OG0007555	NM_001339016.1.p1, NM_113853.4.p1	NM_001349841.1.p1, XR_004853350.1.p1, XM_023301174.1.p1
OG0007556	NM_001339038.1.p1, NM_113902.4.p1	XM_008655108.3.p1, NM_001153622.1.p1
OG0007558	NM_114766.1.p1, NM_001339397.1.p1	XM_020547087.2.p1, NM_001143326.1.p1
OG0007559	NM_115042.3.p1, NM_001339534.1.p1	XM_035962095.1.p1, NM_001367758.1.p1
OG0007560	NM_001339792.1.p1, NM_129629.3.p1	XM_020547995.3.p1, NM_001153930.1.p1, NM_001111379.2.p1
OG0007561	NM_001340266.1.p1, NM_116299.3.p1	XM_008670787.3.p1
OG0007562	NM_001340355.1.p1, NM_001340356.1.p1, NM_001340357.1.p1, NM_116433.3.p1	XM_020540337.3.p1, XM_035960914.1.p1, XM_008660805.4.p1, XM_008660804.3.p1, XM_008660808.4.p1
OG0007563	NM_001340515.1.p1, NM_116726.4.p1, NM_001340516.1.p1	NM_001139094.1.p1
OG0007564	NM_001340686.1.p1, NM_117148.5.p1	NM_001136742.1.p1
OG0007565	NM_001340694.1.p1	XM_020552956.2.p1, XM_020552960.3.p1, XM_020552959.2.p1
OG0007566	NM_001340847.1.p1, NM_001340849.1.p1, NM_117406.3.p1, NM_001340848.1.p1	NM_001360044.1.p1
OG0007567	NM_001341335.1.p1, NM_118059.3.p1	NM_001158271.1.p1
OG0007568	NM_116718.3.p1, NM_116722.4.p1, NM_001341518.1.p1, NM_118306.7.p1	NM_001147750.1.p1
OG0007569	NM_001341901.1.p1, NM_001341902.1.p1, NM_118940.5.p1	XM_008652549.4.p1, XM_035960333.1.p1, XM_020540264.3.p1
OG0007570	NM_001342166.1.p1, NM_119418.3.p1, NM_202937.1.p1	XM_035961281.1.p1, XM_008656112.3.p1, XR_563433.4.p1
OG0007571	NM_119434.4.p1, NM_001342177.1.p1	NM_001197000.1.p1
OG0007572	NM_001342303.1.p1, NM_001342304.1.p1, NM_001342306.1.p1, NM_119650.4.p1, NM_001342305.1.p1, NM_120040.4.p1	XM_035966972.1.p1, NM_001159186.1.p1, XM_020540333.1.p1
OG0007574	NM_120526.5.p1, NM_001342773.1.p1	NM_001149546.2.p1
OG0007575	NM_001342887.1.p1, NM_120742.3.p1	NM_001245914.1.p1, XR_002750228.2.p1, XR_004856887.1.p1, XR_002750229.2.p1, XM_023301826.2.p1
OG0007576	NM_120900.6.p1, NM_001342991.1.p1, NM_001342988.1.p1, NM_001342989.1.p1	NM_001326440.1.p1
OG0007577	NM_001343090.1.p1, NM_121053.5.p1	NM_001374067.1.p1
OG0007578	NM_121118.5.p1, NM_001343138.1.p1, NM_122415.2.p1	XM_008647100.3.p1, XM_035968122.1.p1, XM_035968123.1.p1, XM_035959094.1.p1
OG0007579	NM_001343192.1.p1	XM_008677139.4.p1, XM_008677138.3.p1, NM_001138029.1.p1
OG0007580	NM_001343232.1.p1, NM_001343234.1.p1	NM_001151319.1.p1
OG0007581	NM_001343275.1.p1, NM_001343276.1.p1, NM_001343274.1.p1, NM_121351.5.p1	XM_008674889.4.p1
OG0007583	NM_001343457.1.p1, NM_203062.2.p1, NM_121667.4.p1	XM_020544475.2.p1
OG0007585	NM_001343985.1.p1	XM_008665309.3.p1
OG0007586	NM_001344000.1.p1, NM_001343999.1.p1, NM_001344001.1.p1, NM_001344002.1.p1	XM_008660658.3.p1
OG0007587	NM_001344105.1.p1, NM_122937.3.p1	NM_001136705.2.p1, XM_008658382.4.p1
OG0007588	NM_123392.2.p1, NM_001344319.1.p1	XM_035965711.1.p1
OG0007589	NM_001344668.1.p1, NM_001344670.1.p1, NM_001344669.1.p1, NM_123997.3.p1	NM_001138435.2.p1, NM_001112248.2.p1
OG0007590	NM_124080.3.p1, NM_001344707.1.p1	NM_001357793.1.p1
OG0007592	NM_125715.5.p1, NM_001345582.1.p1	NM_001196571.1.p1
OG0007593	NM_099991.4.p1	NM_001147287.1.p1
OG0007594	NM_100192.2.p1	XM_035958995.1.p1
OG0007595	NM_100248.5.p1, NM_202024.2.p1	NM_001196458.1.p1
OG0007596	NM_100304.5.p1, NM_123738.3.p1	XM_020552997.1.p1
OG0007598	NM_100368.3.p1	XM_008673997.3.p1
OG0007599	NM_100485.3.p1	NM_001369248.1.p1
OG0007600	NM_100585.2.p1	NM_001158684.1.p1, XM_008649675.4.p1
OG0007601	NM_100610.4.p1, NM_128511.2.p1	NM_001372164.1.p1, XM_035962286.1.p1
OG0007602	NM_100632.3.p1	XM_008664616.3.p1, XR_004853176.1.p1, XM_008664617.3.p1, XR_004853175.1.p1, XM_008664615.4.p1
OG0007603	NM_100714.3.p1, NM_128278.3.p1	NM_001362635.1.p1
OG0007604	NM_100772.5.p1	XM_020539545.3.p1, XM_008651383.3.p1, XM_020539546.3.p1, XM_035960196.1.p1, XM_008651384.3.p1
OG0007605	NM_100960.3.p1	NM_001147304.1.p1, NM_001153423.1.p1, XM_008663637.3.p1, XM_035963028.1.p1
OG0007607	NM_101016.4.p1	NM_001157794.2.p1
OG0007608	NM_104869.3.p1, NM_101036.3.p1	NM_001147899.1.p1
OG0007609	NM_101343.2.p1	NM_001153640.1.p1, NM_001347222.1.p1
OG0007611	NM_101501.3.p1, NM_106595.4.p1	NM_001196123.1.p1, NM_001353088.1.p1
OG0007612	NM_101524.3.p1, NM_127183.3.p1	XM_008646387.4.p1
OG0007613	NM_101647.5.p1	NM_001154405.2.p1, NM_001366974.1.p1, XM_008666592.4.p1
OG0007614	NM_101679.4.p1	NM_001151817.1.p1, XM_035960300.1.p1, XM_020544590.1.p1
OG0007615	NM_101718.5.p1	NM_001151231.1.p1
OG0007616	NM_101825.3.p1	XM_020549436.3.p1, NM_001359562.1.p1
OG0007617	NM_105702.4.p1, NM_102227.4.p1	NM_001146871.1.p1
OG0007618	NM_102512.3.p1	XM_008668004.4.p1
OG0007619	NM_102639.3.p1	NM_001373996.1.p1
OG0007620	NM_102708.3.p1, NM_123936.4.p1, NM_118009.3.p1	NM_001159228.1.p1, NM_001320111.1.p1
OG0007621	NM_102857.2.p1	NM_001176947.2.p1
OG0007622	NM_102911.3.p1	NM_001362584.1.p1
OG0007623	NM_102913.3.p1	NM_001137914.1.p1
OG0007624	NM_102940.6.p1	NM_001155751.1.p1, NM_001152775.1.p1, NM_001154786.2.p1
OG0007626	NM_123673.3.p1, NM_122676.2.p1, NM_103613.3.p1	NM_001151608.2.p1, XM_008648847.1.p1, XM_020537920.1.p1
OG0007627	NM_103713.3.p1	NM_001366952.1.p1
OG0007629	NM_103872.4.p1	NM_001143156.1.p1, NM_001148542.1.p1
OG0007630	NM_104036.3.p1	XM_020547656.1.p1, NM_001152557.1.p1
OG0007631	NM_104263.5.p1	XM_008679424.3.p1, XM_008679422.3.p1
OG0007632	NM_104509.4.p1, NM_104508.2.p1	NM_001357634.1.p1
OG0007633	NM_104977.3.p1	NM_001372144.1.p1, NM_001156947.1.p1
OG0007634	NM_105065.3.p1	NM_001370706.1.p1
OG0007635	NM_105113.4.p1	NM_001147045.1.p1, XM_008657830.3.p1
OG0007636	NM_105323.3.p1	NM_001155639.2.p1
OG0007637	NM_105422.4.p1	XM_020547624.3.p1, XM_035964702.1.p1, XM_020547625.3.p1, XM_035964701.1.p1, NM_001151384.2.p1
OG0007638	NM_105437.5.p1	XR_004856922.1.p1, NM_001320530.1.p1
OG0007639	NM_105480.3.p1	NM_001137726.1.p1
OG0007640	NM_105538.3.p1	NM_001154850.1.p1, NM_001370566.1.p1
OG0007641	NM_105589.4.p1, NM_179534.2.p1	XM_008667209.3.p1, XR_004855640.1.p1
OG0007643	NM_105803.5.p1	NM_001359587.1.p1
OG0007644	NM_105898.7.p1	XM_008681534.3.p1
OG0007645	NM_106155.4.p1	NM_001112446.2.p1
