Orthogroup	Arabidopsis_thaliana_rna_prot	Quercus_robur_rna_prot
OG0006964	NM_114072.4.p1	XM_050397483.1.p1
OG0006965	NM_114690.3.p1	XM_050402073.1.p1, XM_050402072.1.p1, XM_050402071.1.p1, XM_050402068.1.p1, XM_050402069.1.p1, XM_050403264.1.p1, XM_050402063.1.p1, XM_050403266.1.p1
OG0006966	NM_114831.1.p1	XM_050436042.1.p1
OG0006967	NM_114927.4.p1	XM_050435476.1.p1
OG0006968	NM_115026.2.p1	XM_050388100.1.p1
OG0006969	NM_115081.4.p1	XM_050426104.1.p1, XM_050426103.1.p1
OG0006970	NM_115169.3.p1	XM_050387420.1.p1, XM_050387419.1.p1, XM_050387417.1.p1, XM_050387415.1.p1, XM_050387416.1.p1
OG0006971	NM_129427.5.p1, NM_115285.3.p1	XM_050425623.1.p1
OG0006972	NM_115840.5.p1	XM_050424108.1.p1, XM_050402648.1.p1
OG0006973	NM_116135.3.p1, NM_130347.5.p1	XM_050384073.1.p1, XM_050409501.1.p1
OG0006974	NM_130375.3.p1, NM_116528.6.p1	XM_050411102.1.p1
OG0006975	NM_116657.4.p1	XM_050411912.1.p1
OG0006976	NM_118232.2.p1, NM_116780.3.p1	XM_050417569.1.p1
OG0006977	NM_117417.4.p1	XM_050383268.1.p1
OG0006978	NM_117498.4.p1	XM_050436637.1.p1
OG0006979	NM_117588.3.p1, NM_202825.3.p1, NM_202824.2.p1	XM_050425026.1.p1
OG0006980	NM_117637.5.p1	XM_050384369.1.p1
OG0006981	NM_117766.5.p1	XM_050410936.1.p1
OG0006982	NM_117861.3.p1	XM_050409385.1.p1
OG0006983	NM_117940.2.p1, NM_129049.3.p1	XM_050418780.1.p1
OG0006984	NM_118010.5.p1	XM_050431569.1.p1
OG0006985	NM_123912.3.p1, NM_123917.4.p1, NM_118024.2.p1	XM_050434592.1.p1
OG0006986	NM_118267.5.p1	XM_050433089.1.p1
OG0006987	NM_202876.2.p1, NM_118548.3.p1	XM_050411649.1.p1
OG0006988	NM_118623.2.p1	XM_050400134.1.p1
OG0006989	NM_124436.4.p1, NM_118626.3.p1	XM_050400008.1.p1
OG0006990	NM_127618.4.p1, NM_118989.6.p1	XM_050392412.1.p1, XM_050392413.1.p1
OG0006991	NM_119038.4.p1	XM_050410129.1.p1, XM_050408039.1.p1, XM_050412523.1.p1
OG0006992	NM_128087.4.p1, NM_119364.4.p1	XM_050412418.1.p1
OG0006993	NM_128088.5.p1, NM_119365.5.p1	XM_050412424.1.p1
OG0006994	NM_202936.1.p1, NM_119417.4.p1	XM_050409414.1.p1
OG0006995	NM_119475.3.p1	XM_050412156.1.p1
OG0006996	NM_127204.3.p1, NM_119637.3.p1, NM_202955.1.p1	XM_050404189.1.p1
OG0006997	NM_119741.3.p1	XM_050385677.1.p1
OG0006998	NM_202975.2.p1, NM_119984.2.p1	XM_050405557.1.p1
OG0006999	NM_119989.5.p1	XM_050404627.1.p1, XM_050404625.1.p1
OG0007000	NM_120629.3.p1, NM_129587.3.p1	XM_050395585.1.p1
OG0007001	NM_120674.4.p1	XM_050414367.1.p1
OG0007002	NM_120796.3.p1, NM_125238.5.p1	XM_050384496.1.p1
OG0007003	NM_120815.3.p1	XM_050402144.1.p1
OG0007004	NM_120910.3.p1, NM_122226.4.p1	XM_050429558.1.p1
OG0007005	NM_120926.3.p1	XM_050421598.1.p1
OG0007006	NM_120938.4.p1	XM_050420338.1.p1
OG0007007	NM_203267.2.p1, NM_125916.3.p1, NM_121044.3.p1	XM_050385818.1.p1
OG0007008	NM_127789.4.p1, NM_121054.5.p1	XM_050407215.1.p1
OG0007009	NM_121110.2.p1	XM_050412209.1.p1
OG0007010	NM_121228.5.p1	XM_050414255.1.p1
OG0007011	NM_121727.3.p1	XM_050398235.1.p1
OG0007012	NM_122024.4.p1	XM_050415924.1.p1
OG0007013	NM_122027.4.p1	XM_050415995.1.p1
OG0007014	NM_122159.4.p1	XM_050425427.1.p1
OG0007014	NM_129200.4.p1	XM_050387481.1.p1, XM_050395832.1.p1
OG0007015	NM_122481.3.p1	XM_050398525.1.p1
OG0007016	NM_122653.4.p1	XM_050418023.1.p1
OG0007017	NM_123212.3.p1	XM_050413841.1.p1
OG0007018	NM_123512.3.p1	XM_050396445.1.p1, XM_050396447.1.p1
OG0007019	NM_123629.4.p1	XM_050411365.1.p1
OG0007020	NM_123932.2.p1, NM_123933.3.p1	XM_050431582.1.p1
OG0007021	NM_123990.3.p1	XM_050407183.1.p1
OG0007022	NM_124059.4.p1	XM_050409563.1.p1
OG0007023	NM_124335.3.p1	XM_050419048.1.p1
OG0007024	NM_124492.3.p1	XM_050418471.1.p1, XM_050418436.1.p1, XM_050418445.1.p1
OG0007025	NM_124663.1.p1	XM_050397875.1.p1
OG0007026	NM_124768.4.p1	XM_050391651.1.p1
OG0007027	NM_125061.4.p1, NM_125060.1.p1	XM_050414304.1.p1, XM_050414305.1.p1
OG0007028	NM_125188.3.p1	XM_050416287.1.p1
OG0007029	NM_125492.5.p1	XM_050400290.1.p1, XM_050413252.1.p1
OG0007030	NM_125623.3.p1	XM_050397535.1.p1
OG0007031	NM_125957.3.p1	XM_050436151.1.p1
OG0007032	NM_126159.4.p1	XM_050435980.1.p1
OG0007033	NM_126343.5.p1	XM_050421097.1.p1
OG0007034	NM_126400.3.p1	XM_050415841.1.p1
OG0007035	NM_126486.6.p1	XM_050391927.1.p1
OG0007036	NM_127089.4.p1	XM_050405045.1.p1
OG0007037	NM_127361.3.p1	XM_050436378.1.p1
OG0007038	NM_127382.4.p1	XM_050435380.1.p1
OG0007039	NM_127902.6.p1	XM_050435818.1.p1, XM_050435817.1.p1, XM_050435815.1.p1, XM_050435816.1.p1
OG0007040	NM_128068.3.p1	XM_050412328.1.p1
OG0007041	NM_128151.4.p1	XM_050408890.1.p1, XM_050434782.1.p1
OG0007042	NM_128152.3.p1	XM_050410570.1.p1
OG0007043	NM_128257.4.p1	XM_050389104.1.p1, XM_050389105.1.p1
OG0007044	NM_128327.5.p1	XM_050425260.1.p1
OG0007045	NM_128409.2.p1	XM_050414182.1.p1
OG0007046	NM_128580.5.p1	XM_050433098.1.p1, XM_050422600.1.p1
OG0007047	NM_128651.5.p1	XM_050392534.1.p1
OG0007048	NM_129018.4.p1	XM_050431875.1.p1
OG0007049	NM_129019.5.p1	XM_050431907.1.p1
OG0007050	NM_129087.3.p1	XM_050410472.1.p1
OG0007051	NM_129255.3.p1	XM_050387126.1.p1
OG0007052	NM_129659.3.p1	XM_050389202.1.p1
OG0007053	NM_180094.3.p1, NM_130046.4.p1	XM_050427154.1.p1
OG0007054	NM_130076.2.p1	XM_050426182.1.p1
OG0007055	NM_130184.3.p1	XM_050424253.1.p1
OG0007056	NM_130244.7.p1	XM_050397349.1.p1, XM_050393569.1.p1
OG0007057	NM_130328.3.p1	XM_050407822.1.p1, XM_050407823.1.p1
OG0007058	NM_148369.3.p1	XM_050430977.1.p1
OG0007059	NM_179281.2.p1	XM_050425976.1.p1, XM_050425997.1.p1
OG0007060	NM_179533.3.p1	XM_050421633.1.p1
OG0007061	NM_179919.2.p1	XM_050411151.1.p1
OG0007062	NM_180060.3.p1	XM_050402682.1.p1, XM_050402683.1.p1
OG0007063	NM_202334.2.p1	XM_050430898.1.p1, XM_050430899.1.p1
OG0007098	NM_001035856.3.p1, NM_100072.4.p1, NM_001331316.1.p1, NM_001331314.1.p1	XM_050393830.1.p1
OG0007099	NM_126313.4.p1, NM_001035878.2.p1, NM_179596.3.p1	XM_050417078.1.p1, XM_050417080.1.p1, XM_050417081.1.p1
OG0007100	NM_101051.3.p1, NM_001035947.1.p1	XM_050392047.1.p1, XM_050392046.1.p1, XM_050432578.1.p1
OG0007101	NM_001035951.3.p1	XM_050426242.1.p1, XM_050426244.1.p1, XM_050426243.1.p1
OG0007102	NM_001035952.3.p1, NM_001035953.2.p1, NM_101123.4.p1	XM_050409260.1.p1
OG0007103	NM_102720.4.p1, NM_001036033.1.p1	XM_050431545.1.p1
OG0007104	NM_101609.4.p1, NM_001036193.2.p1	XM_050429431.1.p1
OG0007105	NM_001336722.1.p1, NM_129428.4.p1, NM_001036432.2.p1	XM_050425490.1.p1
OG0007106	NM_001036749.4.p1, NM_114479.5.p1	XM_050387206.1.p1
OG0007107	NM_001036803.1.p1, NM_121424.6.p1, NM_001332948.1.p1, NM_106704.4.p1	XM_050430767.1.p1
OG0007108	NM_001036915.4.p1, NM_123541.5.p1	XM_050424242.1.p1, XM_050413108.1.p1
OG0007109	NM_001197981.1.p1, NM_001083991.2.p1, NM_001083990.1.p1, NM_001331506.1.p1	XR_007654628.1.p1, XM_050428436.1.p1
OG0007110	NM_103012.4.p1, NM_001334177.1.p1, NM_001084304.1.p1	XM_050412880.1.p1
OG0007111	NM_127211.4.p1, NM_127686.4.p1, NM_001084461.1.p1	XM_050404855.1.p1
OG0007112	NM_001084648.3.p1	XM_050383943.1.p1
OG0007113	NM_001084701.1.p1, NM_202600.1.p1, NM_180275.3.p1	XM_050383586.1.p1
OG0007114	NM_118966.3.p1, NM_001084986.1.p1	XM_050392300.1.p1
OG0007115	NM_122901.4.p1, NM_001085167.1.p1	XM_050416166.1.p1
OG0007116	NM_001123762.2.p1, NM_100442.5.p1	XM_050400240.1.p1, XM_050419604.1.p1
OG0007117	NM_001124046.2.p1	XM_050405791.1.p1
OG0007118	NM_001124787.1.p1	XM_050421509.1.p1
OG0007120	NM_001124920.1.p1, NM_128224.3.p1, NM_105640.4.p1	XM_050415963.1.p1
OG0007121	NM_001124921.2.p1	XM_050427344.1.p1, XM_050427324.1.p1
OG0007122	NM_001341834.1.p1, NM_001341835.1.p1, NM_001125594.1.p1, NM_001125595.2.p1, NM_001125593.1.p1, NM_118838.5.p1	XM_050391039.1.p1, XM_050399391.1.p1
OG0007123	NM_001160818.2.p1	XM_050435780.1.p1
OG0007124	NM_105955.4.p1, NM_001160997.1.p1	XM_050429640.1.p1
OG0007125	NM_001342568.1.p1, NM_001342569.1.p1, NM_120177.7.p1, NM_001161216.1.p1	XM_050388297.1.p1, XM_050388298.1.p1
OG0007126	NM_113576.4.p1, NM_001198048.1.p1, NM_001332055.1.p1	XM_050414614.1.p1, XM_050420046.1.p1
OG0007127	NM_001198070.1.p1, NM_001198071.1.p1, NM_001198072.1.p1	XM_050404470.1.p1
OG0007128	NM_001198172.1.p1, NM_102428.4.p1	XM_050421325.1.p1, XM_050421326.1.p1
OG0007129	NM_117265.2.p1, NM_118419.3.p1, NM_001198367.1.p1, NM_001334058.1.p1	XM_050410373.1.p1
OG0007130	NM_001198411.2.p1, NM_001198410.1.p1	XM_050420212.1.p1
OG0007131	NM_179358.3.p1, NM_101757.3.p1, NM_001198469.1.p1, NM_106142.3.p1	XM_050399498.1.p1
OG0007132	NM_106188.3.p1, NM_001198472.1.p1	XM_050407391.1.p1
OG0007133	NM_001202752.1.p1	XM_050404880.1.p1
OG0007134	NM_001203364.1.p1, NM_121260.3.p1	XM_050427478.1.p1, XM_050427471.1.p1, XM_050427460.1.p1, XM_050427443.1.p1
OG0007135	NM_001203378.1.p1, NM_001343325.1.p1, NM_001343324.1.p1	XM_050414887.1.p1, XM_050414889.1.p1
OG0007136	NM_122927.4.p1, NM_001203493.1.p1	XM_050411778.1.p1, XM_050403642.1.p1
OG0007137	NM_001203610.1.p1, NM_124856.4.p1	XM_050391216.1.p1
OG0007138	NM_125699.3.p1, NM_001203674.2.p1	XM_050400087.1.p1, XM_050400088.1.p1
OG0007139	NM_001203819.1.p1, NM_117829.9.p1	XM_050432334.1.p1
OG0007140	NM_001204005.1.p1, NM_148404.4.p1, NM_127347.6.p1	XM_050436432.1.p1, XM_050436433.1.p1
OG0007141	NM_100492.4.p1, NM_001331613.1.p1, NM_001331614.1.p1	XM_050399970.1.p1
OG0007142	NM_001331620.1.p1, NM_128670.5.p1	XM_050395690.1.p1, XM_050395692.1.p1, XM_050395688.1.p1
OG0007143	NM_001332004.1.p1, NM_101057.5.p1	XM_050432536.1.p1, XM_050416791.1.p1
OG0007144	NM_105784.2.p1, NM_102145.4.p1, NM_001332572.1.p1, NM_001332570.1.p1, NM_001332569.1.p1, NM_001332571.1.p1, NM_102144.3.p1	XM_050417539.1.p1
OG0007146	NM_001332751.1.p1, NM_001332749.1.p1, NM_001332747.1.p1, NM_102480.3.p1, NM_001332748.1.p1, NM_102479.5.p1	XM_050420958.1.p1, XM_050420962.1.p1, XM_050420961.1.p1
OG0007148	NM_001333219.1.p1, NM_103490.4.p1	XM_050412614.1.p1
OG0007149	NM_103605.7.p1, NM_001333264.1.p1	XM_050410724.1.p1
OG0007150	NM_001333652.1.p1, NM_104327.4.p1	XM_050418905.1.p1
OG0007151	NM_104478.5.p1, NM_001333754.1.p1	XR_007653618.1.p1, XM_050423481.1.p1
OG0007152	NM_001333825.1.p1	XM_050395470.1.p1
OG0007153	NR_139546.1.p1, NR_139547.1.p1, NM_001334395.1.p1	XM_050421691.1.p1
OG0007154	NM_106746.3.p1, NM_001335029.1.p1, NM_106718.4.p1	XM_050414686.1.p1, XM_050414685.1.p1
OG0007155	NM_001335124.1.p1, NM_126305.3.p1	XM_050417114.1.p1, XM_050417113.1.p1
OG0007156	NM_001335483.1.p1, NM_112535.4.p1	XR_007648460.1.p1
OG0007157	NM_127792.4.p1, NM_001335790.1.p1, NM_001335787.1.p1, NM_001335791.1.p1, NM_001335789.1.p1, NM_001335788.1.p1, NM_001335786.1.p1	XM_050432289.1.p1
OG0007158	NM_001336060.1.p1, NM_128192.2.p1, NM_001336062.1.p1, NM_001336059.1.p1, NM_001336061.1.p1	XM_050422585.1.p1
OG0007159	NM_128204.5.p1, NM_001336071.1.p1	XM_050396274.1.p1
OG0007160	NM_001336128.1.p1, NM_201821.2.p1, NM_179777.2.p1	XM_050425472.1.p1
OG0007161	NM_100406.5.p1, NM_001336387.1.p1	XM_050392095.1.p1
OG0007162	NM_001336395.1.p1	XM_050392059.1.p1, XM_050392057.1.p1
OG0007163	NM_001336454.1.p1	XM_050383329.1.p1
OG0007164	NM_179959.4.p1, NM_001336685.1.p1	XM_050387860.1.p1, XM_050387861.1.p1
OG0007165	NM_001336688.1.p1	XM_050387908.1.p1, XM_050387907.1.p1, XM_050387904.1.p1, XM_050387901.1.p1, XM_050387899.1.p1, XM_050387898.1.p1
OG0007166	NM_129619.5.p1, NM_001336847.1.p1	XM_050413548.1.p1, XM_050413549.1.p1
OG0007167	NM_001336876.1.p1, NM_129656.4.p1	XM_050389194.1.p1, XM_050389195.1.p1
OG0007168	NM_001337091.1.p1, NM_130021.3.p1, NM_130019.1.p1, NM_130018.2.p1, NM_130020.3.p1	XM_050425558.1.p1, XM_050425556.1.p1, XM_050425555.1.p1
OG0007169	NM_001337109.1.p1	XM_050426387.1.p1, XM_050426385.1.p1
OG0007170	NM_001337219.1.p1, NM_001337220.1.p1, NM_001337218.1.p1, NM_116060.3.p1, NM_001340131.1.p1, NM_001340132.1.p1, NM_001340133.1.p1, NM_180404.4.p1, NM_001340134.1.p1	XM_050393589.1.p1, XM_050393590.1.p1
OG0007171	NM_127228.4.p1, NM_001337258.1.p1, NM_122749.1.p1, NM_130305.6.p1	XM_050408876.1.p1
OG0007172	NM_148680.4.p1, NM_001337345.1.p1, NM_121473.4.p1, NM_001343356.1.p1	XM_050415261.1.p1
OG0007173	NM_121565.4.p1, NM_180495.2.p1, NM_001337385.1.p1	XM_050414553.1.p1
OG0007174	NM_111225.2.p1, NM_111224.3.p1	XM_050424872.1.p1
OG0007175	NM_001337563.1.p1, NM_111386.3.p1	XM_050418628.1.p1, XM_050418630.1.p1
OG0007176	NM_111853.4.p1, NM_001337860.1.p1	XM_050389396.1.p1, XM_050389398.1.p1
OG0007177	NM_112030.4.p1, NM_001337968.1.p1	XM_050388584.1.p1
OG0007178	NM_001338317.1.p1, NM_112678.4.p1	XM_050402757.1.p1
OG0007179	NM_001338587.1.p1	XM_050417070.1.p1, XM_050384599.1.p1
OG0007180	NM_117020.5.p1, NM_001339061.1.p1	XM_050413953.1.p1
OG0007181	NM_001339355.1.p1, NM_001339354.1.p1, NM_001339356.1.p1	XM_050402709.1.p1
OG0007182	NM_126039.4.p1, NM_001339487.1.p1, NM_114956.3.p1	XM_050436244.1.p1
OG0007183	NM_001339630.1.p1, NM_001339631.1.p1, NM_115236.4.p1	XM_050409997.1.p1, XM_050409999.1.p1, XM_050409998.1.p1
OG0007184	NM_115296.3.p1, NM_001339663.1.p1	XM_050426818.1.p1
OG0007185	NM_001339666.1.p1, NM_148874.5.p1	XM_050427215.1.p1
OG0007186	NM_001339730.1.p1, NM_115408.4.p1	XM_050394245.1.p1, XM_050394241.1.p1, XR_007646180.1.p1, XM_050394243.1.p1
OG0007187	NM_180027.3.p1, NM_001339875.1.p1	XM_050389944.1.p1
OG0007188	NM_116036.4.p1, NM_001340123.1.p1, NM_202746.2.p1	XM_050424140.1.p1, XM_050424139.1.p1
OG0007189	NM_118433.4.p1, NM_001340732.1.p1, NM_117243.4.p1	XM_050409075.1.p1
OG0007190	NM_001341198.1.p1	XM_050408830.1.p1
OG0007191	NM_179107.2.p1, NM_179108.3.p1, NM_118640.3.p1, NM_001341721.1.p1	XM_050400451.1.p1
OG0007192	NM_124726.4.p1, NM_001341882.1.p1, NM_118916.3.p1	XR_007646797.1.p1, XM_050397280.1.p1
OG0007193	NM_179137.3.p1, NM_001341955.1.p1, NM_119042.5.p1	XM_050413630.1.p1
OG0007194	NM_127440.4.p1, NM_001342003.1.p1, NM_001342004.1.p1	XM_050416601.1.p1
OG0007195	NM_001342245.1.p1	XR_007648525.1.p1, XR_007648524.1.p1
OG0007196	NM_119970.3.p1, NM_179184.2.p1, NM_001342477.1.p1	XM_050435318.1.p1, XM_050435317.1.p1
OG0007197	NM_120544.3.p1, NM_203002.4.p1, NM_001342782.1.p1	XM_050397005.1.p1, XM_050397006.1.p1
OG0007198	NM_001343095.1.p1, NM_001343096.1.p1	XM_050435141.1.p1, XM_050435142.1.p1
OG0007199	NM_001343215.1.p1, NM_001343216.1.p1, NM_001343217.1.p1, NM_121222.5.p1	XM_050408167.1.p1
OG0007200	NM_180505.3.p1, NM_121707.3.p1, NM_001343477.1.p1, NM_111179.4.p1	XM_050398014.1.p1
OG0007201	NM_001343592.1.p1, NM_121923.4.p1	XM_050384497.1.p1, XM_050384498.1.p1
OG0007202	NM_122142.4.p1, NM_001343725.1.p1	XM_050409330.1.p1
OG0007203	NM_001344205.1.p1, NM_203128.6.p1	XM_050414133.1.p1
OG0007204	NM_001344462.1.p1	XM_050411471.1.p1
OG0007205	NM_001344806.1.p1, NM_124256.4.p1	XR_007649331.1.p1, XR_007649332.1.p1, XM_050409310.1.p1, XR_007649333.1.p1, XR_007649330.1.p1
OG0007206	NM_001344879.1.p1, NM_124392.2.p1, NM_001344877.1.p1, NM_001344876.1.p1, NM_001344875.1.p1	XM_050401396.1.p1
OG0007207	NM_001344928.1.p1, NM_124501.4.p1	XM_050398450.1.p1, XM_050398449.1.p1, XM_050398451.1.p1
OG0007208	NM_001345158.1.p1, NM_001345161.1.p1	XM_050390474.1.p1
OG0007209	NM_125144.4.p1, NM_001345268.1.p1	XM_050416541.1.p1
OG0007210	NM_001345436.1.p1, NM_001345437.1.p1	XM_050395241.1.p1
OG0007211	NM_001345476.1.p1, NM_125543.5.p1	XM_050426391.1.p1, XM_050412745.1.p1, XM_050412744.1.p1
OG0007212	NM_001345477.1.p1, NM_125544.4.p1	XM_050412735.1.p1, XM_050412737.1.p1, XM_050412741.1.p1
OG0007213	NM_001345620.1.p1, NM_125814.3.p1	XM_050405308.1.p1
OG0007214	NM_001345748.1.p1, NM_126011.2.p1	XM_050385771.1.p1, XM_050385772.1.p1
OG0007215	NM_126079.5.p1, NM_001345802.1.p1, NM_001345803.1.p1	XM_050435735.1.p1, XM_050385020.1.p1
OG0007216	NM_116047.3.p1, NM_100012.3.p1	XM_050424186.1.p1
OG0007217	NM_100086.4.p1	XM_050426383.1.p1
OG0007218	NM_100230.7.p1	XM_050424136.1.p1, XM_050423997.1.p1
OG0007219	NM_127612.3.p1, NM_100267.4.p1, NM_123780.3.p1	XM_050392442.1.p1
OG0007220	NM_100341.4.p1	XM_050383207.1.p1, XM_050383206.1.p1
OG0007221	NM_128838.2.p1, NM_100364.4.p1	XM_050383105.1.p1
OG0007223	NM_125229.4.p1	XM_050433210.1.p1
OG0007224	NM_100887.3.p1	XM_050410639.1.p1
OG0007225	NM_100968.3.p1, NM_104773.7.p1	XM_050416749.1.p1
OG0007226	NM_104783.3.p1, NM_100979.4.p1	XM_050430940.1.p1
OG0007227	NM_104983.5.p1, NM_101134.5.p1	XM_050410703.1.p1, XM_050410702.1.p1, XM_050410704.1.p1
OG0007228	NM_104996.6.p1, NM_101148.4.p1	XM_050408806.1.p1
OG0007229	NM_101308.4.p1, NM_126329.4.p1	XM_050421048.1.p1
OG0007230	NM_101530.4.p1, NM_106551.4.p1	XM_050405179.1.p1
OG0007231	NM_101631.2.p1	XM_050391435.1.p1, XM_050391436.1.p1
OG0007232	NM_101695.5.p1	XM_050400986.1.p1
OG0007233	NM_106182.4.p1, NM_101814.5.p1, NM_101813.2.p1	XM_050394371.1.p1
OG0007234	NM_101870.3.p1, NM_101869.2.p1	XM_050411774.1.p1
OG0007235	NM_101904.4.p1, NM_106276.5.p1	XM_050411901.1.p1
OG0007236	NM_126182.4.p1	XM_050423620.1.p1
OG0007236	NM_102342.2.p1	XM_050413737.1.p1
OG0007237	NM_102345.4.p1	XM_050384987.1.p1
OG0007238	NM_102564.3.p1	XM_050420202.1.p1, XM_050420201.1.p1, XM_050420200.1.p1
OG0007239	NM_102636.2.p1	XR_007655442.1.p1, XR_007655443.1.p1, XM_050430072.1.p1
OG0007240	NM_102770.4.p1	XM_050431871.1.p1
OG0007241	NM_102794.2.p1	XM_050432001.1.p1
OG0007242	NM_103007.2.p1	XM_050409973.1.p1
OG0007243	NM_202228.3.p1, NM_103056.5.p1	XM_050416655.1.p1
OG0007244	NM_202232.2.p1, NM_103145.4.p1	XM_050413274.1.p1
OG0007245	NM_103165.2.p1	XM_050413224.1.p1
OG0007246	NM_106326.8.p1, NM_103481.4.p1	XM_050413416.1.p1
OG0007247	NM_103496.3.p1	XM_050412623.1.p1
OG0007248	NM_202241.2.p1, NM_202240.2.p1, NM_103548.5.p1	XM_050395247.1.p1
OG0007249	NM_103749.2.p1, NM_115257.6.p1, NM_202697.4.p1	XM_050388379.1.p1
OG0007250	NM_103989.5.p1	XM_050422527.1.p1, XM_050422533.1.p1
OG0007251	NM_104113.5.p1	XM_050427485.1.p1, XM_050427482.1.p1, XM_050427483.1.p1
OG0007252	NM_112414.3.p1, NM_104171.3.p1	XM_050391507.1.p1
OG0007253	NM_104214.6.p1	XR_007647476.1.p1, XM_050400046.1.p1, XM_050400048.1.p1, XM_050400044.1.p1
OG0007254	NM_104335.5.p1	XM_050418796.1.p1, XM_050418794.1.p1
OG0007255	NM_104429.4.p1	XM_050412872.1.p1, XM_050421703.1.p1
OG0007256	NM_104434.4.p1	XM_050390075.1.p1
OG0007257	NM_104942.4.p1	XM_050410772.1.p1, XM_050385561.1.p1
OG0007258	NM_123569.3.p1, NM_105127.4.p1	XM_050412982.1.p1, XM_050430596.1.p1
OG0007259	NM_105233.5.p1	XM_050386839.1.p1
OG0007260	NM_121636.3.p1	XM_050387052.1.p1, XM_050404801.1.p1
OG0007261	NM_105279.5.p1	XM_050414131.1.p1
OG0007262	NM_105405.1.p1	XM_050420252.1.p1
OG0007263	NM_105466.3.p1	XM_050419654.1.p1
OG0007264	NM_105527.5.p1	XM_050426419.1.p1, XM_050426418.1.p1
OG0007265	NM_105596.2.p1, NM_105570.3.p1	XM_050421484.1.p1
OG0007266	NM_105585.3.p1	XM_050422484.1.p1
OG0007267	NM_105627.3.p1	XM_050421201.1.p1
OG0007268	NM_105817.3.p1	XM_050397529.1.p1, XM_050397528.1.p1
OG0007269	NM_105855.4.p1	XM_050413201.1.p1
OG0007270	NM_105862.5.p1	XM_050395810.1.p1
OG0007271	NM_106086.5.p1	XM_050394590.1.p1
OG0007272	NM_106264.3.p1	XM_050411871.1.p1
OG0007273	NM_106582.4.p1, NR_143553.1.p1, NM_106581.3.p1	XM_050422614.1.p1
OG0007274	NM_106740.5.p1	XM_050430847.1.p1
OG0007275	NM_111100.3.p1	XM_050433432.1.p1
OG0007276	NM_111260.4.p1, NM_180178.2.p1	XR_007645204.1.p1, XM_050388962.1.p1
OG0007277	NM_111382.5.p1	XM_050418802.1.p1
OG0007278	NM_122631.4.p1, NM_111401.5.p1	XM_050419812.1.p1
OG0007279	NM_111420.2.p1	XM_050421709.1.p1, XM_050418046.1.p1, XM_050418043.1.p1
OG0007280	NM_111514.3.p1, NM_117652.4.p1	XM_050384209.1.p1, XM_050384210.1.p1
OG0007281	NM_111585.5.p1	XM_050389660.1.p1, XM_050408821.1.p1
OG0007282	NM_111606.2.p1, NM_111602.4.p1	XM_050396698.1.p1
OG0007283	NM_111619.5.p1	XR_007646589.1.p1, XM_050396248.1.p1
OG0007284	NM_111893.4.p1, NM_120545.2.p1, NM_111892.2.p1	XM_050426066.1.p1
OG0007285	NM_112160.4.p1	XM_050390406.1.p1
OG0007286	NM_112318.2.p1	XM_050423735.1.p1
OG0007287	NM_148749.2.p1	XM_050415745.1.p1
OG0007287	NM_112477.2.p1	XM_050430232.1.p1
OG0007288	NM_112675.5.p1	XM_050400552.1.p1
OG0007289	NM_112688.6.p1	XM_050399564.1.p1
OG0007290	NM_120968.3.p1, NM_112867.5.p1	XM_050407771.1.p1
OG0007291	NM_113053.7.p1	XM_050384383.1.p1, XR_007644451.1.p1
OG0007292	NM_113185.4.p1, NM_123750.4.p1	XM_050384771.1.p1
OG0007293	NM_113287.3.p1	XM_050383079.1.p1
OG0007294	NM_113310.4.p1	XM_050383171.1.p1
OG0007295	NM_113323.4.p1	XM_050383138.1.p1
OG0007296	NM_114070.4.p1	XM_050416026.1.p1
OG0007297	NM_114351.5.p1	XM_050425671.1.p1
OG0007298	NM_114446.4.p1	XM_050435968.1.p1, XM_050435976.1.p1
OG0007299	NM_114598.3.p1, NM_125251.3.p1	XM_050383990.1.p1, XM_050387992.1.p1
OG0007300	NM_114684.5.p1	XM_050399588.1.p1, XR_007647755.1.p1
OG0007301	NM_114695.2.p1	XM_050401584.1.p1
OG0007302	NM_114973.3.p1	XM_050436357.1.p1
OG0007303	NM_115038.3.p1	XM_050419727.1.p1
OG0007304	NM_115090.4.p1	XM_050394267.1.p1
OG0007305	NM_115121.5.p1	XM_050387663.1.p1
OG0007306	NM_115178.6.p1	XM_050387288.1.p1
OG0007307	NM_115300.3.p1, NM_120785.4.p1	XM_050427163.1.p1
OG0007308	NM_115370.4.p1	XM_050394358.1.p1
OG0007309	NM_129582.3.p1, NM_115461.3.p1	XM_050394851.1.p1
OG0007310	NM_115470.2.p1	XM_050415809.1.p1
OG0007311	NM_120607.2.p1, NM_115494.3.p1	XM_050394983.1.p1
OG0007313	NM_115910.2.p1	XM_050429012.1.p1
OG0007314	NM_118401.6.p1, NM_116168.5.p1	XM_050409380.1.p1
OG0007315	NM_180412.2.p1, NM_116215.4.p1	XM_050427866.1.p1
OG0007316	NM_116280.4.p1, NM_202762.2.p1, NM_202763.1.p1	XM_050393761.1.p1, XM_050393763.1.p1, XM_050393762.1.p1
OG0007317	NM_116350.3.p1	XM_050424871.1.p1
OG0007318	NM_116418.3.p1	XM_050409637.1.p1
OG0007319	NM_116432.5.p1	XM_050407801.1.p1
OG0007320	NM_116443.6.p1	XM_050409151.1.p1
OG0007321	NM_116463.2.p1, NM_116465.2.p1	XM_050411158.1.p1
