Orthogroup	Arabidopsis_thaliana_rna_prot	Gossypium_hirsutum_rna_prot
OG0006424	NM_121956.3.p1, NM_121249.5.p1	XM_016876829.2.p1, XM_041093348.1.p1, XM_016895297.2.p1, XM_016895298.2.p1
OG0006425	NM_121631.3.p1	XM_016886935.2.p1, XM_016886936.2.p1, XM_016886938.2.p1, XM_016886937.2.p1, XM_016886940.2.p1
OG0006426	NM_121804.5.p1	XM_016872621.2.p1, XM_016873187.2.p1
OG0006427	NM_121899.4.p1	XM_016816810.2.p1, XM_016813178.2.p1, XM_016813179.2.p1
OG0006428	NM_123467.2.p1	XM_016816516.2.p1, XM_016817649.1.p1, XM_016860748.2.p1
OG0006429	NM_123511.3.p1	XM_041107463.1.p1, XM_016881602.2.p1, XM_016881601.2.p1
OG0006430	NM_124026.6.p1	XM_041090627.1.p1, XM_041090626.1.p1
OG0006431	NM_124074.4.p1	XM_016876779.2.p1
OG0006432	NM_124978.4.p1	XM_016852110.2.p1
OG0006433	NM_125187.4.p1	XM_016863288.2.p1, XM_016818409.2.p1
OG0006434	NM_125214.6.p1	XM_016815491.2.p1, XM_016849849.2.p1
OG0006435	NM_125235.4.p1	XR_001693712.2.p1, XM_016818653.2.p1
OG0006436	NM_125596.4.p1	XM_041089292.1.p1, XR_005910599.1.p1, XR_005910601.1.p1, XM_041089291.1.p1, XM_016835826.2.p1, XM_016835827.2.p1, XM_041103310.1.p1, XM_041103312.1.p1
OG0006437	NM_125794.5.p1	XM_041077576.1.p1, XM_016817420.2.p1, XM_016817419.2.p1, XM_041077466.1.p1
OG0006438	NM_203271.2.p1, NM_126003.3.p1	XM_016846558.2.p1, XM_016846508.2.p1
OG0006439	NM_126162.4.p1	XM_016818123.2.p1, XM_016864653.2.p1
OG0006440	NM_127144.7.p1	XM_016877056.2.p1, XM_016860170.2.p1
OG0006441	NM_201782.3.p1, NM_127823.3.p1	XM_041104040.1.p1, XM_041104039.1.p1, XM_016841952.2.p1, XM_016841951.2.p1, XM_016877528.2.p1, XM_016860260.2.p1
OG0006442	NM_128190.3.p1	XM_016897669.2.p1, XM_016897673.2.p1, XM_041117136.1.p1
OG0006443	NM_128364.2.p1	XM_016828863.1.p1
OG0006444	NM_129055.4.p1	XM_016831929.2.p1, XM_041087668.1.p1
OG0006445	NM_129389.3.p1	XM_016872222.2.p1
OG0006446	NM_129424.5.p1	XM_016868588.2.p1
OG0006447	NM_129713.3.p1	XM_016860491.2.p1, XM_041082425.1.p1
OG0006448	NM_129739.4.p1, NM_129740.4.p1	XR_001682178.2.p1, XM_016816069.2.p1, XR_001682179.2.p1, XM_016813815.2.p1, XM_016813816.2.p1, XM_016813814.2.p1, XM_041076576.1.p1
OG0006449	NM_129823.3.p1	XM_016879495.2.p1
OG0006450	NM_130050.4.p1	XM_041102547.1.p1, XM_016843971.2.p1, XM_016813180.2.p1, XM_016823469.2.p1
OG0006451	NM_130115.3.p1	XM_041107534.1.p1, XM_016861075.2.p1
OG0006452	NM_130124.1.p1	XR_005921616.1.p1, XM_041106669.1.p1, XM_041082765.1.p1, XM_016879703.2.p1, XM_016892787.2.p1, XM_041080898.1.p1, XM_016892786.2.p1, XM_016839927.2.p1
OG0006453	NM_179404.3.p1	XM_041093590.1.p1, XM_041093592.1.p1, XM_016894311.2.p1, XM_016833307.2.p1
OG0006454	NM_180006.2.p1	XM_016885165.2.p1, XM_041114336.1.p1
OG0006455	NM_180062.3.p1	XM_041102257.1.p1, XM_016829930.2.p1, XM_041079200.1.p1, XM_016829933.2.p1, XM_041079202.1.p1
OG0006456	NM_180532.3.p1	XM_041109358.1.p1, XM_041075329.1.p1, XM_041093142.1.p1, XM_016894682.2.p1, XM_016899358.2.p1
OG0006493	NM_001035626.2.p1, NM_112432.2.p1	XR_001685391.2.p1, XM_041095321.1.p1, XR_001685390.2.p1, XM_016827853.2.p1, XM_016898465.2.p1
OG0006494	NM_001035814.1.p1, NM_115770.3.p1, NM_129859.2.p1	XM_016850171.2.p1
OG0006496	NM_103888.5.p1, NM_001036088.2.p1	XM_016882071.2.p1, XR_005922220.1.p1, XM_041108202.1.p1, XR_005922218.1.p1, XR_005922219.1.p1
OG0006497	NM_106539.6.p1, NM_001036222.3.p1	XM_016855633.2.p1, XM_041093604.1.p1
OG0006498	NM_115278.3.p1, NM_001036430.3.p1, NM_129419.3.p1, NM_001336710.1.p1, NM_001336711.1.p1	XM_016895919.2.p1
OG0006499	NM_118233.5.p1, NM_001036509.2.p1, NM_116779.3.p1	XM_016855479.2.p1, XM_016855486.2.p1, XM_016809790.2.p1
OG0006500	NM_001036862.2.p1	XM_016827605.2.p1, XM_041115817.1.p1, XM_016889258.2.p1, XM_016826130.2.p1
OG0006501	NM_126016.3.p1, NM_001037083.2.p1	XM_041081217.1.p1, XM_016869326.2.p1
OG0006502	NM_001084511.3.p1, NM_001336244.1.p1, NM_001336247.1.p1, NM_001336246.1.p1, NM_001336245.1.p1	XM_041093572.1.p1, XR_005913853.1.p1, XM_016833256.2.p1, XM_016833257.2.p1
OG0006503	NM_001084582.2.p1, NM_001125046.2.p1, NM_129938.4.p1	XM_016883785.2.p1, XM_041099369.1.p1
OG0006504	NM_116813.4.p1, NM_001084886.2.p1, NM_102511.4.p1	XM_016822124.2.p1, XM_016822125.2.p1, XM_016838505.2.p1
OG0006505	NM_001085157.5.p1	XM_016824749.2.p1
OG0006506	NM_001333326.1.p1, NM_001333325.1.p1, NM_103732.3.p1, NM_001123975.2.p1, NM_001333328.1.p1	XM_016811465.2.p1, XM_016837957.2.p1
OG0006507	NM_001160884.2.p1	XM_041114078.1.p1, XM_016874004.2.p1
OG0006508	NM_119436.3.p1, NM_001124914.1.p1, NM_001336027.1.p1, NM_001336028.1.p1	XM_016886444.2.p1, XM_016889304.2.p1
OG0006509	NM_001125201.2.p1	XM_041096459.1.p1, XM_016811322.2.p1, XM_041096448.1.p1, XM_041096445.1.p1, XM_041088629.1.p1, XM_041088627.1.p1
OG0006510	NM_116564.4.p1, NM_001125453.2.p1, NM_001340442.1.p1	XM_016836793.2.p1, XM_016836795.2.p1
OG0006511	NM_001125704.1.p1	XM_041092642.1.p1, XM_016830411.2.p1, XM_016830410.2.p1, XM_016830409.2.p1, XM_016869417.2.p1
OG0006512	NM_001337412.1.p1, NM_001125761.1.p1, NM_121608.3.p1	XM_041117542.1.p1, XM_041117545.1.p1, XM_041117543.1.p1, XM_041117546.1.p1, XM_016888753.2.p1, XM_016846265.2.p1
OG0006513	NM_001160835.3.p1	XM_016811037.2.p1
OG0006514	NM_001160871.2.p1, NM_001332156.1.p1, NM_001332157.1.p1	XM_041085132.1.p1, XM_016842575.2.p1, XM_041102994.1.p1
OG0006515	NM_001161210.1.p1, NM_115714.4.p1	XM_016831479.2.p1, XM_016893094.2.p1
OG0006516	NM_113541.4.p1, NM_101176.3.p1, NM_001332061.1.p1, NM_001198049.1.p1	XM_016824140.2.p1, XM_016845850.2.p1, XM_016852482.2.p1
OG0006518	NM_001198131.1.p1, NM_102018.4.p1, NM_001198132.1.p1	XM_041095169.1.p1, XM_041115020.1.p1
OG0006519	NM_001198164.2.p1, NM_102339.3.p1	XM_016851370.2.p1, XM_041086400.1.p1, XM_041093589.1.p1, XM_016856083.2.p1
OG0006520	NM_101588.4.p1, NM_124424.4.p1, NM_001198286.1.p1, NM_104254.4.p1	XM_016822939.2.p1, XM_041115616.1.p1, XM_016817953.2.p1
OG0006521	NM_001333704.1.p1, NM_179478.2.p1, NM_001198308.1.p1	XM_016836534.2.p1, XM_016836532.2.p1
OG0006522	NM_129454.4.p1, NM_001202779.1.p1	XM_016897911.2.p1, XM_016828045.2.p1, XM_016832778.2.p1
OG0006523	NM_001203117.1.p1, NM_114895.1.p1	XM_016863571.2.p1, XM_016841780.2.p1, XM_016823296.2.p1, XM_016879825.2.p1, XM_016877714.2.p1, XM_016843191.2.p1
OG0006524	NM_001203200.2.p1, NM_001339930.1.p1, NM_115734.1.p1	XM_016839682.2.p1, XM_016896183.2.p1
OG0006525	NM_130139.3.p1, NM_115983.3.p1, NM_001203221.2.p1	XM_016860592.2.p1, XM_016879730.2.p1, XM_016867721.2.p1, XM_016879729.2.p1, XM_041082008.1.p1
OG0006526	NM_120901.4.p1, NM_001203331.1.p1	XM_016884505.2.p1, XM_016888645.2.p1, XM_016857495.2.p1, XM_016886144.2.p1
OG0006527	NM_121086.5.p1, NM_001203348.1.p1	XM_016841962.2.p1, NM_001327082.2.p1
OG0006528	NM_121225.4.p1, NM_001203363.2.p1	XM_016899395.2.p1, XM_016899396.2.p1, XM_016827513.2.p1
OG0006529	NM_111493.6.p1, NM_001203406.2.p1	XM_016822362.2.p1, XM_016822359.2.p1, XM_016822360.2.p1
OG0006530	NM_001344097.1.p1, NM_001203491.2.p1	XM_016889056.2.p1, XM_016872446.2.p1, XM_016872447.2.p1, XM_016872444.2.p1, XM_016827338.2.p1, XM_041085707.1.p1
OG0006531	NM_001203521.1.p1, NM_123619.4.p1, NM_106217.3.p1	XM_016893936.2.p1, XM_016877181.2.p1
OG0006532	NM_001203716.1.p1, NM_116288.7.p1, NM_100062.5.p1	XM_016860627.2.p1
OG0006533	NM_001204024.1.p1, NM_119997.7.p1	XM_041112787.1.p1, XM_041087476.1.p1
OG0006533	NM_001333199.1.p1	XM_016847413.2.p1
OG0006534	NM_001204027.2.p1, NM_120032.4.p1	XM_016883796.2.p1, XM_016878871.2.p1, XM_016864822.2.p1, XM_041103039.1.p1, XR_005910597.1.p1, XM_016835904.2.p1, XR_001687091.2.p1, XR_001687093.2.p1
OG0006535	NM_001331337.1.p1, NM_100122.6.p1, NM_001331336.1.p1	XM_016889606.2.p1, XM_016822687.2.p1, XM_041081616.1.p1
OG0006536	NM_001331391.1.p1, NM_100200.3.p1	XM_016843499.2.p1
OG0006537	NM_001331982.1.p1, NM_001331983.1.p1, NM_001331981.1.p1, NM_179308.4.p1	XM_041089297.1.p1, XM_016835812.2.p1, XM_016851046.2.p1
OG0006538	NM_001332237.1.p1, NM_101522.4.p1	XM_016898629.2.p1
OG0006539	NM_001332394.1.p1, NM_101799.2.p1	XM_016896770.2.p1, XM_016832081.2.p1, XM_041113818.1.p1, XM_041113815.1.p1, XM_041113814.1.p1, XM_041113820.1.p1, XM_041113822.1.p1, XM_016896771.2.p1, XM_041094075.1.p1, XM_016832082.2.p1
OG0006540	NM_001332417.1.p1, NM_101842.5.p1	XM_016832151.2.p1, XM_016847494.2.p1, XM_016814825.2.p1, XM_016875894.2.p1
OG0006541	NM_117031.3.p1, NM_001340627.1.p1, NM_103178.2.p1, NM_001333112.1.p1	XM_016838351.2.p1
OG0006543	NM_001333403.1.p1, NM_103875.4.p1	XM_016877158.2.p1, XM_016877159.2.p1, XM_016824336.2.p1
OG0006544	NM_001333607.1.p1, NM_104250.5.p1	XM_016834916.2.p1
OG0006545	NM_202328.3.p1, NM_001333919.1.p1, NM_104745.3.p1, NM_001333901.1.p1	XM_041091617.1.p1, XM_016852776.2.p1
OG0006546	NM_104988.2.p1, NM_001334066.1.p1	XM_041105723.1.p1, XM_016878387.2.p1
OG0006547	NM_001334539.1.p1, NM_001334541.1.p1, NM_105915.4.p1	XM_016822879.2.p1, XM_016842535.2.p1
OG0006548	NM_001334835.1.p1, NM_106506.3.p1	XM_016859197.2.p1, XM_016872384.2.p1
OG0006549	NM_106525.3.p1, NM_179570.2.p1, NM_001334844.1.p1	XM_041086858.1.p1, XM_016847096.2.p1, XM_016878282.2.p1, XM_016847099.2.p1
OG0006550	NM_101378.3.p1, NM_001335036.1.p1	XM_016830211.2.p1
OG0006551	NM_001335201.1.p1, NM_126425.4.p1	XM_016811593.2.p1, XM_016811594.2.p1, XM_041096013.1.p1, XM_041088608.1.p1, XM_041096007.1.p1
OG0006552	NM_180657.2.p1, NM_001335225.1.p1, NM_001335223.1.p1	XM_016840657.2.p1, XM_016855021.2.p1
OG0006553	NM_001335230.1.p1, NM_001335228.1.p1, NM_001335229.1.p1, NM_126469.5.p1	XM_016890682.2.p1, XM_016890681.2.p1
OG0006554	NM_127393.2.p1, NM_001335593.1.p1, NM_119824.3.p1	XM_016827363.2.p1
OG0006555	NM_001335599.1.p1, NM_119834.2.p1	XM_016841542.2.p1, XM_016821577.2.p1
OG0006556	NM_001336143.1.p1	XM_016894365.2.p1, XM_016833228.2.p1, XM_016900450.2.p1, XM_041090394.1.p1
OG0006557	NM_001336163.1.p1, NM_179789.4.p1	XM_016899280.2.p1, XM_016898321.2.p1, XM_041090371.1.p1, XM_016894968.2.p1
OG0006558	NM_001336192.1.p1, NM_001336191.1.p1	XR_001691194.2.p1, XM_016851969.2.p1, XM_016851971.2.p1, XM_041117678.1.p1, XM_041117677.1.p1
OG0006559	NM_102823.4.p1, NM_129045.2.p1, NM_001336534.1.p1	XR_005910605.1.p1, XM_041089324.1.p1, XM_016858534.2.p1, XM_016879225.2.p1
OG0006560	NM_001336719.1.p1	XM_041112307.1.p1, XM_041094641.1.p1
OG0006561	NM_180005.4.p1, NM_001336874.1.p1, NM_001336875.1.p1	XM_016868173.2.p1
OG0006562	NM_001340041.1.p1, NM_001337106.1.p1	XM_016849600.2.p1, XM_041099554.1.p1
OG0006563	NM_001337118.1.p1	XM_041082756.1.p1
OG0006563	NM_130087.4.p1	XM_016879672.2.p1
OG0006564	NM_001337254.1.p1, NM_130292.4.p1	XR_005915756.1.p1, XM_041096662.1.p1, XM_041117884.1.p1
OG0006565	NM_001343339.1.p1, NM_001343340.1.p1, NM_001343338.1.p1, NM_001337348.1.p1	NM_001398515.1.p1, XM_016838787.2.p1, XM_041105725.1.p1
OG0006566	NM_111302.2.p1, NM_001337511.1.p1	XM_016859973.2.p1
OG0006566	NM_128884.3.p1	XM_016876854.2.p1
OG0006567	NM_111369.4.p1, NM_001337550.1.p1, NM_202495.2.p1	XM_016818196.2.p1, XM_016818197.2.p1
OG0006568	NM_111453.1.p1, NM_001337610.1.p1, NM_122568.4.p1	XM_041104726.1.p1, XM_041075098.1.p1, XM_016866075.2.p1
OG0006569	NM_111714.4.p1, NM_001337771.1.p1	XM_016883637.2.p1
OG0006570	NM_111921.4.p1, NM_001337897.1.p1	XM_041084399.1.p1, XM_041084398.1.p1, XM_041109850.1.p1
OG0006571	NM_001338033.1.p1, NM_112151.4.p1	XM_016850969.2.p1, XM_016810202.2.p1
OG0006572	NM_112224.4.p1, NM_001338070.1.p1, NM_001338073.1.p1, NM_001338071.1.p1, NM_001338072.1.p1, NM_104387.4.p1	XM_016845632.2.p1, XM_016822845.2.p1
OG0006573	NM_001338170.1.p1, NM_001338171.1.p1, NM_001338172.1.p1, NM_202594.3.p1	XM_016829638.2.p1, XM_016883258.2.p1
OG0006574	NM_112880.3.p1, NM_001338425.1.p1	XM_016849615.2.p1, XM_016851955.2.p1
OG0006575	NM_001338438.1.p1	XM_016850287.2.p1, XM_016848555.2.p1
OG0006576	NM_001338690.1.p1, NM_001338691.1.p1, NM_113364.5.p1	XM_016864025.2.p1, XM_016864024.2.p1, XM_041117060.1.p1, XM_016865144.2.p1
OG0006577	NM_001338787.1.p1, NM_001338788.1.p1, NM_001338786.1.p1	XM_016880499.2.p1
OG0006579	NM_117706.3.p1	XM_016897767.2.p1, XM_016819359.2.p1
OG0006580	NM_001339465.1.p1	XM_041107921.1.p1, XM_016879828.2.p1
OG0006581	NM_129481.2.p1, NM_001339711.1.p1	XM_016823087.2.p1, XM_016843114.2.p1
OG0006582	NM_001339804.1.p1, NM_115519.3.p1, NM_129648.6.p1	XM_016885167.2.p1
OG0006583	NM_001339995.1.p1	XM_016822047.2.p1, XM_016843545.2.p1, XM_016843546.2.p1
OG0006584	NM_001340802.1.p1	XM_016854108.2.p1, XM_016854110.2.p1, XM_016840693.2.p1, XM_041106243.1.p1
OG0006585	NM_001340836.1.p1, NM_001340838.1.p1, NM_117384.5.p1	XM_041075747.1.p1, XM_016877716.2.p1
OG0006586	NM_001341267.1.p1, NM_117931.6.p1	XM_016828002.2.p1, XM_016897938.2.p1
OG0006587	NM_001341467.1.p1	XM_016861991.2.p1
OG0006588	NM_118342.3.p1, NM_001341531.1.p1	XM_016836030.2.p1, XM_016819492.2.p1
OG0006589	NM_118778.5.p1, NM_001341799.1.p1	XM_016886382.2.p1, XR_005907689.1.p1, XM_016886385.2.p1, XM_016849395.2.p1
OG0006590	NM_001341811.1.p1, NM_118789.3.p1, NM_001341812.1.p1	XM_041076834.1.p1, XR_001690974.2.p1, XM_016851091.2.p1
OG0006591	NM_001342114.1.p1, NM_119327.3.p1	XM_016827728.2.p1, XM_016897800.2.p1, XM_016889113.2.p1, XM_041117256.1.p1
OG0006592	NM_119981.4.p1, NM_001342349.1.p1	XM_016876030.2.p1, XM_041082411.1.p1, XM_016836297.2.p1, XM_016824467.2.p1
OG0006593	NM_120123.2.p1, NM_001342546.1.p1	XM_041105637.1.p1, XM_041105636.1.p1, XM_016839519.2.p1, XM_016839521.2.p1
OG0006594	NM_001342963.1.p1	XR_001697896.2.p1, XM_016884565.2.p1, XM_041094311.1.p1
OG0006595	NM_001343263.1.p1, NM_001343264.1.p1, NM_121327.4.p1	XM_016879900.2.p1, XM_016868098.2.p1, XM_016885531.2.p1
OG0006596	NM_121568.3.p1, NM_001343415.1.p1	XM_016885200.2.p1
OG0006597	NM_122637.4.p1, NM_001344014.1.p1	XM_041080145.1.p1, XM_016811586.2.p1
OG0006598	NM_123449.3.p1, NM_001344360.1.p1, NM_001344362.1.p1, NM_001344361.1.p1	XM_041112084.1.p1
OG0006599	NM_001344461.1.p1	XM_016872187.2.p1, XM_016896755.2.p1
OG0006600	NM_114863.2.p1	XM_041103981.1.p1, XM_016825859.2.p1, XM_041081857.1.p1, XM_016825864.2.p1, XM_041081858.1.p1
OG0006600	NM_001344472.1.p1	XM_016876752.2.p1
OG0006601	NM_001344546.1.p1, NM_123812.5.p1	XM_016862041.2.p1, XM_016862042.2.p1
OG0006602	NM_001344644.1.p1, NM_001344643.1.p1, NM_001344641.1.p1, NM_117982.5.p1, NM_117984.1.p1, NM_117985.2.p1	XM_041089075.1.p1
OG0006603	NM_118647.6.p1, NM_001344930.1.p1, NM_124505.5.p1	XM_016888988.2.p1
OG0006604	NM_001345648.1.p1, NM_121027.4.p1	XM_016836495.2.p1, XM_016895462.2.p1
OG0006605	NM_001345669.1.p1	XM_016882111.2.p1, XM_016872250.2.p1, XM_041082090.1.p1, XM_041089674.1.p1
OG0006606	NM_100187.3.p1, NM_202019.2.p1	XM_041097958.1.p1, XM_041097956.1.p1, XM_041116765.1.p1, XM_016891276.2.p1
OG0006607	NM_100235.4.p1	XM_041109079.1.p1, XM_016820586.2.p1
OG0006608	NM_179817.2.p1, NM_128607.4.p1, NM_179272.2.p1, NM_100557.2.p1	XM_016844322.2.p1, XR_001698350.2.p1, XM_016854369.2.p1
OG0006609	NM_101266.4.p1	XM_016811577.2.p1, XM_041106994.1.p1, XR_001682963.2.p1, XM_041108774.1.p1, XM_016849748.2.p1
OG0006610	NM_106588.1.p1, NM_101504.2.p1	XM_041080864.1.p1, XM_041105760.1.p1, XM_016879583.2.p1, XM_041107937.1.p1
OG0006611	NM_101705.2.p1	XM_016859775.2.p1
OG0006612	NM_101707.4.p1	XM_016877737.2.p1, XM_016877736.2.p1, XM_016877734.2.p1, XM_016888651.2.p1
OG0006613	NM_102280.4.p1	XM_016876670.2.p1, XM_016876671.2.p1
OG0006614	NM_102293.4.p1	XM_016823843.2.p1, XM_016810462.2.p1
OG0006614	NM_148372.2.p1	XM_041107185.1.p1
OG0006615	NM_102427.4.p1, NM_105610.3.p1	XM_016847787.2.p1, XM_016837877.2.p1, XM_016811576.2.p1
OG0006616	NM_102918.3.p1	XM_016824687.2.p1, XM_016819323.2.p1
OG0006618	NM_116900.5.p1, NM_103559.2.p1	XM_016898919.2.p1, XM_016898916.2.p1, XM_041095150.1.p1, XM_016854132.2.p1
OG0006619	NM_103779.5.p1	XM_041078101.1.p1, XM_041078100.1.p1, XM_016830350.2.p1, XM_016892901.2.p1
OG0006620	NM_104029.4.p1	XM_016895280.2.p1, XM_016813665.2.p1, XM_016816244.2.p1, XM_016872786.2.p1, XM_016878946.2.p1
OG0006621	NM_104131.3.p1	XM_016827936.2.p1
OG0006622	NM_104199.4.p1	XM_041092289.1.p1, XM_016883376.2.p1
OG0006623	NM_104816.3.p1	XM_041095886.1.p1, XM_016871320.2.p1, XM_041089892.1.p1, XM_016855913.2.p1, XM_016870743.2.p1
OG0006624	NM_104858.2.p1	XM_016826023.2.p1, XM_016896470.2.p1, XM_041116457.1.p1, XM_016855689.2.p1, XM_016867960.2.p1
OG0006625	NM_118837.2.p1, NM_127854.3.p1, NM_104900.3.p1	XM_016865643.2.p1
OG0006626	NM_104919.4.p1	XM_041076876.1.p1, XM_041076872.1.p1, XM_041076862.1.p1, XM_041076875.1.p1, XM_041076871.1.p1, XM_041076864.1.p1, XM_041076869.1.p1, XM_041076866.1.p1, XM_041087073.1.p1, XM_041087071.1.p1, XM_016849705.2.p1, XM_016820413.2.p1
OG0006627	NM_105343.3.p1	XM_041106386.1.p1, XM_041081373.1.p1
OG0006628	NM_105464.3.p1	XM_041077976.1.p1, XM_041077977.1.p1
OG0006629	NM_105636.3.p1	XM_016819111.2.p1
OG0006630	NM_105689.4.p1	XM_016877487.2.p1
OG0006631	NM_105877.3.p1	XM_016895595.2.p1, XM_016893023.2.p1
OG0006632	NM_105958.3.p1	XM_041103046.1.p1
OG0006632	NM_128163.2.p1	XM_016829300.2.p1, XM_016897515.2.p1, XM_016865008.2.p1
OG0006633	NM_106095.2.p1	XR_001692609.2.p1, XM_016859641.2.p1
OG0006634	NM_106343.4.p1	XM_041112199.1.p1, XM_016831839.2.p1
OG0006635	NM_106382.3.p1	XM_016838194.2.p1, XM_016835535.2.p1, XM_016830216.2.p1, XM_016887377.2.p1
OG0006636	NM_111003.5.p1	XM_041101649.1.p1, XM_016817351.2.p1, XR_005901562.1.p1, XM_016812818.2.p1, XR_001681435.2.p1, XM_016817353.2.p1
OG0006637	NM_111120.3.p1, NM_121612.2.p1	XM_016862813.2.p1, XM_041083838.1.p1
OG0006638	NM_111295.4.p1	XM_041104168.1.p1, XM_041104170.1.p1, XM_041104167.1.p1, XM_041085515.1.p1
OG0006639	NM_111376.4.p1	XM_016850281.2.p1, XM_016850280.2.p1, XM_016818189.2.p1
OG0006640	NM_111586.4.p1	XM_041081199.1.p1, XM_041106182.1.p1
OG0006641	NM_111730.6.p1	XM_016863109.2.p1, XM_016893705.2.p1, XM_016893703.2.p1, XM_041087758.1.p1
OG0006642	NM_111854.5.p1, NM_129704.3.p1	XM_016813800.2.p1, XM_016850730.2.p1
OG0006643	NM_202585.3.p1, NM_112347.4.p1	XM_041109116.1.p1, XM_016848406.2.p1, XM_041080055.1.p1
OG0006644	NM_112469.3.p1	XM_041093700.1.p1, XM_041089827.1.p1, XM_016887060.2.p1
OG0006645	NM_112496.3.p1	XM_041079747.1.p1, XM_041079746.1.p1
OG0006646	NM_112502.5.p1	XM_041079744.1.p1, XM_016842559.2.p1, XM_041089761.1.p1, XM_041089760.1.p1, XM_016887109.2.p1
OG0006647	NM_112585.3.p1	XM_041101413.1.p1, XM_016838448.2.p1, XM_016844201.2.p1
OG0006648	NM_112671.5.p1	XR_005906375.1.p1, XM_016880739.2.p1, XM_041107015.1.p1, XM_016880738.2.p1, XM_016819370.2.p1
OG0006649	NM_112874.4.p1	XM_041092026.1.p1, XM_016852238.2.p1
OG0006650	NM_112896.4.p1	XM_016822032.2.p1
OG0006651	NM_113043.3.p1	XM_016864110.2.p1, XM_016864109.2.p1, XM_016823021.2.p1
OG0006652	NM_113155.3.p1	XM_041101305.1.p1
OG0006653	NM_113158.3.p1	XR_005910540.1.p1, XM_016858846.2.p1
OG0006654	NM_113254.3.p1, NM_113256.5.p1	XM_016860366.2.p1, XM_041089455.1.p1
OG0006655	NM_113274.5.p1	XM_041088010.1.p1, XM_016867361.2.p1, XM_016858392.2.p1
OG0006656	NM_117482.4.p1, NM_113283.4.p1	XM_041092613.1.p1, XM_016892685.2.p1, XM_016844241.2.p1, XM_016843763.2.p1
OG0006657	NM_113297.3.p1	XM_016844022.2.p1, XM_016816813.2.p1, XM_041074911.1.p1, XM_041074912.1.p1
OG0006658	NM_117369.3.p1, NM_113431.6.p1	XM_016876467.2.p1, XM_041116652.1.p1, XM_041117974.1.p1, XM_016890328.2.p1
OG0006660	NM_114961.4.p1	XM_041081486.1.p1
OG0006661	NM_120392.4.p1, NM_115198.4.p1	XM_016825431.2.p1, XM_016831914.2.p1, XM_041087673.1.p1
OG0006662	NM_115244.3.p1	XM_016882529.1.p1
OG0006662	NM_120285.1.p1	XM_041100921.1.p1
OG0006663	NM_115357.4.p1, NM_115358.5.p1	XM_016892603.2.p1, XM_041092087.1.p1, XM_016825539.2.p1, XM_016862464.2.p1, XM_016866585.2.p1
OG0006664	NM_115441.3.p1	XM_016890891.2.p1, XM_016896675.2.p1
OG0006665	NM_115709.1.p1	XR_005901186.1.p1, XR_005901187.1.p1, XR_005901182.1.p1, XR_005901185.1.p1, XM_016813894.2.p1, XM_016815941.2.p1, XM_016815938.2.p1, XM_016815939.2.p1
OG0006666	NM_115723.4.p1	XM_016888625.2.p1, XM_041117465.1.p1, XM_016861998.2.p1
OG0006667	NM_115735.5.p1	XM_041080775.1.p1, XM_016855078.2.p1, XM_041105689.1.p1, XM_016895826.2.p1
OG0006668	NM_115842.4.p1	XM_016822030.2.p1, XM_016843526.2.p1
OG0006669	NM_115947.3.p1	XM_041098393.1.p1
OG0006670	NM_130293.4.p1, NM_116096.5.p1	XM_041106817.1.p1
OG0006671	NM_116357.3.p1	XM_041105907.1.p1, XM_041080968.1.p1, XM_016853297.2.p1, XM_016839330.2.p1
OG0006672	NR_141771.1.p1, NM_116435.2.p1, NM_128082.6.p1, NM_119354.3.p1	XM_041115634.1.p1
OG0006673	NM_116533.3.p1	XM_041099837.1.p1, XR_001688409.2.p1, XR_001697618.2.p1, XM_016883731.2.p1
OG0006674	NM_116562.4.p1	XM_016810896.2.p1, XM_016836796.2.p1
OG0006675	NM_118301.7.p1, NM_116724.4.p1	XM_016898185.2.p1, XM_016898186.2.p1, XM_016893968.2.p1
OG0006676	NM_116976.1.p1, NM_128383.4.p1	XM_016818317.2.p1, XM_016863920.2.p1
OG0006677	NM_118074.2.p1	XM_016879081.2.p1, XM_041099795.1.p1, XM_016844249.2.p1
OG0006678	NM_118132.5.p1	XM_041093023.1.p1, XM_016894531.2.p1, XM_041093025.1.p1, XM_016834651.2.p1, XM_041093027.1.p1
OG0006679	NM_118334.5.p1	XM_016837788.2.p1, XM_016867992.2.p1
OG0006680	NM_118408.2.p1	XM_016900086.2.p1, XM_041090520.1.p1, XM_016900087.2.p1
OG0006681	NM_118700.3.p1, NM_118698.4.p1	XM_016887306.2.p1, XM_016886276.2.p1, XM_016847200.2.p1
OG0006682	NM_119058.3.p1, NM_121975.2.p1	XM_016873577.2.p1, XM_041075292.1.p1, XM_016834440.2.p1, XM_016827058.2.p1
OG0006683	NM_202907.2.p1, NM_119065.3.p1	XM_041115250.1.p1, XM_016827032.2.p1
OG0006684	NM_202911.2.p1, NM_119187.4.p1	XM_016859467.2.p1, XM_016846840.2.p1
OG0006685	NM_119190.4.p1	XM_016892574.2.p1, XM_016836639.2.p1
OG0006686	NM_119468.4.p1	XM_016861378.2.p1, XM_016899386.2.p1, XM_016899387.2.p1, XM_016826813.2.p1
OG0006687	NM_119666.4.p1	XM_016835890.2.p1, XM_016852516.2.p1
OG0006688	NM_119999.3.p1	XM_016863856.2.p1, XM_016863857.2.p1
