Orthogroup	Arabidopsis_thaliana_rna_prot	Triticum_aestivum_x_rna_prot
OG0007541	NM_111022.3.p1, NM_001337347.1.p1, NM_121458.4.p1	XM_044499534.1.p1, XM_044482883.1.p1, XM_044592739.1.p1, XM_044535747.1.p1
OG0007542	NM_111073.4.p1, NM_001337380.1.p1	XM_044601453.1.p1, XM_044476632.1.p1, XM_044468393.1.p1
OG0007543	NM_001343466.1.p1, NM_121685.5.p1, NM_001337451.1.p1	XM_044551708.1.p1, XM_044562427.1.p1, XM_044555297.1.p1
OG0007544	NM_111398.3.p1, NM_001337572.1.p1	XM_044497831.1.p1, XM_044481612.1.p1, XM_044527638.1.p1, XM_044538117.1.p1, XM_044543860.1.p1
OG0007545	NM_001337781.1.p1, NM_001337779.1.p1, NM_001337776.1.p1, NM_001337778.1.p1, NM_001337782.1.p1, NM_001337780.1.p1	XM_044474304.1.p1, XM_044599239.1.p1, XM_044466057.1.p1
OG0007546	NM_001337867.1.p1, NM_001342753.1.p1, NM_120495.3.p1	XM_044500544.1.p1
OG0007547	NM_001338004.1.p1, NM_001338003.1.p1, NM_112099.3.p1, NM_001338005.1.p1	XM_044477078.1.p1, XM_044601930.1.p1
OG0007548	NM_001338150.1.p1, NM_112377.2.p1	XM_044567132.1.p1, XM_044578136.1.p1, XM_044583336.1.p1, XM_044567131.1.p1
OG0007549	NM_001338210.1.p1	XM_044501972.1.p1, XM_044494222.1.p1, XM_044485477.1.p1
OG0007551	NM_001338395.1.p1, NM_112831.5.p1	XM_044532268.1.p1, XM_044540616.1.p1, XM_044540615.1.p1, XM_044540614.1.p1
OG0007552	NM_001338695.1.p1	XM_044578137.1.p1, XM_044569341.1.p1, XM_044569342.1.p1
OG0007554	NM_001338858.1.p1	XM_044540024.1.p1
OG0007555	NM_001339016.1.p1, NM_113853.4.p1	XM_044514534.1.p1, XM_044519882.1.p1, XM_044506956.1.p1
OG0007556	NM_001339038.1.p1, NM_113902.4.p1	XM_044475261.1.p1, XM_044600041.1.p1
OG0007557	NM_001339288.1.p1	XM_044509312.1.p1, XM_044511941.1.p1
OG0007558	NM_114766.1.p1, NM_001339397.1.p1	XM_044505263.1.p1, XM_044522350.1.p1, XM_044511058.1.p1, XM_044511059.1.p1, XM_044505264.1.p1
OG0007559	NM_115042.3.p1, NM_001339534.1.p1	XM_044507237.1.p1, XR_006444603.1.p1, XM_044507235.1.p1, XM_044507236.1.p1
OG0007560	NM_001339792.1.p1, NM_129629.3.p1	XM_044470873.1.p1, XM_044479104.1.p1, XM_044603742.1.p1
OG0007561	NM_001340266.1.p1, NM_116299.3.p1	XM_044602578.1.p1, XM_044477835.1.p1
OG0007562	NM_001340355.1.p1, NM_001340356.1.p1, NM_001340357.1.p1, NM_116433.3.p1	XM_044507342.1.p1
OG0007563	NM_001340515.1.p1, NM_116726.4.p1, NM_001340516.1.p1	XM_044599552.1.p1, XM_044599551.1.p1, XM_044599553.1.p1, XM_044599554.1.p1, XM_044466439.1.p1, XM_044474685.1.p1, XM_044474686.1.p1, XM_044471848.1.p1
OG0007564	NM_001340686.1.p1, NM_117148.5.p1	XM_044510437.1.p1, XM_044510436.1.p1, XM_044570488.1.p1, XM_044583944.1.p1
OG0007565	NM_001340694.1.p1	XM_044494086.1.p1, XM_044501839.1.p1, XM_044485358.1.p1
OG0007566	NM_001340847.1.p1, NM_001340849.1.p1, NM_117406.3.p1, NM_001340848.1.p1	XM_044469282.1.p1, XM_044469281.1.p1, XM_044602258.1.p1
OG0007567	NM_001341335.1.p1, NM_118059.3.p1	XM_044567945.1.p1, XM_044578426.1.p1
OG0007568	NM_116718.3.p1, NM_116722.4.p1, NM_001341518.1.p1, NM_118306.7.p1	XM_044479090.1.p1
OG0007569	NM_001341901.1.p1, NM_001341902.1.p1, NM_118940.5.p1	XM_044541607.1.p1
OG0007570	NM_001342166.1.p1, NM_119418.3.p1, NM_202937.1.p1	XM_044493036.1.p1
OG0007571	NM_119434.4.p1, NM_001342177.1.p1	XM_044497474.1.p1, XM_044481233.1.p1, XM_044480022.1.p1, XM_044604179.1.p1
OG0007572	NM_001342303.1.p1, NM_001342304.1.p1, NM_001342306.1.p1, NM_119650.4.p1, NM_001342305.1.p1, NM_120040.4.p1	XM_044489386.1.p1, XM_044528314.1.p1, XM_044528310.1.p1, XM_044570422.1.p1, XM_044583721.1.p1
OG0007574	NM_120526.5.p1, NM_001342773.1.p1	XM_044510304.1.p1, XM_044520854.1.p1
OG0007575	NM_001342887.1.p1, NM_120742.3.p1	XM_044538936.1.p1, XM_044523350.1.p1, XM_044538940.1.p1, XM_044530651.1.p1
OG0007576	NM_120900.6.p1, NM_001342991.1.p1, NM_001342988.1.p1, NM_001342989.1.p1	XM_044468862.1.p1, XM_044477053.1.p1, XM_044601900.1.p1
OG0007577	NM_001343090.1.p1, NM_121053.5.p1	XM_044506463.1.p1, XM_044515073.1.p1, XM_044520415.1.p1, XM_044515072.1.p1
OG0007578	NM_121118.5.p1, NM_001343138.1.p1, NM_122415.2.p1	XM_044544379.1.p1, XM_044472322.1.p1, XM_044563082.1.p1, XM_044555960.1.p1
OG0007579	NM_001343192.1.p1	XM_044569097.1.p1
OG0007580	NM_001343232.1.p1, NM_001343234.1.p1	XM_044546249.1.p1
OG0007581	NM_001343275.1.p1, NM_001343276.1.p1, NM_001343274.1.p1, NM_121351.5.p1	XM_044542268.1.p1
OG0007583	NM_001343457.1.p1, NM_203062.2.p1, NM_121667.4.p1	XM_044506745.1.p1, XM_044514794.1.p1, XR_006447680.1.p1
OG0007584	NM_122441.2.p1, NM_001343917.1.p1	XM_044599241.1.p1, XM_044466058.1.p1, XM_044474306.1.p1, XM_044474305.1.p1, XM_044474308.1.p1, XM_044474307.1.p1, XM_044466061.1.p1, XM_044599243.1.p1
OG0007585	NM_001343985.1.p1	XM_044584566.1.p1, XM_044570921.1.p1, XR_006475536.1.p1
OG0007586	NM_001344000.1.p1, NM_001343999.1.p1, NM_001344001.1.p1, NM_001344002.1.p1	XM_044587866.1.p1, XM_044565231.1.p1, XM_044558473.1.p1
OG0007587	NM_001344105.1.p1, NM_122937.3.p1	XM_044493016.1.p1
OG0007588	NM_123392.2.p1, NM_001344319.1.p1	XM_044493967.1.p1
OG0007589	NM_001344668.1.p1, NM_001344670.1.p1, NM_001344669.1.p1, NM_123997.3.p1	XM_044482622.1.p1
OG0007590	NM_124080.3.p1, NM_001344707.1.p1	XM_044584672.1.p1, XM_044510033.1.p1, XM_044570240.1.p1, XM_044570239.1.p1, XM_044570238.1.p1, XM_044584671.1.p1
OG0007592	NM_125715.5.p1, NM_001345582.1.p1	XM_044502824.1.p1, XM_044495226.1.p1, XM_044486474.1.p1, XM_044486473.1.p1
OG0007593	NM_099991.4.p1	XM_044465421.1.p1, XM_044598670.1.p1, XM_044465423.1.p1
OG0007594	NM_100192.2.p1	XM_044515950.1.p1, XM_044521248.1.p1, XM_044528267.1.p1
OG0007595	NM_100248.5.p1, NM_202024.2.p1	XM_044567042.1.p1, XM_044578684.1.p1, XM_044584971.1.p1, XM_044584970.1.p1
OG0007596	NM_100304.5.p1, NM_123738.3.p1	XM_044543688.1.p1, XM_044527482.1.p1
OG0007597	NM_100335.4.p1	XM_044538561.1.p1, XM_044538560.1.p1, XM_044544663.1.p1, XM_044599145.1.p1, XM_044599134.1.p1, XM_044507210.1.p1, XM_044507202.1.p1, XM_044580984.1.p1, XM_044580983.1.p1
OG0007598	NM_100368.3.p1	XR_006430015.1.p1, XM_044495490.1.p1, XM_044503129.1.p1
OG0007599	NM_100485.3.p1	XM_044566626.1.p1, XM_044578395.1.p1
OG0007600	NM_100585.2.p1	XR_006447438.1.p1, XM_044514224.1.p1, XR_006439833.1.p1, XM_044519587.1.p1
OG0007601	NM_100610.4.p1, NM_128511.2.p1	XM_044579965.1.p1
OG0007602	NM_100632.3.p1	XM_044572514.1.p1, XM_044583344.1.p1
OG0007603	NM_100714.3.p1, NM_128278.3.p1	XM_044543037.1.p1, XM_044539011.1.p1, XM_044530707.1.p1
OG0007604	NM_100772.5.p1	XM_044478219.1.p1
OG0007605	NM_100960.3.p1	XM_044468265.1.p1
OG0007606	NM_101010.2.p1	XM_044529870.1.p1
OG0007607	NM_101016.4.p1	XM_044585312.1.p1, XM_044577614.1.p1
OG0007608	NM_104869.3.p1, NM_101036.3.p1	XM_044502191.1.p1
OG0007609	NM_101343.2.p1	XM_044514670.1.p1, XM_044506837.1.p1
OG0007611	NM_101501.3.p1, NM_106595.4.p1	XM_044543462.1.p1
OG0007612	NM_101524.3.p1, NM_127183.3.p1	XM_044511949.1.p1, XM_044509297.1.p1, XM_044517200.1.p1
OG0007613	NM_101647.5.p1	XM_044602328.1.p1, XM_044542547.1.p1
OG0007614	NM_101679.4.p1	XM_044478773.1.p1
OG0007615	NM_101718.5.p1	XM_044501989.1.p1, XM_044494244.1.p1
OG0007616	NM_101825.3.p1	XM_044483865.1.p1, XM_044492486.1.p1, XM_044497294.1.p1
OG0007617	NM_105702.4.p1, NM_102227.4.p1	XM_044482229.1.p1, XM_044482228.1.p1, XM_044490641.1.p1, XM_044496626.1.p1, XR_006460964.1.p1
OG0007618	NM_102512.3.p1	XM_044504674.1.p1, XM_044508872.1.p1, XM_044512351.1.p1, XM_044518386.1.p1, XM_044509787.1.p1, XM_044516867.1.p1, XM_044583081.1.p1, XM_044488317.1.p1, XM_044497026.1.p1, XM_044480781.1.p1
OG0007619	NM_102639.3.p1	XM_044509369.1.p1, XM_044517125.1.p1, XM_044511879.1.p1
OG0007620	NM_102708.3.p1, NM_123936.4.p1, NM_118009.3.p1	XM_044488886.1.p1, XM_044497472.1.p1
OG0007621	NM_102857.2.p1	XM_044552464.1.p1, XM_044556110.1.p1
OG0007622	NM_102911.3.p1	XM_044509964.1.p1, XM_044583090.1.p1, XM_044569831.1.p1
OG0007623	NM_102913.3.p1	XM_044535508.1.p1, XM_044535507.1.p1, XM_044535506.1.p1, XM_044535509.1.p1, XM_044535510.1.p1, XM_044535513.1.p1, XM_044535512.1.p1, XM_044535511.1.p1, XR_006441505.1.p1, XR_006441507.1.p1, XR_006441506.1.p1, XM_044544165.1.p1, XM_044544166.1.p1
OG0007624	NM_102940.6.p1	XM_044547992.1.p1
OG0007625	NM_103003.3.p1, NM_129073.3.p1	XM_044553638.1.p1, XM_044550620.1.p1, XM_044472819.1.p1, XM_044464534.1.p1
OG0007626	NM_123673.3.p1, NM_122676.2.p1, NM_103613.3.p1	XM_044467073.1.p1, XM_044475328.1.p1, XM_044600109.1.p1
OG0007627	NM_103713.3.p1	XM_044521323.1.p1, XM_044526448.1.p1, XM_044542531.1.p1, XM_044542532.1.p1, XM_044542530.1.p1, XM_044537603.1.p1
OG0007629	NM_103872.4.p1	XM_044506570.1.p1, XM_044520306.1.p1
OG0007630	NM_104036.3.p1	XM_044533511.1.p1, XM_044542129.1.p1, XM_044542127.1.p1
OG0007631	NM_104263.5.p1	XM_044477235.1.p1
OG0007632	NM_104509.4.p1, NM_104508.2.p1	XM_044572300.1.p1, XM_044543104.1.p1, XM_044534454.1.p1, XM_044526914.1.p1, XM_044526913.1.p1
OG0007633	NM_104977.3.p1	XM_044521102.1.p1, XM_044515811.1.p1
OG0007634	NM_105065.3.p1	XM_044577378.1.p1
OG0007635	NM_105113.4.p1	XM_044591045.1.p1, XM_044521678.1.p1
OG0007636	NM_105323.3.p1	XM_044493782.1.p1
OG0007637	NM_105422.4.p1	XM_044527822.1.p1, XM_044527823.1.p1
OG0007638	NM_105437.5.p1	XR_006434487.1.p1, XM_044495242.1.p1, XM_044502863.1.p1
OG0007639	NM_105480.3.p1	XM_044483207.1.p1
OG0007640	NM_105538.3.p1	XM_044465498.1.p1, XM_044598721.1.p1
OG0007641	NM_105589.4.p1, NM_179534.2.p1	XM_044534571.1.p1
OG0007643	NM_105803.5.p1	XM_044508516.1.p1, XM_044517895.1.p1
OG0007644	NM_105898.7.p1	XM_044592970.1.p1, XM_044538593.1.p1, XM_044538595.1.p1
OG0007645	NM_106155.4.p1	XM_044534674.1.p1, XM_044543348.1.p1
OG0007646	NM_106158.5.p1	XM_044542785.1.p1, XM_044526645.1.p1, XM_044526642.1.p1, XM_044526644.1.p1, XM_044542784.1.p1, XM_044534163.1.p1
OG0007647	NM_106352.2.p1	XM_044524701.1.p1, XM_044532175.1.p1, XM_044540476.1.p1
OG0007648	NM_106693.4.p1	XM_044473196.1.p1, XM_044464895.1.p1
OG0007649	NM_106699.2.p1	XM_044578400.1.p1, XM_044569214.1.p1, XM_044582705.1.p1
OG0007650	NM_106708.4.p1	XM_044592286.1.p1
OG0007651	NM_111048.4.p1	XM_044578388.1.p1
OG0007652	NM_111075.3.p1	XM_044520211.1.p1
OG0007654	NM_121911.3.p1, NM_111490.4.p1	XM_044478627.1.p1, XM_044551463.1.p1
OG0007655	NM_111578.2.p1	XM_044496236.1.p1, XM_044528391.1.p1, XM_044528390.1.p1, XM_044521376.1.p1
OG0007656	NM_111842.6.p1	XM_044495058.1.p1, XM_044486278.1.p1, XM_044502635.1.p1, XM_044502636.1.p1
OG0007657	NM_111849.4.p1	XM_044498749.1.p1, XM_044487207.1.p1, XM_044503590.1.p1
OG0007658	NM_111889.4.p1	XM_044519743.1.p1, XM_044590258.1.p1, XM_044517677.1.p1, XM_044512463.1.p1, XM_044508735.1.p1
OG0007659	NM_112057.3.p1	XM_044512323.1.p1, XM_044508895.1.p1
OG0007660	NM_121358.3.p1, NM_112087.3.p1	XM_044532343.1.p1, XM_044524899.1.p1
OG0007661	NM_112088.3.p1	XM_044490168.1.p1, XM_044490164.1.p1, XM_044590401.1.p1, XM_044564136.1.p1
OG0007662	NM_112116.4.p1	XM_044478019.1.p1, XM_044602780.1.p1
OG0007663	NM_112189.3.p1	XM_044544065.1.p1, XM_044527842.1.p1, XM_044544064.1.p1, XM_044535414.1.p1
OG0007664	NM_112200.3.p1	XM_044485061.1.p1, XM_044497447.1.p1
OG0007665	NM_112282.3.p1	XM_044486764.1.p1, XM_044503162.1.p1
OG0007666	NM_112378.3.p1	XM_044593682.1.p1, XM_044590749.1.p1, XM_044520968.1.p1, XM_044520975.1.p1
OG0007667	NM_112406.5.p1	XM_044581727.1.p1, XM_044581726.1.p1, XM_044578216.1.p1, XM_044471005.1.p1, XM_044603853.1.p1, XM_044479240.1.p1
OG0007668	NM_112409.4.p1	XM_044559765.1.p1, XM_044549305.1.p1, XM_044565915.1.p1
OG0007669	NM_112508.5.p1	XM_044585643.1.p1, XM_044567344.1.p1
OG0007670	NM_112763.5.p1	XM_044512955.1.p1, XM_044518168.1.p1
OG0007671	NM_119587.4.p1, NM_112832.4.p1	XM_044563390.1.p1, XM_044546804.1.p1, XM_044556326.1.p1
OG0007672	NM_112871.4.p1	XM_044559509.1.p1, XM_044578947.1.p1, XM_044585463.1.p1
OG0007673	NM_112985.5.p1	XR_006463021.1.p1, XM_044548250.1.p1, XM_044558044.1.p1
OG0007675	NM_113062.3.p1	XM_044527213.1.p1, XM_044543394.1.p1, XM_044534715.1.p1, XM_044472382.1.p1, XM_044464095.1.p1, XM_044601883.1.p1
OG0007676	NM_113123.2.p1	XM_044550505.1.p1, XM_044477578.1.p1, XM_044602347.1.p1, XM_044469359.1.p1
OG0007677	NM_113165.4.p1	XM_044584652.1.p1, XM_044510261.1.p1
OG0007678	NM_113217.3.p1	XM_044535164.1.p1, XM_044527625.1.p1, XM_044543848.1.p1
OG0007679	NM_113314.4.p1	XM_044513247.1.p1, XM_044508143.1.p1, XM_044540446.1.p1, XM_044532027.1.p1
OG0007680	NM_113625.4.p1	XM_044491344.1.p1, XM_044482811.1.p1, XM_044499451.1.p1
OG0007681	NM_113645.3.p1	XM_044602015.1.p1, XM_044468982.1.p1
OG0007682	NM_125429.4.p1, NM_114400.4.p1	XM_044532838.1.p1
OG0007683	NM_114573.3.p1, NM_125277.4.p1	XM_044557614.1.p1, XM_044547722.1.p1
OG0007685	NM_114681.4.p1	XM_044485124.1.p1, XM_044485123.1.p1
OG0007686	NM_114825.3.p1	XM_044543375.1.p1, XM_044534695.1.p1, XM_044527185.1.p1
OG0007687	NM_114960.3.p1	XM_044523567.1.p1, XM_044549972.1.p1, XM_044560061.1.p1
OG0007688	NM_114983.3.p1	XM_044465260.1.p1, XM_044464781.1.p1
OG0007689	NM_115010.3.p1	XM_044516575.1.p1, XM_044594992.1.p1, XM_044483445.1.p1
OG0007690	NM_115171.3.p1	XM_044504964.1.p1, XM_044538426.1.p1, XM_044520458.1.p1, XM_044506414.1.p1
OG0007691	NM_180360.2.p1, NM_115204.3.p1	XM_044577612.1.p1, XM_044567104.1.p1
OG0007693	NM_129437.2.p1, NM_115314.1.p1	XM_044496037.1.p1, XM_044498203.1.p1
OG0007694	NM_115708.4.p1	XM_044526806.1.p1, XM_044534319.1.p1, XM_044526807.1.p1, XM_044526804.1.p1
OG0007695	NM_119000.3.p1, NM_115759.4.p1	XM_044593865.1.p1
OG0007696	NM_116089.3.p1	XM_044538628.1.p1, XM_044538627.1.p1, XM_044466742.1.p1, XM_044466736.1.p1
OG0007697	NM_116184.4.p1	XM_044475490.1.p1, XM_044467226.1.p1
OG0007699	NM_116729.4.p1	XM_044487202.1.p1
OG0007700	NM_117337.2.p1	XM_044580223.1.p1, XM_044580227.1.p1, XM_044580224.1.p1, XM_044580225.1.p1, XM_044570293.1.p1
OG0007701	NM_117510.5.p1	XM_044565643.1.p1, XM_044549022.1.p1, XM_044559284.1.p1
OG0007703	NM_117907.4.p1	XM_044543839.1.p1, XM_044593689.1.p1
OG0007704	NM_118536.4.p1	XM_044586044.1.p1, XM_044472016.1.p1
OG0007705	NM_118869.4.p1, NM_124804.3.p1	XM_044472108.1.p1
OG0007706	NM_119017.5.p1	XM_044566121.1.p1, XM_044581616.1.p1
OG0007707	NM_119070.4.p1, NM_119071.4.p1	XM_044584225.1.p1, XM_044576558.1.p1, XM_044567338.1.p1
OG0007708	NM_119117.2.p1	XM_044493573.1.p1, XM_044484982.1.p1
OG0007709	NM_119411.4.p1	XM_044590370.1.p1, XM_044590371.1.p1, XM_044520079.1.p1, XM_044593153.1.p1
OG0007710	NM_119966.5.p1	XM_044476021.1.p1, XR_006420335.1.p1
OG0007711	NM_119983.3.p1	XM_044575811.1.p1
OG0007712	NM_120058.5.p1	XM_044555407.1.p1, XM_044551845.1.p1
OG0007713	NM_120135.5.p1	XM_044525248.1.p1, XM_044525246.1.p1, XM_044532696.1.p1
OG0007714	NM_120277.3.p1	XM_044485927.1.p1, XM_044502348.1.p1, XM_044494716.1.p1, XM_044518711.1.p1, XM_044516732.1.p1
OG0007715	NM_120303.5.p1	XM_044600557.1.p1
OG0007716	NM_120632.2.p1	XM_044480786.1.p1, XM_044497034.1.p2
OG0007717	NM_120656.3.p1, NM_203007.3.p1	XM_044491087.1.p1, XM_044499169.1.p1, XM_044482581.1.p1, XM_044499168.1.p1, XM_044491085.1.p1, XM_044491084.1.p1
OG0007718	NM_125539.2.p1, NM_120848.2.p1	XM_044562140.1.p1, XM_044562138.1.p1, XM_044562141.1.p1, XM_044562137.1.p1, XM_044532300.1.p1, XM_044524839.1.p1
OG0007719	NM_121002.3.p1	XM_044565144.1.p1
OG0007720	NM_121023.4.p1	XM_044533593.1.p1, XM_044516101.1.p1, XM_044521391.1.p1, XM_044528405.1.p1
OG0007721	NM_121094.3.p1	XM_044469318.1.p1, XM_044602301.1.p1
OG0007722	NM_121323.4.p1	XM_044527860.1.p1, XM_044544091.1.p1, XM_044535433.1.p1
OG0007723	NM_121668.4.p1	XM_044468607.1.p1, XM_044468608.1.p1
OG0007724	NM_122002.3.p1, NM_180523.3.p1	XM_044483212.1.p1, XM_044499833.1.p1, XM_044491752.1.p1
OG0007725	NM_122114.3.p1	XM_044532076.1.p1
OG0007726	NM_122184.4.p1, NM_180726.2.p1	XM_044528424.1.p1, XM_044516145.1.p1, XM_044516146.1.p1, XM_044528425.1.p1
OG0007727	NM_122461.2.p1	XM_044518041.1.p1
OG0007728	NM_122610.3.p1	XM_044572788.1.p1, XM_044575156.1.p1
OG0007729	NM_122934.5.p1	XM_044524840.1.p1
OG0007730	NM_123094.2.p1, NM_180769.3.p1, NM_128057.3.p1	XM_044597172.1.p1, XM_044498573.1.p1, XM_044483525.1.p1, XM_044576842.1.p1, XM_044571434.1.p1
OG0007731	NM_123303.4.p1	XM_044475313.1.p1, XM_044467057.1.p1, XM_044467060.1.p1, XM_044467061.1.p1, XM_044467054.1.p1, XM_044467048.1.p1, XM_044467044.1.p1, XM_044467056.1.p1, XM_044600092.1.p1, XM_044475314.1.p1, XM_044587439.1.p1
OG0007732	NM_123403.4.p1	XM_044499531.1.p1
OG0007733	NM_123872.3.p1	XM_044467259.1.p1
OG0007734	NM_123900.3.p1	XM_044505143.1.p1, XM_044579447.1.p1, XM_044567454.1.p1, XM_044585992.1.p1, XM_044578084.1.p1, XM_044572030.1.p1
OG0007735	NM_123937.3.p1, NR_139806.1.p1	XM_044562831.1.p1, XM_044550286.1.p1, XM_044553230.1.p1
OG0007736	NM_123975.4.p1	XM_044565286.1.p1
OG0007737	NM_123987.4.p1	XM_044534372.1.p1, XM_044526850.1.p1, XM_044543051.1.p1
OG0007738	NM_124040.5.p1	XM_044504183.1.p1, XM_044516991.1.p1
OG0007739	NM_124152.3.p1	XM_044595570.1.p1, XM_044489180.1.p1
OG0007740	NM_124530.4.p1	XM_044593577.1.p1, XM_044545202.1.p1, XM_044471802.1.p1
OG0007741	NM_124555.3.p1	XM_044462797.1.p1, XM_044473627.1.p1
OG0007742	NM_124712.3.p1	XM_044569630.1.p1, XM_044583793.1.p1, XM_044574186.1.p1
OG0007743	NM_124834.5.p1	XM_044567661.1.p1, XM_044582986.1.p1
OG0007744	NM_125041.3.p1	XM_044515506.1.p1, XM_044520872.1.p1, XM_044510323.1.p1
OG0007745	NM_125192.4.p1	XM_044564044.1.p1
OG0007746	NM_125198.5.p1	XM_044562663.1.p1, XM_044551937.1.p1
OG0007747	NM_125412.4.p1	XM_044540575.1.p1
OG0007750	NM_125702.4.p1	XM_044492747.1.p1, XM_044484299.1.p1
OG0007751	NM_125891.3.p1	XM_044571003.1.p1, XM_044583960.1.p1, XM_044583959.1.p1, XM_044567726.1.p1
OG0007752	NM_126066.4.p1	XM_044574622.1.p1
OG0007753	NM_126091.4.p1	XM_044468008.1.p1, XM_044476280.1.p1, XM_044601161.1.p1
OG0007754	NM_126113.4.p1	XM_044540682.1.p1
OG0007755	NM_126223.3.p1	XM_044602909.1.p1, XM_044469957.1.p1, XM_044469958.1.p1, XM_044478191.1.p1
OG0007756	NM_126401.5.p1	XM_044518982.1.p1, XM_044518983.1.p1, XM_044518985.1.p1, XM_044518984.1.p1
OG0007757	NM_126485.4.p1	XM_044556204.1.p1, XM_044563259.1.p1, XM_044563261.1.p1, XM_044556205.1.p1
OG0007758	NM_126604.4.p1	XM_044510977.1.p1, XM_044504109.1.p1, XM_044522275.1.p1, XM_044468700.1.p1, XM_044601724.1.p1
OG0007759	NM_126930.3.p1	XM_044503765.1.p1, XM_044496217.1.p1
OG0007760	NM_127266.4.p1	XM_044515638.1.p1, XM_044542704.1.p1, XM_044522936.1.p1, XM_044534091.1.p1
OG0007761	NM_127282.3.p1	XM_044534152.1.p1
OG0007762	NM_127587.3.p1	XM_044486053.1.p1, XM_044494852.1.p1
OG0007763	NM_127819.6.p1	XM_044548701.1.p1, XM_044565258.1.p1, XM_044558506.1.p1
OG0007764	NM_128083.4.p1, NM_147914.4.p1	XM_044566808.1.p1, XM_044566809.1.p1, XM_044585392.1.p1, XM_044575538.1.p1, XM_044575537.1.p1
OG0007766	NM_128710.7.p1	XM_044594334.1.p1, XR_006491950.1.p1, XM_044478677.1.p1, XM_044551545.1.p1
OG0007767	NM_128864.4.p1	XM_044537849.1.p1, XM_044466640.1.p1
OG0007768	NM_179886.1.p1, NM_128933.4.p1	XM_044603218.1.p1, XM_044478533.1.p1, XM_044470298.1.p1
OG0007769	NM_129084.3.p1	XM_044570022.1.p1, XM_044510641.1.p1, XM_044585292.1.p1
OG0007770	NM_129356.3.p1	XM_044529547.1.p1, XM_044601052.1.p1, XM_044551768.1.p1
OG0007771	NM_129430.4.p1	XM_044535227.1.p1, XM_044543917.1.p1, XM_044527686.1.p1
OG0007772	NM_129635.5.p1	XM_044485956.1.p1
OG0007773	NM_129663.3.p1	XM_044532024.1.p1
OG0007774	NM_129746.3.p1	XR_006428100.1.p1, XM_044491994.1.p1
OG0007775	NM_129801.4.p1	XR_006437886.1.p1, XM_044501893.1.p1, XM_044485405.1.p1, XM_044494135.1.p1
OG0007776	NM_129836.3.p1	XM_044501781.1.p1, XM_044591767.1.p1, XM_044518500.1.p1, XM_044595393.1.p1
OG0007777	NM_130379.2.p1	XM_044551256.1.p1
OG0007778	NM_148397.2.p1	XM_044499172.1.p2, XM_044499171.1.p2, XM_044499179.1.p1, XM_044491092.1.p1, XM_044499170.1.p1, XM_044482587.1.p1
OG0007779	NM_178957.2.p1	XM_044484202.1.p1
OG0007780	NM_179063.2.p1	XM_044544925.1.p1, XM_044507331.1.p1, XM_044516760.1.p1, XM_044521980.1.p1
OG0007781	NM_179693.2.p1	XM_044525773.1.p1, XM_044541858.1.p1
OG0007782	NM_179791.2.p1	XM_044494848.1.p1
OG0007783	NM_179945.2.p1	XM_044468950.1.p1
OG0007784	NM_180142.2.p1	XM_044507339.1.p1, XM_044519492.1.p1
OG0007785	NM_180909.3.p1	XM_044515218.1.p1, XM_044506301.1.p1
OG0007786	NM_201935.3.p1	XM_044520917.1.p1, XR_006450998.1.p1, XM_044527890.1.p1, XM_044515554.1.p1
OG0007787	NR_142415.1.p1	XM_044565620.1.p1, XM_044559244.1.p1
OG0007830	NM_001035643.1.p1, NM_112696.3.p1	XM_044509250.1.p1
OG0007831	NM_001035742.3.p1, NM_001084781.2.p1, NM_001203090.1.p1	XM_044509534.1.p1, XM_044535879.1.p1, XM_044544614.1.p1
OG0007832	NM_115124.5.p1, NM_202690.2.p1, NM_001035771.1.p1	XM_044564849.1.p1
OG0007833	NM_001035867.3.p1	XM_044505680.1.p1
OG0007836	NM_117419.3.p1, NM_001036547.2.p1	XM_044536332.1.p1, XM_044511676.1.p1
OG0007837	NM_001036637.2.p1, NM_118677.5.p1	XM_044567612.1.p1
OG0007838	NM_119051.3.p1, NM_001036667.3.p1	XM_044474726.1.p1, XM_044466475.1.p1, XM_044599586.1.p1
OG0007839	NM_001036794.2.p1	XM_044524176.1.p1
OG0007840	NM_001036804.1.p1, NM_121429.5.p1	XM_044566792.1.p1
OG0007841	NM_001036866.4.p1	XM_044509953.1.p1, XM_044544105.1.p1
OG0007842	NM_180838.2.p1, NM_124509.4.p1, NM_001036978.2.p1	XM_044468300.1.p1
OG0007843	NM_100071.3.p1, NM_179244.2.p1, NM_001083976.2.p1	XM_044526311.1.p1, XM_044533840.1.p1
OG0007844	NM_001084340.2.p1	XM_044502716.1.p1, XM_044486374.1.p1
OG0007845	NM_106556.2.p1, NM_001084375.1.p1	XM_044526867.1.p1, XM_044526869.1.p1, XM_044526868.1.p1
OG0007846	NM_001084396.1.p1, NM_201664.2.p1	XM_044526633.1.p1, XM_044537723.1.p1, XM_044542762.1.p1, XM_044542763.1.p1
OG0007847	NM_116973.7.p1, NM_001084891.1.p1	XM_044547631.1.p1
OG0007848	NM_001344422.1.p1, NM_118582.4.p1, NM_001084974.1.p1	XM_044582958.1.p1, XM_044574542.1.p1
OG0007849	NM_121040.4.p1, NM_001085093.2.p1	XM_044475028.1.p1
OG0007850	NM_001332085.1.p1, NM_001123808.2.p1, NM_101245.5.p1	XM_044520197.1.p1, XM_044506653.1.p1
