Orthogroup	Arabidopsis_thaliana_rna_prot	Citrus_sinensis_rna_prot
OG0011412	NM_103526.3.p1	XM_006472821.4.p1
OG0011413	NM_103576.5.p1	XM_006478515.4.p1
OG0011414	NM_103884.4.p1	XM_006486860.4.p1
OG0011415	NM_104156.3.p1	XM_006465347.4.p1
OG0011416	NM_104350.4.p1	XM_006471812.4.p1
OG0011417	NM_104413.4.p1, NM_179479.3.p1	XM_006479036.4.p1
OG0011418	NM_116286.1.p1, NM_126198.2.p1, NM_104473.2.p1, NM_116244.3.p1, NM_105313.1.p1	XM_015530949.1.p1
OG0011419	NM_104669.4.p1	XM_006487209.4.p1
OG0011420	NM_104760.2.p1	XM_006483860.4.p1
OG0011421	NM_104961.4.p1	XM_006473690.4.p1
OG0011422	NM_104994.4.p1	XM_006477354.4.p1
OG0011423	NM_105130.4.p1	XM_006476267.4.p1, XM_025098983.2.p1
OG0011424	NM_105338.4.p1	XM_006482099.4.p1
OG0011425	NM_105449.4.p1	XM_006484262.4.p1
OG0011426	NM_105493.3.p1	XM_006468688.4.p1
OG0011427	NM_105577.3.p1	XM_052439969.1.p1
OG0011428	NM_105675.2.p1	XM_015531957.3.p1
OG0011429	NM_105867.4.p1	XM_006473193.4.p1
OG0011430	NM_105916.2.p1	XM_015532002.3.p1
OG0011431	NM_105983.3.p1	XM_006466048.4.p1
OG0011432	NM_106030.2.p1	XM_006491566.4.p1
OG0011433	NM_106084.3.p1	XM_052436621.1.p1, XM_006477602.4.p1
OG0011434	NM_106395.4.p1	XM_006472748.4.p1
OG0011435	NM_106404.6.p1	XM_006474671.4.p1, XM_025097411.2.p1
OG0011436	NM_110971.4.p1, NM_202471.2.p1	XM_006482640.4.p1
OG0011437	NM_111038.4.p1	XM_006469900.4.p1
OG0011438	NM_111044.4.p1	XM_006469945.4.p1
OG0011439	NM_111140.5.p1	XM_006481873.3.p1
OG0011440	NM_111407.2.p1	XM_006471953.4.p1
OG0011441	NM_121924.4.p1, NM_111482.2.p1	XM_006489259.4.p1
OG0011442	NM_111565.6.p1	XM_006488983.3.p1
OG0011444	NM_111643.4.p1	XM_006469346.4.p1
OG0011445	NM_111680.4.p1	XM_006482795.4.p1
OG0011446	NM_111820.3.p1	XM_052433691.1.p1
OG0011447	NM_111858.2.p1	NM_001288920.2.p1
OG0011448	NM_111922.4.p1	XM_006486063.4.p1
OG0011450	NM_112125.3.p1	XM_006475475.3.p1
OG0011452	NM_112379.6.p1	XM_006493876.4.p1, XM_006493877.4.p1
OG0011453	NM_112969.3.p1	XM_006494658.3.p1
OG0011454	NM_113243.4.p1	XM_006489627.4.p1
OG0011455	NM_113324.5.p1	XM_052433861.1.p1
OG0011456	NM_113350.3.p1	XM_006475664.4.p1
OG0011457	NM_113410.2.p1	XM_006479192.4.p1
OG0011458	NM_114273.4.p1	XM_006487824.3.p1
OG0011459	NM_180326.3.p1, NM_202657.3.p1, NM_114374.4.p1	XM_006487977.3.p1
OG0011460	NM_114459.5.p1	XM_006471506.4.p1
OG0011461	NM_121439.2.p1, NM_114528.2.p1	XM_025095265.2.p1
OG0011462	NM_125283.4.p1, NM_114566.2.p1	XM_006488413.4.p1
OG0011463	NM_114611.4.p1	XM_025102545.2.p1
OG0011464	NM_114776.4.p1	XM_006490451.4.p1
OG0011465	NM_115459.4.p1	XM_006486236.4.p1
OG0011466	NM_115766.4.p1, NM_202728.1.p1	XM_006468905.4.p1
OG0011467	NM_115932.4.p1	XM_006490814.4.p1
OG0011468	NM_116192.4.p1	XM_006479609.3.p1
OG0011469	NM_130103.3.p1, NM_116238.5.p1	XM_052438883.1.p1
OG0011470	NM_116334.4.p1	XM_052437262.1.p1
OG0011471	NM_116438.2.p1	XM_006492263.4.p1
OG0011472	NM_116514.4.p1	XM_006479660.4.p1
OG0011473	NM_116516.4.p1	XM_006479667.4.p1
OG0011474	NM_116894.1.p1	XM_006472683.4.p1
OG0011475	NM_117283.3.p1	XM_006477213.4.p1
OG0011476	NM_117528.2.p1	XM_006489490.4.p1
OG0011477	NM_117571.5.p1	XM_025092229.2.p1, XM_006489340.4.p1
OG0011478	NM_117674.7.p1	XM_006489020.4.p1
OG0011479	NM_117960.4.p1	XM_006467630.4.p1
OG0011480	NM_118039.5.p1	XM_006482297.4.p1
OG0011482	NM_118543.3.p1	XM_006476236.3.p1
OG0011483	NM_118604.5.p1	XM_006476828.4.p1
OG0011484	NM_118876.4.p1	XM_025094609.2.p1, XM_025094607.2.p1
OG0011485	NM_119231.3.p1	XM_006473992.4.p1
OG0011486	NM_119525.6.p1	XM_006486735.4.p1
OG0011487	NM_119555.4.p1	XM_006480074.4.p1
OG0011488	NM_119664.3.p1	XM_006486694.3.p1
OG0011489	NM_119758.3.p1	XM_006489922.3.p1
OG0011490	NM_119816.5.p1, NM_179176.2.p1	XM_006466754.3.p1, XM_006466755.4.p1
OG0011491	NM_119880.2.p1	XM_006466590.4.p1
OG0011492	NM_119953.4.p1	XM_006466297.4.p1
OG0011493	NM_120360.4.p1	XM_006480505.4.p1
OG0011494	NM_120451.2.p1	XM_006481821.4.p1
OG0011495	NM_120553.3.p1	XM_006485150.4.p1
OG0011496	NM_121142.3.p1	XM_025100853.2.p1, XM_006483369.4.p1
OG0011497	NM_121166.4.p1	XM_052443086.1.p1, XM_006483270.4.p1
OG0011498	NM_121268.3.p1	XM_006470493.4.p1
OG0011499	NM_203060.2.p1, NM_121644.4.p1	XM_006480382.3.p1, XM_006480383.3.p1
OG0011500	NM_121744.4.p1	XM_006482127.3.p1
OG0011501	NM_121816.2.p1	XM_052436508.1.p1
OG0011502	NM_121819.6.p1	XM_006479046.4.p1
OG0011503	NM_121896.3.p1	XM_015533574.3.p1
OG0011504	NM_121927.3.p1	XM_006489265.4.p1
OG0011505	NM_180713.4.p1, NM_122032.6.p1	XM_052434185.1.p1
OG0011506	NM_122131.2.p1	XM_006492242.3.p1
OG0011507	NM_122236.3.p1	XM_006484443.3.p1
OG0011508	NM_122341.3.p1	XM_025092884.2.p1
OG0011509	NM_122538.5.p1	XM_006493453.4.p1
OG0011510	NM_122757.4.p1	XM_006467821.4.p1
OG0011512	NM_122958.4.p1	XM_052433106.1.p1
OG0011513	NM_123142.5.p1	XM_006478626.4.p1
OG0011514	NM_123249.3.p1	XM_006482375.4.p1
OG0011515	NM_123321.4.p1	XM_006473558.4.p1
OG0011516	NM_123359.4.p1	XM_006470739.4.p1
OG0011517	NM_123412.4.p1	XM_006470174.4.p1
OG0011518	NM_123598.5.p1	XM_006473715.4.p1
OG0011519	NM_123726.4.p1	XM_052437271.1.p1, XM_052437282.1.p1, XM_052437293.1.p1
OG0011520	NM_124050.2.p1	XM_015525696.3.p1, XM_006491677.4.p1
OG0011521	NM_124214.7.p1	XM_006469283.4.p1
OG0011522	NM_124309.4.p1	XM_006488815.4.p1
OG0011523	NM_124371.4.p1	XM_006488726.4.p1
OG0011524	NM_124408.4.p1	XM_006476740.4.p1
OG0011525	NM_124870.4.p1	XM_006475089.4.p1
OG0011526	NM_124956.2.p1	XM_025097931.2.p1
OG0011527	NM_125178.6.p1	XM_006473945.4.p1
OG0011528	NM_125530.3.p1	XM_006494923.4.p1
OG0011529	NM_125787.5.p1	XM_006465046.4.p1
OG0011530	NM_125801.4.p1	XM_006486526.4.p1
OG0011531	NM_125819.4.p1	XM_052432932.1.p1, XM_006493827.4.p1
OG0011532	NM_125859.4.p1, NM_203262.3.p1	XM_006464567.4.p1
OG0011533	NM_126157.4.p1	XM_006466383.4.p1
OG0011534	NM_126940.3.p1	XM_006465000.4.p1
OG0011535	NM_127277.3.p1	XM_015532803.3.p1
OG0011536	NM_127379.3.p1	XM_006492597.4.p1
OG0011537	NM_127514.4.p1	XM_006475368.4.p1, XM_006475370.4.p1
OG0011538	NM_127911.4.p1	XM_006466612.4.p1
OG0011539	NM_128042.4.p1	XM_006483454.4.p1
OG0011540	NM_128288.4.p1	XM_006481464.4.p1
OG0011541	NM_128923.5.p1	XM_025096379.2.p1
OG0011542	NM_129408.2.p1	XM_006481113.4.p1
OG0011543	NM_129551.4.p1	XM_006474246.4.p1
OG0011544	NM_129638.4.p1	XM_006486086.4.p1
OG0011545	NM_129853.6.p1	XM_006484806.4.p1
OG0011546	NM_129864.3.p1	XM_006484697.4.p1
OG0011547	NM_129867.3.p1	XM_006492167.4.p1
OG0011548	NM_130114.4.p1	XM_006490892.4.p1
OG0011549	NM_130365.4.p1	XM_006479780.4.p1
OG0011550	NM_148655.4.p1	XM_006473455.4.p1
OG0011551	NM_148700.2.p1	XM_006491547.4.p1
OG0011552	NM_179589.4.p1	XM_006468690.4.p1
OG0011553	NM_179781.2.p1	XM_006487956.4.p1
OG0011554	NM_180175.4.p1	XM_006471568.4.p1
OG0011555	NM_180772.2.p1	XM_006478036.4.p1
OG0011556	NM_202586.3.p1	XM_025099085.2.p1
OG0011557	NM_202875.2.p1	XM_006476286.4.p1
OG0011558	NR_138912.1.p1	XM_006473623.4.p1, XM_006473622.4.p1
OG0011672	NM_129064.3.p1, NM_001036408.3.p1	XM_006468426.4.p1
OG0011673	NM_121859.3.p1, NM_001036822.2.p1	XM_006489054.4.p1, XM_006489055.4.p1
OG0011674	NM_001125966.2.p1, NM_124886.3.p1	XM_006474986.3.p1
OG0011675	NM_001126041.2.p1	XM_006466641.4.p1
OG0011676	NM_001333054.1.p1, NM_128195.2.p1, NM_001198202.2.p1, NM_103087.1.p1, NM_103084.5.p1	XM_052437375.1.p1
OG0011677	NM_001198251.2.p1	XM_006468694.4.p1
OG0011678	NM_001198384.1.p1, NM_001334178.1.p1	XM_052436323.1.p1
OG0011679	NM_001335271.1.p1, NM_001202582.1.p1	XM_052431874.1.p1, XR_003064111.2.p1
OG0011680	NM_001202644.1.p1	XM_006493783.4.p1
OG0011681	NM_001337207.1.p1, NM_001202835.1.p1	XM_006491273.4.p1
OG0011683	NM_120305.3.p1, NM_001203276.1.p1	XM_006480769.4.p1
OG0011684	NM_001343051.1.p1, NM_203261.2.p1, NM_001203683.1.p1, NM_125835.5.p1	XM_006487400.4.p1, XM_006487399.4.p1
OG0011685	NM_001203713.2.p1	XM_052438289.1.p1
OG0011686	NM_001331615.1.p1	XM_052434433.1.p1, XM_052434432.1.p1
OG0011687	NM_001332827.1.p1	XM_006464770.3.p1
OG0011688	NM_103682.4.p1, NM_001333285.1.p1	XM_006473586.3.p1
OG0011690	NM_001335772.1.p1, NM_001335773.1.p1, NM_127741.4.p1	XM_006487077.4.p1
OG0011691	NM_001335848.1.p1, NM_127903.5.p1	XM_006470933.4.p1
OG0011692	NM_128784.4.p1, NM_001336379.1.p1	XM_025100029.2.p1
OG0011694	NM_001337388.1.p1, NM_111093.2.p1	XM_006482377.4.p1
OG0011695	NM_001337713.1.p1, NM_111623.4.p1, NM_124229.4.p1	XM_006492177.4.p1
OG0011696	NM_001338495.1.p1, NM_112981.4.p1	XM_006470554.4.p1
OG0011697	NM_001338913.1.p1, NM_123398.3.p1	XM_006470248.4.p1
OG0011698	NM_114563.7.p1, NM_001339289.1.p1	XM_006488401.4.p1
OG0011699	NM_114902.1.p1, NM_001339469.1.p1	XM_006466602.4.p1
OG0011700	NM_114919.6.p1, NM_001339474.1.p1	XM_006466574.4.p1
OG0011701	NM_001339727.1.p1	XM_006485948.4.p1
OG0011702	NM_001339802.1.p1	XM_006466161.4.p1
OG0011703	NM_001340105.1.p1, NM_203117.2.p1	XM_006491094.4.p1
OG0011704	NM_001340200.1.p1, NM_116197.1.p1	XM_006479591.4.p1
OG0011706	NM_001341043.1.p1	XM_015527502.3.p1
OG0011707	NM_001341129.1.p1, NM_117771.3.p1	XM_006477099.4.p1, XM_052437340.1.p1
OG0011710	NM_001343788.1.p1, NM_122212.5.p1	XM_006494180.4.p1
OG0011711	NM_001343944.1.p1	XM_006476032.4.p1
OG0011712	NM_148088.2.p1, NM_001344570.1.p1	XM_006468538.4.p1
OG0011713	NM_001344992.1.p1	XM_006490314.4.p1
OG0011714	NM_001345287.1.p1	XM_052433538.1.p1
OG0011715	NM_125263.5.p1, NM_001345321.1.p1	XM_006488441.4.p1
OG0011716	NM_001345613.1.p1	XM_006464852.4.p1
OG0011717	NM_100000.3.p1	XM_006491284.4.p1
OG0011718	NM_100322.5.p1	XM_006489661.2.p1
OG0011719	NM_100798.4.p1	XM_006472164.4.p1
OG0011720	NM_100816.5.p1	XM_006480330.4.p1
OG0011721	NM_100905.4.p1	XM_006470115.4.p1, XM_025095551.2.p1
OG0011722	NM_101208.3.p1	XM_006468636.4.p1
OG0011723	NM_101238.5.p1	XM_006484170.4.p1
OG0011724	NM_101279.2.p1	XM_006483056.3.p1
OG0011725	NM_101354.3.p1	XM_006469186.4.p1
OG0011726	NM_101551.4.p1	XM_006487392.4.p1
OG0011727	NM_102017.3.p1	XM_006472764.4.p1
OG0011728	NM_102730.2.p1	XM_006488108.4.p1
OG0011729	NM_102734.5.p1	XM_006464224.4.p1
OG0011731	NM_103577.4.p1	XM_006473498.4.p1
OG0011733	NM_103731.6.p1	XM_006478469.4.p1
OG0011734	NM_103974.6.p1	XM_006493872.4.p1
OG0011735	NM_103986.2.p1	XM_006468016.4.p1
OG0011736	NM_103997.4.p1	XM_052433043.1.p1, XM_052433039.1.p1, XM_052433040.1.p1
OG0011737	NM_104142.3.p1	XM_006465289.4.p1
OG0011738	NM_104435.3.p1	XM_006474685.4.p1, XM_025097317.2.p1, XM_025097316.2.p1, XM_025097318.2.p1
OG0011739	NM_104757.4.p1, NM_105269.4.p1, NM_105270.3.p1	XM_052441965.1.p1, XM_006475595.4.p1
OG0011740	NM_104952.2.p1	XM_006477193.4.p1
OG0011741	NM_123490.1.p1, NM_105024.4.p1	XM_006477458.2.p1
OG0011742	NM_105440.2.p1	XM_052440044.1.p1
OG0011743	NM_105500.2.p1	XM_006468647.4.p1
OG0011744	NM_105557.6.p1	XM_006484347.4.p1
OG0011745	NM_105583.3.p1	XM_006484176.4.p1
OG0011746	NM_105669.3.p1	XM_006483678.3.p1
OG0011747	NM_105701.2.p1	XM_025101373.2.p1
OG0011748	NM_106130.7.p1	XM_006476590.4.p1
OG0011749	NM_106176.6.p1	XM_006473431.4.p1
OG0011751	NM_106359.5.p1	XM_006472847.4.p1
OG0011752	NM_106416.2.p1	XM_006472684.3.p1
OG0011753	NM_106503.3.p1	XM_006477747.4.p1
OG0011754	NM_106559.3.p1	XM_006477955.4.p1
OG0011755	NM_106573.4.p1	XM_006475274.4.p1
OG0011756	NM_111424.3.p1	XM_052442652.1.p1
OG0011757	NM_111651.3.p1	XM_006469384.4.p1
OG0011758	NM_111684.3.p1	XM_006482819.4.p1, XM_006483617.4.p1
OG0011759	NM_111813.4.p1	XM_006481387.4.p1
OG0011760	NM_111905.3.p1	XM_006485472.4.p1
OG0011761	NM_112337.3.p1	XM_052439031.1.p1
OG0011762	NM_112370.4.p1	XM_006464765.4.p1
OG0011764	NM_112575.4.p1	XM_025102878.1.p1, XM_006488789.4.p1
OG0011765	NM_112582.2.p1	XM_006488925.3.p1
OG0011766	NM_113035.3.p1	XM_006489044.4.p1
OG0011767	NM_113221.3.p1	XM_006489512.4.p1
OG0011768	NM_113465.4.p1	XM_006492188.4.p1
OG0011769	NM_113607.4.p1	XM_006485686.3.p1
OG0011770	NM_114546.4.p1	XM_006493385.3.p1
OG0011771	NM_116731.4.p1	XM_025095064.2.p1
OG0011772	NM_116732.3.p1	XM_006474274.4.p1
OG0011773	NM_117043.3.p1	XM_052442876.1.p1
OG0011774	NM_117130.2.p1	XM_006492620.4.p1
OG0011775	NM_117443.4.p1	XM_052434179.1.p1
OG0011776	NM_117600.6.p1	XM_025100158.2.p1, XM_006481312.4.p1
OG0011777	NM_117633.3.p1	NM_001288924.1.p1
OG0011778	NM_117681.3.p1	XM_006489005.4.p1
OG0011779	NM_117717.5.p1	XM_006488772.4.p1
OG0011780	NM_117732.7.p1	XM_006467215.4.p1
OG0011781	NM_117736.3.p1	XM_006467228.4.p1
OG0011782	NM_117846.3.p1	XM_006477082.4.p1
OG0011783	NM_117916.6.p1	XM_006467491.4.p1
OG0011784	NM_118386.1.p1	XM_015529742.2.p1
OG0011785	NM_118909.3.p1	XM_006491584.3.p1
OG0011786	NM_119444.4.p1	XM_006475971.4.p1, XM_052440049.1.p1
OG0011787	NM_119460.5.p1	XM_025097540.2.p1
OG0011788	NM_119502.4.p1	XM_006464853.4.p1
OG0011789	NM_119571.5.p1	XM_006486973.4.p1
OG0011790	NM_119601.4.p1	XM_006479299.4.p1
OG0011791	NM_119657.3.p1	XM_006466359.4.p1
OG0011792	NM_119915.4.p1	XM_006466425.4.p1
OG0011793	NM_120161.3.p1	XM_006466183.4.p1
OG0011794	NM_120209.2.p1	XM_006481014.4.p1, XR_003066082.2.p1
OG0011795	NM_120627.5.p1	XM_006486192.4.p1
OG0011796	NM_120648.6.p1	XM_006486252.4.p1
OG0011798	NM_125529.4.p1, NM_120855.2.p1	XM_006494921.4.p1
OG0011799	NM_120982.3.p1	XM_006492540.4.p1
OG0011800	NM_121342.4.p1	XM_006487513.4.p1
OG0011801	NM_121355.5.p1	XM_006485893.4.p1
OG0011802	NM_121376.4.p1	XM_006482861.4.p1
OG0011803	NM_121386.2.p1	XM_006486399.4.p1
OG0011805	NM_121825.4.p1	XM_006479040.4.p1
OG0011807	NM_122230.4.p1	XM_006484462.4.p1
OG0011808	NM_122307.3.p1	XM_006490578.4.p1
OG0011809	NM_122416.4.p1	XM_006494361.4.p1
OG0011810	NM_122469.3.p1	XM_006476100.4.p1
OG0011811	NM_122975.3.p1	XM_006469398.4.p1
OG0011812	NM_123302.4.p1	XM_052443125.1.p1, XM_006482647.4.p1, XM_006482648.4.p1
OG0011815	NM_123557.4.p1	XM_006481296.4.p1
OG0011816	NM_123687.3.p1	XM_006482876.4.p1
OG0011818	NM_123906.5.p1	XM_006471508.4.p1
OG0011820	NM_123976.3.p1	XM_015526845.3.p1
OG0011821	NM_124016.2.p1	XM_006467488.4.p1
OG0011822	NM_124028.3.p1	XM_006485371.4.p1
OG0011823	NM_124150.5.p1	XM_006467149.4.p1
OG0011824	NM_124412.3.p1	XM_006476905.4.p1
OG0011825	NM_124561.3.p1	XM_006490226.4.p1
OG0011826	NM_124674.4.p1	XM_006490529.4.p1
OG0011827	NM_124752.4.p1	XM_006478030.4.p1
OG0011828	NM_148125.1.p1, NM_148126.4.p1, NM_124753.1.p1	XM_006474596.2.p1, XM_052434149.1.p1, XM_015528974.2.p1, XM_006474607.3.p1, XM_052433236.1.p1
OG0011829	NM_124818.4.p1	XM_006464634.4.p1
OG0011830	NM_124880.3.p1	XM_006474992.4.p1
OG0011831	NM_125125.3.p1	XM_006474120.4.p1
OG0011832	NM_125175.2.p1	XM_006473955.4.p1
OG0011833	NM_125261.5.p1	XM_006488453.4.p1
OG0011834	NM_125315.5.p1	XM_006488315.4.p1
OG0011835	NM_125607.4.p1	XM_006490253.4.p1
OG0011836	NM_125834.3.p1	XM_006494624.4.p1
OG0011837	NM_125973.5.p1	XM_052445087.1.p1
OG0011838	NM_126895.4.p1	XM_006474307.4.p1
OG0011839	NM_127446.4.p1	XM_006474136.4.p1
OG0011840	NM_127667.4.p1	XM_015532780.3.p1
OG0011841	NM_128041.4.p1	XM_052436584.1.p1, XM_052436579.1.p1
OG0011842	NM_128055.3.p1	XM_006483455.4.p1
OG0011843	NM_128182.4.p1	XM_006474469.4.p1
OG0011844	NM_128318.4.p1	XM_006487905.4.p1
OG0011845	NM_128565.5.p1	XM_006488500.4.p1
OG0011846	NM_128757.4.p1	XM_006492475.4.p1
OG0011847	NM_128771.4.p1	XM_006489311.4.p1
OG0011848	NM_128819.4.p1	XM_006493485.3.p1
OG0011849	NM_128870.4.p1	XM_006489743.3.p1
OG0011850	NM_129016.4.p1	XM_006467999.4.p1
OG0011851	NM_129213.3.p1	XM_006481853.4.p1
OG0011852	NM_129220.3.p1	XM_006481862.4.p1
OG0011853	NM_129453.4.p1	XM_052436923.1.p1
OG0011854	NM_130257.5.p1	XM_006491359.4.p1
OG0011855	NM_148294.4.p1	XM_006472810.4.p1
OG0011857	NM_179017.3.p1	XM_006473083.4.p1
OG0011858	NM_179567.3.p1	XM_006472865.4.p1
OG0011859	NM_180011.2.p1	XM_052435480.1.p1
OG0011860	NM_180049.4.p1	XM_006484835.4.p1
OG0011861	NM_202702.3.p1	XM_006470802.4.p1
OG0011862	NM_203072.3.p1	XM_006478922.4.p1
OG0011863	NR_138785.1.p1	XM_006467786.4.p1
OG0011864	NR_139966.1.p1, NR_139967.1.p1	XM_025097963.2.p1
OG0011938	NM_001035857.2.p1, NM_100143.3.p1	XM_006475796.4.p1
OG0011939	NM_123327.2.p1, NM_001035933.2.p1	XM_006482542.4.p1
OG0011940	NM_001332257.1.p1, NM_001084079.2.p1	XM_052444198.1.p1
OG0011941	NM_114708.5.p1, NM_001084790.1.p1	XM_006476925.3.p1
OG0011942	NM_123213.4.p1, NM_001085213.1.p1	XM_052436214.1.p1, XM_052436252.1.p1
OG0011943	NM_001085250.2.p1, NM_118023.5.p1	XM_052431237.1.p1, XM_025100362.2.p1, XM_006464417.4.p1
OG0011944	NM_001335178.1.p1, NM_001124784.2.p1	XM_006483010.4.p1, XM_015531671.3.p1
OG0011946	NM_001125323.2.p1, NM_114749.3.p1	XM_006490309.4.p1
OG0011947	NM_001333706.1.p1, NM_001198309.1.p1	XM_006488875.4.p1
OG0011948	NM_001198316.2.p1, NM_105700.3.p1	XM_025097786.2.p1, XM_006474812.4.p1
OG0011949	NM_001202718.1.p1	XM_006468995.3.p1
OG0011950	NM_115288.8.p1, NM_001203156.1.p1	XM_015532130.3.p1
OG0011951	NM_001203475.1.p1	XM_015530922.3.p1
OG0011952	NM_001203579.1.p1, NM_124465.6.p1	XM_006485064.4.p1
OG0011953	NM_001203902.1.p1	XM_015529056.3.p1
OG0011957	NM_105230.5.p1, NM_001334215.1.p1	XM_006468573.4.p1
OG0011958	NM_001334723.1.p1, NM_106282.5.p1, NM_001334722.1.p1	XM_006493602.4.p1
OG0011959	NM_127614.2.p1, NM_001335693.1.p1	XM_006476098.4.p1
OG0011960	NM_001336724.1.p1	XM_006471268.4.p1
OG0011962	NM_111807.3.p1, NM_001337840.1.p1	XM_006480582.4.p1
OG0011963	NM_113024.3.p1, NM_001338522.1.p1	XM_006466020.4.p1
OG0011964	NM_001338967.1.p1	XM_006482483.4.p1
OG0011965	NM_001339044.1.p1	XM_006482381.4.p1
OG0011966	NM_001339722.1.p1	XM_006482508.4.p1
OG0011967	NM_001340340.1.p1	XM_006492329.4.p1
OG0011968	NM_001340350.1.p1	XM_006492294.4.p1
OG0011969	NM_001341284.1.p1, NM_001341287.1.p1	XM_025094676.2.p1, XM_025094675.2.p1, XM_025094677.2.p1
OG0011971	NM_111222.2.p1, NM_001343516.1.p1	XM_006484709.3.p1
OG0011972	NM_001343632.1.p1, NM_122004.2.p1	XM_006476047.4.p1
OG0011973	NM_001344071.1.p1	XM_025100167.2.p1, XM_006476599.3.p1
OG0011974	NM_001344814.1.p1, NM_124288.3.p1	XM_006488987.4.p1
OG0011975	NM_001345765.1.p1	XM_006466752.4.p1
OG0011976	NM_100150.3.p1	XM_006479969.4.p1
OG0011977	NM_100168.3.p1	XM_006479878.3.p1
OG0011978	NM_100236.2.p1	XM_006491565.4.p1
OG0011979	NM_100920.4.p1	XM_006483692.4.p1
OG0011980	NM_101301.5.p1	XM_015531674.3.p1
OG0011981	NM_101494.2.p1	XM_006493691.4.p1
OG0011982	NM_102141.3.p1	XM_006470954.4.p1
OG0011984	NM_102563.4.p1	XM_006484092.4.p1
OG0011985	NM_102927.3.p1	XM_006471411.4.p1
OG0011986	NM_102949.4.p1	XM_006471420.4.p1
OG0011987	NM_102955.4.p1	XM_006471448.4.p1
OG0011988	NM_103061.3.p1	XM_052436207.1.p1
OG0011989	NM_103101.4.p1	XM_025094225.2.p1
OG0011990	NM_103321.4.p1	XM_006472611.4.p1
OG0011991	NM_103693.4.p1	XR_008052518.1.p1, XM_015533506.3.p1
OG0011992	NM_104136.3.p1	XM_006465424.2.p1
OG0011993	NM_104664.2.p1	XM_006483202.3.p1
OG0011994	NM_104740.3.p1	XR_369216.4.p1, XM_052444617.1.p1
OG0011995	NM_104972.3.p1	XM_006484281.3.p1
OG0011996	NM_105289.3.p1, NM_123113.3.p1	XM_006482017.4.p1
OG0011997	NM_105314.5.p1	XM_006482074.4.p1
OG0011998	NM_105475.4.p1	XM_006469191.4.p1
OG0011999	NM_105659.3.p1	XM_006483203.4.p1
OG0012000	NM_105815.4.p1	XM_006478317.4.p1
OG0012001	NM_106255.3.p1	XM_006473652.4.p1
OG0012002	NM_106289.4.p1	XM_006473773.4.p1
OG0012004	NM_106657.3.p1	XM_052444164.1.p1
OG0012005	NM_111046.4.p1	XM_006469955.4.p1
OG0012006	NM_111050.2.p1, NM_111049.3.p1	XM_006469971.4.p1
OG0012007	NM_111726.5.p1	XM_006480978.4.p1
OG0012008	NM_111837.3.p1	XM_015531502.3.p1
OG0012009	NM_112162.3.p1	XM_006474766.3.p1
OG0012010	NM_112229.3.p1	XM_006465968.4.p1
OG0012011	NM_112248.4.p1	XM_006465911.3.p1
OG0012012	NM_112727.2.p1	XM_006470837.4.p1
OG0012013	NM_112733.3.p1	XM_006485707.4.p1
OG0012014	NM_112791.6.p1	XM_052432971.1.p1
OG0012015	NM_112853.5.p1	XM_006486857.4.p1
OG0012016	NM_113042.4.p1	XM_006472848.4.p1
OG0012017	NM_113049.4.p1	XM_015525706.3.p1, XM_006493486.2.p1, XM_025093577.2.p1
OG0012018	NR_141615.1.p1, NM_113340.1.p1	XM_006476042.4.p1
OG0012019	NM_113437.3.p1	XM_025093015.2.p1, XM_006492164.4.p1
OG0012020	NM_114133.2.p1	XM_006485659.4.p1
OG0012021	NM_114357.6.p1	XM_006487933.3.p1
OG0012022	NM_114629.4.p1	XM_006476546.4.p1
OG0012023	NM_114933.2.p1, NM_114932.1.p1, NM_126069.3.p1	XM_006466688.3.p1
OG0012024	NM_122715.5.p1, NM_122723.4.p1, NM_116043.2.p1	XM_006491218.4.p1, XM_052437733.1.p1
OG0012025	NM_116253.3.p1	XM_006470513.2.p1, XM_052436315.1.p1
OG0012026	NM_116396.4.p1	XM_006492378.4.p1
OG0012027	NM_116403.5.p1	XM_052437437.1.p1, XM_052437435.1.p1
OG0012028	NM_116549.3.p1	XM_006479797.4.p1
OG0012029	NM_117499.5.p1	XM_006489262.2.p1
OG0012031	NM_117675.3.p1	XM_006489021.4.p1
OG0012032	NM_117738.3.p1	XM_006479506.4.p1
OG0012033	NM_117990.3.p1, NM_202840.2.p1	XM_006467560.3.p1
OG0012034	NM_117991.3.p1	XM_006467558.4.p1
OG0012035	NM_118081.4.p1	XM_006470681.4.p1
OG0012036	NM_118541.4.p1	XM_006476240.4.p1
OG0012037	NM_118659.2.p1	XM_025102856.2.p1
OG0012038	NM_118917.3.p1	XM_052438176.1.p1
OG0012039	NM_118941.5.p1	XR_008052010.1.p1, XR_008052011.1.p1, XM_052434413.1.p1, XM_006474054.4.p1
OG0012040	NM_118960.3.p1	XM_006467351.3.p1
OG0012041	NM_118987.8.p1	XM_006469871.4.p1
OG0012042	NM_119087.3.p1	XM_006475315.4.p1
OG0012044	NM_119378.4.p1	XM_006483317.4.p1
OG0012045	NM_122442.2.p1, NM_119382.3.p1	XM_006483648.3.p1
OG0012046	NM_119751.3.p1	XM_006470142.3.p1
OG0012047	NM_120385.4.p1	XM_025100142.2.p1, XM_006480586.4.p1
OG0012048	NM_120595.3.p1	XM_052443076.1.p1
OG0012049	NM_120663.3.p1	XM_052433173.1.p1
OG0012050	NM_121034.2.p1	XM_006493769.4.p1
