Orthogroup	Arabidopsis_thaliana_rna_prot	Solanum_tuberosum_rna_prot
OG0006828	NM_001332000.1.p1	XM_006348045.2.p1
OG0006829	NM_118411.4.p1, NM_202865.1.p1, NM_117274.3.p1, NM_179033.1.p1, NM_001332036.1.p1, NM_179321.3.p1, NM_101116.6.p1	XM_006363651.2.p1
OG0006831	NM_001332364.1.p1, NM_001334650.1.p1, NM_106104.3.p1	XM_006364523.2.p1
OG0006832	NM_001332448.1.p1, NM_101907.2.p1, NM_001334975.1.p1, NM_001334974.1.p1, NM_106675.5.p1	XM_006354861.2.p1
OG0006833	NM_102295.6.p1, NM_202178.3.p1, NM_001332652.1.p1	XM_006338817.2.p1, XM_006341722.2.p1
OG0006834	NM_001332690.1.p1, NM_102383.5.p1	XM_006348557.2.p1
OG0006835	NM_001332814.1.p1	XM_006364238.2.p1
OG0006836	NM_102843.7.p1, NM_001332940.1.p1, NM_001332941.1.p1, NM_001332936.1.p1, NM_001332935.1.p1	XM_006348440.2.p1
OG0006837	NM_180674.4.p1, NM_103699.5.p1, NM_001333289.1.p1	NM_001288410.1.p1, XM_006355661.2.p1
OG0006838	NM_001333698.1.p1	XM_006354088.2.p1
OG0006839	NM_001334199.1.p1, NM_105199.3.p1	XM_006353168.2.p1
OG0006840	NM_001334301.1.p1, NM_001334303.1.p1, NM_001334302.1.p1	XM_006344565.2.p1
OG0006841	NM_001334353.1.p1, NM_001334352.1.p1	XM_006360372.2.p1
OG0006842	NM_105760.6.p1, NM_001334482.1.p1, NM_126204.3.p1, NM_001335062.1.p1	XM_015307239.1.p1
OG0006843	NM_001334572.1.p1, NM_105975.5.p1	XM_006358890.2.p1
OG0006844	NM_106197.3.p1, NM_001334689.1.p1	XM_015306410.1.p1, XM_015306409.1.p1
OG0006846	NM_106366.2.p1, NM_001334768.1.p1, NM_148662.2.p1, NM_001334767.1.p1	XM_006356645.2.p1
OG0006847	NM_001334935.1.p1	XM_006341616.2.p1, XM_015306245.1.p1
OG0006848	NM_001335021.1.p1, NM_202464.3.p1, NM_001335022.1.p1, NM_106742.5.p1	XM_006341358.2.p1
OG0006849	NM_001335077.1.p1, NM_126237.3.p1	XM_006354996.1.p1
OG0006850	NM_001335150.1.p1	XM_006355053.2.p1
OG0006851	NM_001335288.1.p1, NM_122950.4.p1, NM_126597.4.p1	XM_006345202.1.p1
OG0006852	NM_119198.5.p1, NM_001335876.1.p1, NM_127957.5.p1	XM_006343661.2.p1
OG0006853	NM_127983.3.p1, NM_001335925.1.p1	XM_006343581.2.p1
OG0006854	NM_001336020.1.p1, NM_179738.5.p1	XM_006342454.2.p1
OG0006855	NM_001336441.1.p1	XM_006362201.2.p1
OG0006856	NM_001336553.1.p1, NM_001336554.1.p1, NM_129088.4.p1	XM_006362435.2.p1
OG0006857	NM_001340022.1.p1, NM_001340023.1.p1, NM_001337082.1.p1, NM_180084.2.p1	XM_006359088.2.p1
OG0006859	NM_202524.2.p1, NM_001337751.1.p1	XM_006350319.2.p1
OG0006860	NM_001337888.1.p1	XM_006345820.2.p1, XM_006350965.2.p1
OG0006861	NM_123053.5.p1, NM_001338237.1.p1, NM_112527.2.p1, NM_105236.2.p1	XM_006353176.2.p1
OG0006862	NM_001338294.1.p1, NM_112639.4.p1	XM_006364886.2.p1, XM_006366866.2.p1
OG0006863	NM_001338340.1.p1, NM_001338339.1.p1, NM_112737.3.p1	XM_006341572.2.p1, XM_006341573.2.p1, XM_006341574.2.p1
OG0006864	NM_112796.2.p1, NM_001338382.1.p1	XM_006346462.2.p1, XM_006356540.2.p1
OG0006865	NM_001338505.1.p1, NM_113005.4.p1	XM_006354505.2.p1
OG0006866	NM_001338578.1.p1, NM_113127.4.p1	XM_006351933.2.p1
OG0006867	NM_113584.5.p1, NM_001338832.1.p1, NM_001338827.1.p1, NM_001338831.1.p1, NM_001338829.1.p1, NM_001338826.1.p1, NM_001338828.1.p1	XM_015307856.1.p1, XM_006338674.2.p1
OG0006868	NM_001339151.1.p1, NM_114321.3.p1, NM_001339149.1.p1	XM_006349054.2.p1
OG0006869	NM_001340075.1.p1, NM_115972.4.p1	XM_006339419.2.p1
OG0006870	NM_001340128.1.p1, NM_116045.3.p1	XM_015312350.1.p1
OG0006871	NM_001340353.1.p1, NM_148194.4.p1, NM_001340354.1.p1	XM_006352774.2.p1, XM_015311084.1.p1
OG0006872	NM_118309.7.p1, NM_001340512.1.p1	XM_006360028.2.p1, XM_006360027.2.p1
OG0006873	NM_116735.4.p1, NM_001340522.1.p1	XM_006346972.2.p1
OG0006874	NM_117463.3.p1, NM_001340891.1.p1, NM_117467.4.p1	XM_006349853.2.p1, XM_006365402.2.p1
OG0006876	NM_001341088.1.p1, NM_117719.5.p1	XM_006366677.2.p1
OG0006877	NM_001341664.1.p1, NM_118568.4.p1, NM_118567.3.p1	XM_006360436.2.p1
OG0006878	NM_001341786.1.p1, NM_001341785.1.p1	XM_006353463.2.p1
OG0006879	NM_119965.4.p1, NM_001342470.1.p1	XM_015311231.1.p1, XM_015311230.1.p1
OG0006880	NM_001342590.1.p1, NM_001342592.1.p1	XM_006338924.2.p1
OG0006881	NM_120349.4.p1, NM_001342666.1.p1, NM_001342667.1.p1	XM_006345627.2.p1, XM_006345626.2.p1
OG0006883	NM_121399.3.p1, NM_001343303.1.p1	XM_015307858.1.p1, XM_006338749.2.p1
OG0006884	NM_001343335.1.p1, NM_121444.4.p1	XM_015308083.1.p1, XM_006338735.1.p1
OG0006885	NM_121687.5.p1, NM_001343467.1.p1	XM_006347524.2.p1
OG0006886	NM_001343593.1.p1, NM_203083.2.p1	XM_006349161.2.p1, XM_015309506.1.p1
OG0006887	NM_001343623.1.p1, NM_121974.5.p1	XM_006353422.2.p1
OG0006888	NM_001343881.1.p1, NM_122366.4.p1	XM_006347467.2.p1
OG0006890	NM_001344250.1.p1, NM_123206.3.p1, NM_105381.5.p1	XM_006363055.2.p1
OG0006891	NM_001344310.1.p1, NM_001344311.1.p1	XM_015313303.1.p1, XM_006357063.2.p1
OG0006892	NM_001344741.1.p1	XM_006352256.2.p1
OG0006893	NM_001344923.1.p1, NM_124496.3.p1, NM_001344924.1.p1	XM_006358135.2.p1
OG0006894	NM_001345202.1.p1	XM_006359139.2.p1
OG0006895	NM_001345360.1.p1, NM_001345362.1.p1, NM_001345361.1.p1, NM_125353.3.p1	XM_006358657.2.p1
OG0006896	NM_125463.3.p1, NM_001345430.1.p1	XM_015315126.1.p1, XM_015304569.1.p1
OG0006897	NM_180946.3.p1, NM_001345737.1.p1, NM_126000.2.p1	XM_006340763.2.p1
OG0006898	NM_100090.4.p1, NM_202012.1.p1	XR_001473505.1.p1, XM_006347899.2.p1
OG0006899	NM_100114.5.p1	XM_006365387.2.p1
OG0006900	NM_100196.3.p1	XM_006349620.2.p1
OG0006901	NM_100410.3.p1	XM_006358668.2.p1, XM_006357832.2.p1
OG0006902	NM_100535.4.p1	XM_006357627.2.p1
OG0006903	NM_100611.4.p1, NM_128510.3.p1	XM_006350753.2.p1
OG0006904	NM_100834.5.p1	XM_006362544.2.p1, XM_006367363.2.p1
OG0006905	NM_100870.3.p1	XR_368729.2.p1
OG0006906	NM_118314.3.p1, NM_101042.4.p1, NM_104873.3.p1	XM_006348052.2.p1, XM_006363047.2.p1
OG0006907	NM_101046.3.p1, NM_104886.5.p1	XM_015309082.1.p1
OG0006908	NM_104922.3.p1, NM_101075.3.p1	XM_006352403.2.p1, XM_006352405.2.p1
OG0006909	NM_101269.2.p1	XM_006348690.2.p1, XM_006348692.2.p1
OG0006910	NM_101347.4.p1	XM_006363991.2.p1
OG0006911	NM_101639.3.p1	XM_015312980.1.p1
OG0006912	NM_101689.1.p1, NM_121592.2.p1	XM_006346796.2.p1, XM_006338225.2.p1
OG0006913	NM_101934.3.p1, NM_106290.5.p1	XM_006342102.1.p1
OG0006914	NM_102335.4.p1	NM_001288331.1.p1
OG0006915	NM_102438.3.p1	NM_001288061.1.p1
OG0006916	NM_102741.3.p1	XR_001471988.1.p1
OG0006917	NM_103059.2.p1, NM_110977.3.p1	NM_001288215.1.p1, XM_015303428.1.p1
OG0006918	NM_103122.4.p1	XM_006361551.2.p1, XM_006358983.2.p1
OG0006919	NM_103352.1.p1, NR_143733.1.p1	XM_015310706.1.p1
OG0006920	NM_103668.3.p1	XM_006367241.2.p1
OG0006921	NM_104023.3.p1	XM_006365136.2.p1
OG0006922	NM_104075.4.p1	XM_006342972.2.p1
OG0006923	NM_112425.4.p1, NM_104155.4.p1	XM_006341602.2.p1
OG0006924	NM_104203.4.p1	XM_006358883.2.p1
OG0006925	NM_104383.4.p1	XM_006343747.2.p1
OG0006926	NM_104948.4.p1	XM_006355434.2.p1
OG0006927	NM_105078.5.p1	XM_006360633.2.p1, XM_015314958.1.p1
OG0006928	NM_105171.3.p1	XM_006352851.2.p1, XM_015311087.1.p1
OG0006929	NM_105215.3.p1	XM_006350335.2.p1, XM_015310058.1.p1
OG0006930	NM_105397.3.p1, NM_121963.4.p1	XM_006341209.1.p1
OG0006931	NM_105485.4.p1	XM_015310617.1.p1
OG0006932	NM_121581.3.p1	XM_006357990.2.p1
OG0006932	NM_105531.4.p1	XM_006362497.2.p1
OG0006933	NM_105545.3.p1	XM_006348529.2.p1
OG0006934	NM_202384.2.p1, NM_105607.3.p1	XM_015309335.1.p1, XM_006348666.2.p1, XM_006348668.2.p1
OG0006935	NM_105790.3.p1	XM_015306539.1.p1, XM_015306538.1.p1, XM_006342333.2.p1
OG0006936	NM_105878.4.p1	XM_006361314.2.p1
OG0006937	NM_105998.3.p1	XM_006351476.2.p1
OG0006938	NM_106091.4.p1	XM_006345071.2.p1
OG0006940	NM_106126.5.p1	XR_001471994.1.p1, XR_001471995.1.p1
OG0006941	NM_106128.3.p1	XM_006366633.2.p1, XM_015305011.1.p1, XM_015305012.1.p1, XM_006344319.2.p1
OG0006942	NM_106512.3.p1	XM_006359972.2.p1
OG0006943	NM_106652.3.p1, NM_179579.4.p1, NM_179580.2.p1	XM_006364164.2.p1
OG0006944	NM_111154.4.p1	XM_006352370.2.p1
OG0006945	NM_111267.5.p1	XM_015307853.1.p1, XM_006345326.2.p1
OG0006946	NM_111330.5.p1, NM_180181.4.p1, NM_122742.1.p1	XM_006350886.2.p1
OG0006947	NM_111331.5.p1	XM_006355162.2.p1, XM_006355163.2.p1
OG0006948	NM_111607.3.p1	XM_006352609.2.p1
OG0006949	NM_118937.2.p1, NM_111622.3.p1	XM_006352596.2.p1, XM_006352597.2.p1
OG0006950	NM_111629.3.p1	XM_006353766.2.p1
OG0006950	NM_126219.4.p1	XM_006366767.2.p1
OG0006951	NM_120660.4.p1, NM_111962.5.p1	NM_001288537.1.p1
OG0006952	NM_120667.5.p1, NM_111967.4.p1	XM_006344407.2.p1
OG0006953	NM_112065.3.p1	XM_015310247.1.p1, XM_006339190.2.p1
OG0006954	NM_112126.2.p1	XM_006364188.2.p1
OG0006955	NM_112297.3.p1, NM_121226.5.p1	XM_006365064.2.p1
OG0006956	NM_112453.3.p1, NM_112452.3.p1	XM_006356201.2.p1, XM_006364159.2.p1
OG0006957	NM_112664.3.p1	XM_006341440.2.p1
OG0006958	NM_113009.3.p1	XM_006357382.2.p1
OG0006959	NM_113069.3.p1	XM_006341847.2.p1
OG0006960	NM_113108.5.p1	NM_001288511.1.p1, XM_015309590.1.p1, XM_006349411.2.p1, XM_015309593.1.p1
OG0006961	NM_113184.5.p1	XM_006363399.2.p1, XM_006355982.2.p1
OG0006962	NM_113767.2.p1	XM_006342246.2.p1
OG0006963	NM_113857.3.p1	NM_001288286.1.p1
OG0006964	NM_114072.4.p1	XM_006343544.2.p1, XM_006350050.2.p1
OG0006965	NM_114690.3.p1	XM_006344354.2.p1
OG0006966	NM_114831.1.p1	XM_006358421.2.p1
OG0006967	NM_114927.4.p1	XM_006340540.2.p1
OG0006968	NM_115026.2.p1	XM_006360763.2.p1
OG0006969	NM_115081.4.p1	XM_006360432.2.p1
OG0006970	NM_115169.3.p1	XM_006366725.2.p1
OG0006971	NM_129427.5.p1, NM_115285.3.p1	XM_015314379.1.p1, XM_006361406.2.p1
OG0006972	NM_115840.5.p1	XM_015306507.1.p1
OG0006973	NM_116135.3.p1, NM_130347.5.p1	XM_006356928.2.p1, XM_006359321.2.p1
OG0006974	NM_130375.3.p1, NM_116528.6.p1	XM_006358371.2.p1, XM_006352728.2.p1
OG0006975	NM_116657.4.p1	XM_006349048.2.p1, XM_006349047.2.p1
OG0006976	NM_118232.2.p1, NM_116780.3.p1	XM_006352963.2.p1
OG0006977	NM_117417.4.p1	XM_006356009.2.p1
OG0006978	NM_117498.4.p1	XM_015306724.1.p1, XM_006342818.2.p1
OG0006979	NM_117588.3.p1, NM_202825.3.p1, NM_202824.2.p1	XM_006361399.2.p1
OG0006980	NM_117637.5.p1	XM_006356625.2.p1
OG0006981	NM_117766.5.p1	XM_006355451.2.p1
OG0006983	NM_117940.2.p1, NM_129049.3.p1	XM_006347773.2.p1
OG0006984	NM_118010.5.p1	XM_015312667.1.p1, XM_006358009.2.p1
OG0006986	NM_118267.5.p1	XM_006347070.2.p1
OG0006987	NM_202876.2.p1, NM_118548.3.p1	XM_006352000.2.p1
OG0006988	NM_118623.2.p1	XM_015310473.1.p1
OG0006989	NM_124436.4.p1, NM_118626.3.p1	XM_006347329.2.p1, XM_006351455.2.p1
OG0006990	NM_127618.4.p1, NM_118989.6.p1	XM_006366240.2.p1, XM_006348763.2.p1
OG0006991	NM_119038.4.p1	XM_006364223.2.p1, XM_006364224.2.p1
OG0006992	NM_128087.4.p1, NM_119364.4.p1	XM_006343454.2.p1
OG0006993	NM_128088.5.p1, NM_119365.5.p1	XM_006353612.2.p1, XM_006345570.2.p1
OG0006994	NM_202936.1.p1, NM_119417.4.p1	XM_015312988.1.p1, XM_006366840.2.p1
OG0006995	NM_119475.3.p1	XM_006353800.2.p1
OG0006996	NM_127204.3.p1, NM_119637.3.p1, NM_202955.1.p1	XM_006359540.2.p1, XM_006360552.1.p1
OG0006997	NM_119741.3.p1	XM_006340734.2.p1
OG0006998	NM_202975.2.p1, NM_119984.2.p1	XM_006365246.2.p1, XM_015304374.1.p1
OG0006999	NM_119989.5.p1	XM_006364294.2.p1
OG0007000	NM_120629.3.p1, NM_129587.3.p1	XM_006356409.2.p1
OG0007001	NM_120674.4.p1	XM_006348072.2.p1, XM_006348074.2.p1
OG0007002	NM_120796.3.p1, NM_125238.5.p1	XM_006350794.2.p1
OG0007003	NM_120815.3.p1	XM_006341634.2.p1
OG0007004	NM_120910.3.p1, NM_122226.4.p1	XM_006362010.2.p1, XM_006342593.2.p1
OG0007005	NM_120926.3.p1	XM_006349742.2.p1
OG0007006	NM_120938.4.p1	NM_001288191.1.p1
OG0007007	NM_203267.2.p1, NM_125916.3.p1, NM_121044.3.p1	XM_006354630.2.p1
OG0007008	NM_127789.4.p1, NM_121054.5.p1	XM_006351734.2.p1
OG0007009	NM_121110.2.p1	XM_006355118.2.p1
OG0007010	NM_121228.5.p1	XM_006353477.2.p1
OG0007011	NM_121727.3.p1	XM_006347496.2.p1
OG0007012	NM_122024.4.p1	XM_006364840.2.p1
OG0007013	NM_122027.4.p1	XM_006358217.2.p1, XM_015313879.1.p1, XM_015313881.1.p1
OG0007014	NM_129200.4.p1	XM_006341192.2.p1
OG0007015	NM_122481.3.p1	XM_006356246.2.p1
OG0007016	NM_122653.4.p1	XM_006344608.2.p1, XM_006344609.2.p1
OG0007017	NM_123212.3.p1	XM_015303310.1.p1
OG0007018	NM_123512.3.p1	XM_006360116.2.p1
OG0007019	NM_123629.4.p1	XM_006366379.2.p1, XM_006340150.2.p1
OG0007020	NM_123932.2.p1, NM_123933.3.p1	XM_006355559.2.p1, XM_006355504.2.p1, XM_006355558.2.p1
OG0007021	NM_123990.3.p1	XM_006352910.2.p1, XM_006361486.2.p1
OG0007022	NM_124059.4.p1	XM_006352849.2.p1
OG0007023	NM_124335.3.p1	XR_001473488.1.p1, XM_006347697.2.p1
OG0007024	NM_124492.3.p1	XM_006345518.2.p1
OG0007026	NM_124768.4.p1	XM_006348200.2.p1
OG0007027	NM_125061.4.p1, NM_125060.1.p1	XM_006345264.2.p1, XM_015307799.1.p1
OG0007028	NM_125188.3.p1	XM_006350192.2.p1
OG0007029	NM_125492.5.p1	XM_015314660.1.p1
OG0007030	NM_125623.3.p1	XM_006365185.2.p1
OG0007031	NM_125957.3.p1	XM_006353211.2.p1
OG0007032	NM_126159.4.p1	XM_006363757.2.p1
OG0007033	NM_126343.5.p1	XM_015315121.1.p1, XM_006364883.2.p1
OG0007034	NM_126400.3.p1	XM_006350837.2.p1
OG0007035	NM_126486.6.p1	XM_006351962.2.p1, XM_006357906.2.p1
OG0007036	NM_127089.4.p1	XM_006346305.2.p1
OG0007037	NM_127361.3.p1	XM_006340656.2.p1
OG0007038	NM_127382.4.p1	XM_006340579.2.p1
OG0007039	NM_127902.6.p1	XM_006361674.2.p1, XM_006361673.2.p1
OG0007040	NM_128068.3.p1	XM_006341296.2.p1
OG0007041	NM_128151.4.p1	XM_006342960.2.p1, XM_015306767.1.p1, XM_015306765.1.p1, NM_001288525.1.p1
OG0007042	NM_128152.3.p1	XM_006349146.2.p1
OG0007043	NM_128257.4.p1	XM_006339175.2.p1, XM_006356306.2.p1, XM_006356303.2.p1, XM_006362689.2.p1
OG0007044	NM_128327.5.p1	XM_015309463.1.p1
OG0007045	NM_128409.2.p1	XM_006365678.2.p1, XM_006365692.2.p1, XM_015304577.1.p1, XM_015304571.1.p1, XM_006365691.1.p1, XM_015306850.1.p1, XM_006340321.2.p1
OG0007046	NM_128580.5.p1	XM_006350864.2.p1
OG0007047	NM_128651.5.p1	XM_006348823.2.p1
OG0007048	NM_129018.4.p1	XM_006352915.2.p1, XR_001474101.1.p1
OG0007050	NM_129087.3.p1	XM_006362437.2.p1, XM_006352777.2.p1
OG0007051	NM_129255.3.p1	XM_006354289.2.p1
OG0007052	NM_129659.3.p1	XM_015310050.1.p1, XM_006364718.2.p1, XM_006350364.1.p1, XM_015310045.1.p1, XM_015314406.1.p1
OG0007053	NM_180094.3.p1, NM_130046.4.p1	XM_006350938.2.p1
OG0007054	NM_130076.2.p1	XM_006347838.2.p1
OG0007055	NM_130184.3.p1	XM_006339585.1.p1, XM_006345514.2.p1
OG0007057	NM_130328.3.p1	XM_006355746.2.p1
OG0007058	NM_148369.3.p1	XM_006346990.2.p1
OG0007059	NM_179281.2.p1	XM_006346202.2.p1
OG0007060	NM_179533.3.p1	XM_006348589.2.p1, XM_015309271.1.p1, XM_006348591.2.p1
OG0007061	NM_179919.2.p1	XM_006359891.2.p1
OG0007062	NM_180060.3.p1	XM_006364633.2.p1
OG0007063	NM_202334.2.p1	XM_006347029.2.p1, XM_006360959.2.p1, XM_015315106.1.p1, XM_006360957.2.p1
OG0007098	NM_001035856.3.p1, NM_100072.4.p1, NM_001331316.1.p1, NM_001331314.1.p1	XM_006339425.2.p1
OG0007099	NM_126313.4.p1, NM_001035878.2.p1, NM_179596.3.p1	XM_006349215.2.p1
OG0007100	NM_101051.3.p1, NM_001035947.1.p1	XM_006348063.2.p1
OG0007101	NM_001035951.3.p1	XM_006347839.2.p1
OG0007102	NM_001035952.3.p1, NM_001035953.2.p1, NM_101123.4.p1	XM_006363638.2.p1, XM_006363639.2.p1
OG0007103	NM_102720.4.p1, NM_001036033.1.p1	XM_006358024.2.p1
OG0007104	NM_101609.4.p1, NM_001036193.2.p1	XM_006342885.2.p1, XM_006361281.2.p1, XM_006361282.2.p1
OG0007105	NM_001336722.1.p1, NM_129428.4.p1, NM_001036432.2.p1	XM_006361425.2.p1
OG0007106	NM_001036749.4.p1, NM_114479.5.p1	XM_006341520.2.p1
OG0007107	NM_001036803.1.p1, NM_121424.6.p1, NM_001332948.1.p1, NM_106704.4.p1	XM_006344097.2.p1
OG0007108	NM_001036915.4.p1, NM_123541.5.p1	XM_006339614.2.p1
OG0007109	NM_001197981.1.p1, NM_001083991.2.p1, NM_001083990.1.p1, NM_001331506.1.p1	XM_006359110.2.p1
OG0007110	NM_103012.4.p1, NM_001334177.1.p1, NM_001084304.1.p1	XM_006343707.2.p1
OG0007111	NM_127211.4.p1, NM_127686.4.p1, NM_001084461.1.p1	XM_006359591.2.p1, XM_006367271.2.p1
OG0007112	NM_001084648.3.p1	XM_006354232.2.p1
OG0007113	NM_001084701.1.p1, NM_202600.1.p1, NM_180275.3.p1	XM_006353676.2.p1
OG0007114	NM_118966.3.p1, NM_001084986.1.p1	XM_006365962.2.p1
OG0007115	NM_122901.4.p1, NM_001085167.1.p1	XM_006359472.2.p1
OG0007116	NM_001123762.2.p1, NM_100442.5.p1	XM_006342379.2.p1, XM_006353061.2.p1
OG0007117	NM_001124046.2.p1	XM_006351698.2.p1
OG0007118	NM_001124787.1.p1	XM_015309317.1.p1
OG0007120	NM_001124920.1.p1, NM_128224.3.p1, NM_105640.4.p1	XM_006345168.2.p1
OG0007121	NM_001124921.2.p1	XM_006362244.2.p1
OG0007122	NM_001341834.1.p1, NM_001341835.1.p1, NM_001125594.1.p1, NM_001125595.2.p1, NM_001125593.1.p1, NM_118838.5.p1	XM_006352443.2.p1
OG0007123	NM_001160818.2.p1	XM_006339832.2.p1
OG0007124	NM_105955.4.p1, NM_001160997.1.p1	XM_006357400.2.p1, XM_006342921.2.p1
OG0007125	NM_001342568.1.p1, NM_001342569.1.p1, NM_120177.7.p1, NM_001161216.1.p1	XM_006362263.2.p1
OG0007126	NM_113576.4.p1, NM_001198048.1.p1, NM_001332055.1.p1	XM_006359217.2.p1
OG0007127	NM_001198070.1.p1, NM_001198071.1.p1, NM_001198072.1.p1	XM_015310664.1.p1
OG0007129	NM_117265.2.p1, NM_118419.3.p1, NM_001198367.1.p1, NM_001334058.1.p1	XM_006358847.2.p1
OG0007130	NM_001198411.2.p1, NM_001198410.1.p1	XM_006365523.2.p1, XM_006365525.2.p1
OG0007131	NM_179358.3.p1, NM_101757.3.p1, NM_001198469.1.p1, NM_106142.3.p1	XM_006344925.2.p1, NM_001288417.1.p1
OG0007132	NM_106188.3.p1, NM_001198472.1.p1	XM_006345172.2.p1
OG0007133	NM_001202752.1.p1	XM_006359883.2.p1
OG0007134	NM_001203364.1.p1, NM_121260.3.p1	XM_006357591.2.p1
OG0007135	NM_001203378.1.p1, NM_001343325.1.p1, NM_001343324.1.p1	XM_006355964.2.p1
OG0007136	NM_122927.4.p1, NM_001203493.1.p1	XM_006348498.2.p1
OG0007137	NM_001203610.1.p1, NM_124856.4.p1	XM_006347607.2.p1, XM_006352427.2.p1
OG0007138	NM_125699.3.p1, NM_001203674.2.p1	XM_006344366.2.p1
OG0007139	NM_001203819.1.p1, NM_117829.9.p1	XM_006352393.2.p1, XM_006346721.2.p1
OG0007140	NM_001204005.1.p1, NM_148404.4.p1, NM_127347.6.p1	XM_015304787.1.p1, XM_015304792.1.p1
OG0007141	NM_100492.4.p1, NM_001331613.1.p1, NM_001331614.1.p1	XM_006350651.2.p1
OG0007142	NM_001331620.1.p1, NM_128670.5.p1	XM_006351608.2.p1
OG0007143	NM_001332004.1.p1, NM_101057.5.p1	NM_001288362.1.p1
OG0007144	NM_105784.2.p1, NM_102145.4.p1, NM_001332572.1.p1, NM_001332570.1.p1, NM_001332569.1.p1, NM_001332571.1.p1, NM_102144.3.p1	XM_006344136.2.p1
OG0007146	NM_001332751.1.p1, NM_001332749.1.p1, NM_001332747.1.p1, NM_102480.3.p1, NM_001332748.1.p1, NM_102479.5.p1	XM_015313339.1.p1, XM_006357165.2.p1
OG0007147	NM_179417.2.p1, NM_001333152.1.p1, NM_001333153.1.p1, NM_103231.4.p1, NM_001333151.1.p1, NM_001333150.1.p1	XM_006339303.2.p1, XM_015310826.1.p1
OG0007148	NM_001333219.1.p1, NM_103490.4.p1	XM_006359775.2.p1, XM_015314565.1.p1
OG0007149	NM_103605.7.p1, NM_001333264.1.p1	XM_006354795.2.p1
OG0007150	NM_001333652.1.p1, NM_104327.4.p1	XM_015314244.1.p1, XM_006339976.2.p1
OG0007151	NM_104478.5.p1, NM_001333754.1.p1	XM_006352516.2.p1
OG0007152	NM_001333825.1.p1	XM_015310743.1.p1
OG0007153	NR_139546.1.p1, NR_139547.1.p1, NM_001334395.1.p1	XM_006348724.2.p1
OG0007154	NM_106746.3.p1, NM_001335029.1.p1, NM_106718.4.p1	XM_006341626.2.p1
OG0007155	NM_001335124.1.p1, NM_126305.3.p1	XM_006358408.2.p1
OG0007156	NM_001335483.1.p1, NM_112535.4.p1	XM_006362654.2.p1, XM_006359602.2.p1
OG0007157	NM_127792.4.p1, NM_001335790.1.p1, NM_001335787.1.p1, NM_001335791.1.p1, NM_001335789.1.p1, NM_001335788.1.p1, NM_001335786.1.p1	XM_006350190.2.p1
OG0007158	NM_001336060.1.p1, NM_128192.2.p1, NM_001336062.1.p1, NM_001336059.1.p1, NM_001336061.1.p1	XM_006341931.2.p1
OG0007159	NM_128204.5.p1, NM_001336071.1.p1	XM_006365202.2.p1
OG0007160	NM_001336128.1.p1, NM_201821.2.p1, NM_179777.2.p1	XM_006349021.2.p1
OG0007161	NM_100406.5.p1, NM_001336387.1.p1	XM_006351896.2.p1
OG0007162	NM_001336395.1.p1	XM_006366527.2.p1, XM_006366526.2.p1
OG0007163	NM_001336454.1.p1	XM_006354394.2.p1, XM_006354395.2.p1
OG0007164	NM_179959.4.p1, NM_001336685.1.p1	XM_006363007.2.p1
OG0007166	NM_129619.5.p1, NM_001336847.1.p1	XM_006353427.2.p1
OG0007167	NM_001336876.1.p1, NM_129656.4.p1	XM_006344291.2.p1
OG0007168	NM_001337091.1.p1, NM_130021.3.p1, NM_130019.1.p1, NM_130018.2.p1, NM_130020.3.p1	XM_006355684.1.p1
OG0007169	NM_001337109.1.p1	XM_015309008.1.p1
OG0007171	NM_127228.4.p1, NM_001337258.1.p1, NM_122749.1.p1, NM_130305.6.p1	XM_006349122.2.p1
OG0007173	NM_121565.4.p1, NM_180495.2.p1, NM_001337385.1.p1	XM_006338289.2.p1
OG0007175	NM_001337563.1.p1, NM_111386.3.p1	XM_006361847.2.p1, XM_015315497.1.p1
OG0007176	NM_111853.4.p1, NM_001337860.1.p1	XM_006340040.2.p1
OG0007177	NM_112030.4.p1, NM_001337968.1.p1	XM_006367692.2.p1
OG0007178	NM_001338317.1.p1, NM_112678.4.p1	XM_006341461.2.p1
OG0007179	NM_001338587.1.p1	XM_006355972.2.p1
OG0007181	NM_001339355.1.p1, NM_001339354.1.p1, NM_001339356.1.p1	XM_015307374.1.p1, XM_015307371.1.p1
OG0007182	NM_126039.4.p1, NM_001339487.1.p1, NM_114956.3.p1	XM_006346909.2.p1
OG0007183	NM_001339630.1.p1, NM_001339631.1.p1, NM_115236.4.p1	XM_006359788.2.p1
OG0007184	NM_115296.3.p1, NM_001339663.1.p1	XM_006351286.2.p1, XM_006351285.2.p1
OG0007185	NM_001339666.1.p1, NM_148874.5.p1	XM_006351046.2.p1
OG0007186	NM_001339730.1.p1, NM_115408.4.p1	XM_006343119.2.p1
OG0007187	NM_180027.3.p1, NM_001339875.1.p1	XM_006350145.2.p1, XM_015310448.1.p1
OG0007188	NM_116036.4.p1, NM_001340123.1.p1, NM_202746.2.p1	NM_001288562.1.p1
OG0007189	NM_118433.4.p1, NM_001340732.1.p1, NM_117243.4.p1	XM_006358810.2.p1
OG0007190	NM_001341198.1.p1	XM_006351477.2.p1
OG0007191	NM_179107.2.p1, NM_179108.3.p1, NM_118640.3.p1, NM_001341721.1.p1	XM_006341414.2.p1
OG0007192	NM_124726.4.p1, NM_001341882.1.p1, NM_118916.3.p1	XM_006350456.2.p1
