Orthogroup	Arabidopsis_thaliana_rna_prot	Musa_acuminata_rna_prot
OG0006557	NM_001336163.1.p1, NM_179789.4.p1	XM_065172253.1.p1
OG0006558	NM_001336192.1.p1, NM_001336191.1.p1	XM_009414274.3.p1
OG0006560	NM_001336719.1.p1	XM_065145591.1.p1, XM_009400070.3.p1
OG0006561	NM_180005.4.p1, NM_001336874.1.p1, NM_001336875.1.p1	XR_001977761.2.p1, XM_009398048.3.p1, XM_065166064.1.p1
OG0006562	NM_001340041.1.p1, NM_001337106.1.p1	XM_065104980.1.p1
OG0006563	NM_001337118.1.p1, NM_130087.4.p1	XM_065161899.1.p1, XR_010489297.1.p1, XM_065120671.1.p1, XR_010489298.1.p1, XM_065089099.1.p1, XM_065089098.1.p1
OG0006564	NM_001337254.1.p1, NM_130292.4.p1	XM_065164414.1.p1, XM_009413337.3.p1, XM_009413338.3.p1
OG0006565	NM_001343339.1.p1, NM_001343340.1.p1, NM_001343338.1.p1, NM_001337348.1.p1	XM_009389069.3.p1, XM_009418387.3.p1
OG0006566	NM_111302.2.p1, NM_001337511.1.p1, NM_128884.3.p1	XM_009422487.3.p1
OG0006567	NM_111369.4.p1, NM_001337550.1.p1, NM_202495.2.p1	XM_065083177.1.p1, XM_065098702.1.p1, XM_065098704.1.p1
OG0006568	NM_111453.1.p1, NM_001337610.1.p1, NM_122568.4.p1	XM_009409716.3.p1
OG0006569	NM_111714.4.p1, NM_001337771.1.p1	XR_010496303.1.p1, XM_065187419.1.p1, XM_009406352.3.p1, XM_065187420.1.p1, XM_065187421.1.p1, XM_065187422.1.p1
OG0006570	NM_111921.4.p1, NM_001337897.1.p1	XM_065146987.1.p1, XM_065104458.1.p1, XM_065146988.1.p1, XM_065172465.1.p1
OG0006571	NM_001338033.1.p1, NM_112151.4.p1	XM_065102424.1.p1, XM_065144973.1.p1
OG0006572	NM_112224.4.p1, NM_001338070.1.p1, NM_001338073.1.p1, NM_001338071.1.p1, NM_001338072.1.p1, NM_104387.4.p1	XM_009391641.3.p1
OG0006573	NM_001338170.1.p1, NM_001338171.1.p1, NM_001338172.1.p1, NM_202594.3.p1	XM_018822437.2.p1, XM_065145580.1.p1, XM_065108527.1.p1, XM_065140572.1.p1, XM_065140571.1.p1, XM_009390962.3.p1
OG0006574	NM_112880.3.p1, NM_001338425.1.p1	XM_009393953.3.p1, XM_065144694.1.p1, XM_065099267.1.p1
OG0006575	NM_001338438.1.p1	XM_009402815.3.p1, XM_009387708.3.p1
OG0006576	NM_001338690.1.p1, NM_001338691.1.p1, NM_113364.5.p1	XM_065131047.1.p1, XM_065131048.1.p1, XM_009406176.3.p1
OG0006577	NM_001338787.1.p1, NM_001338788.1.p1, NM_001338786.1.p1	XM_065160251.1.p1, XM_065160252.1.p1, XM_065160250.1.p1
OG0006579	NM_001339089.1.p1, NM_117706.3.p1	XM_009392187.3.p1, XM_009382451.3.p1
OG0006580	NM_001339465.1.p1	XM_065157210.1.p1, XM_009405742.3.p1, XM_065097955.1.p1
OG0006581	NM_129481.2.p1, NM_001339711.1.p1	XM_009401377.3.p1
OG0006582	NM_001339804.1.p1, NM_115519.3.p1, NM_129648.6.p1	XM_009404503.3.p1
OG0006583	NM_001339995.1.p1	XM_065162434.1.p1, XM_065081492.1.p1
OG0006584	NM_001340802.1.p1	XM_009420495.3.p1
OG0006587	NM_001341467.1.p1	XM_065160757.1.p1, XM_065160755.1.p1, XM_065160761.1.p1, XM_065160758.1.p1, XM_065160760.1.p1, XM_065160756.1.p1, XM_065160759.1.p1, XM_065106929.1.p1, XM_065180224.1.p1
OG0006588	NM_118342.3.p1, NM_001341531.1.p1	XM_018827589.2.p1, XM_065155200.1.p1, XM_065155202.1.p1, XM_065155203.1.p1, XM_065111918.1.p1, XM_065155206.1.p1, XM_009407645.3.p1
OG0006589	NM_118778.5.p1, NM_001341799.1.p1	XM_065122844.1.p1
OG0006590	NM_001341811.1.p1, NM_118789.3.p1, NM_001341812.1.p1	XM_065145829.1.p1, XM_065102849.1.p1, XM_065157669.1.p1, XM_009396414.3.p1
OG0006591	NM_001342114.1.p1, NM_119327.3.p1	XM_009411920.3.p1, XM_065160633.1.p1, XM_065152648.1.p1, XR_010513622.1.p1, XM_065184308.1.p1
OG0006592	NM_119981.4.p1, NM_001342349.1.p1	XM_065105022.1.p1
OG0006593	NM_120123.2.p1, NM_001342546.1.p1	XM_065107522.1.p1, XM_065107521.1.p1
OG0006594	NM_001342963.1.p1	XM_065118822.1.p1, XM_065118823.1.p1, XM_065158600.1.p1
OG0006595	NM_001343263.1.p1, NM_001343264.1.p1, NM_121327.4.p1	XM_065098746.1.p1, XM_065098744.1.p1, XM_065143275.1.p1, XM_065137779.1.p1, XM_065137778.1.p1, XM_065087286.1.p1
OG0006596	NM_121568.3.p1, NM_001343415.1.p1	XM_065180353.1.p1
OG0006597	NM_122637.4.p1, NM_001344014.1.p1	XM_065132211.1.p1
OG0006598	NM_123449.3.p1, NM_001344360.1.p1, NM_001344362.1.p1, NM_001344361.1.p1	XM_065087175.1.p1, XM_065087174.1.p1
OG0006599	NM_001344461.1.p1	XR_010513144.1.p1, XR_010513141.1.p1, XR_010513146.1.p1, XR_010513142.1.p1, XR_010513139.1.p1, XR_010496632.1.p1, XR_010496628.1.p1, XR_010496642.1.p1, XR_010496627.1.p1, XR_010486721.1.p1, XR_010486728.1.p1, XR_010486717.1.p1, XR_010486716.1.p1, XR_010486722.1.p1, XR_010486718.1.p1, XR_010496634.1.p1, XR_010513145.1.p1, XM_065107758.1.p1, XM_065180705.1.p1, XM_065148180.1.p1
OG0006600	NM_114863.2.p1, NM_001344472.1.p1	XM_065101993.1.p1
OG0006601	NM_001344546.1.p1, NM_123812.5.p1	XM_009408460.3.p1
OG0006602	NM_001344644.1.p1, NM_001344643.1.p1, NM_001344641.1.p1, NM_117982.5.p1, NM_117984.1.p1, NM_117985.2.p1	XM_009396941.3.p1, XM_065146657.1.p1
OG0006604	NM_001345648.1.p1, NM_121027.4.p1	XM_065177469.1.p1, XM_065096684.1.p1, XM_065096685.1.p1
OG0006605	NM_001345669.1.p1	XM_065115356.1.p1, XM_065115354.1.p1, XM_065150867.1.p1, XM_065127377.1.p1, XM_065166993.1.p1
OG0006606	NM_100187.3.p1, NM_202019.2.p1	XM_009404156.3.p1, XM_065139021.1.p1
OG0006607	NM_100235.4.p1	XM_009401037.3.p1, XM_065150223.1.p1, XM_065168635.1.p1
OG0006608	NM_179817.2.p1, NM_128607.4.p1, NM_179272.2.p1, NM_100557.2.p1	XM_065080772.1.p1, XM_009386092.3.p1
OG0006609	NM_101266.4.p1	XM_009415193.3.p1, XM_065186933.1.p1, XM_065156112.1.p1
OG0006611	NM_101705.2.p1	XM_065132788.1.p1, XM_065100088.1.p1
OG0006612	NM_101707.4.p1	XR_010485799.1.p1, XR_010485800.1.p1, XR_010495633.1.p1, XR_010495635.1.p1, XM_009396992.3.p1
OG0006613	NM_102280.4.p1	XM_065165269.1.p1, XM_065165265.1.p1, XM_065165264.1.p1
OG0006614	NM_102293.4.p1, NM_148372.2.p1	XM_065119474.1.p1, XM_065161767.1.p1, XM_065161768.1.p1, XM_009414421.3.p1, XM_018829869.2.p1, XM_065078494.1.p1, XM_065139246.1.p1
OG0006615	NM_102427.4.p1, NM_105610.3.p1	XM_065112902.1.p1, XM_065187552.1.p1, XM_065171761.1.p1, XM_009422810.3.p1
OG0006618	NM_116900.5.p1, NM_103559.2.p1	XM_065169783.1.p1, XM_065129371.1.p1, XM_009381986.3.p1
OG0006619	NM_103779.5.p1	XM_065132466.1.p1, XM_009386392.3.p1, XM_065133815.1.p1
OG0006620	NM_104029.4.p1	XM_065112032.1.p1, XM_009403315.3.p1
OG0006621	NM_104131.3.p1	XM_065106717.1.p1
OG0006622	NM_104199.4.p1	XM_065192563.1.p1
OG0006623	NM_104816.3.p1	XM_009384346.3.p1, XM_065115523.1.p1, XM_065157463.1.p1, XM_065157465.1.p1, XM_065157466.1.p1, XM_065157467.1.p1, XM_065187760.1.p1, XM_065187763.1.p1, XM_065113124.1.p1, XM_065113123.1.p1, XM_065113121.1.p1
OG0006624	NM_104858.2.p1	XM_009386922.3.p1
OG0006625	NM_118837.2.p1, NM_127854.3.p1, NM_104900.3.p1	XM_065130730.1.p1, XM_065171402.1.p1
OG0006626	NM_104919.4.p1	XR_010504017.1.p1, XM_018830769.2.p1
OG0006627	NM_105343.3.p1	XM_065154575.1.p1, XM_065147921.1.p1, XM_065147919.1.p1
OG0006628	NM_105464.3.p1	XM_065160426.1.p1
OG0006629	NM_105636.3.p1	XM_065143959.1.p1, XM_065115298.1.p1, XM_009392457.3.p1, XM_009392455.3.p1, XM_065143955.1.p1
OG0006630	NM_105689.4.p1	XM_009420964.3.p1, XM_065127073.1.p1, XM_065118025.1.p1, XM_065170918.1.p1, XM_065170919.1.p1, XM_065097430.1.p1, XM_009393742.3.p1
OG0006631	NM_105877.3.p1	XM_065144259.1.p1, XM_009395196.3.p1, XM_065100412.1.p1, XM_009418686.3.p1
OG0006632	NM_105958.3.p1, NM_128163.2.p1	XM_065191448.1.p1, XM_065185937.1.p1, XM_065185938.1.p1, XM_065185939.1.p1, XM_065185940.1.p1, XM_065111237.1.p1
OG0006633	NM_106095.2.p1	XM_009397557.3.p1, XM_065103332.1.p1
OG0006634	NM_106343.4.p1	XM_065164200.1.p1, XM_065120215.1.p1, XM_065120211.1.p1, XM_009413666.3.p1, XR_010475798.1.p1, XM_009404353.3.p1, XM_009404352.3.p1, XR_010487175.1.p1, XM_065081035.1.p1, XM_065165190.1.p1, XM_065165192.1.p1, XM_018830282.2.p1
OG0006635	NM_106382.3.p1	XM_065114836.1.p1, XM_065079254.1.p1, XM_065079248.1.p1, XM_009389452.3.p1, XM_009406049.3.p1, XM_009389450.3.p1, XM_065171832.1.p1
OG0006636	NM_111003.5.p1	XM_065085715.1.p1
OG0006637	NM_111120.3.p1, NM_121612.2.p1	XM_065092305.1.p1, XM_065104302.1.p1
OG0006638	NM_111295.4.p1	XM_065130239.1.p1, XR_010485250.1.p1, XR_010485249.1.p1, XM_065135747.1.p1
OG0006639	NM_111376.4.p1	XM_065187172.1.p1
OG0006640	NM_111586.4.p1	XM_018823875.2.p1, XM_065101097.1.p1, XM_065101100.1.p1, XM_065101101.1.p1, XM_065101095.1.p1, XM_065101102.1.p1, XM_065142951.1.p1, XM_065142952.1.p1, XM_065142954.1.p1, XM_065142957.1.p1, XM_065142955.1.p1
OG0006641	NM_111730.6.p1	XM_065087892.1.p1, XM_009382429.3.p1, XM_065087899.1.p1, XM_065087902.1.p1, XM_065129727.1.p1, XM_065129733.1.p1
OG0006642	NM_111854.5.p1, NM_129704.3.p1	XM_065165199.1.p1, XM_065108261.1.p2
OG0006644	NM_112469.3.p1	XM_009382871.3.p1, XM_065116703.1.p1, XM_009410670.3.p1
OG0006645	NM_112496.3.p1	XM_065088609.1.p1, XM_009384171.3.p1
OG0006646	NM_112502.5.p1	XM_065149573.1.p1, XM_065103234.1.p1, XM_065161616.1.p1, XM_009398271.3.p1, XR_010501291.1.p1, XR_010507657.1.p1, XR_010507659.1.p1, XM_065187336.1.p1
OG0006647	NM_112585.3.p1	XM_009385455.3.p1, XM_065138491.1.p1, XM_065138489.1.p1
OG0006648	NM_112671.5.p1	XM_065109919.1.p1, XM_065149695.1.p1, XM_065161253.1.p1
OG0006649	NM_112874.4.p1	XM_065163839.1.p1
OG0006650	NM_112896.4.p1	XM_065138338.1.p1, XM_065174570.1.p1
OG0006652	NM_113155.3.p1	XM_018827362.2.p1
OG0006653	NM_113158.3.p1	XM_065162339.1.p1, XM_065166026.1.p1, XM_018831304.2.p1
OG0006654	NM_113254.3.p1, NM_113256.5.p1	XM_065181040.1.p1, XM_065181058.1.p1
OG0006655	NM_113274.5.p1	XR_010497603.1.p1, XR_010497605.1.p1, XR_010497609.1.p1, XM_065156278.1.p1, XR_010497610.1.p1, XR_010497607.1.p1, XR_010497606.1.p1, XR_010487432.1.p1, XM_065111108.1.p1
OG0006656	NM_117482.4.p1, NM_113283.4.p1	XM_065078460.1.p1, XM_065078461.1.p1, XM_065078458.1.p1
OG0006657	NM_113297.3.p1	XM_009402213.3.p1
OG0006658	NM_117369.3.p1, NM_113431.6.p1	XM_009418375.3.p1, XM_009388046.3.p1
OG0006659	NM_114942.3.p1, NM_126055.4.p1	XM_009389405.3.p1, XM_009414145.3.p1
OG0006660	NM_114961.4.p1	XM_065121846.1.p1, XM_065121847.1.p1, XM_065121845.1.p1, XM_065121844.1.p1, XM_065079854.1.p1
OG0006661	NM_120392.4.p1, NM_115198.4.p1	XM_065189276.1.p1, XM_065189274.1.p1, XR_010488147.1.p1, XM_065114724.1.p1, XM_065157001.1.p1, XM_065157000.1.p1
OG0006662	NM_115244.3.p1, NM_120285.1.p1	XM_065112734.1.p1, XM_009406309.3.p1
OG0006663	NM_115357.4.p1, NM_115358.5.p1	XM_009422071.3.p1, XM_009386034.3.p1
OG0006664	NM_115441.3.p1	NR_165351.1.p1, NR_165350.1.p1, XM_065192027.1.p1, XM_009411211.3.p1, XM_065117236.1.p1, XM_065117237.1.p1, XR_010488651.1.p1
OG0006665	NM_115709.1.p1	XM_065100900.1.p1
OG0006666	NM_115723.4.p1	XM_065160522.1.p1, XM_065144192.1.p1, XM_009407303.3.p1
OG0006667	NM_115735.5.p1	XM_065125839.1.p1, XM_009400420.3.p1
OG0006668	NM_115842.4.p1	XM_065188780.1.p1, XM_065188778.1.p1, XM_065188779.1.p1, XM_065166581.1.p1, XM_065166580.1.p1
OG0006669	NM_115947.3.p1	XM_065125125.1.p1, XM_065125126.1.p1
OG0006670	NM_130293.4.p1, NM_116096.5.p1	XM_018823808.2.p1, XM_009393713.3.p1
OG0006671	NM_116357.3.p1	XM_065092939.1.p1, XM_065092941.1.p1
OG0006672	NR_141771.1.p1, NM_116435.2.p1, NM_128082.6.p1, NM_119354.3.p1	XM_009411905.3.p1
OG0006673	NM_116533.3.p1	XM_009394838.3.p1
OG0006674	NM_116562.4.p1	XM_018823694.2.p1, XM_009394348.3.p1, XM_065105467.1.p1, XM_065170565.1.p1
OG0006675	NM_118301.7.p1, NM_116724.4.p1	XM_065150392.1.p1, XM_009410939.3.p1
OG0006676	NM_116976.1.p1, NM_128383.4.p1	XM_065149792.1.p1
OG0006677	NM_118074.2.p1	XM_065134808.1.p1, XM_065158103.1.p1
OG0006678	NM_118132.5.p1	XM_009419412.3.p1, XM_065093539.1.p1, XM_065135417.1.p1, XM_009419395.3.p1
OG0006679	NM_118334.5.p1	XM_065095512.1.p1, XM_065095511.1.p1, XM_009388376.3.p1
OG0006680	NM_118408.2.p1	XM_065164573.1.p1, XM_065079110.1.p1
OG0006681	NM_118700.3.p1, NM_118698.4.p1	XM_065089024.1.p1, XM_009383975.3.p1, XM_009413152.3.p1
OG0006682	NM_119058.3.p1, NM_121975.2.p1	XM_065112691.1.p1, XM_009423157.3.p1
OG0006683	NM_202907.2.p1, NM_119065.3.p1	XM_065112751.1.p1, XM_065156136.1.p1, XM_065188211.1.p1, XM_009407564.3.p1
OG0006684	NM_202911.2.p1, NM_119187.4.p1	XM_065158008.1.p1, XM_065187134.1.p1, XM_009422116.3.p1, XM_065142668.1.p1
OG0006685	NM_119190.4.p1	XM_009411495.3.p1, XM_065129817.1.p1, XM_065146650.1.p1, XM_009392260.3.p1, XM_009419185.3.p1, XM_065108057.1.p1, XM_018826737.2.p1, XM_065156047.1.p1
OG0006686	NM_119468.4.p1	XM_009401360.3.p1, XM_009401362.3.p1, XM_009401364.3.p1, XM_065164798.1.p1, XM_065164797.1.p1
OG0006687	NM_119666.4.p1	XM_009411699.3.p1, XM_009403631.3.p1
OG0006688	NM_119999.3.p1	XM_065135107.1.p1, XM_065135106.1.p1, XR_010481568.1.p1, XM_065092327.1.p1
OG0006689	NM_120041.4.p1, NM_179188.2.p1	XM_065150269.1.p1, XM_065150270.1.p1, XM_018825678.2.p1
OG0006691	NM_120404.3.p1	XM_065097534.1.p1
OG0006692	NM_120469.7.p1	XM_065100515.1.p1, XM_018823343.2.p1
OG0006693	NM_120606.4.p1	XM_065141545.1.p1, XM_065081443.1.p1
OG0006694	NM_120741.3.p1	XM_065168776.1.p1, XM_065168773.1.p1, XM_065168331.1.p1, XM_065126862.1.p1
OG0006695	NM_180461.1.p1, NM_120899.3.p1	XM_009417175.3.p1, XM_065145693.1.p1, XM_009397927.2.p1
OG0006696	NM_122251.5.p1, NM_120925.2.p1	XM_065148997.1.p1, XM_065108523.1.p1, XM_065108521.1.p1, XM_065108519.1.p1, XM_065108520.1.p1, XM_065108518.1.p1, XM_065108522.1.p1
OG0006697	NM_121209.6.p1	XM_065149112.1.p1
OG0006698	NM_121384.5.p1	XM_065090215.1.p1, XM_065161308.1.p1, XM_009415900.3.p1
OG0006699	NM_121428.4.p1	XM_065154268.1.p1
OG0006700	NM_121626.4.p1	XM_065103081.1.p1, XM_065103082.1.p1, XM_065166388.1.p1
OG0006701	NM_121677.6.p1	XM_065105909.1.p1
OG0006702	NM_121853.4.p1	XM_065132458.1.p1, XM_065090902.1.p1, XM_009403671.3.p1
OG0006703	NM_121886.4.p1	XM_065194359.1.p1, XM_009414529.3.p1, XR_010515443.1.p1, XR_010515442.1.p1, XR_010487204.1.p1, XR_010487203.1.p1, XR_010487202.1.p1, XM_009404188.3.p1
OG0006704	NM_122505.4.p1, NM_180747.2.p1	XM_065130210.1.p1
OG0006705	NM_122535.4.p1	XM_065157423.1.p1, XM_009412997.3.p1
OG0006706	NM_122627.6.p1	XM_065161934.1.p1, XM_009416197.3.p1, XM_009409955.3.p1
OG0006707	NM_122852.4.p1	XM_065186133.1.p1, XM_009404924.3.p1, XM_065186131.1.p1, XM_065151346.1.p1, XM_065143780.1.p1
OG0006708	NM_122988.5.p1	XM_009414924.3.p1
OG0006709	NM_123560.4.p1	XM_009402604.3.p1, XM_009402603.3.p1, XM_065152199.1.p1, XM_065106427.1.p1
OG0006710	NM_123660.3.p1	XM_065176051.1.p1, XM_065146269.1.p1, XM_065096665.1.p1, XM_065096656.1.p1, XM_065096329.1.p1
OG0006711	NM_123671.4.p1	XR_010514350.1.p1
OG0006712	NM_123978.2.p1	XM_065082150.1.p1
OG0006713	NM_124025.4.p1	XM_065106495.1.p1, XM_065106497.1.p1
OG0006715	NM_124159.3.p1	XM_009394292.3.p1, XM_065080673.1.p1, XM_065107677.1.p1, XM_065150678.1.p1, XM_009386011.3.p1, XM_065118482.1.p1, XM_009412933.3.p1
OG0006716	NM_203189.2.p1, NM_124376.4.p1	XM_009391994.3.p1, XM_065139998.1.p1, XM_009391993.3.p1, XM_009391995.3.p1
OG0006717	NM_125577.5.p1, NM_124482.3.p1	XM_065146832.1.p1
OG0006718	NM_124809.3.p1	XM_065192914.1.p1, XM_065192915.1.p1
OG0006719	NM_125014.5.p1	XM_065169116.1.p1, XM_065125868.1.p1, XM_065125863.1.p1, XM_065083213.1.p1, XM_065083212.1.p1, XM_065083214.1.p1
OG0006720	NM_203216.3.p1, NM_125072.3.p1	XM_065078092.1.p1, XR_010489131.1.p1, XR_010475755.1.p1, XM_065119930.1.p1
OG0006721	NM_203232.2.p1, NM_125247.4.p1	XM_065129746.1.p1, XM_065129748.1.p1, XM_065087889.1.p1, XR_010480793.1.p1, XR_010480790.1.p1, XM_065087890.1.p1, XM_009382423.3.p1, XM_065087885.1.p1, XR_010480791.1.p1
OG0006722	NM_125499.5.p1	XM_065157048.1.p1, XM_065157038.1.p1
OG0006723	NM_125666.3.p1	XM_065147868.1.p1, XM_065108837.1.p1
OG0006724	NM_125892.4.p1	XR_010485065.1.p1, XR_001977409.2.p1, XM_065144071.1.p1, XM_065098535.1.p1, XM_009401451.3.p1
OG0006725	NM_126074.3.p1, NM_127401.3.p1	XM_009408476.3.p1, XM_065190431.1.p1
OG0006726	NM_126147.4.p1	XM_009397335.3.p1, XM_065144687.1.p1, XM_009412782.3.p1
OG0006727	NM_126173.4.p1	XM_065144962.1.p1, XM_065103797.1.p1, XM_065083730.1.p1, XR_010491399.1.p1
OG0006728	NM_126386.3.p1	XM_065111982.1.p1, XM_065111981.1.p1, XM_065154087.1.p1
OG0006729	NM_126615.5.p1	XM_009410138.3.p1
OG0006730	NM_201735.1.p1, NM_127055.4.p1	XM_065166570.1.p1, XM_065126947.1.p1, XM_065166571.1.p1, XM_065107701.1.p1, XM_065150826.1.p1
OG0006731	NM_128019.4.p1	XM_009397593.3.p1, XM_065162838.1.p1, XM_065103379.1.p1
OG0006732	NM_128228.4.p1	XM_065096694.1.p1, XM_065096693.1.p1, XR_001975822.2.p1, XM_065111194.1.p1, XM_065111667.1.p1, XM_065154530.1.p1, XM_065186318.1.p1, XM_065191849.1.p1
OG0006733	NM_128343.3.p1	XM_009381500.3.p1, XM_065121595.1.p1, XM_009415124.3.p1
OG0006734	NM_128349.3.p1	XM_065104675.1.p1, XM_009387138.3.p1, XM_065104679.1.p1, XM_018828956.2.p1, XM_065147419.1.p1
OG0006735	NM_129072.4.p1	XM_009384444.3.p1, XM_065089452.1.p1, XM_009422519.3.p1
OG0006736	NM_129474.3.p1	XM_065105534.1.p1
OG0006737	NM_129580.2.p1	XM_009401870.2.p1, XM_065084502.1.p1, XM_009393794.2.p1
OG0006738	NM_130140.3.p1	XM_009384440.3.p1, XM_065089446.1.p1
OG0006739	NM_130186.5.p1	XM_065147448.1.p1, XM_065147449.1.p1, XM_065181010.1.p1, XM_065102212.1.p1, XM_065108484.1.p1
OG0006740	NM_179726.3.p1	XM_065175390.1.p1, XM_065175391.1.p1, XM_009422118.3.p1
OG0006741	NM_179758.4.p1	XM_065093984.1.p1, XM_065137645.1.p1, XM_009404741.3.p1, XM_009404742.3.p1, XR_671810.3.p1, XM_009388892.3.p1, XR_001976557.2.p1, XM_065093983.1.p1, XR_010514962.1.p1, XM_018821729.2.p1
OG0006742	NM_180127.2.p1	XM_009413163.3.p1, XM_009383994.3.p1
OG0006743	NM_180500.3.p1	XM_065152193.1.p1, XM_065152194.1.p1, XM_065152195.1.p1
OG0006744	NM_202422.3.p1	XM_065173271.1.p1, XM_009384453.3.p1, XM_065089459.1.p1
OG0006776	NM_117492.2.p1, NM_001035673.2.p1, NM_113271.4.p1	XM_009418321.3.p1, XM_065081718.1.p1
OG0006777	NM_001035737.2.p1	XR_010515012.1.p1, XM_065116763.1.p1, XM_065116761.1.p1, XM_009399214.2.p1
OG0006778	NM_102009.3.p1, NM_001035999.3.p1	XR_010502001.1.p1, XM_065145659.1.p1, XM_065145658.1.p1, XM_065145657.1.p1
OG0006779	NM_001036087.2.p1, NM_202268.3.p1, NM_179457.4.p1, NM_112817.4.p1	XM_009407065.3.p1, XM_009407066.3.p1, XM_009421123.3.p1
OG0006780	NM_001333644.1.p1, NM_001036112.3.p1	XM_018823620.2.p1, XM_065100890.1.p1, XM_065100889.1.p1, XM_065139743.1.p1, XM_065165367.1.p1, XM_009414060.3.p1, XM_065194810.1.p1
OG0006781	NM_001202713.1.p1, NM_001036370.2.p1	XM_065126368.1.p1, XM_065126364.1.p1, XM_065126363.1.p1, XM_065126366.1.p1, XR_672718.3.p1, XM_065126365.1.p1, XM_065083616.1.p1, XM_065167856.1.p1, XM_065083623.1.p1, XM_065167849.1.p1
OG0006782	NM_118278.3.p1, NM_001036614.1.p1	XM_009398488.3.p1
OG0006784	NM_001344041.1.p1, NM_001203484.1.p1, NM_001036878.1.p1, NM_122665.4.p1	XM_065090028.1.p1
OG0006785	NM_125742.6.p1, NM_001037053.2.p1, NM_114718.4.p1	XM_065170242.1.p1, XM_065187534.1.p1
OG0006786	NM_001331673.1.p1, NM_180605.2.p1, NM_001084003.2.p1, NM_001331674.1.p1, NM_128579.4.p1	XM_065178879.1.p1, XM_065140790.1.p1, XM_065140789.1.p1
OG0006787	NM_001084081.2.p1, NM_101573.4.p1	XM_065101005.1.p1
OG0006788	NM_104249.2.p1, NM_001084246.1.p1	XM_065161455.1.p1, XM_065161456.1.p1, XM_065121241.1.p1, XM_065121244.1.p1
OG0006789	NM_001084620.1.p1, NM_111057.4.p1	XM_065123264.1.p1, XM_065081175.1.p1
OG0006790	NM_001338242.1.p1, NM_001338243.1.p1, NM_001338241.1.p1, NM_001084694.2.p1	XM_065087522.1.p1, XM_065170387.1.p1
OG0006791	NM_001084749.1.p1, NM_113690.3.p1	XM_009407042.3.p1
OG0006792	NM_001085205.2.p1	XR_010491271.1.p1, XM_065125663.1.p1
OG0006793	NM_001123813.1.p1, NM_202094.2.p1, NM_101293.5.p1	XM_065189538.1.p1, XM_065115003.1.p1
OG0006794	NM_001124029.2.p1, NM_112183.3.p1	XM_065095536.1.p1, XM_065165812.1.p1
OG0006795	NM_001124057.2.p1	XM_065186627.1.p1, XM_065111957.1.p1, XM_065153976.1.p1, XM_065186624.1.p1
OG0006796	NM_001124971.2.p1, NM_129037.6.p1, NM_102800.4.p1	XM_009384610.3.p1, XM_065157736.1.p1
OG0006797	NM_001125032.1.p1, NM_180035.3.p1	XM_065125283.1.p1, XM_065125287.1.p1, XM_065125288.1.p1, XM_065125285.1.p1, XR_010501917.1.p1, XR_010501916.1.p1, XR_672850.3.p1, XR_010480378.1.p1, XM_065172112.1.p1
OG0006798	NM_001125327.2.p1	XM_065186284.1.p1, XM_009416845.3.p1
OG0006799	NM_115308.3.p1, NM_001339678.1.p1, NM_001125365.2.p1, NM_001339679.1.p1, NM_001339677.1.p1	XM_065173750.1.p1, XM_009385609.3.p1
OG0006800	NM_001125965.2.p1, NM_118833.4.p1	XM_065100603.1.p1
OG0006801	NM_111973.4.p1, NM_001161135.1.p1	XM_009411229.3.p1, XM_009382354.3.p1, XM_009421649.3.p1, XM_009416059.3.p1
OG0006802	NM_121933.4.p1, NM_001161248.1.p1	XM_065191241.1.p1, XM_065191239.1.p1, XM_009409502.3.p1
OG0006803	NM_125191.4.p1, NM_001161313.1.p1	XM_009422231.3.p1, XM_009388390.3.p1
OG0006804	NM_001334517.1.p1, NM_001198135.1.p1, NM_105876.4.p1, NM_102100.3.p1	XM_065155841.1.p1, XM_065155842.1.p1, XM_065159868.1.p1, XM_065193155.1.p1, XM_009413634.3.p1
OG0006805	NM_001198257.1.p1, NM_103905.4.p1	XM_009388541.3.p1
OG0006807	NM_001198413.2.p1, NM_001334294.1.p1, NM_001334293.1.p1	XM_065120317.1.p1
OG0006808	NM_001198512.1.p1, NM_001334925.1.p1, NM_001198513.2.p1, NM_106632.4.p1	XM_009389690.3.p1, XM_009402308.3.p1, XM_065108357.1.p1
OG0006809	NM_179906.3.p1, NM_001202750.1.p1	XM_065165149.1.p1
OG0006810	NM_001202823.2.p1, NM_001337139.1.p1	XM_009384103.3.p1
OG0006811	NM_001202886.1.p1, NM_001337585.1.p1	XM_065125705.1.p1, XM_065125706.1.p1
OG0006812	NM_111450.5.p1, NM_001202888.1.p1	XM_065175206.1.p1, XM_009386732.3.p1, XM_065091227.1.p1
OG0006813	NM_111759.4.p1, NM_001202916.1.p1, NM_001337810.1.p1	XM_065157547.1.p1
OG0006814	NM_001338099.1.p1, NM_001202958.1.p1	XM_065184286.1.p1, XM_065184287.1.p1, XM_065184289.1.p1, XM_009403211.3.p1, XM_065094921.1.p1
OG0006815	NM_114819.3.p1, NM_001203114.1.p1	XM_065178682.1.p1, XM_065108853.1.p1
OG0006816	NM_001203206.1.p1, NM_001339969.1.p1	XM_065099821.1.p1, XM_065130648.1.p1, XM_065130656.1.p1
OG0006817	NM_001203434.1.p1, NM_122137.4.p1	XM_065189555.1.p1
