Orthogroup	Arabidopsis_thaliana_rna_prot	Malus_domestica_rna_prot
OG0010205	NM_001203123.1.p1	XM_029094416.1.p1
OG0010207	NM_001203423.1.p1	XM_029098412.1.p1, XM_029098411.1.p1, XM_008387419.3.p1
OG0010208	NM_001203432.1.p1, NM_147894.4.p1	XM_008384229.3.p1
OG0010209	NM_118735.3.p1, NM_001203914.2.p1	XM_008390497.3.p1
OG0010210	NM_119447.5.p1, NM_001203966.1.p1	XM_008379680.3.p1
OG0010211	NM_100069.3.p1, NM_001331312.1.p1	XM_029105657.1.p1
OG0010212	NM_100117.4.p1, NM_001331334.1.p1, NM_116400.3.p1	XM_008355407.3.p1, XM_029108871.1.p1
OG0010213	NM_115656.4.p1, NM_001331910.1.p1	XM_008360067.3.p1, XM_008383248.3.p1
OG0010214	NM_001332032.1.p1, NM_179320.2.p1	XM_008371288.3.p1
OG0010215	NM_102025.3.p1, NM_001332527.1.p1	XM_008340548.3.p1
OG0010216	NM_102172.2.p1, NM_001332594.1.p1	XM_029096174.1.p1, XM_008368764.3.p1
OG0010217	NM_001332904.1.p1, NM_001332903.1.p1	XM_008385176.3.p1
OG0010218	NM_001332920.1.p1	XM_008394049.3.p1
OG0010219	NM_001333088.1.p1, NM_103139.3.p1	XM_029109420.1.p1
OG0010220	NM_103237.4.p1, NM_001333156.1.p1	XM_008380524.3.p1
OG0010221	NM_103512.3.p1, NM_001333224.1.p1	XM_008346341.3.p1, XM_008346364.3.p1
OG0010222	NM_180628.4.p1, NM_001333364.1.p1	XM_029092099.1.p1
OG0010223	NM_104110.3.p1, NM_001333533.1.p1	XM_008369071.3.p1, XM_029090602.1.p1
OG0010224	NM_001334120.1.p1, NM_105045.6.p1	XR_003774495.1.p1, XR_003774494.1.p1
OG0010225	NM_001334481.1.p1, NM_105750.4.p1	XM_029096410.1.p1
OG0010226	NM_001335074.1.p1, NM_126234.3.p1	XM_008383528.3.p1
OG0010227	NM_001335384.1.p1, NM_126910.3.p1	XM_008369542.3.p1, XM_029094815.1.p1, XM_008386516.3.p1
OG0010228	NM_127517.5.p1, NM_001335639.1.p1	XM_008339460.3.p1
OG0010229	NM_001335932.1.p1, NM_127997.4.p1	XM_029097614.1.p1, XM_029097613.1.p1, XM_029097615.1.p1, XR_003770842.1.p1
OG0010230	NM_001336281.1.p1, NM_128622.4.p1, NM_201839.3.p1	XM_017330137.2.p1
OG0010231	NM_001336603.1.p1, NM_129219.3.p1, NM_115164.3.p1	XM_017334117.2.p1, XM_008383135.3.p1
OG0010232	NM_001336659.1.p1	XM_017331617.2.p1, XM_029089570.1.p1
OG0010233	NM_001337268.1.p1, NM_180145.3.p1	XM_008348449.3.p1, XM_017333069.2.p1, XM_008375994.2.p1
OG0010234	NM_001337435.1.p1	XM_008342271.3.p1, XM_008390881.3.p1
OG0010235	NM_001337544.1.p1	XM_008390433.3.p1, XM_008372456.3.p1, XM_029100719.1.p1
OG0010236	NM_111519.3.p1, NM_001337656.1.p1	XM_029091688.1.p1, XM_029091685.1.p1, XM_008362004.3.p1
OG0010237	NM_001337870.1.p1	XM_029090646.1.p1, XM_008362438.3.p1
OG0010238	NM_112375.3.p1, NM_001338149.1.p1	XM_008387991.3.p1
OG0010239	NM_112685.4.p1, NM_001338318.1.p1, NM_103758.3.p1	XM_008354645.3.p1, XM_008376613.3.p1
OG0010240	NM_001338349.1.p1	XM_017322453.2.p1, XM_029099805.1.p1, XM_017330541.2.p1
OG0010242	NM_113339.4.p1, NM_001338677.1.p1	XM_029091281.1.p1
OG0010243	NM_001339171.1.p1	XM_029087988.1.p1, XM_008354981.3.p1
OG0010244	NM_125635.3.p1, NM_001339310.1.p1	XM_008377807.3.p1, XM_008378183.3.p1
OG0010245	NM_001339438.1.p1	XM_008343952.3.p1
OG0010246	NM_001339599.1.p1, NM_115180.3.p1	XM_008389308.3.p1
OG0010247	NM_001339881.1.p1	XM_029090480.1.p1
OG0010248	NM_115628.5.p1, NM_001339882.1.p1	XM_017337265.2.p1, XM_008393980.3.p1
OG0010249	NM_116104.7.p1, NM_001340156.1.p1	XM_008370824.3.p1, XM_008347006.3.p1
OG0010250	NM_001340493.1.p1	XM_008388235.3.p1, XM_008359124.3.p1
OG0010251	NM_117334.5.p1, NM_001340793.1.p1	XM_008381817.3.p1
OG0010253	NM_001340949.1.p1	XM_029097642.1.p1
OG0010254	NM_119251.5.p1, NM_001342051.1.p1	XM_008389581.3.p1
OG0010255	NM_202942.5.p1, NM_001342186.1.p1	XM_029094618.1.p1, XM_029094619.1.p1
OG0010256	NM_119684.4.p1, NM_001342328.1.p1	XM_008382747.3.p1, XM_008384268.3.p1, XM_029102221.1.p1
OG0010258	NM_001343448.1.p1, NM_001343449.1.p1	XM_008346824.3.p1
OG0010259	NM_179269.4.p1, NM_001343914.1.p1	XM_008369541.3.p1, XM_008386506.3.p1
OG0010260	NM_123417.4.p1, NM_001344336.1.p1, NM_203135.3.p1, NM_001344337.1.p1	XM_008343159.3.p1
OG0010261	NM_001344590.1.p1	XM_008369103.3.p1
OG0010262	NM_124375.3.p1, NM_001344864.1.p1	XM_008349693.3.p1
OG0010263	NM_124673.3.p1, NM_001345016.1.p1	XM_008378454.3.p1, XM_029104234.1.p1, XM_029104230.1.p1
OG0010264	NM_099986.4.p1	XM_008360618.3.p1
OG0010265	NM_100074.4.p1	XM_008344860.3.p1
OG0010266	NM_100197.3.p1	XM_008388268.3.p1, XM_008357220.3.p1
OG0010267	NM_128852.5.p1, NM_100376.5.p1	XM_008381475.3.p1, XM_008343925.3.p1
OG0010268	NM_201853.2.p1, NM_128807.1.p1, NM_100392.4.p1	XM_008349914.3.p1
OG0010269	NM_100565.5.p1	XM_008356198.3.p1, XM_008386446.3.p1
OG0010270	NM_100597.4.p1	XM_008351350.3.p1, XM_008356966.2.p1
OG0010271	NM_100723.4.p1	XM_017335988.2.p1, XM_008387430.2.p1, XM_008365323.3.p1
OG0010272	NM_100784.4.p1	XM_008372198.3.p1, XM_008390307.3.p1
OG0010273	NM_100792.3.p1	XM_008347717.3.p1
OG0010274	NM_101077.6.p1	XM_008360543.3.p1
OG0010275	NM_101113.4.p1	XM_008375655.3.p1, XM_029101042.1.p1, XM_029104583.1.p1
OG0010276	NM_101420.2.p1	XM_008379378.3.p1
OG0010277	NM_101499.4.p1	XM_008384937.3.p1
OG0010278	NM_101668.5.p1	XM_008366667.3.p1
OG0010279	NM_101772.4.p1	XM_008360130.3.p1, XM_008377337.3.p1
OG0010280	NM_101773.3.p1	XM_008390787.3.p1
OG0010281	NM_101859.4.p1	XM_008392010.3.p1
OG0010282	NM_102028.3.p1	XM_008340551.3.p1
OG0010283	NM_102375.3.p1	XM_029091284.1.p1, XM_008391100.3.p1
OG0010284	NM_102412.1.p1	XM_008383136.3.p1
OG0010286	NM_102527.5.p1	XM_008378976.3.p1
OG0010287	NM_102591.5.p1	XM_029109311.1.p1, XM_008373159.3.p1
OG0010288	NM_102666.4.p1	XM_008373252.3.p1, XM_008342995.3.p1
OG0010289	NM_202207.1.p1, NM_102678.3.p1, NM_102679.6.p1	XM_008385297.3.p1, XM_008347711.3.p1
OG0010291	NM_102914.3.p1	XM_008390559.3.p1, XM_029101543.1.p1, XM_029101544.1.p1
OG0010292	NM_102943.6.p1	XM_008375280.3.p1
OG0010293	NM_103149.4.p1	XM_008382797.3.p1, XM_008351221.3.p1
OG0010294	NM_103494.5.p1	XM_008383593.3.p1, XM_008354555.3.p1
OG0010295	NM_103753.5.p1	XM_029104254.1.p1, XM_029093229.1.p1
OG0010296	NM_103794.3.p1	XM_008395062.3.p1, NM_001328954.1.p1
OG0010297	NM_103939.4.p1	XM_017330861.2.p1
OG0010298	NR_139304.1.p1, NM_104033.6.p1	XM_008353378.3.p1, XM_008344202.3.p1
OG0010299	NM_113023.4.p1, NM_104049.4.p1	XM_029108306.1.p1, XM_029097172.1.p1
OG0010300	NM_104187.2.p1, NM_104185.2.p1, NM_104186.4.p1, NM_112525.3.p1, NM_148726.3.p1, NM_120414.4.p1	XM_008387956.3.p1, XM_008369269.2.p1
OG0010301	NM_104313.4.p1	XM_029110085.1.p1, XM_029109272.1.p1
OG0010302	NM_112191.3.p1, NM_104426.4.p1	XM_008356758.3.p1, XM_008386133.3.p1
OG0010303	NM_104465.4.p1	XM_008365611.3.p1
OG0010304	NM_104536.5.p1	XM_008372141.3.p1
OG0010305	NM_104698.2.p1	XM_008391395.3.p1, XM_008341782.3.p1
OG0010306	NM_105071.4.p1	XM_008350336.3.p1, XM_008377789.3.p1
OG0010307	NM_148626.2.p1, NM_126559.1.p1, NM_105103.3.p1, NM_123537.3.p1	XM_029099188.1.p1, XM_008339565.1.p1
OG0010309	NM_105452.2.p1	XM_029090941.1.p1
OG0010310	NM_105471.4.p1	XM_008358112.3.p1
OG0010311	NM_105766.3.p1, NM_125051.4.p1	XM_008370250.3.p1, XM_029089134.1.p1
OG0010312	NM_105811.3.p1	XM_008363137.3.p1
OG0010313	NM_105819.4.p1	XM_008369499.3.p1
OG0010314	NM_105857.4.p1	XM_008363411.3.p1, XM_008380542.3.p1
OG0010315	NM_105914.5.p1	XM_008376473.3.p1, XM_029092703.1.p1
OG0010316	NM_105963.1.p1	XM_008355424.3.p1, XM_029108783.1.p1
OG0010317	NM_105969.3.p1	XR_530584.3.p1, XR_003776271.1.p1
OG0010318	NM_106033.4.p1	XM_029092115.1.p1, XM_008376565.3.p1
OG0010319	NM_106307.3.p1	XM_008375124.3.p1
OG0010320	NM_106396.5.p1	XM_029093652.1.p1, XM_008380222.3.p1
OG0010321	NM_106510.3.p1	XM_008368803.3.p1, XM_008357239.3.p1
OG0010322	NM_111144.6.p1	XM_008363303.2.p1, XM_029109007.1.p1
OG0010323	NM_111180.5.p1	XM_008358847.3.p1, XM_008364597.3.p1
OG0010324	NM_111360.2.p1	XM_008390434.3.p1
OG0010325	NM_111472.4.p1, NM_121939.3.p1	XM_008362099.3.p1, XM_008360325.3.p1
OG0010326	NM_111518.5.p1	XM_008392149.3.p1, XM_008392271.3.p1
OG0010327	NM_111792.3.p1	XM_008356843.3.p1
OG0010328	NM_120559.4.p1, NM_111896.2.p1	XM_008347644.3.p1
OG0010329	NM_112100.1.p1	XM_008346411.3.p1, XM_029105010.1.p1
OG0010330	NM_112335.3.p1	XM_029100301.1.p1, XM_008371736.2.p1
OG0010331	NM_112382.4.p1	XM_008387984.3.p1, XM_008368877.3.p1
OG0010332	NM_112383.1.p1	XM_008351782.3.p1, XM_008351781.3.p1
OG0010333	NM_112538.5.p1, NM_117682.3.p1	XR_003770232.1.p1, XM_008368923.3.p1
OG0010334	NM_112593.3.p1	XM_017324886.2.p1, XM_029096342.1.p1
OG0010335	NM_112612.5.p1	XM_029093523.1.p1, XM_029095792.1.p1
OG0010336	NM_112759.5.p1	XM_029098759.1.p1
OG0010337	NM_112959.3.p1	XM_029089420.1.p1, XM_008367870.1.p1
OG0010338	NM_113510.5.p1	XM_008339592.2.p1, XM_008369756.2.p1, XM_029089363.1.p1
OG0010339	NM_113832.4.p1	XM_029107822.1.p1, XM_008343378.3.p1
OG0010340	NM_114458.4.p1	XM_008378836.3.p1
OG0010341	NM_114656.4.p1	XM_029088928.1.p1, XM_029088927.1.p1, XM_017330729.2.p1
OG0010342	NM_114680.4.p1	XM_029105601.1.p1
OG0010343	NM_114702.3.p1	XM_029092897.1.p1
OG0010344	NM_114705.4.p1	XM_008395632.3.p1, XM_008394634.3.p1
OG0010345	NM_114925.4.p1, NM_126075.5.p1	XM_029094137.1.p1, XM_008340248.3.p1
OG0010346	NM_115041.4.p1	XM_029089672.1.p1, XM_008364090.3.p1
OG0010347	NM_115269.4.p1	XM_008352286.3.p1
OG0010348	NM_115346.4.p1	XM_029105826.1.p1
OG0010349	NM_115487.4.p1	XM_008347095.3.p1, XM_008355963.2.p1
OG0010350	NM_124629.3.p1, NM_115600.5.p1	XM_008394017.3.p1, XM_029090529.1.p1
OG0010351	NM_115722.4.p1	XM_008383343.3.p1, XM_008344562.3.p1
OG0010352	NM_115741.3.p1	XM_008367398.3.p1, XM_008344153.3.p1
OG0010353	NM_115804.4.p1	XM_008370917.3.p1
OG0010354	NM_115814.2.p1	XM_008383433.3.p1
OG0010355	NM_115938.6.p1	XM_008351692.3.p1, XM_008358512.3.p1
OG0010356	NM_116281.4.p1	XM_029092930.1.p1, XM_008364400.3.p1, NM_001328836.1.p1, XM_029104745.1.p1
OG0010357	NM_116361.4.p1	XM_008347502.3.p1, XM_008377752.3.p1
OG0010358	NM_116482.3.p1	XM_008388430.3.p1, XM_008388431.3.p1
OG0010359	NM_116532.3.p1	XM_017330902.2.p1, NM_001293837.1.p1
OG0010360	NM_116725.5.p1	XM_008385841.3.p1, XM_008372887.3.p1
OG0010361	NM_116971.6.p1	XM_008374884.3.p1, XM_008344300.3.p1
OG0010362	NM_118511.3.p1, NM_117178.3.p1	XM_008394215.3.p1
OG0010363	NM_117268.3.p1	XM_029101038.1.p1
OG0010364	NM_117734.8.p1	XM_008372747.3.p1, XM_029099059.1.p1
OG0010365	NM_124032.4.p1, NM_117906.3.p1	XM_029104448.1.p1, XM_008348273.3.p1
OG0010366	NM_118281.4.p1	XM_008385678.3.p1
OG0010367	NM_118384.5.p1	XM_008380976.3.p1, XM_008382933.3.p1
OG0010368	NM_118485.9.p1	XM_029090538.1.p1
OG0010369	NM_118545.5.p1	XM_008392052.3.p1, XM_008375895.3.p1
OG0010370	NM_118570.3.p1	XM_008361778.3.p1
OG0010371	NM_118651.4.p1	XM_029107310.1.p1, XM_029104955.1.p1
OG0010372	NM_118889.3.p1	XM_008357153.3.p1
OG0010373	NM_118900.4.p1	XM_029107375.1.p1, XM_029095137.1.p1
OG0010374	NM_118906.3.p1	XM_008378580.3.p1
OG0010375	NM_119083.3.p1	XM_029105322.1.p1, XM_008347749.3.p1
OG0010376	NM_119129.3.p1	XM_008390170.3.p1, XM_008339521.3.p1
OG0010377	NM_119498.4.p1	XM_008354654.3.p1
OG0010378	NM_119832.5.p1, NM_127408.2.p1	XM_008339902.3.p1, XM_008340442.3.p1
OG0010379	NM_119890.7.p1	XM_008393288.3.p1
OG0010380	NM_119942.3.p1, NM_125970.4.p1	XM_029093885.1.p1, NM_001294014.1.p1
OG0010381	NM_120010.3.p1	XM_008383864.3.p1, XM_008383866.3.p1, XM_008383865.3.p1
OG0010382	NM_202995.3.p1, NM_120352.5.p1	XM_008347210.3.p1
OG0010383	NM_120353.3.p1	XM_008371598.3.p1, XM_008389473.3.p1
OG0010384	NM_120394.4.p1	XM_008352145.3.p1, XM_008371533.3.p1
OG0010385	NM_120436.4.p1	XM_008368431.3.p1
OG0010386	NM_129687.5.p1, NM_120496.3.p1	XM_029092220.1.p1
OG0010387	NM_120506.5.p1	XM_029105820.1.p1, XM_008368155.3.p1
OG0010388	NM_120602.5.p1	XM_029105975.1.p1
OG0010390	NM_120696.4.p1	XM_008393653.3.p1, XM_008388811.3.p1
OG0010391	NM_120744.3.p1	XM_017332165.2.p1, XM_008383380.3.p1
OG0010392	NM_120759.3.p1	XM_008389034.3.p1
OG0010393	NM_120766.4.p1	XM_008393864.3.p1, XM_029090448.1.p1
OG0010394	NM_120840.3.p1, NM_125552.3.p1	NM_001319256.1.p1, XM_008345464.3.p1
OG0010395	NM_120892.4.p1	XM_008376443.3.p1, XM_008376444.3.p1
OG0010396	NM_120927.3.p1	XM_029091929.1.p1, XM_008341465.3.p1
OG0010397	NM_120941.2.p1	XM_029091405.1.p1, XM_008363518.3.p1
OG0010398	NM_121026.5.p1	XM_029094149.1.p1
OG0010399	NM_121343.5.p1	XM_029096398.1.p1, XM_008391998.3.p1
OG0010400	NM_121356.3.p1	XM_029095812.1.p1, XM_008377147.3.p1
OG0010401	NM_121381.4.p1	XM_029096461.1.p1, XM_029105097.1.p1, XM_029105098.1.p1
OG0010402	NM_121408.4.p1	XM_008395624.3.p1, XM_008374086.3.p1
OG0010403	NM_121436.5.p1	XM_029109471.1.p1, XM_008375047.3.p1
OG0010404	NM_121456.4.p1	XM_008380988.3.p1, XM_008343180.3.p1
OG0010405	NM_121479.3.p1, NM_123397.3.p1	XM_008394815.2.p1, XM_008362589.3.p1, XM_008376216.3.p1, XM_008391425.3.p1, XM_008341803.3.p1
OG0010406	NM_121502.1.p1, NM_121934.3.p1	XM_008349259.3.p1, XM_008369206.3.p1
OG0010407	NM_121871.3.p1	XM_008355013.3.p1
OG0010408	NM_121902.4.p1	XM_008355021.3.p1, XM_008392582.3.p1
OG0010409	NM_122099.4.p1	XM_008395334.3.p1
OG0010411	NM_122262.3.p1	XM_008396010.3.p1
OG0010412	NM_122299.3.p1	XM_029106181.1.p1
OG0010413	NM_122323.5.p1	XM_008382698.3.p1
OG0010414	NM_122824.5.p1	XM_008388622.3.p1
OG0010415	NM_180767.2.p1, NM_123020.5.p1	XM_008357628.3.p1
OG0010417	NM_123832.2.p1	XM_008385022.3.p1, XM_029102891.1.p1
OG0010418	NM_123907.4.p1	XM_008385146.3.p1, XM_008394048.3.p1
OG0010419	NM_123991.4.p1	XM_029103081.1.p1, XM_008385334.3.p1
OG0010420	NM_124160.3.p1	XM_008371359.3.p1, XM_008392020.3.p1
OG0010421	NM_124228.4.p1	XM_029109875.1.p1
OG0010422	NM_124344.3.p1	XM_008380452.3.p1, XM_008354530.3.p1
OG0010423	NM_124366.4.p1	XR_003769449.1.p1, XR_003769448.1.p1, XM_029107455.1.p1
OG0010424	NM_124494.2.p1	XM_008358793.3.p1
OG0010425	NM_124513.3.p1	XM_008355979.3.p1
OG0010426	NM_124660.4.p1	XM_029108655.1.p1, XM_029097416.1.p1, XM_029096602.1.p1
OG0010427	NM_124932.4.p1	XM_008346803.3.p1, XM_029088865.1.p1
OG0010428	NM_125170.5.p1	XM_029094702.1.p1
OG0010429	NM_125276.3.p1	XM_008357037.3.p1, XM_008360749.3.p1
OG0010430	NM_129317.2.p1, NM_128446.2.p1, NM_125327.3.p1	XM_017331808.2.p1, XM_008356923.3.p1
OG0010431	NM_125383.2.p1	XM_008386923.3.p1
OG0010432	NM_125694.5.p1	XM_008369294.3.p1, XM_008376200.3.p1
OG0010433	NM_125788.7.p1	XM_029094613.1.p1
OG0010434	NM_126484.5.p1	XM_008381493.3.p1
OG0010435	NM_126959.5.p1	XM_008383819.3.p1
OG0010436	NM_127215.5.p1	XM_008374664.3.p1
OG0010437	NM_127407.4.p1	XM_008377566.3.p1
OG0010438	NM_127427.3.p1	XM_029091220.1.p1
OG0010439	NM_127628.5.p1	XM_008344670.3.p1
OG0010440	NM_127707.5.p1, NM_179190.1.p1	XM_008384109.3.p1
OG0010441	NM_127725.5.p1	XM_008351605.3.p1
OG0010442	NM_128227.5.p1	XM_008339103.3.p1, XM_008387602.3.p1
OG0010443	NM_128246.5.p1	XM_008339136.3.p1, XM_029109695.1.p1
OG0010444	NM_128307.6.p1	XM_008392902.3.p1
OG0010445	NM_128520.4.p1	XM_029088267.1.p1, XM_017327683.2.p1
OG0010446	NM_128675.3.p1	XM_029109978.1.p1, XM_008357909.3.p1
OG0010447	NM_128742.3.p1	XM_029093698.1.p1
OG0010448	NM_129093.4.p1	XM_008375358.3.p1
OG0010449	NM_129101.3.p1	XM_029095782.1.p1, XM_008375286.3.p1
OG0010450	NM_129102.4.p1	XM_029104438.1.p1
OG0010451	NM_129172.6.p1	XM_008388817.3.p1, XM_008393712.3.p1
OG0010452	NM_129361.5.p1	XM_008357488.3.p1
OG0010453	NM_201900.2.p1, NM_129369.6.p1	XM_008342994.3.p1, XM_008380824.3.p1
OG0010454	NM_129484.5.p1	XM_008371304.3.p1, XM_029105842.1.p1
OG0010455	NM_129627.3.p1	XM_008390288.3.p1, XM_008372182.3.p1
OG0010456	NM_129632.2.p1	XM_008390782.3.p1
OG0010457	NM_129698.3.p1	XM_008353419.3.p1, XM_029090662.1.p1
OG0010459	NM_129724.2.p1	XM_008378033.3.p1
OG0010460	NM_129897.4.p1	XM_029100892.1.p1
OG0010462	NM_130366.3.p1	XM_008370683.3.p1, XM_008351853.3.p1
OG0010463	NM_147918.5.p1, NM_147917.4.p1	XM_008379880.3.p1, XM_029093409.1.p1
OG0010464	NM_179744.3.p1	XM_029106770.1.p1
OG0010465	NM_179986.2.p1	XM_017324439.2.p1, XM_008374395.3.p1
OG0010466	NM_180044.2.p1	XM_008382980.3.p1, XM_017329785.2.p1, XM_017329784.2.p1, XM_017329783.2.p1
OG0010467	NM_180098.3.p1	XM_008377562.3.p1
OG0010468	NM_180239.4.p1	XM_008348412.2.p1, XM_008377109.3.p1
OG0010469	NM_202022.3.p1	XM_008388310.3.p1, XM_008370642.3.p1
OG0010470	NM_202127.3.p1	XM_017334918.2.p1
OG0010471	NM_202484.2.p1	XM_008393479.3.p1, XM_008388619.3.p1
OG0010472	NM_203074.4.p1	XM_008380336.3.p1
OG0010561	NM_001036727.3.p1	XM_008395943.3.p1
OG0010562	NM_001036925.2.p1, NM_001344482.1.p1, NM_123709.4.p1	XM_008392965.3.p1
OG0010563	NM_001036980.3.p1	XM_017333303.2.p1, XM_017327440.2.p1
OG0010564	NM_001084398.2.p1, NM_001335079.1.p1	XM_029091646.1.p1, XM_008383553.3.p1
OG0010565	NM_001084419.1.p1, NM_126989.2.p1	XM_029108464.1.p1
OG0010566	NM_127424.4.p1, NM_127425.5.p1, NM_001084444.1.p1	XM_008342409.3.p1
OG0010567	NM_115200.4.p1, NM_001085053.2.p1, NM_120397.4.p1	XM_008371537.3.p1, XM_008361439.2.p1
OG0010568	NM_001085134.2.p1, NM_121849.3.p1	XM_029105249.1.p1, XM_008347795.3.p1
OG0010569	NM_001085266.2.p1	XM_008339865.3.p1
OG0010570	NM_118034.3.p1, NM_001125540.1.p1	XM_008375241.3.p1
OG0010571	NM_120269.4.p1, NM_001125681.2.p1	XM_029089724.1.p1, XM_029101338.1.p1
OG0010572	NM_001203498.2.p1, NM_123027.4.p1, NM_001125845.1.p1	XM_008390607.3.p1, XM_029101508.1.p1
OG0010573	NM_001198200.2.p1	XM_029102447.1.p1, XM_017335160.2.p1
OG0010575	NM_001202612.1.p1, NM_127305.3.p1	XM_029089874.1.p1, XM_008356382.3.p1, XM_008339673.3.p1
OG0010576	NM_114330.5.p1, NM_001203081.1.p1	XM_008351561.3.p1
OG0010577	NM_001339396.1.p1, NM_001203108.1.p1, NM_114765.3.p1	XM_008381662.3.p1
OG0010578	NM_120296.5.p1, NM_111768.3.p1, NM_111767.3.p1, NM_001203275.2.p1, NM_120295.4.p1	XM_029089595.1.p1
OG0010579	NM_001203297.1.p1, NM_120530.3.p1	XM_008347062.3.p1
OG0010580	NM_116473.3.p1, NM_001343023.1.p1, NM_001203336.1.p1, NM_120947.3.p1	XM_017328909.2.p1, XM_029100422.1.p1
OG0010581	NM_001343706.1.p1, NM_001203428.1.p1, NM_147876.5.p1	XM_008383329.2.p1, XM_008362726.3.p1
OG0010582	NM_001203437.2.p1, NM_001343743.1.p1, NM_001343745.1.p1, NM_122168.5.p1, NM_001343744.1.p1	XM_008387219.3.p1
OG0010583	NM_001203442.1.p1, NM_122249.4.p1, NM_180732.2.p1	XM_008390840.3.p1, XM_008342195.3.p1
OG0010584	NM_001203450.1.p1, NM_147910.4.p1	XM_008382937.3.p1
OG0010585	NM_123450.5.p1, NM_001203515.1.p1	XM_008376906.3.p1
OG0010587	NM_001203539.1.p1	XM_008374185.3.p1, XM_008384474.3.p1
OG0010588	NM_001203952.1.p1	XM_029100018.1.p1
OG0010589	NM_100580.2.p1, NM_001331678.1.p1	XM_008386519.3.p1
OG0010590	NM_101533.4.p1, NM_001332253.1.p1	XM_008382482.3.p1
OG0010592	NM_103824.4.p1, NM_001333375.1.p1	XM_029109583.1.p1, XM_029102043.1.p1
OG0010593	NM_105170.4.p1, NM_001334182.1.p1	XM_008342847.3.p1
OG0010594	NM_001334495.1.p1, NM_001334494.1.p1, NM_105796.3.p1	XM_029093714.1.p1, XM_029107435.1.p1
OG0010595	NM_001334800.1.p1, NM_106434.2.p1	XM_008349550.3.p1, XM_008340583.3.p1
OG0010596	NM_001334956.1.p1, NM_106658.3.p1, NM_101402.3.p1	XM_008375787.3.p1
OG0010597	NM_001335263.1.p1	XM_008381746.3.p1, XM_029097401.1.p1
OG0010598	NM_001335807.1.p1, NM_001335806.1.p1, NM_179696.4.p1	XM_008345689.3.p1
OG0010599	NM_001336031.1.p1, NM_128155.3.p1	XM_029106703.1.p1
OG0010600	NM_122148.4.p1, NM_001336114.1.p1	XM_029099919.1.p1, XM_008392914.3.p1
OG0010601	NM_001336619.1.p1, NM_001336620.1.p1	XM_029090821.1.p1
OG0010602	NM_001336862.1.p1	XM_008368587.3.p1
OG0010603	NM_001337112.1.p1	XM_029105605.1.p1
OG0010604	NM_121451.5.p1, NM_001337351.1.p1	XM_008380973.3.p1, XM_029097549.1.p1
OG0010605	NM_001337532.1.p1, NM_001337533.1.p1	XR_003767396.1.p1, XM_029090159.1.p1, XR_003767395.1.p1
OG0010606	NM_001337599.1.p1	XM_029093076.1.p1, XM_017336447.2.p1, XM_008388893.3.p1
OG0010607	NM_001337712.1.p1, NM_111621.4.p1	XM_008384346.3.p1, XM_008374332.3.p1
OG0010608	NM_113252.4.p1, NM_001338643.1.p1	XM_008369002.3.p1
OG0010609	NM_001338665.1.p1	XM_008382757.3.p1, XM_029091680.1.p1
OG0010610	NM_180299.1.p1, NM_001338685.1.p1	XM_029094110.1.p1
OG0010611	NM_001338708.1.p1	XM_008374235.3.p1
OG0010612	NM_001339021.1.p1	XM_008388292.3.p1
OG0010613	NM_001339782.1.p1, NM_001339781.1.p1	XM_008371103.3.p1, XM_008376337.3.p1
OG0010614	NM_001339867.1.p1, NM_115604.4.p1	XM_029090658.1.p1
OG0010615	NM_001339891.1.p1, NM_115640.3.p1	XM_029090462.1.p1
OG0010616	NM_001340428.1.p1	XM_029089237.1.p1
OG0010617	NM_001341097.1.p1	XM_008384926.3.p1
OG0010618	NM_001341539.1.p1	XM_008385915.3.p1
OG0010619	NM_001341645.1.p1, NM_118547.2.p1	XM_008394413.3.p1, XM_029103757.1.p1
OG0010621	NM_001342408.1.p1, NM_119801.4.p1	XM_008339558.3.p1, XM_008369726.3.p1
OG0010622	NM_119971.4.p1, NM_001342479.1.p1	XM_029094595.1.p1, XM_008355573.3.p1
OG0010623	NM_120289.3.p1, NM_001342646.1.p1	XM_029089852.1.p1, XM_029101659.1.p1
OG0010624	NM_001342866.1.p1, NM_001342865.1.p1, NM_120708.4.p1	XM_029092173.1.p1
OG0010625	NM_001343079.1.p1	XM_008381774.3.p1
OG0010626	NM_001343097.1.p1, NM_121063.2.p1	XM_029106559.1.p1, XM_029106595.1.p1, XM_008371118.3.p1
OG0010627	NM_001343183.1.p1, NM_001343184.1.p1, NM_121176.4.p1	XM_008380127.3.p1, XM_008395807.3.p1
OG0010628	NM_121187.4.p1, NM_001343195.1.p1	XM_008395674.3.p1, XM_008359196.3.p1
OG0010629	NM_001343226.1.p1, NM_121236.2.p1	XM_029094140.1.p1
OG0010631	NM_001343857.1.p1, NM_001343860.1.p1	XM_008378502.3.p1
OG0010632	NM_001344427.1.p1, NM_123561.4.p1	XM_008392069.3.p1, XM_008348426.3.p1, XM_029096656.1.p1
OG0010633	NM_123610.4.p1, NM_001344452.1.p1	XM_008361485.3.p1
OG0010634	NM_001344453.1.p1, NM_123613.4.p1	XM_029094605.1.p1
OG0010635	NM_123770.4.p1, NM_001344528.1.p1	XM_008350762.3.p1, XM_008340831.3.p1, XM_029102570.1.p1
OG0010636	NM_001344538.1.p1, NM_123790.2.p1	XM_008339816.3.p1
OG0010637	NM_001345214.1.p1	XM_029094236.1.p1
OG0010638	NM_001345300.1.p1	XM_008356444.3.p1
