Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Tribolium_castaneum_rna_prot
OG0001981	XM_001586295.1.p1	TC012671.p1
OG0001982	XM_001585489.1.p1	TC002963.p1
OG0001983	XM_001587797.1.p1	TC000408.p1
OG0001984	XM_001596302.1.p1	TC030680.p1
OG0001985	XM_001591812.1.p1	TC000114.p1, TC009235.p1
OG0001986	XM_001585852.1.p1	TC003293.p1
OG0001987	XM_001586943.1.p1	TC015643.p1, TC015642.p1
OG0001988	XM_001591278.1.p1	TC012585.p1
OG0001989	XM_001585907.1.p1	TC001035.p1
OG0001990	XM_001597971.1.p1	TC012657.p1
OG0001991	XM_001585102.1.p1	TC014627.p1, TC001630.p1
OG0001992	XM_001591707.1.p1	TC000132.p1, TC012067.p1
OG0001993	XM_001586719.1.p1	TC002071.p1
OG0001994	XM_001596952.1.p1	TC007585.p1
OG0001995	XM_001596687.1.p1	TC004234.p1
OG0001996	XM_001592027.1.p1	TC004103.p1
OG0001997	XM_001595900.1.p1	TC031955.p1
OG0001998	XM_001590545.1.p1	TC006746.p1
OG0001999	XM_001597790.1.p1	TC007565.p1
OG0002000	XM_001598297.1.p1	TC010228.p1
OG0002001	XM_001597034.1.p1	TC009571.p1
OG0002002	XM_001588889.1.p1	TC033978.p1
OG0002003	XM_001590376.1.p1	TC013311.p1, TC013312.p1
OG0002004	XM_001585279.1.p1	TC013939.p1
OG0002005	XM_001591723.1.p1	TC000929.p1
OG0002006	XM_001594678.1.p1	TC033037.p1
OG0002007	XM_001588209.1.p1	TC001699.p1
OG0002008	XM_001587133.1.p1	TC013357.p1
OG0002009	XM_001586907.1.p1	TC005004.p1
OG0002010	XM_001592527.1.p1	TC008602.p1
OG0002011	XM_001591489.1.p1	TC033996.p1
OG0002013	XM_001589276.1.p1	TC008903.p1
OG0002014	XM_001591834.1.p1	TC012250.p1, TC031226.p1, TC006702.p1, TC012468.p1
OG0002017	XM_001595237.1.p1, XM_001595236.1.p1	TC005447.p1
OG0002018	XM_001594979.1.p1	TC011004.p1
OG0002019	XM_001597612.1.p1	TC007671.p1, TC008156.p1
OG0002020	XM_001595551.1.p1	TC007086.p1
OG0002021	XM_001590929.1.p1	TC012356.p1
OG0002022	XM_001588574.1.p1	TC012162.p1
OG0002023	XM_001590816.1.p1	TC004675.p1, TC006330.p1
OG0002024	XM_001585897.1.p1	TC008422.p1
OG0002025	XM_001596731.1.p1	TC011056.p1
OG0002026	XM_001596602.1.p1	TC010637.p1
OG0002028	XM_001585390.1.p1	TC015317.p1
OG0002049	XM_001591195.1.p1	TC012273.p1
OG0002050	XM_001598786.1.p1	TC005395.p1
OG0002051	XM_001587148.1.p1	TC007148.p1
OG0002053	XM_001586551.1.p1	TC012678.p1
OG0002054	XM_001597361.1.p1	TC013318.p1
OG0002055	XM_001596816.1.p1	TC006390.p1
OG0002056	XM_001594658.1.p1	TC013003.p1
OG0002057	XM_001586017.1.p1	TC013431.p1
OG0002059	XM_001590121.1.p1	TC012850.p1
OG0002060	XM_001597962.1.p1	TC007717.p1
OG0002061	XM_001592902.1.p1	TC004968.p1
OG0002062	XM_001595752.1.p1	TC015432.p1
OG0002063	XM_001598100.1.p1	TC012860.p1
OG0002064	XM_001596820.1.p1	TC034312.p1
OG0002065	XM_001596742.1.p1	TC014754.p1, TC014336.p1
OG0002067	XM_001586877.1.p1	TC030768.p1
OG0002068	XM_001594963.1.p1	TC000229.p1
OG0002069	XM_001587722.1.p1	TC009046.p1
OG0002070	XM_001594154.1.p1	TC000375.p1
OG0002071	XM_001596446.1.p1	TC014202.p1
OG0002072	XM_001585949.1.p1	TC007833.p1
OG0002073	XM_001585276.1.p1	TC001200.p1
OG0002075	XM_001594360.1.p1	TC008707.p1
OG0002078	XM_001591720.1.p1	TC012866.p1
OG0002080	XM_001593699.1.p1	TC009042.p1
OG0002081	XM_001588894.1.p1	TC032293.p1, TC033656.p1
OG0002083	XM_001593868.1.p1	TC010438.p1
OG0002084	XM_001588553.1.p1	TC000825.p1
OG0002085	XM_001587134.1.p1	TC002968.p1
OG0002087	XM_001586735.1.p1	TC000158.p1
OG0002088	XM_001586514.1.p1	TC002876.p1
OG0002090	XM_001594354.1.p1	TC011225.p1
OG0002091	XM_001586935.1.p1	TC000618.p1
OG0002093	XM_001591626.1.p1	TC008261.p1
OG0002094	XM_001587490.1.p1	TC014046.p1
OG0002096	XM_001598383.1.p1	TC011343.p1
OG0002097	XM_001598488.1.p1	TC010557.p1
OG0002098	XM_001591197.1.p1	TC013384.p1
OG0002099	XM_001597283.1.p1	TC006127.p1
OG0002101	XM_001595627.1.p1	TC013294.p1
OG0002102	XM_001591028.1.p1	TC014574.p1
OG0002103	XM_001597714.1.p1	TC014759.p1
OG0002104	XM_001595210.1.p1	TC013887.p1
OG0002105	XM_001589834.1.p1	TC002825.p1
OG0002106	XM_001597055.1.p1	TC014950.p1
OG0002107	XM_001586115.1.p1	TC013743.p1
OG0002108	XM_001597387.1.p1, XM_001598671.1.p1	TC015440.p1
OG0002109	XM_001596958.1.p1	TC010652.p1
OG0002111	XM_001592325.1.p1	TC011685.p1, TC015831.p1
OG0002112	XM_001587203.1.p1	TC000223.p1
OG0002113	XM_001594579.1.p1	TC002529.p1
OG0002114	XM_001596821.1.p1	TC034118.p1
OG0002115	XM_001594564.1.p1	TC030743.p1
OG0002116	XM_001597172.1.p1	TC013555.p1
OG0002117	XM_001597516.1.p1	TC005551.p1
OG0002118	XM_001586126.1.p1	TC013713.p1
OG0002119	XM_001593136.1.p1	TC030698.p1
OG0002120	XM_001586423.1.p1	TC007964.p1
OG0002121	XM_001594727.1.p1	TC002054.p1
OG0002122	XM_001585609.1.p1	TC006352.p1
OG0002123	XM_001587329.1.p1	TC033895.p1
OG0002124	XM_001592753.1.p1	TC008486.p1
OG0002125	XM_001590534.1.p1	TC000136.p1
OG0002126	XM_001590790.1.p1	TC007903.p1, TC007904.p1
OG0002127	XM_001596186.1.p1	TC011528.p1, TC011390.p1
OG0002128	XM_001591440.1.p1	TC013340.p1
OG0002129	XM_001591552.1.p1	TC003444.p1
OG0002130	XM_001598480.1.p1	TC005756.p1
OG0002131	XM_001597846.1.p1	TC011896.p1
OG0002132	XM_001586258.1.p1	TC013648.p1
OG0002133	XM_001597660.1.p1	TC006507.p1
OG0002134	XM_001591909.1.p1	TC009637.p1
OG0002136	XM_001584926.1.p1	TC002423.p1
OG0002137	XM_001598570.1.p1	TC000616.p1
OG0002138	XM_001598561.1.p1	TC002936.p1
OG0002139	XM_001596723.1.p1	TC003528.p1
OG0002141	XM_001584871.1.p1	TC014672.p1
OG0002142	XM_001598306.1.p1	TC014444.p1
OG0002144	XM_001590305.1.p1	TC004929.p1, TC031634.p1
OG0002145	XM_001590914.1.p1	TC005861.p1
OG0002147	XM_001588429.1.p1	TC000807.p1
OG0002148	XM_001587218.1.p1	TC006148.p1
OG0002149	XM_001595097.1.p1	TC033217.p1
OG0002150	XM_001589080.1.p1	TC007942.p1
OG0002151	XM_001590139.1.p1	TC004132.p1
OG0002152	XM_001597362.1.p1	TC004724.p1
OG0002153	XM_001588677.1.p1	TC006979.p1
OG0002154	XM_001598883.1.p1	TC011437.p1
OG0002155	XM_001589224.1.p1	TC004378.p1
OG0002156	XM_001592773.1.p1	TC034407.p1
OG0002157	XM_001589310.1.p1	TC008825.p1
OG0002158	XM_001589202.1.p1	TC011526.p1
OG0002159	XM_001597069.1.p1	TC000811.p1
OG0002160	XM_001597338.1.p1	TC011920.p1
OG0002161	XM_001594738.1.p1	TC015892.p1
OG0002162	XM_001585017.1.p1	TC003817.p1, TC015710.p1
OG0002163	XM_001592926.1.p1	TC014966.p1
OG0002164	XM_001596685.1.p1	TC001330.p1, TC015217.p1
OG0002165	XM_001586253.1.p1	TC006624.p1
OG0002167	XM_001588909.1.p1	TC005319.p1
OG0002169	XM_001588232.1.p1	TC008372.p1
OG0002170	XM_001588185.1.p1	TC012133.p1
OG0002171	XM_001598808.1.p1	TC005070.p1
OG0002172	XM_001593168.1.p1	TC010199.p1
OG0002173	XM_001593342.1.p1	TC004876.p1
OG0002174	XM_001587971.1.p1	TC014286.p1
OG0002175	XM_001585700.1.p1	TC007396.p1
OG0002176	XM_001591669.1.p1	TC012874.p1
OG0002177	XM_001593376.1.p1	TC014294.p1
OG0002178	XM_001597354.1.p1	TC008189.p1
OG0002179	XM_001597351.1.p1	TC004679.p1
OG0002181	XM_001592505.1.p1	TC010639.p1
OG0002182	XM_001592661.1.p1	TC003290.p1
OG0002183	XM_001594214.1.p1	TC010321.p1
OG0002184	XM_001586165.1.p1	TC010331.p1
OG0002185	XM_001597309.1.p1	TC000641.p1
OG0002186	XM_001596132.1.p1	TC007744.p1
OG0002190	XM_001593887.1.p1	TC000462.p1
OG0002191	XM_001591504.1.p1	TC007735.p1
OG0002193	XM_001598522.1.p1	TC000081.p1
OG0002194	XM_001584529.1.p1	TC007817.p1
OG0002195	XM_001585413.1.p1	TC000047.p1
OG0002196	XM_001587560.1.p1	TC005855.p1
OG0002197	XM_001591624.1.p1	TC032227.p1
OG0002198	XM_001595649.1.p1	TC008294.p1
OG0002199	XM_001591037.1.p1	TC031836.p1, TC010709.p1
OG0002200	XM_001596106.1.p1	TC003689.p1
OG0002201	XM_001589339.1.p1	TC001942.p1
OG0002202	XM_001586194.1.p1	TC008015.p1
OG0002203	XM_001598207.1.p1	TC005393.p1
OG0002204	XM_001585587.1.p1	TC012873.p1
OG0002205	XM_001596005.1.p1	TC033980.p1, TC012072.p1
OG0002207	XM_001598061.1.p1	TC015318.p1
OG0002209	XM_001591570.1.p1	TC002553.p1
OG0002210	XM_001593476.1.p1	TC007530.p1
OG0002211	XM_001595934.1.p1	TC006375.p1
OG0002212	XM_001588015.1.p1	TC011690.p1
OG0002215	XM_001593925.1.p1	TC000516.p1, TC000515.p1, TC000517.p1, TC011564.p1
OG0002217	XM_001586440.1.p1	TC009214.p1
OG0002218	XM_001586061.1.p1	TC008874.p1
OG0002220	XM_001585691.1.p1	TC033566.p1
OG0002221	XM_001588318.1.p1	TC008696.p1
OG0002222	XM_001598076.1.p1	TC007288.p1
OG0002223	XM_001597501.1.p1	TC005583.p1
OG0002224	XM_001585858.1.p1	TC007364.p1
OG0002225	XM_001594478.1.p1	TC013601.p1
OG0002226	XM_001584839.1.p1	TC010378.p1
OG0002227	XM_001593889.1.p1	TC009939.p1
OG0002228	XM_001586724.1.p1	TC007999.p1
OG0002229	XM_001593158.1.p1	TC012175.p1, TC001624.p1
OG0002230	XM_001593506.1.p1	TC004458.p1
OG0002231	XM_001585598.1.p1	TC010772.p1
OG0002232	XM_001589358.1.p1	TC004979.p1
OG0002234	XM_001587071.1.p1	TC007435.p1
OG0002235	XM_001587174.1.p1	TC009816.p1
OG0002236	XM_001593056.1.p1	TC000603.p1, TC012068.p1, TC000739.p1
OG0002237	XM_001590016.1.p1	TC015990.p1
OG0002238	XM_001585760.1.p1	TC001635.p1
OG0002239	XM_001598706.1.p1	TC003433.p1
OG0002240	XM_001596018.1.p1	TC009771.p1
OG0002241	XM_001596710.1.p1	TC010140.p1
OG0002242	XM_001593203.1.p1	TC010029.p1
OG0002244	XM_001584570.1.p1	TC009631.p1
OG0002245	XM_001585829.1.p1	TC002282.p1
OG0002246	XM_001589689.1.p1	TC006260.p1
OG0002247	XM_001594109.1.p1	TC010367.p1
OG0002248	XM_001589743.1.p1	TC015771.p1
OG0002249	XM_001586745.1.p1	TC012306.p1
OG0002250	XM_001591244.1.p1	TC030760.p1
OG0002251	XM_001597957.1.p1	TC015453.p1
OG0002252	XM_001597393.1.p1	TC013667.p1
OG0002253	XM_001592156.1.p1	TC008669.p1
OG0002258	XM_001595567.1.p1	TC009984.p1
OG0002260	XM_001589832.1.p1	TC015082.p1
OG0002262	XM_001589945.1.p1	TC000258.p1
OG0002263	XM_001587282.1.p1	TC000620.p1
OG0002264	XM_001593750.1.p1	TC000614.p1
OG0002265	XM_001594511.1.p1	TC033398.p1
OG0002266	XM_001586466.1.p1	TC013536.p2
OG0002268	XM_001586142.1.p1	TC030596.p1
OG0002270	XM_001585906.1.p1	TC010161.p1
OG0002271	XM_001595957.1.p1	TC012307.p1
OG0002272	XM_001595860.1.p1	TC000219.p1
OG0002273	XM_001598458.1.p1	TC005644.p1
OG0002275	XM_001588146.1.p1	TC015856.p1
OG0002278	XM_001595383.1.p1	TC005161.p1, TC034295.p1
OG0002279	XM_001592136.1.p1	TC001089.p1
OG0002280	XM_001589331.1.p1	TC009010.p1
OG0002281	XM_001592956.1.p1	TC009471.p1
OG0002282	XM_001592660.1.p1	TC014174.p1
OG0002283	XM_001584904.1.p1	TC008623.p1
OG0002284	XM_001586779.1.p1	TC008693.p1, TC032250.p1
OG0002285	XM_001593379.1.p1	TC034874.p1
OG0002286	XM_001587647.1.p1	TC008727.p1
OG0002287	XM_001597641.1.p1	TC002851.p1
OG0002288	XM_001595843.1.p1	TC009034.p1
OG0002289	XM_001584771.1.p1	TC034414.p1
OG0002290	XM_001590177.1.p1	TC033703.p1
OG0002291	XM_001596893.1.p1	TC010100.p1
OG0002292	XM_001598831.1.p1	TC014009.p1
OG0002293	XM_001593573.1.p1	TC007993.p1
OG0002294	XM_001588293.1.p1	TC005584.p1
OG0002295	XM_001593937.1.p1	TC007846.p1
OG0002296	XM_001587760.1.p1	TC015728.p1
OG0002297	XM_001592882.1.p1	TC032305.p1
OG0002298	XM_001589964.1.p1	TC013712.p1
OG0002299	XM_001587291.1.p1	TC013788.p1
OG0002300	XM_001584752.1.p1	TC010442.p1
OG0002301	XM_001587554.1.p1	TC034040.p1
OG0002302	XM_001597423.1.p1	TC031939.p1
OG0002303	XM_001592886.1.p1	TC005889.p1
OG0002304	XM_001590430.1.p1	TC006313.p1
OG0002305	XM_001588373.1.p1	TC009474.p1
OG0002307	XM_001595335.1.p1	TC001231.p1
OG0002308	XM_001588088.1.p1	TC006724.p1
OG0002309	XM_001597164.1.p1	TC004314.p1
OG0002310	XM_001597869.1.p1	TC002951.p1
OG0002311	XM_001593843.1.p1	TC013571.p1
OG0002312	XM_001597581.1.p1	TC006492.p1
OG0002313	XM_001598817.1.p1	TC005570.p1
OG0002314	XM_001592506.1.p1	TC004395.p1
OG0002315	XM_001595086.1.p1	TC008566.p1
OG0002316	XM_001595372.1.p1	TC007602.p1
OG0002317	XM_001595624.1.p1	TC000117.p1
OG0002318	XM_001592313.1.p1	TC030759.p1
OG0002319	XM_001593042.1.p1	TC010651.p1
OG0002320	XM_001590262.1.p1	TC003731.p1
OG0002322	XM_001597819.1.p1	TC002446.p1
OG0002324	XM_001594335.1.p1	TC006629.p1
OG0002325	XM_001597853.1.p1	TC011978.p1
OG0002326	XM_001594840.1.p1	TC003602.p1
OG0002328	XM_001593853.1.p1	TC033022.p1
OG0002329	XM_001585575.1.p1	TC007176.p1
OG0002330	XM_001585275.1.p1	TC007510.p1
OG0002332	XM_001598860.1.p1	TC015687.p1
OG0002334	XM_001598728.1.p1	TC005819.p1
OG0002338	XM_001589830.1.p1	TC001682.p1
OG0002339	XM_001595315.1.p1	TC006259.p1
OG0002342	XM_001593487.1.p1	TC007759.p1
OG0002343	XM_001588118.1.p1	TC012727.p1
OG0002344	XM_001588788.1.p1	TC004868.p1
OG0002345	XM_001588207.1.p1	TC034453.p1, TC012454.p1, TC034452.p1
OG0002346	XM_001589482.1.p1	TC000506.p1
OG0002347	XM_001591280.1.p1	TC003211.p1
OG0002348	XM_001587377.1.p1	TC032255.p1
OG0002349	XM_001592258.1.p1	TC003637.p1
OG0002352	XM_001587843.1.p1	TC012334.p1
OG0002354	XM_001597127.1.p1	TC005517.p1
OG0002355	XM_001587838.1.p1	TC013545.p1
OG0002356	XM_001587759.1.p1	TC008869.p1
OG0002357	XM_001586659.1.p1	TC003119.p1
OG0002358	XM_001598417.1.p1	TC010568.p1
OG0002359	XM_001588052.1.p1	TC003253.p1, TC003025.p1
OG0002361	XM_001597742.1.p1	TC008692.p1
OG0002362	XM_001598086.1.p1	TC008830.p1
OG0002363	XM_001593705.1.p1	TC009038.p1, TC005864.p1
OG0002364	XM_001585557.1.p1	TC001744.p1
OG0002365	XM_001595933.1.p1	TC012343.p1
OG0002366	XM_001588393.1.p1	TC030464.p1
OG0002367	XM_001594557.1.p1	TC003693.p1
OG0002369	XM_001584507.1.p1	TC009145.p1
OG0002371	XM_001589243.1.p1	TC009879.p1
OG0002372	XM_001588478.1.p1	TC000109.p1
OG0002373	XM_001588479.1.p1	TC014601.p1
OG0002374	XM_001584624.1.p1	TC013624.p1, TC008844.p1
OG0002375	XM_001595425.1.p1	TC034425.p1
OG0002376	XM_001595422.1.p1	TC003502.p1
OG0002377	XM_001594986.1.p1	TC011031.p1, TC015711.p1
OG0002378	XM_001588929.1.p1	TC013335.p1, TC013033.p1
OG0002379	XM_001590796.1.p1	TC002956.p1
OG0002381	XM_001597772.1.p1	TC007202.p1
OG0002382	XM_001595209.1.p1	TC011816.p1
OG0002383	XM_001596917.1.p1	TC016111.p1
OG0002384	XM_001584879.1.p1	TC008637.p1, TC008638.p1, TC032364.p1, TC030883.p1, TC032431.p1
OG0002385	XM_001589146.1.p1	TC016290.p1
OG0002386	XM_001584569.1.p1	TC010318.p1
OG0002387	XM_001594876.1.p1	TC004594.p1
OG0002388	XM_001592624.1.p1	TC001100.p1
OG0002390	XM_001592830.1.p1	TC011161.p1
OG0002391	XM_001595967.1.p1	TC016364.p1
OG0002392	XM_001586127.1.p1	TC014648.p1
OG0002394	XM_001586212.1.p1	TC015014.p1
OG0002395	XM_001594425.1.p1	TC004960.p1
OG0002396	XM_001596168.1.p1	TC013586.p1, TC033868.p1
OG0002398	XM_001594155.1.p1	TC006782.p1
OG0002401	XM_001595754.1.p1	TC002391.p1
OG0002402	XM_001588124.1.p1	TC013206.p1
OG0002403	XM_001592602.1.p1	TC008256.p1
OG0002404	XM_001588016.1.p1	TC007938.p1
OG0002405	XM_001589065.1.p1	TC009258.p1
OG0002406	XM_001586753.1.p1	TC012660.p1
OG0002409	XM_001587423.1.p1	TC014340.p1
OG0002410	XM_001588572.1.p1	TC011857.p1, TC034423.p1
OG0002412	XM_001595626.1.p1	TC002574.p1
OG0002413	XM_001597756.1.p1	TC010924.p1
OG0002414	XM_001590316.1.p1	TC034042.p1
OG0002415	XM_001596943.1.p1	TC008190.p1
OG0002416	XM_001589713.1.p1	TC016231.p1
OG0002417	XM_001589334.1.p1	TC033665.p1, TC033666.p1
OG0002418	XM_001594589.1.p1	TC005937.p1
OG0002419	XM_001598016.1.p1, XM_001586267.1.p1	TC002288.p1
OG0002420	XM_001594858.1.p1	TC007906.p1, TC002717.p1
OG0002421	XM_001593009.1.p1	TC010613.p1
OG0002422	XM_001594652.1.p1	TC000050.p1
OG0002423	XM_001594210.1.p1	TC008617.p1
OG0002424	XM_001591952.1.p1	TC011953.p1
OG0002425	XM_001593135.1.p1	TC005539.p1
OG0002426	XM_001588914.1.p1	TC011204.p1
OG0002428	XM_001590856.1.p1	TC000969.p1
OG0002429	XM_001595179.1.p1	TC016221.p1, TC011135.p1, TC001773.p1
OG0002430	XM_001598075.1.p1	TC010335.p1
OG0002432	XM_001590247.1.p1	TC013393.p1
OG0002434	XM_001593832.1.p1	TC013784.p1
OG0002435	XM_001590066.1.p1	TC011057.p1, TC016200.p1
OG0002436	XM_001593361.1.p1	TC007151.p1
OG0002437	XM_001586501.1.p1	TC003818.p1
OG0002438	XM_001586503.1.p1	TC009390.p1
OG0002439	XM_001594859.1.p1	TC010030.p1
OG0002440	XM_001598924.1.p1	TC008842.p1
OG0002441	XM_001590288.1.p1	TC010759.p1
OG0002442	XM_001591113.1.p1	TC008829.p1
OG0002443	XM_001590201.1.p1	TC034529.p1
OG0002444	XM_001598430.1.p1	TC015935.p1
OG0002447	XM_001588694.1.p1	TC014047.p1
OG0002449	XM_001587882.1.p1	TC031483.p1
OG0002450	XM_001589833.1.p1	TC000245.p1
OG0002451	XM_001597573.1.p1	TC003562.p1
OG0002452	XM_001593776.1.p1	TC008773.p1
OG0002453	XM_001594118.1.p1	TC013011.p1
OG0002454	XM_001598746.1.p1	TC011771.p1
OG0002455	XM_001591207.1.p1	TC003027.p1
OG0002457	XM_001592468.1.p1	TC015522.p1
OG0002458	XM_001594962.1.p1	TC006009.p1
OG0002460	XM_001593378.1.p1	TC000045.p1
OG0002461	XM_001592392.1.p1	TC000627.p1
OG0002464	XM_001587385.1.p1	TC009871.p1
OG0002465	XM_001585367.1.p1	TC001144.p1
OG0002466	XM_001585372.1.p1	TC032111.p1
OG0002467	XM_001598572.1.p1	TC009617.p1
OG0002468	XM_001587300.1.p1	TC010917.p1
OG0002469	XM_001593574.1.p1	TC010181.p1
OG0002470	XM_001592765.1.p1	TC009342.p1
OG0002471	XM_001584681.1.p1	TC011830.p1
OG0002472	XM_001586847.1.p1	TC001072.p1
OG0002473	XM_001585235.1.p1	TC011200.p1
OG0002474	XM_001586760.1.p1	TC010563.p1
OG0002475	XM_001589055.1.p1	TC008059.p1
OG0002476	XM_001586512.1.p1	TC014647.p1
OG0002477	XM_001586618.1.p1	TC006688.p1
OG0002478	XM_001591876.1.p1	TC012117.p1
OG0002479	XM_001595226.1.p1	TC002875.p1
OG0002480	XM_001595448.1.p1	TC005585.p1
OG0002481	XM_001595114.1.p1	TC011207.p1
OG0002482	XM_001597483.1.p1	TC033331.p1
OG0002483	XM_001590892.1.p1	TC011290.p1
OG0002484	XM_001593739.1.p1	TC033630.p1
OG0002485	XM_001584566.1.p1	TC002139.p1
OG0002486	XM_001590533.1.p1	TC001101.p1
OG0002487	XM_001590834.1.p1	TC011382.p1
OG0002488	XM_001592455.1.p1	TC000838.p1
OG0002489	XM_001593057.1.p1	TC004855.p1
OG0002490	XM_001586271.1.p1	TC000069.p1
OG0002491	XM_001598130.1.p1	TC007894.p1
OG0002492	XM_001590011.1.p1	TC010569.p1
OG0002493	XM_001596006.1.p1	TC006729.p1
OG0002494	XM_001586443.1.p1	TC009191.p1
OG0002495	XM_001592850.1.p1	TC005869.p1
OG0002496	XM_001588867.1.p1	TC001210.p1
OG0002497	XM_001594024.1.p1	TC012375.p1
OG0002498	XM_001593094.1.p1	TC010798.p1
OG0002499	XM_001597163.1.p1	TC009556.p1
OG0002501	XM_001587659.1.p1	TC013150.p1
OG0002502	XM_001597045.1.p1	TC030625.p1
OG0002503	XM_001589928.1.p1	TC033610.p1
OG0002504	XM_001587394.1.p1	TC011183.p1
OG0002505	XM_001593032.1.p1	TC003699.p1
OG0002506	XM_001589408.1.p1	TC008166.p1
OG0002507	XM_001594168.1.p1	TC002345.p1, TC014595.p1
OG0002508	XM_001590722.1.p1	TC006730.p1
OG0002509	XM_001585392.1.p1	TC009599.p1
OG0002510	XM_001588997.1.p1	TC030595.p1
OG0002512	XM_001593622.1.p1	TC012891.p1
OG0002515	XM_001586844.1.p1	TC006554.p1
OG0002517	XM_001594355.1.p1	TC002339.p1
OG0002518	XM_001597397.1.p1	TC011620.p1
OG0002519	XM_001594991.1.p1	TC015947.p1, TC004416.p1
OG0002520	XM_001595419.1.p1	TC015996.p1
OG0002521	XM_001590381.1.p1	TC004842.p1
OG0002522	XM_001590983.1.p1, XM_001590982.1.p1	TC014483.p1
OG0002524	XM_001592486.1.p1	TC006992.p1, TC011029.p1
OG0002525	XM_001589795.1.p1	TC009381.p1
OG0002526	XM_001594521.1.p1	TC006364.p1
OG0002527	XM_001593981.1.p1	TC000747.p1
OG0002528	XM_001595491.1.p1	TC030725.p1
OG0002529	XM_001589430.1.p1	TC013235.p1
OG0002530	XM_001596453.1.p1	TC007156.p1
OG0002531	XM_001591553.1.p1	TC009675.p1
OG0002532	XM_001591796.1.p1	TC009354.p1
OG0002533	XM_001598469.1.p1	TC006604.p1
OG0002535	XM_001597632.1.p1	TC007444.p1
OG0002536	XM_001590641.1.p1	TC014743.p1, TC014085.p1
OG0002537	XM_001587521.1.p1	TC016287.p1
OG0002538	XM_001595812.1.p1	TC010559.p1
OG0002539	XM_001588442.1.p1	TC015607.p1
OG0002540	XM_001590784.1.p1	TC012433.p1
OG0002541	XM_001597856.1.p1	TC015193.p1
OG0002542	XM_001589145.1.p1	TC014546.p1
OG0002543	XM_001595169.1.p1	TC010678.p1
OG0002544	XM_001588098.1.p1	TC031579.p1
OG0002545	XM_001596746.1.p1	TC004690.p1
OG0002550	XM_001588562.1.p1	TC034105.p1, TC014868.p1
OG0002554	XM_001590629.1.p1	TC000514.p1, TC002258.p1
OG0002573	XM_001589198.1.p1	TC013351.p1
OG0002575	XM_001589953.1.p1	TC007954.p1
OG0002576	XM_001589079.1.p1	TC008671.p1
OG0002580	XM_001585268.1.p1	TC013408.p1
OG0002581	XM_001586773.1.p1	TC012418.p1
OG0002584	XM_001584775.1.p1	TC031525.p1
OG0002586	XM_001598474.1.p1	TC004489.p1
OG0002587	XM_001585198.1.p1	TC012114.p1
OG0002587	XM_001595683.1.p1, XM_001595233.1.p1	TC032080.p1
OG0002588	XM_001598388.1.p1	TC007124.p1
OG0002589	XM_001598908.1.p1	TC008312.p1
OG0002593	XM_001587301.1.p1	TC011159.p1
OG0002594	XM_001593221.1.p1	TC003078.p1
OG0002596	XM_001594667.1.p1	TC009422.p1
OG0002597	XM_001597353.1.p1	TC003323.p1
OG0002598	XM_001586531.1.p1	TC012303.p1
OG0002600	XM_001598504.1.p1	TC013789.p1
OG0002601	XM_001589535.1.p1	TC013726.p1
OG0002603	XM_001588678.1.p1	TC006622.p1
OG0002606	XM_001587684.1.p1	TC002940.p1
OG0002608	XM_001587700.1.p1	TC030757.p1
OG0002609	XM_001586795.1.p1	TC032220.p1, TC007562.p1
OG0002610	XM_001597107.1.p1	TC000195.p1
OG0002611	XM_001591893.1.p1	TC013143.p1
OG0002612	XM_001587672.1.p1	TC014208.p1, TC013405.p1
OG0002614	XM_001597337.1.p1	TC009572.p1, TC009573.p1
OG0002615	XM_001585739.1.p1	TC032829.p1
OG0002618	XM_001586277.1.p1	TC012451.p1
OG0002620	XM_001586208.1.p1, XM_001584659.1.p1	TC032734.p1
OG0002623	XM_001591749.1.p1	TC013477.p1
OG0002624	XM_001591906.1.p1	TC003116.p1
OG0002626	XM_001595354.1.p1	TC013249.p1
OG0002628	XM_001595460.1.p1	TC002215.p1
OG0002631	XM_001597438.1.p1	TC000482.p1
OG0002632	XM_001593738.1.p1	TC015474.p1
OG0002634	XM_001592433.1.p1	TC007891.p1
OG0002635	XM_001586078.1.p1	TC009858.p1
OG0002637	XM_001592446.1.p1	TC002366.p1
OG0002638	XM_001596110.1.p1	TC002294.p1
OG0002640	XM_001598833.1.p1	TC012561.p1
OG0002641	XM_001584763.1.p1	TC012058.p1
OG0002642	XM_001587073.1.p1	TC006019.p1
OG0002643	XM_001594208.1.p1	TC009341.p1
OG0002644	XM_001594573.1.p1	TC004582.p1
OG0002645	XM_001597161.1.p1	TC032216.p1
OG0002646	XM_001597191.1.p1	TC005723.p1
OG0002647	XM_001594553.1.p1	TC007678.p1
OG0002648	XM_001586247.1.p1	TC030631.p1
OG0002649	XM_001586296.1.p1	TC015205.p1
OG0002650	XM_001594523.1.p1	TC004394.p1
OG0002651	XM_001592010.1.p1	TC013884.p1
OG0002653	XM_001593079.1.p1	TC003871.p1
OG0002655	XM_001587608.1.p1	TC014119.p1
OG0002657	XM_001590457.1.p1	TC011120.p1
OG0002659	XM_001590725.1.p1	TC013609.p1
OG0002660	XM_001590575.1.p1	TC015211.p1
OG0002661	XM_001590698.1.p1	TC014777.p1
OG0002662	XM_001590600.1.p1	TC001600.p1
OG0002663	XM_001590220.1.p1	TC007421.p1
OG0002665	XM_001590556.1.p1	TC034729.p1
OG0002666	XM_001590273.1.p1	TC003426.p1
