Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Hyaloperonospora_brassicae_cds_prot
OG0002732	XM_001598116.1.p1	lcl|CANTFL010000068.1_cds_CAI5710659.1_547.p1
OG0002733	XM_001588057.1.p1	lcl|CANTFL010001335.1_cds_CAI5737592.1_7579.p1
OG0002734	XM_001588718.1.p1	lcl|CANTFL010001191.1_cds_CAI5733049.1_6008.p1
OG0002736	XM_001596736.1.p1	lcl|CANTFL010001049.1_cds_CAI5730659.1_5186.p1
OG0002737	XM_001587661.1.p1	lcl|CANTFL010001207.1_cds_CAI5733660.1_6221.p1
OG0002738	XM_001597580.1.p1	lcl|CANTFL010001069.1_cds_CAI5730922.1_5279.p1
OG0002740	XM_001596378.1.p1	lcl|CANTFL010000056.1_cds_CAI5710135.1_440.p1
OG0002741	XM_001596447.1.p1	lcl|CANTFL010001198.1_cds_CAI5733327.1_6105.p1
OG0002743	XM_001589287.1.p1	lcl|CANTFL010000320.1_cds_CAI5720736.1_2592.p1, lcl|CANTFL010001447.1_cds_CAI5741097.1_8799.p1
OG0002744	XM_001591464.1.p1	lcl|CANTFL010000332.1_cds_CAI5720921.1_2639.p1
OG0002746	XM_001591002.1.p1	lcl|CANTFL010000057.1_cds_CAI5710274.1_469.p1
OG0002747	XM_001592910.1.p1	lcl|CANTFL010000034.1_cds_CAI5709657.1_344.p1
OG0002748	XM_001588490.1.p1	lcl|CANTFL010001383.1_cds_CAI5738513.1_7895.p1
OG0002749	XM_001587250.1.p1	lcl|CANTFL010001180.1_cds_CAI5732603.1_5855.p1
OG0002750	XM_001585487.1.p1	lcl|CANTFL010000672.1_cds_CAI5726751.1_4126.p1
OG0002751	XM_001586019.1.p1	lcl|CANTFL010000090.1_cds_CAI5713496.1_1116.p1
OG0002754	XM_001595580.1.p1	lcl|CANTFL010001234.1_cds_CAI5734542.1_6525.p1
OG0002755	XM_001597916.1.p1	lcl|CANTFL010001181.1_cds_CAI5732825.1_5933.p1
OG0002756	XM_001595353.1.p1	lcl|CANTFL010000144.1_cds_CAI5715598.1_1546.p1
OG0002757	XM_001589360.1.p1	lcl|CANTFL010000498.1_cds_CAI5723686.1_3346.p1
OG0002758	XM_001588928.1.p1	lcl|CANTFL010001335.1_cds_CAI5737574.1_7573.p1
OG0002759	XM_001597470.1.p1	lcl|CANTFL010001005.1_cds_CAI5729757.1_4889.p1
OG0002760	XM_001595952.1.p1	lcl|CANTFL010001211.1_cds_CAI5733779.1_6257.p1
OG0002761	XM_001585199.1.p1	lcl|CANTFL010000321.1_cds_CAI5720773.1_2601.p1
OG0002762	XM_001589225.1.p1	lcl|CANTFL010001446.1_cds_CAI5740589.1_8617.p1
OG0002763	XM_001587011.1.p1	lcl|CANTFL010001256.1_cds_CAI5735169.1_6735.p1
OG0002764	XM_001589776.1.p1	lcl|CANTFL010001444.1_cds_CAI5740148.1_8467.p1
OG0002765	XM_001587839.1.p1	lcl|CANTFL010000174.1_cds_CAI5717501.1_1934.p1
OG0002767	XM_001592938.1.p1	lcl|CANTFL010000233.1_cds_CAI5719296.1_2291.p1
OG0002768	XM_001596338.1.p1	lcl|CANTFL010000090.1_cds_CAI5713171.1_1047.p1
OG0002769	XM_001588242.1.p1	lcl|CANTFL010001479.1_cds_CAI5742847.1_9676.p1
OG0002770	XM_001584690.1.p1	lcl|CANTFL010000409.1_cds_CAI5722017.1_2920.p1
OG0002774	XM_001593500.1.p1	lcl|CANTFL010001444.1_cds_CAI5740311.1_8523.p1
OG0002776	XM_001593796.1.p1	lcl|CANTFL010000386.1_cds_CAI5721582.1_2809.p1
OG0002777	XM_001593216.1.p1	lcl|CANTFL010001451.1_cds_CAI5741616.1_9023.p1
OG0002779	XM_001592438.1.p1	lcl|CANTFL010000090.1_cds_CAI5713165.1_1046.p1
OG0002781	XM_001591527.1.p1	lcl|CANTFL010000673.1_cds_CAI5726768.1_4130.p1
OG0002782	XM_001586441.1.p1	lcl|CANTFL010001486.1_cds_CAI5743210.1_9865.p1
OG0002785	XM_001598758.1.p1	lcl|CANTFL010001135.1_cds_CAI5732122.1_5692.p1
OG0002788	XM_001591693.1.p1	lcl|CANTFL010000144.1_cds_CAI5715305.1_1484.p1
OG0002789	XM_001590972.1.p1	lcl|CANTFL010000226.1_cds_CAI5719067.1_2246.p1
OG0002790	XM_001592863.1.p1	lcl|CANTFL010000086.1_cds_CAI5712957.1_1007.p1
OG0002791	XM_001595077.1.p1	lcl|CANTFL010000144.1_cds_CAI5715300.1_1483.p1
OG0002792	XM_001590027.1.p1	lcl|CANTFL010001462.1_cds_CAI5742093.1_9275.p1
OG0002795	XM_001590912.1.p1	lcl|CANTFL010000320.1_cds_CAI5720712.1_2586.p1
OG0002798	XM_001594499.1.p1	lcl|CANTFL010001462.1_cds_CAI5742095.1_9276.p1
OG0002799	XM_001588159.1.p1	lcl|CANTFL010000272.1_cds_CAI5720285.1_2487.p1
OG0002801	XM_001597534.1.p1	lcl|CANTFL010000803.1_cds_CAI5727775.1_4384.p1
OG0002802	XM_001596953.1.p1	lcl|CANTFL010001342.1_cds_CAI5737658.1_7601.p1
OG0002806	XM_001597447.1.p1	lcl|CANTFL010001180.1_cds_CAI5732679.1_5880.p1
OG0002807	XM_001596809.1.p1	lcl|CANTFL010000226.1_cds_CAI5719053.1_2243.p1
OG0002808	XM_001590544.1.p1	lcl|CANTFL010001416.1_cds_CAI5739307.1_8172.p1
OG0002809	XM_001593313.1.p1	lcl|CANTFL010001475.1_cds_CAI5742769.1_9634.p1
OG0002812	XM_001589205.1.p1	lcl|CANTFL010001482.1_cds_CAI5742948.1_9728.p1
OG0002813	XM_001592772.1.p1	lcl|CANTFL010001332.1_cds_CAI5737320.1_7487.p1
OG0002815	XM_001596198.1.p1	lcl|CANTFL010001198.1_cds_CAI5733451.1_6147.p1
OG0002816	XM_001591067.1.p1	lcl|CANTFL010000017.1_cds_CAI5708838.1_178.p1
OG0002818	XM_001586374.1.p1	lcl|CANTFL010000137.1_cds_CAI5714953.1_1412.p1
OG0002819	XM_001591973.1.p1	lcl|CANTFL010001467.1_cds_CAI5742399.1_9439.p1
OG0002820	XM_001597886.1.p1	lcl|CANTFL010000174.1_cds_CAI5717307.1_1894.p1
OG0002822	XM_001597859.1.p1	lcl|CANTFL010000409.1_cds_CAI5722037.1_2925.p1
OG0002823	XM_001590009.1.p1	lcl|CANTFL010000183.1_cds_CAI5717596.1_1954.p1
OG0002824	XM_001590910.1.p1	lcl|CANTFL010001192.1_cds_CAI5733188.1_6057.p1
OG0002825	XM_001595492.1.p1	lcl|CANTFL010001471.1_cds_CAI5742513.1_9498.p1
OG0002829	XM_001588300.1.p1	lcl|CANTFL010001486.1_cds_CAI5743216.1_9868.p1
OG0002830	XM_001589002.1.p1	lcl|CANTFL010001109.1_cds_CAI5731581.1_5505.p1
OG0002835	XM_001595662.1.p1	lcl|CANTFL010001460.1_cds_CAI5741998.1_9226.p1
OG0002836	XM_001595817.1.p1	lcl|CANTFL010001009.1_cds_CAI5729889.1_4927.p1
OG0002837	XM_001589262.1.p1	lcl|CANTFL010001452.1_cds_CAI5741770.1_9102.p1
OG0002838	XM_001588615.1.p1	lcl|CANTFL010000016.1_cds_CAI5708633.1_135.p1
OG0002839	XM_001595816.1.p1	lcl|CANTFL010001059.1_cds_CAI5730829.1_5245.p1, lcl|CANTFL010001283.1_cds_CAI5735647.1_6901.p1
OG0002840	XM_001588045.1.p1	lcl|CANTFL010000254.1_cds_CAI5719918.1_2415.p1
OG0002841	XM_001588074.1.p1	lcl|CANTFL010000851.1_cds_CAI5728241.1_4503.p1, lcl|CANTFL010001489.1_cds_CAI5743425.1_9976.p1
OG0002844	XM_001593045.1.p1	lcl|CANTFL010001018.1_cds_CAI5730185.1_5019.p1
OG0002845	XM_001592867.1.p1	lcl|CANTFL010001058.1_cds_CAI5730812.1_5239.p1
OG0002846	XM_001586963.1.p1	lcl|CANTFL010001464.1_cds_CAI5742191.1_9327.p1, lcl|CANTFL010001118.1_cds_CAI5731852.1_5598.p1
OG0002849	XM_001588773.1.p1	lcl|CANTFL010000003.1_cds_CAI5708227.1_41.p1
OG0002853	XM_001593876.1.p1	lcl|CANTFL010000034.1_cds_CAI5709528.1_316.p1
OG0002855	XM_001595705.1.p1	lcl|CANTFL010000673.1_cds_CAI5726783.1_4134.p1
OG0002859	XM_001587414.1.p1	lcl|CANTFL010001229.1_cds_CAI5734448.1_6492.p1
OG0002860	XM_001592365.1.p1	lcl|CANTFL010000389.1_cds_CAI5721712.1_2840.p1
OG0002861	XM_001592809.1.p1	lcl|CANTFL010001332.1_cds_CAI5737405.1_7517.p1
OG0002862	XM_001594362.1.p1	lcl|CANTFL010000987.1_cds_CAI5729294.1_4771.p1
OG0002863	XM_001593273.1.p1	lcl|CANTFL010001207.1_cds_CAI5733639.1_6212.p1
OG0002864	XM_001592933.1.p1	lcl|CANTFL010000255.1_cds_CAI5720035.1_2438.p1
OG0002865	XM_001592893.1.p1	lcl|CANTFL010001148.1_cds_CAI5732242.1_5731.p1
OG0002866	XM_001591304.1.p1	lcl|CANTFL010000028.1_cds_CAI5709107.1_233.p1
OG0002868	XM_001594750.1.p1	lcl|CANTFL010001158.1_cds_CAI5732495.1_5819.p1
OG0002869	XM_001594714.1.p1	lcl|CANTFL010001223.1_cds_CAI5734373.1_6463.p1
OG0002870	XM_001591055.1.p1	lcl|CANTFL010001059.1_cds_CAI5730834.1_5247.p1
OG0002871	XM_001589839.1.p1	lcl|CANTFL010001473.1_cds_CAI5742597.1_9542.p1
OG0002872	XM_001598431.1.p1	lcl|CANTFL010001080.1_cds_CAI5731209.1_5374.p1
OG0002873	XM_001587391.1.p1	lcl|CANTFL010001264.1_cds_CAI5735544.1_6866.p1
OG0002874	XM_001592659.1.p1	lcl|CANTFL010001008.1_cds_CAI5729806.1_4904.p1
OG0002875	XM_001595937.1.p1	lcl|CANTFL010000320.1_cds_CAI5720705.1_2584.p1
OG0002876	XM_001589719.1.p1	lcl|CANTFL010000151.1_cds_CAI5716193.1_1665.p1
OG0002877	XM_001586947.1.p1	lcl|CANTFL010001411.1_cds_CAI5739172.1_8124.p1
OG0002879	XM_001586490.1.p1	lcl|CANTFL010001467.1_cds_CAI5742373.1_9424.p1
OG0002880	XM_001590651.1.p1	lcl|CANTFL010000251.1_cds_CAI5719687.1_2368.p1
OG0002881	XM_001588307.1.p1	lcl|CANTFL010001446.1_cds_CAI5740948.1_8747.p1
OG0002884	XM_001587320.1.p1	lcl|CANTFL010000086.1_cds_CAI5712067.1_823.p1
OG0002887	XM_001592730.1.p1	lcl|CANTFL010000165.1_cds_CAI5716545.1_1738.p1
OG0002888	XM_001585340.1.p1	lcl|CANTFL010001462.1_cds_CAI5742024.1_9240.p1
OG0002889	XM_001596947.1.p1	lcl|CANTFL010000028.1_cds_CAI5709194.1_251.p1
OG0002890	XM_001585491.1.p1	lcl|CANTFL010000033.1_cds_CAI5709347.1_281.p1
OG0002891	XM_001584905.1.p1	lcl|CANTFL010001475.1_cds_CAI5742763.1_9631.p1
OG0002893	XM_001584778.1.p1	lcl|CANTFL010001080.1_cds_CAI5731224.1_5381.p1
OG0002894	XM_001584777.1.p1	lcl|CANTFL010000089.1_cds_CAI5712996.1_1014.p1
OG0002895	XM_001596822.1.p1	lcl|CANTFL010001403.1_cds_CAI5738910.1_8034.p1
OG0002896	XM_001589778.1.p1	lcl|CANTFL010001426.1_cds_CAI5739608.1_8277.p1
OG0002898	XM_001594548.1.p1	lcl|CANTFL010001107.1_cds_CAI5731553.1_5496.p1
OG0002899	XM_001598500.1.p1	lcl|CANTFL010000056.1_cds_CAI5710182.1_450.p1
OG0002900	XM_001594304.1.p1	lcl|CANTFL010000617.1_cds_CAI5725757.1_3872.p1
OG0002902	XM_001587141.1.p1	lcl|CANTFL010000971.1_cds_CAI5728985.1_4691.p1
OG0002904	XM_001590117.1.p1	lcl|CANTFL010001466.1_cds_CAI5742316.1_9394.p1
OG0002905	XM_001595167.1.p1	lcl|CANTFL010000080.1_cds_CAI5711157.1_647.p1
OG0002906	XM_001585980.1.p1	lcl|CANTFL010001028.1_cds_CAI5730441.1_5112.p1
OG0002907	XM_001589508.1.p1	lcl|CANTFL010000030.1_cds_CAI5709236.1_259.p1
OG0002908	XM_001585681.1.p1	lcl|CANTFL010001211.1_cds_CAI5734166.1_6394.p1, lcl|CANTFL010001211.1_cds_CAI5734163.1_6393.p1
OG0002909	XM_001589650.1.p1	lcl|CANTFL010001315.1_cds_CAI5736538.1_7214.p1
OG0002910	XM_001584756.1.p1	lcl|CANTFL010001445.1_cds_CAI5740426.1_8562.p1
OG0002913	XM_001589087.1.p1	lcl|CANTFL010001452.1_cds_CAI5741822.1_9132.p1
OG0002914	XM_001586648.1.p1	lcl|CANTFL010000017.1_cds_CAI5708803.1_171.p1
OG0002915	XM_001586655.1.p1	lcl|CANTFL010000990.1_cds_CAI5729522.1_4828.p1
OG0002916	XM_001595332.1.p1	lcl|CANTFL010000183.1_cds_CAI5717602.1_1955.p1
OG0002917	XM_001593156.1.p1	lcl|CANTFL010001148.1_cds_CAI5732267.1_5740.p1
OG0002919	XM_001595131.1.p1	lcl|CANTFL010001110.1_cds_CAI5731661.1_5534.p1
OG0002920	XM_001594348.1.p1	lcl|CANTFL010000122.1_cds_CAI5714348.1_1292.p1
OG0002921	XM_001586580.1.p1	lcl|CANTFL010000090.1_cds_CAI5713626.1_1143.p1
OG0002922	XM_001598928.1.p1	lcl|CANTFL010000389.1_cds_CAI5721774.1_2856.p1
OG0002923	XM_001589939.1.p1	lcl|CANTFL010001264.1_cds_CAI5735497.1_6850.p1
OG0002924	XM_001598426.1.p1	lcl|CANTFL010000090.1_cds_CAI5713260.1_1066.p1
OG0002925	XM_001592397.1.p1	lcl|CANTFL010001444.1_cds_CAI5740154.1_8469.p1
OG0002927	XM_001592441.1.p1	lcl|CANTFL010001283.1_cds_CAI5735639.1_6898.p1
OG0002929	XM_001594925.1.p1	lcl|CANTFL010000484.1_cds_CAI5723575.1_3318.p1
OG0002931	XM_001596637.1.p1	lcl|CANTFL010000086.1_cds_CAI5711580.1_723.p1
OG0002934	XM_001596902.1.p1	lcl|CANTFL010001449.1_cds_CAI5741299.1_8865.p1
OG0002935	XM_001597087.1.p1	lcl|CANTFL010001387.1_cds_CAI5738636.1_7939.p1
OG0002936	XM_001585645.1.p1	lcl|CANTFL010001449.1_cds_CAI5741360.1_8891.p1, lcl|CANTFL010001449.1_cds_CAI5741358.1_8890.p1
OG0002938	XM_001595996.1.p1	lcl|CANTFL010001332.1_cds_CAI5737373.1_7506.p1
OG0002939	XM_001588064.1.p1	lcl|CANTFL010000529.1_cds_CAI5723940.1_3411.p1
OG0002944	XM_001595601.1.p1	lcl|CANTFL010000649.1_cds_CAI5726332.1_4017.p1, lcl|CANTFL010000671.1_cds_CAI5726731.1_4121.p1
OG0002945	XM_001596835.1.p1	lcl|CANTFL010001112.1_cds_CAI5731749.1_5563.p1
OG0002946	XM_001598340.1.p1	lcl|CANTFL010001445.1_cds_CAI5740343.1_8534.p1
OG0002947	XM_001594879.1.p1	lcl|CANTFL010000427.1_cds_CAI5722492.1_3040.p1
OG0002948	XM_001598017.1.p1	lcl|CANTFL010000990.1_cds_CAI5729512.1_4825.p1
OG0002949	XM_001596664.1.p1	lcl|CANTFL010000034.1_cds_CAI5709668.1_346.p1
OG0002950	XM_001596766.1.p1	lcl|CANTFL010000188.1_cds_CAI5717826.1_2001.p1
OG0002951	XM_001587972.1.p1	lcl|CANTFL010001296.1_cds_CAI5736065.1_7054.p1
OG0002952	XM_001594674.1.p1	lcl|CANTFL010001448.1_cds_CAI5741118.1_8806.p1
OG0002953	XM_001590736.1.p1	lcl|CANTFL010000222.1_cds_CAI5718730.1_2178.p1
OG0002956	XM_001589716.1.p1	lcl|CANTFL010000484.1_cds_CAI5723591.1_3322.p1
OG0002957	XM_001597979.1.p1	lcl|CANTFL010001211.1_cds_CAI5734154.1_6390.p1
OG0002958	XM_001596285.1.p1	lcl|CANTFL010000086.1_cds_CAI5712794.1_972.p1
OG0002960	XM_001591838.1.p1	lcl|CANTFL010000608.1_cds_CAI5725673.1_3851.p1
OG0002961	XM_001589391.1.p1	lcl|CANTFL010001446.1_cds_CAI5740993.1_8762.p1
OG0002962	XM_001588125.1.p1	lcl|CANTFL010000143.1_cds_CAI5715268.1_1478.p1
OG0002964	XM_001589841.1.p1	lcl|CANTFL010000126.1_cds_CAI5714418.1_1307.p1
OG0002967	XM_001592383.1.p1	lcl|CANTFL010000086.1_cds_CAI5712454.1_903.p1
OG0002968	XM_001590687.1.p1	lcl|CANTFL010000361.1_cds_CAI5721099.1_2692.p1
OG0002970	XM_001584779.1.p1	lcl|CANTFL010000228.1_cds_CAI5719252.1_2283.p1
OG0002971	XM_001593218.1.p1	lcl|CANTFL010001462.1_cds_CAI5742061.1_9259.p1
OG0002972	XM_001586583.1.p1	lcl|CANTFL010000289.1_cds_CAI5720495.1_2529.p1
OG0002973	XM_001597296.1.p1	lcl|CANTFL010000195.1_cds_CAI5718013.1_2037.p1
OG0002974	XM_001598292.1.p1	lcl|CANTFL010000028.1_cds_CAI5709219.1_256.p1
OG0002976	XM_001585763.1.p1	lcl|CANTFL010000921.1_cds_CAI5728716.1_4622.p1
OG0002977	XM_001595717.1.p1	lcl|CANTFL010000136.1_cds_CAI5714544.1_1330.p1
OG0002978	XM_001590727.1.p1	lcl|CANTFL010000076.1_cds_CAI5710958.1_608.p1
OG0002980	XM_001595614.1.p1	lcl|CANTFL010000361.1_cds_CAI5721091.1_2688.p1
OG0002981	XM_001588086.1.p1	lcl|CANTFL010001451.1_cds_CAI5741673.1_9052.p1
OG0002982	XM_001592352.1.p1	lcl|CANTFL010000165.1_cds_CAI5716569.1_1742.p1
OG0002984	XM_001585466.1.p1	lcl|CANTFL010000303.1_cds_CAI5720580.1_2550.p1, lcl|CANTFL010000303.1_cds_CAI5720584.1_2551.p1
OG0002986	XM_001595969.1.p1	lcl|CANTFL010001048.1_cds_CAI5730617.1_5172.p1
OG0002987	XM_001589442.1.p1	lcl|CANTFL010000059.1_cds_CAI5710408.1_496.p1
OG0002988	XM_001589623.1.p1	lcl|CANTFL010001335.1_cds_CAI5737446.1_7529.p1
OG0002989	XM_001586520.1.p1	lcl|CANTFL010000003.1_cds_CAI5708219.1_40.p1
OG0002990	XM_001591809.1.p1	lcl|CANTFL010000790.1_cds_CAI5727730.1_4371.p1
OG0002991	XM_001593792.1.p1	lcl|CANTFL010000086.1_cds_CAI5712822.1_978.p1
OG0002992	XM_001588178.1.p1	lcl|CANTFL010001097.1_cds_CAI5731344.1_5423.p1
OG0002993	XM_001588043.1.p1	lcl|CANTFL010001450.1_cds_CAI5741543.1_8986.p1
OG0002994	XM_001586777.1.p1	lcl|CANTFL010000409.1_cds_CAI5722096.1_2940.p1
OG0002995	XM_001587761.1.p1	lcl|CANTFL010000545.1_cds_CAI5724091.1_3450.p1
OG0002996	XM_001587815.1.p1	lcl|CANTFL010000095.1_cds_CAI5713699.1_1158.p1
OG0002997	XM_001591052.1.p1	lcl|CANTFL010001264.1_cds_CAI5735469.1_6841.p1
OG0002998	XM_001587294.1.p1	lcl|CANTFL010001114.1_cds_CAI5731779.1_5573.p1
OG0002999	XM_001587735.1.p1	lcl|CANTFL010001486.1_cds_CAI5743193.1_9853.p1
OG0003000	XM_001597103.1.p1	lcl|CANTFL010001211.1_cds_CAI5733831.1_6275.p1
OG0003001	XM_001584517.1.p1	lcl|CANTFL010000484.1_cds_CAI5723595.1_3323.p1
OG0003004	XM_001597280.1.p1	lcl|CANTFL010000086.1_cds_CAI5712211.1_852.p1
OG0003005	XM_001597771.1.p1	lcl|CANTFL010000090.1_cds_CAI5713602.1_1138.p1
OG0003006	XM_001594575.1.p1	lcl|CANTFL010000086.1_cds_CAI5712224.1_855.p1
OG0003008	XM_001598051.1.p1	lcl|CANTFL010000254.1_cds_CAI5719951.1_2422.p1
OG0003009	XM_001595951.1.p1	lcl|CANTFL010000991.1_cds_CAI5729559.1_4839.p1
OG0003010	XM_001590494.1.p1	lcl|CANTFL010000199.1_cds_CAI5718179.1_2070.p1
OG0003011	XM_001590780.1.p1	lcl|CANTFL010000608.1_cds_CAI5725488.1_3804.p1
OG0003012	XM_001595070.1.p1	lcl|CANTFL010001448.1_cds_CAI5741129.1_8810.p1
OG0003013	XM_001592305.1.p1	lcl|CANTFL010000144.1_cds_CAI5715423.1_1509.p1
OG0003015	XM_001596725.1.p1	lcl|CANTFL010000042.1_cds_CAI5709896.1_390.p1
OG0003016	XM_001590554.1.p1	lcl|CANTFL010001033.1_cds_CAI5730521.1_5140.p1
OG0003017	XM_001590557.1.p1	lcl|CANTFL010000143.1_cds_CAI5715237.1_1471.p1
OG0003018	XM_001598650.1.p1	lcl|CANTFL010000549.1_cds_CAI5724208.1_3479.p1
OG0003019	XM_001590895.1.p1	lcl|CANTFL010000988.1_cds_CAI5729471.1_4815.p1
OG0003020	XM_001589194.1.p1	lcl|CANTFL010001471.1_cds_CAI5742496.1_9489.p1
OG0003022	XM_001596914.1.p1	lcl|CANTFL010000144.1_cds_CAI5715394.1_1503.p1
OG0003024	XM_001586215.1.p1	lcl|CANTFL010000673.1_cds_CAI5726807.1_4140.p1
OG0003025	XM_001585541.1.p1	lcl|CANTFL010000090.1_cds_CAI5713116.1_1036.p1
OG0003027	XM_001596149.1.p1	lcl|CANTFL010000122.1_cds_CAI5714376.1_1298.p1
OG0003028	XM_001592133.1.p1	lcl|CANTFL010001473.1_cds_CAI5742589.1_9538.p1
OG0003031	XM_001592864.1.p1	lcl|CANTFL010000873.1_cds_CAI5728372.1_4536.p1
OG0003033	XM_001590715.1.p1	lcl|CANTFL010000086.1_cds_CAI5712001.1_809.p1
OG0003051	XM_001589188.1.p1	lcl|CANTFL010001005.1_cds_CAI5729741.1_4885.p1
OG0003056	XM_001591810.1.p1	lcl|CANTFL010001211.1_cds_CAI5734157.1_6391.p1
OG0003057	XM_001585366.1.p1	lcl|CANTFL010001463.1_cds_CAI5742157.1_9309.p1, lcl|CANTFL010000173.1_cds_CAI5716939.1_1819.p1
OG0003070	XM_001585280.1.p1	lcl|CANTFL010001032.1_cds_CAI5730500.1_5132.p1, lcl|CANTFL010001032.1_cds_CAI5730497.1_5133.p1
OG0003071	XM_001595413.1.p1	lcl|CANTFL010000450.1_cds_CAI5722747.1_3104.p1
OG0003072	XM_001585286.1.p1	lcl|CANTFL010001191.1_cds_CAI5733046.1_6007.p1
OG0003073	XM_001585418.1.p1	lcl|CANTFL010000389.1_cds_CAI5721717.1_2841.p1
OG0003075	XM_001596323.1.p1	lcl|CANTFL010000272.1_cds_CAI5720167.1_2464.p1
OG0003076	XM_001596385.1.p1	lcl|CANTFL010000221.1_cds_CAI5718632.1_2160.p1
OG0003078	XM_001593880.1.p1	lcl|CANTFL010000057.1_cds_CAI5710367.1_488.p1
OG0003082	XM_001587691.1.p1	lcl|CANTFL010001407.1_cds_CAI5739128.1_8109.p1
OG0003083	XM_001585084.1.p1	lcl|CANTFL010001446.1_cds_CAI5740808.1_8699.p1
OG0003085	XM_001586447.1.p1	lcl|CANTFL010001387.1_cds_CAI5738616.1_7932.p1
OG0003087	XM_001591458.1.p1	lcl|CANTFL010001360.1_cds_CAI5738095.1_7751.p1
OG0003089	XM_001597507.1.p1	lcl|CANTFL010000136.1_cds_CAI5714627.1_1347.p1
OG0003091	XM_001595628.1.p1	lcl|CANTFL010000080.1_cds_CAI5710985.1_612.p1
OG0003092	XM_001592145.1.p1	lcl|CANTFL010001009.1_cds_CAI5729869.1_4922.p1
OG0003093	XM_001595110.1.p1	lcl|CANTFL010001416.1_cds_CAI5739339.1_8185.p1
OG0003094	XM_001598396.1.p1	lcl|CANTFL010000198.1_cds_CAI5718049.1_2044.p1
OG0003095	XM_001584965.1.p1	lcl|CANTFL010001312.1_cds_CAI5736324.1_7142.p1
OG0003096	XM_001584584.1.p1	lcl|CANTFL010001327.1_cds_CAI5736807.1_7308.p1
OG0003099	XM_001584720.1.p1	lcl|CANTFL010000480.1_cds_CAI5723467.1_3289.p1
OG0003100	XM_001591398.1.p1	lcl|CANTFL010001315.1_cds_CAI5736491.1_7198.p1
OG0003101	XM_001587162.1.p1	lcl|CANTFL010001025.1_cds_CAI5730289.1_5055.p1
OG0003102	XM_001594211.1.p1	lcl|CANTFL010000665.1_cds_CAI5726472.1_4052.p1
OG0003103	XM_001593013.1.p1	lcl|CANTFL010000550.1_cds_CAI5724258.1_3492.p1
OG0003107	XM_001592963.1.p1	lcl|CANTFL010000086.1_cds_CAI5712675.1_947.p1
OG0003111	XM_001590591.1.p1	lcl|CANTFL010000174.1_cds_CAI5717535.1_1941.p1
OG0003112	XM_001590553.1.p1	lcl|CANTFL010000173.1_cds_CAI5716934.1_1818.p1
OG0003113	XM_001590855.1.p1	lcl|CANTFL010000470.1_cds_CAI5723090.1_3194.p1
OG0003114	XM_001593285.1.p1	lcl|CANTFL010000745.1_cds_CAI5727295.1_4264.p1
OG0003115	XM_001597789.1.p1	lcl|CANTFL010001256.1_cds_CAI5735286.1_6778.p1
OG0003116	XM_001592011.1.p1	lcl|CANTFL010000086.1_cds_CAI5712784.1_970.p1
OG0003117	XM_001590014.1.p1	lcl|CANTFL010001192.1_cds_CAI5733167.1_6050.p1
OG0003118	XM_001590931.1.p1	lcl|CANTFL010001181.1_cds_CAI5732755.1_5907.p1
OG0003119	XM_001597626.1.p1	lcl|CANTFL010000086.1_cds_CAI5712771.1_967.p1
OG0003120	XM_001593852.1.p1	lcl|CANTFL010001296.1_cds_CAI5735964.1_7008.p1
OG0003121	XM_001585563.1.p1	lcl|CANTFL010000570.1_cds_CAI5724883.1_3649.p1
OG0003122	XM_001588060.1.p1	lcl|CANTFL010001445.1_cds_CAI5740432.1_8564.p1
OG0003124	XM_001594372.1.p1	lcl|CANTFL010000745.1_cds_CAI5727258.1_4255.p1
OG0003125	XM_001595203.1.p1	lcl|CANTFL010000086.1_cds_CAI5712705.1_953.p1
OG0003126	XM_001594982.1.p1	lcl|CANTFL010001191.1_cds_CAI5732989.1_5987.p1
OG0003130	XM_001591279.1.p1	lcl|CANTFL010001207.1_cds_CAI5733635.1_6210.p1
OG0003133	XM_001587224.1.p1	lcl|CANTFL010000204.1_cds_CAI5718513.1_2136.p1
OG0003134	XM_001595329.1.p1	lcl|CANTFL010001332.1_cds_CAI5737076.1_7403.p1
OG0003135	XM_001597179.1.p1	lcl|CANTFL010000174.1_cds_CAI5717515.1_1937.p1
OG0003136	XM_001594282.1.p1	lcl|CANTFL010001342.1_cds_CAI5737604.1_7582.p1
OG0003140	XM_001591076.1.p1	lcl|CANTFL010000303.1_cds_CAI5720590.1_2553.p1
OG0003142	XM_001587260.1.p1	lcl|CANTFL010000527.1_cds_CAI5723823.1_3381.p1
OG0003144	XM_001588319.1.p1	lcl|CANTFL010001403.1_cds_CAI5738997.1_8063.p1
OG0003146	XM_001595345.1.p1	lcl|CANTFL010001449.1_cds_CAI5741384.1_8903.p1
OG0003150	XM_001594558.1.p1	lcl|CANTFL010001475.1_cds_CAI5742706.1_9600.p1
OG0003152	XM_001594909.1.p1	lcl|CANTFL010000363.1_cds_CAI5721228.1_2723.p1
OG0003155	XM_001597217.1.p1	lcl|CANTFL010000748.1_cds_CAI5727334.1_4271.p1, lcl|CANTFL010000368.1_cds_CAI5721328.1_2746.p1
OG0003157	XM_001584915.1.p1	lcl|CANTFL010000014.1_cds_CAI5708497.1_108.p1
OG0003158	XM_001596121.1.p1	lcl|CANTFL010001052.1_cds_CAI5730712.1_5204.p1
