Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Saccharomyces_cerevisiae_rna_prot
OG0001864	XM_001591521.1.p1	NM_001183709.3.p1, NM_001179474.1.p1
OG0001865	XM_001584801.1.p1	NM_001178501.3.p1
OG0001866	XM_001585049.1.p1	NM_001181505.1.p1
OG0001867	XM_001596867.1.p1, XM_001594818.1.p1	NM_001182866.1.p1
OG0001869	XM_001585799.1.p1	NM_001184107.1.p1
OG0001870	XM_001592420.1.p1	NM_001178150.1.p1
OG0001871	XM_001593531.1.p1	NM_001178403.1.p1
OG0001872	XM_001598490.1.p1	NM_001183693.3.p1
OG0001873	XM_001592991.1.p1	NM_001184210.1.p1
OG0001877	XM_001594162.1.p1	NM_001178540.1.p1
OG0001878	XM_001590659.1.p1	NM_001182305.3.p1
OG0001879	XM_001589618.1.p1	NM_001182297.3.p1
OG0001880	XM_001595660.1.p1	NM_001181111.1.p1
OG0001881	XM_001593122.1.p1	NM_001181775.1.p1
OG0001883	XM_001589201.1.p1	NM_001180062.1.p1
OG0001884	XM_001596916.1.p1	NM_001181254.1.p1
OG0001885	XM_001597820.1.p1	NM_001178747.1.p1
OG0001886	XM_001598473.1.p1	NM_001183154.1.p1
OG0001887	XM_001590264.1.p1	NM_001182641.1.p1
OG0001888	XM_001596012.1.p1	NM_001178524.3.p1
OG0001889	XM_001595935.1.p1	NM_001178584.3.p1
OG0001890	XM_001588390.1.p1	NM_001180641.3.p1
OG0001891	XM_001593041.1.p1	NM_001183446.1.p1
OG0001892	XM_001592787.1.p1	NM_001184013.1.p1
OG0001893	XM_001587267.1.p1	NM_001179776.1.p1
OG0001894	XM_001588986.1.p1	NM_001183272.1.p1
OG0001895	XM_001590911.1.p1	NM_001182658.1.p1
OG0001896	XM_001597392.1.p1	NM_001182910.1.p1
OG0001898	XM_001593311.1.p1	NM_001181783.1.p1
OG0001900	XM_001593680.1.p1	NM_001179351.3.p1
OG0001903	XM_001592059.1.p1	NM_001183193.1.p1, NM_001182714.1.p1
OG0001905	XM_001592700.1.p1	NM_001180162.1.p1
OG0001906	XM_001589662.1.p1	NM_001179317.1.p1
OG0001907	XM_001593996.1.p1	NM_001179625.1.p1
OG0001908	XM_001593415.1.p1	NM_001182721.1.p1
OG0001909	XM_001593623.1.p1	NM_001184080.1.p1
OG0001911	XM_001589314.1.p1	NM_001184130.1.p1
OG0001912	XM_001586839.1.p1	NM_001181183.4.p1
OG0001914	XM_001593298.1.p1	NM_001181386.3.p1
OG0001915	XM_001587673.1.p1	NM_001183065.1.p1
OG0001916	XM_001586854.1.p1	NM_001183100.1.p1
OG0001917	XM_001590908.1.p1	NM_001179731.1.p1
OG0001918	XM_001590387.1.p1	NM_001180905.1.p1
OG0001919	XM_001590115.1.p1	NM_001184192.1.p1
OG0001920	XM_001591029.1.p1	NM_001179491.1.p1
OG0001921	XM_001595343.1.p1	NM_001183631.3.p1
OG0001922	XM_001586175.1.p1	NM_001183153.1.p1
OG0001923	XM_001592396.1.p1	NM_001180556.1.p1
OG0001924	XM_001584617.1.p1	NM_001179492.3.p1
OG0001925	XM_001589406.1.p1	NM_001179859.3.p1
OG0001926	XM_001584509.1.p1	NM_001178544.1.p1
OG0001927	XM_001586446.1.p1	NM_001180073.1.p1
OG0001928	XM_001588383.1.p1	NM_001181363.1.p1
OG0001929	XM_001591408.1.p1	NM_001179933.1.p1
OG0001930	XM_001591632.1.p1	NM_001182606.1.p1
OG0001932	XM_001597284.1.p1	NM_001179202.2.p1
OG0001933	XM_001597286.1.p1	NM_001179397.3.p1
OG0001934	XM_001596926.1.p1	NM_001181346.3.p1
OG0001935	XM_001592593.1.p1	NM_001180948.1.p1
OG0001937	XM_001596027.1.p1	NM_001178587.3.p1, NM_001181536.1.p1
OG0001939	XM_001593108.1.p1	NM_001179585.3.p1
OG0001940	XM_001594951.1.p1	NM_001180722.4.p1
OG0001942	XM_001589457.1.p1	NM_001181387.1.p1
OG0001943	XM_001590718.1.p1	NM_001183681.1.p1
OG0001944	XM_001589563.1.p1	NM_001181913.1.p1
OG0001945	XM_001591844.1.p1	NM_001184038.2.p1, NM_001182683.1.p1
OG0001946	XM_001590101.1.p1	NM_001179594.3.p1
OG0001947	XM_001584666.1.p1	NM_001180706.1.p1
OG0001948	XM_001593863.1.p1	NM_001180498.1.p1
OG0001949	XM_001589052.1.p1	NM_001178262.1.p1
OG0001950	XM_001589070.1.p1	NM_001179996.2.p1
OG0001951	XM_001590973.1.p1	NM_001179175.1.p1
OG0001952	XM_001596948.1.p1	NM_001178934.3.p1
OG0001954	XM_001592673.1.p1	NM_001182493.1.p1
OG0001955	XM_001589327.1.p1	NM_001183207.1.p1
OG0001956	XM_001594296.1.p1	NM_001182883.1.p1
OG0001957	XM_001595336.1.p1	NM_001179564.1.p1
OG0001958	XM_001598033.1.p1	NM_001180149.1.p1
OG0001959	XM_001587462.1.p1	NM_001180161.2.p1
OG0001960	XM_001590817.1.p1	NM_001182671.1.p1
OG0001961	XM_001590618.1.p1	NM_001183514.1.p1
OG0001962	XM_001598444.1.p1	NM_001178721.1.p1
OG0001963	XM_001585664.1.p1	NM_001182203.2.p1
OG0001964	XM_001597866.1.p1	NM_001180275.1.p1
OG0001965	XM_001595936.1.p1	NM_001180419.1.p1, NM_001181976.1.p1
OG0001967	XM_001586605.1.p1	NM_001182439.1.p1
OG0001968	XM_001591512.1.p1	NM_001178365.1.p1
OG0001969	XM_001589930.1.p1	NM_001180892.1.p1
OG0001970	XM_001593043.1.p1	NM_001183060.1.p1
OG0001971	XM_001596203.1.p1	NM_001180930.1.p1
OG0001972	XM_001597359.1.p1	NM_001180352.1.p1
OG0001973	XM_001596622.1.p1	NM_001182644.1.p1, NM_001180141.1.p1
OG0001974	XM_001588784.1.p1	NM_001180602.1.p1
OG0001975	XM_001593765.1.p1	NM_001184076.1.p1
OG0001977	XM_001589100.1.p1	NM_001178703.1.p1
OG0001978	XM_001595991.1.p1	NM_001182921.1.p1
OG0001979	XM_001587346.1.p1	NM_001180370.1.p1
OG0001980	XM_001595208.1.p1	NM_001183477.1.p1
OG0001982	XM_001585489.1.p1	NM_001181723.3.p1
OG0001983	XM_001587797.1.p1	NM_001178351.1.p1
OG0001984	XM_001596302.1.p1	NM_001178385.1.p1, NM_001178372.1.p1
OG0001985	XM_001591812.1.p1	NM_001184283.1.p1
OG0001986	XM_001585852.1.p1	NM_001180632.3.p1
OG0001987	XM_001586943.1.p1	NM_001182805.1.p1
OG0001988	XM_001591278.1.p1	NM_001181566.1.p1, NM_001179842.1.p1
OG0001989	XM_001585907.1.p1	NM_001182418.1.p1
OG0001990	XM_001597971.1.p1	NM_001178984.1.p1
OG0001991	XM_001585102.1.p1	NM_001178507.1.p1
OG0001992	XM_001591707.1.p1	NM_001178407.1.p1, NM_001182859.1.p1, NM_001179443.1.p1
OG0001993	XM_001586719.1.p1	NM_001183344.1.p1
OG0001994	XM_001596952.1.p1	NM_001180102.1.p1
OG0001995	XM_001596687.1.p1	NM_001184163.1.p1
OG0001996	XM_001592027.1.p1	NM_001183900.1.p1
OG0001997	XM_001595900.1.p1	NM_001179030.3.p1
OG0001998	XM_001590545.1.p1	NM_001181728.1.p1
OG0001999	XM_001597790.1.p1	NM_001182525.1.p1
OG0002000	XM_001598297.1.p1	NM_001183348.1.p1
OG0002001	XM_001597034.1.p1	NM_001184116.1.p1
OG0002002	XM_001588889.1.p1	NM_001180255.2.p1
OG0002003	XM_001590376.1.p1	NM_001181331.1.p1
OG0002004	XM_001585279.1.p1	NM_001183155.1.p1
OG0002006	XM_001594678.1.p1	NM_001179425.1.p1
OG0002007	XM_001588209.1.p1	NM_001180074.1.p1
OG0002008	XM_001587133.1.p1	NM_001182335.3.p1
OG0002009	XM_001586907.1.p1	NM_001181544.1.p1
OG0002010	XM_001592527.1.p1	NM_001181587.1.p1
OG0002011	XM_001591489.1.p1	NM_001181176.3.p1
OG0002013	XM_001589276.1.p1	NM_001179073.1.p1
OG0002014	XM_001591834.1.p1	NM_001178344.1.p1
OG0002016	XM_001597788.1.p1	NM_001178454.1.p1
OG0002017	XM_001595237.1.p1, XM_001595236.1.p1	NM_001184214.1.p1, NM_001182342.1.p1
OG0002018	XM_001594980.1.p1, XM_001594979.1.p1	NM_001178698.1.p1
OG0002019	XM_001597612.1.p1	NM_001182372.1.p1
OG0002020	XM_001595551.1.p1	NM_001183919.1.p1, NM_001178520.3.p1
OG0002021	XM_001590929.1.p1	NM_001181609.1.p1, NM_001180002.3.p1
OG0002022	XM_001588574.1.p1	NM_001181347.3.p1
OG0002023	XM_001590816.1.p1	NM_001179157.1.p1
OG0002024	XM_001585897.1.p1	NM_001178535.1.p1
OG0002025	XM_001596731.1.p1	NM_001183769.3.p1
OG0002027	XM_001591972.1.p1	NM_001179444.1.p1
OG0002028	XM_001585390.1.p1	NM_001182574.1.p1
OG0002049	XM_001591195.1.p1	NM_001181055.1.p1
OG0002050	XM_001598786.1.p1	NM_001183482.1.p1
OG0002051	XM_001587148.1.p1	NM_001178169.1.p1
OG0002053	XM_001586551.1.p1	NM_001179611.1.p1
OG0002054	XM_001597361.1.p1	NM_001183680.3.p1
OG0002055	XM_001596816.1.p1	NM_001182109.1.p1
OG0002056	XM_001594658.1.p1	NM_001181627.1.p1
OG0002057	XM_001586017.1.p1	NM_001179334.1.p1
OG0002058	XM_001586539.1.p1	NM_001181322.1.p1
OG0002059	XM_001590121.1.p1	NM_001179720.1.p1
OG0002060	XM_001597962.1.p1	NM_001181574.1.p1
OG0002061	XM_001592902.1.p1	NM_001181932.1.p1
OG0002062	XM_001595752.1.p1	NM_001178879.1.p1
OG0002063	XM_001598100.1.p1	NM_001178651.1.p1
OG0002064	XM_001596820.1.p1	NM_001182795.1.p1
OG0002065	XM_001596742.1.p1	NM_001179299.2.p1
OG0002067	XM_001586877.1.p1	NM_001178320.2.p1
OG0002068	XM_001594963.1.p1	NM_001179490.1.p1
OG0002069	XM_001587722.1.p1	NM_001182275.3.p1
OG0002070	XM_001594154.1.p1	NM_001180396.3.p1
OG0002071	XM_001596446.1.p1	NM_001183595.3.p1
OG0002072	XM_001585949.1.p1	NM_001184041.1.p1
OG0002073	XM_001585276.1.p1	NM_001179599.1.p1
OG0002074	XM_001589902.1.p1	NM_001181590.1.p1, NM_001180411.1.p1
OG0002075	XM_001594360.1.p1	NM_001181336.1.p1
OG0002076	XM_001585877.1.p1	NM_001183670.3.p1
OG0002077	XM_001589887.1.p1	NM_001180060.3.p1
OG0002078	XM_001591720.1.p1	NM_001182428.1.p1
OG0002080	XM_001593699.1.p1	NM_001179975.1.p1
OG0002083	XM_001593868.1.p1	NM_001179371.3.p1
OG0002084	XM_001588553.1.p1	NM_001182797.1.p1
OG0002085	XM_001587134.1.p1	NM_001183730.1.p1
OG0002086	XM_001590939.1.p1	NM_001180105.1.p1
OG0002087	XM_001586735.1.p1	NM_001181855.1.p1
OG0002088	XM_001586514.1.p1	NM_001181542.1.p1
OG0002089	XM_001592270.1.p1	NM_001179626.1.p1
OG0002090	XM_001594354.1.p1	NM_001181315.1.p1
OG0002091	XM_001586935.1.p1	NM_001182246.1.p1, NM_001181185.1.p1
OG0002092	XM_001595172.1.p1	NM_001179557.3.p1, NM_001179558.3.p1
OG0002093	XM_001591626.1.p1	NM_001183016.3.p1
OG0002094	XM_001587490.1.p1	NM_001183130.1.p1
OG0002096	XM_001598383.1.p1	NM_001179154.1.p1
OG0002097	XM_001598488.1.p1	NM_001182267.1.p1
OG0002098	XM_001591197.1.p1	NM_001183475.1.p1
OG0002099	XM_001597283.1.p1	NM_001183476.1.p1
OG0002101	XM_001595627.1.p1	NM_001184240.1.p1
OG0002102	XM_001591028.1.p1	NM_001183292.1.p1
OG0002103	XM_001597714.1.p1	NM_001183103.1.p1
OG0002104	XM_001595210.1.p1	NM_001183287.1.p1
OG0002105	XM_001589834.1.p1	NM_001179061.3.p1
OG0002106	XM_001597055.1.p1	NM_001183766.1.p1
OG0002107	XM_001586115.1.p1	NM_001183126.1.p1
OG0002108	XM_001597387.1.p1, XM_001598671.1.p1	NM_001184211.1.p1, NM_001181774.1.p1
OG0002109	XM_001596958.1.p1	NM_001183078.1.p1
OG0002110	XM_001592487.1.p1	NM_001180468.1.p1
OG0002111	XM_001592325.1.p1	NM_001179578.3.p1
OG0002112	XM_001587203.1.p1	NM_001180365.3.p1
OG0002113	XM_001594579.1.p1	NM_001183264.1.p1
OG0002114	XM_001596821.1.p1	NM_001183212.1.p1
OG0002115	XM_001594564.1.p1	NM_001179691.1.p1
OG0002116	XM_001597172.1.p1	NM_001181134.3.p1
OG0002117	XM_001597516.1.p1	NM_001179063.1.p1
OG0002118	XM_001586126.1.p1	NM_001178550.4.p1
OG0002119	XM_001593136.1.p1	NM_001178583.3.p1
OG0002120	XM_001586423.1.p1	NM_001183229.3.p1
OG0002121	XM_001594727.1.p1	NM_001184215.1.p1
OG0002122	XM_001585609.1.p1	NM_001180117.1.p1
OG0002123	XM_001587329.1.p1	NM_001183350.1.p1
OG0002124	XM_001592753.1.p1	NM_001182312.1.p1
OG0002125	XM_001590534.1.p1	NM_001180104.1.p1
OG0002126	XM_001590790.1.p1	NM_001178866.1.p1
OG0002128	XM_001591440.1.p1	NM_001180540.1.p1
OG0002129	XM_001591552.1.p1	NM_001180484.3.p1
OG0002130	XM_001598480.1.p1	NM_001178653.1.p1
OG0002131	XM_001597846.1.p1	NM_001182899.3.p1
OG0002132	XM_001586258.1.p1	NM_001183079.1.p1
OG0002133	XM_001597660.1.p1	NM_001182577.1.p1
OG0002134	XM_001591909.1.p1	NM_001183146.1.p1
OG0002135	XM_001592871.1.p1	NM_001183195.1.p1
OG0002136	XM_001584926.1.p1	NM_001180477.3.p1
OG0002137	XM_001598570.1.p1	NM_001181172.1.p1, NM_001182243.1.p1
OG0002139	XM_001596723.1.p1	NM_001178458.3.p1
OG0002140	XM_001584855.1.p1	NM_001182445.1.p1
OG0002141	XM_001584871.1.p1	NM_001182236.1.p1
OG0002144	XM_001590305.1.p1	NM_001178204.1.p1, NM_001183795.3.p1
OG0002146	XM_001595747.1.p1	NM_001181013.1.p1
OG0002147	XM_001588429.1.p1	NM_001183694.1.p1
OG0002148	XM_001587218.1.p1	NM_001183877.1.p1
OG0002149	XM_001595097.1.p1	NM_001180980.1.p1
OG0002150	XM_001589080.1.p1	NM_001179303.1.p1
OG0002151	XM_001590139.1.p1	NM_001182102.1.p1
OG0002152	XM_001597362.1.p1	NM_001180534.1.p1
OG0002153	XM_001588677.1.p1	NM_001183478.1.p1
OG0002154	XM_001598883.1.p1	NM_001178263.1.p1
OG0002155	XM_001589224.1.p1	NM_001180909.1.p1
OG0002156	XM_001592773.1.p1	NM_001180156.1.p1
OG0002157	XM_001589310.1.p1	NM_001183976.1.p1
OG0002158	XM_001589202.1.p1	NM_001181032.1.p1
OG0002159	XM_001597069.1.p1	NM_001180743.1.p1
OG0002160	XM_001597338.1.p1	NM_001178873.1.p1
OG0002161	XM_001594738.1.p1	NM_001183936.1.p1
OG0002162	XM_001585017.1.p1	NM_001182734.1.p1
OG0002163	XM_001592926.1.p1	NM_001181463.1.p1
OG0002165	XM_001586253.1.p1	NM_001178164.1.p1
OG0002166	XM_001598851.1.p1	NM_001178981.1.p1
OG0002167	XM_001588909.1.p1	NM_001179606.3.p1
OG0002169	XM_001588232.1.p1	NM_001183974.1.p1
OG0002170	XM_001588185.1.p1	NM_001178475.3.p1
OG0002172	XM_001593168.1.p1	NM_001183879.1.p1
OG0002173	XM_001593342.1.p1	NM_001180563.3.p1
OG0002174	XM_001587971.1.p1	NM_001178912.1.p1
OG0002175	XM_001585700.1.p1	NM_001178910.1.p1
OG0002176	XM_001591669.1.p1	NM_001181077.1.p1
OG0002177	XM_001593376.1.p1	NM_001181072.1.p1
OG0002178	XM_001597354.1.p1	NM_001184287.1.p1
OG0002179	XM_001597351.1.p1	NM_001178868.3.p1
OG0002181	XM_001592505.1.p1	NM_001181220.1.p1
OG0002182	XM_001592661.1.p1	NM_001179970.1.p1
OG0002183	XM_001594214.1.p1	NM_001183678.3.p1
OG0002184	XM_001586165.1.p1	NM_001183484.1.p1
OG0002185	XM_001597309.1.p1	NM_001180546.3.p1
OG0002186	XM_001596132.1.p1	NM_001181722.1.p1
OG0002189	XM_001598107.1.p1, XM_001593649.1.p1	NM_001184099.1.p1
OG0002190	XM_001593887.1.p1	NM_001180606.1.p1
OG0002191	XM_001591504.1.p1	NM_001183779.3.p1
OG0002194	XM_001584529.1.p1	NM_001179012.1.p1
OG0002195	XM_001585413.1.p1	NM_001183194.3.p1
OG0002196	XM_001587560.1.p1	NM_001181369.1.p1, NM_001182712.1.p1
OG0002197	XM_001591624.1.p1	NM_001181947.1.p1
OG0002198	XM_001595649.1.p1	NM_001178684.1.p1
OG0002199	XM_001591037.1.p1	NM_001178769.1.p1
OG0002200	XM_001596106.1.p1	NM_001178481.1.p1
OG0002202	XM_001586194.1.p1	NM_001183782.1.p1
OG0002203	XM_001598207.1.p1	NM_001180221.1.p1, NM_001182093.1.p1
OG0002204	XM_001585587.1.p1	NM_001183200.1.p1, NM_001178766.1.p1
OG0002207	XM_001598061.1.p1	NM_001181144.1.p1, NM_001181160.1.p1
OG0002208	XM_001597727.1.p1	NM_001179464.1.p1
OG0002209	XM_001591570.1.p1	NM_001184113.1.p1
OG0002210	XM_001593476.1.p1	NM_001180497.1.p1
OG0002211	XM_001595934.1.p1	NM_001184205.1.p1
OG0002212	XM_001588015.1.p1	NM_001179530.1.p1
OG0002213	XM_001593703.1.p1	NM_001181677.3.p1
OG0002217	XM_001586440.1.p1	NM_001183515.1.p1, NM_001182934.3.p1
OG0002218	XM_001586061.1.p1	NM_001178436.1.p1
OG0002219	XM_001597578.1.p1	NM_001184194.2.p1
OG0002220	XM_001585691.1.p1	NM_001181222.3.p1
OG0002221	XM_001588318.1.p1	NM_001179439.1.p1
OG0002222	XM_001598076.1.p1	NM_001180565.1.p1
OG0002223	XM_001597501.1.p1	NM_001183306.1.p1
OG0002224	XM_001585858.1.p1	NM_001180988.1.p1
OG0002225	XM_001594478.1.p1	NM_001180405.3.p1
OG0002227	XM_001593889.1.p1	NM_001180444.1.p1
OG0002228	XM_001586724.1.p1	NM_001180702.3.p1
OG0002229	XM_001593158.1.p1	NM_001181514.1.p1
OG0002230	XM_001593506.1.p1	NM_001182593.1.p1
OG0002231	XM_001585598.1.p1	NM_001178316.1.p1
OG0002232	XM_001589358.1.p1	NM_001178177.1.p1
OG0002234	XM_001587071.1.p1	NM_001182970.1.p1
OG0002235	XM_001587174.1.p1	NM_001183934.1.p1
OG0002236	XM_001593056.1.p1	NM_001181470.1.p1
OG0002237	XM_001590016.1.p1	NM_001183583.3.p1
OG0002238	XM_001585760.1.p1	NM_001182976.1.p1
OG0002239	XM_001598706.1.p1	NM_001181374.3.p1
OG0002240	XM_001596018.1.p1	NM_001180607.3.p1
OG0002242	XM_001593203.1.p1	NM_001182669.1.p1
OG0002244	XM_001584570.1.p1	NM_001179646.1.p1
OG0002245	XM_001585829.1.p1	NM_001183854.1.p1
OG0002246	XM_001589689.1.p1	NM_001180207.1.p1
OG0002247	XM_001594109.1.p1	NM_001183752.3.p1
OG0002248	XM_001589743.1.p1	NM_001182359.1.p1
OG0002249	XM_001586745.1.p1	NM_001182084.1.p1
OG0002250	XM_001591244.1.p1	NM_001180496.3.p1
OG0002251	XM_001597957.1.p1	NM_001182820.1.p1
OG0002252	XM_001597393.1.p1	NM_001179967.1.p1
OG0002253	XM_001592156.1.p1	NM_001178298.1.p1
OG0002254	XM_001595538.1.p1	NM_001180369.3.p1
OG0002255	XM_001598058.1.p1	NM_001179424.1.p1, NM_001178972.3.p1
OG0002256	XM_001597665.1.p1	NM_001178928.1.p1, NM_001181089.1.p1
OG0002257	XM_001595716.1.p1	NM_001182244.1.p1
OG0002258	XM_001595567.1.p1	NM_001179523.1.p1
OG0002259	XM_001587718.1.p1	NM_001179948.1.p1, NM_001183831.1.p1
OG0002260	XM_001589832.1.p1	NM_001183761.3.p1
OG0002262	XM_001589945.1.p1	NM_001182825.1.p1
OG0002263	XM_001587282.1.p1	NM_001182127.1.p1
OG0002264	XM_001593750.1.p1	NM_001180876.3.p1
OG0002265	XM_001594511.1.p1	NM_001182865.1.p1
OG0002266	XM_001586466.1.p1	NM_001179746.1.p1, NM_001181610.1.p1
OG0002268	XM_001586142.1.p1	NM_001183713.1.p1
OG0002269	XM_001594966.1.p1	NM_001182740.1.p1, NM_001183714.3.p1
OG0002270	XM_001585906.1.p1	NM_001181664.3.p1
OG0002271	XM_001595957.1.p1	NM_001181139.1.p1, NM_001182217.1.p1
OG0002272	XM_001595860.1.p1	NM_001179031.1.p1
OG0002273	XM_001598458.1.p1	NM_001181763.1.p1
OG0002276	XM_001588261.1.p1	NM_001183773.3.p1
OG0002277	XM_001595576.1.p1	NM_001179698.1.p1, NM_001182613.1.p1
OG0002278	XM_001595383.1.p1	NM_001181229.1.p1
OG0002279	XM_001592136.1.p1	NM_001182163.1.p1
OG0002280	XM_001589331.1.p1	NM_001178387.1.p1
OG0002281	XM_001592956.1.p1	NM_001180200.1.p1
OG0002282	XM_001592660.1.p1	NM_001184234.1.p1
OG0002284	XM_001586779.1.p1	NM_001183830.2.p1
OG0002285	XM_001593379.1.p1	NM_001182315.3.p1
OG0002286	XM_001587647.1.p1	NM_001181264.3.p1
OG0002287	XM_001597641.1.p1	NM_001179207.1.p1
OG0002288	XM_001595843.1.p1	NM_001182659.1.p1
OG0002289	XM_001584771.1.p1	NM_001182725.1.p1
OG0002291	XM_001596893.1.p1	NM_001183536.3.p1
OG0002292	XM_001598831.1.p1	NM_001179858.1.p1
OG0002293	XM_001593573.1.p1	NM_001180600.3.p1
OG0002294	XM_001588293.1.p1	NM_001181245.1.p1
OG0002295	XM_001593937.1.p1	NM_001183790.1.p1
OG0002296	XM_001587760.1.p1	NM_001180735.3.p1
OG0002297	XM_001592882.1.p1	NM_001183940.1.p1
OG0002298	XM_001589964.1.p1	NM_001182940.3.p1
OG0002299	XM_001587291.1.p1	NM_001182801.1.p1
OG0002300	XM_001584752.1.p1	NM_001183576.3.p1
OG0002301	XM_001587554.1.p1	NM_001178484.3.p1
OG0002302	XM_001597423.1.p1	NM_001184115.1.p1
OG0002303	XM_001592886.1.p1	NM_001178877.3.p1
OG0002304	XM_001590430.1.p1	NM_001184031.1.p1
OG0002305	XM_001588373.1.p1	NM_001183978.1.p1
OG0002307	XM_001595335.1.p1	NM_001181248.1.p1
OG0002308	XM_001588088.1.p1	NM_001181001.1.p1
OG0002309	XM_001597164.1.p1	NM_001184241.1.p1
OG0002310	XM_001597869.1.p1	NM_001180941.1.p1
OG0002311	XM_001593843.1.p1	NM_001178290.1.p1
OG0002312	XM_001597581.1.p1	NM_001179711.1.p1
OG0002314	XM_001592506.1.p1	NM_001182004.1.p1
OG0002315	XM_001595086.1.p1	NM_001178328.2.p1
OG0002318	XM_001592313.1.p1	NM_001182456.1.p1
OG0002319	XM_001593042.1.p1	NM_001181841.1.p1, NM_001182202.2.p1
OG0002320	XM_001590262.1.p1	NM_001183739.1.p1
OG0002321	XM_001598171.1.p1	NM_001179908.1.p1, NM_001182596.1.p1
OG0002322	XM_001597819.1.p1	NM_001179198.1.p1
OG0002323	XM_001585649.1.p1	NM_001181720.3.p1
OG0002324	XM_001594335.1.p1	NM_001180508.3.p1, NM_001182125.1.p1
OG0002325	XM_001597853.1.p1	NM_001183331.2.p1
OG0002326	XM_001594840.1.p1	NM_001181671.1.p1
OG0002328	XM_001593853.1.p1	NM_001181008.3.p1
OG0002329	XM_001585575.1.p1	NM_001178615.4.p1, NM_001182276.1.p1
OG0002330	XM_001585275.1.p1	NM_001184138.1.p1
OG0002332	XM_001598860.1.p1	NM_001179142.1.p1
OG0002334	XM_001598728.1.p1	NM_001178160.1.p1, NM_001183297.1.p1
OG0002335	XM_001589947.1.p1	NM_001183210.1.p1
OG0002336	XM_001598169.1.p1	NM_001179155.1.p1
OG0002338	XM_001589830.1.p1	NM_001182840.1.p1
OG0002339	XM_001595315.1.p1	NM_001180357.1.p1
OG0002342	XM_001593487.1.p1	NM_001179821.3.p1
OG0002343	XM_001588118.1.p1	NM_001183728.3.p1
OG0002344	XM_001588788.1.p1	NM_001182451.1.p1
OG0002345	XM_001588207.1.p1	NM_001182310.1.p1
OG0002346	XM_001589482.1.p1	NM_001182464.1.p1
OG0002347	XM_001591280.1.p1	NM_001182880.1.p1
OG0002348	XM_001587377.1.p1	NM_001183038.1.p1
OG0002349	XM_001592258.1.p1	NR_172474.1.p1, NM_001180317.1.p1
OG0002352	XM_001587843.1.p1	NM_001183697.1.p1
OG0002353	XM_001591075.1.p1	NM_001179476.1.p1
OG0002354	XM_001597127.1.p1	NM_001182962.3.p1
OG0002355	XM_001587838.1.p1	NM_001183756.1.p1
OG0002356	XM_001587759.1.p1	NM_001181975.1.p1
OG0002357	XM_001586659.1.p1	NM_001183425.1.p1
OG0002358	XM_001598417.1.p1	NM_001179208.1.p1
OG0002359	XM_001588052.1.p1	NM_001181136.1.p1
OG0002362	XM_001598086.1.p1	NM_001183706.1.p1
OG0002363	XM_001593705.1.p1	NM_001182719.1.p1
OG0002364	XM_001585557.1.p1	NM_001181122.1.p1
OG0002365	XM_001595933.1.p1	NM_001178193.1.p1
OG0002367	XM_001594557.1.p1	NM_001183971.1.p1
OG0002369	XM_001584507.1.p1	NM_001180756.3.p1
OG0002370	XM_001585727.1.p1, XM_001585728.1.p1	NM_001180599.3.p1
OG0002371	XM_001589243.1.p1	NM_001184259.1.p1
OG0002372	XM_001588478.1.p1	NM_001183215.1.p1
OG0002373	XM_001588479.1.p1	NM_001183989.1.p1
OG0002374	XM_001584624.1.p1	NM_001178682.1.p1, NM_001180823.3.p1
OG0002375	XM_001595425.1.p1	NM_001181856.1.p1
OG0002376	XM_001595422.1.p1	NM_001182632.1.p1
OG0002377	XM_001594986.1.p1	NM_001184260.1.p1
OG0002378	XM_001588929.1.p1	NM_001180977.1.p1
OG0002379	XM_001590796.1.p1	NM_001179332.1.p1
OG0002380	XM_001588912.1.p1	NM_001180813.2.p1, NM_001182064.1.p1
OG0002381	XM_001597772.1.p1	NM_001179661.1.p1
OG0002382	XM_001595209.1.p1	NM_001180276.1.p1
OG0002383	XM_001596917.1.p1	NM_001180321.3.p1
OG0002384	XM_001584879.1.p1	NM_001178345.2.p1
OG0002385	XM_001589146.1.p1	NM_001180157.1.p1
OG0002386	XM_001584569.1.p1	NM_001179567.3.p1
OG0002387	XM_001594876.1.p1	NM_001183135.1.p1
OG0002388	XM_001592624.1.p1	NM_001183965.1.p1
OG0002389	XM_001587189.1.p1	NM_001178675.1.p1
OG0002390	XM_001592830.1.p1	NM_001183788.1.p1
OG0002391	XM_001595967.1.p1	NM_001181904.1.p1
OG0002392	XM_001586127.1.p1	NM_001179763.1.p1
OG0002393	XM_001586184.1.p1	NM_001182128.1.p1
OG0002394	XM_001586212.1.p1	NM_001181071.1.p1
OG0002395	XM_001594425.1.p1	NM_001181020.1.p1
OG0002396	XM_001596168.1.p1	NM_001182490.1.p1
OG0002397	XM_001589782.1.p1	NM_001184105.1.p1, NM_001181031.3.p1, NM_001182517.1.p1
OG0002398	XM_001594155.1.p1	NM_001178537.3.p1, NM_001183895.1.p1
OG0002401	XM_001595754.1.p1	NM_001182648.1.p1
OG0002402	XM_001588124.1.p1	NM_001181464.3.p1
OG0002403	XM_001592602.1.p1	NM_001183776.1.p1
OG0002404	XM_001588016.1.p1	NM_001180220.1.p1
OG0002405	XM_001589065.1.p1	NM_001180225.1.p1
OG0002406	XM_001586753.1.p1	NM_001180835.4.p1
